,participant_id,device_combo,motion_combo,correct
0,FAB10068F,Head,angacc,1.0
1,FAB10068F,Head,angvel,1.0
2,FAB10068F,Head,angvel_angacc,1.0
3,FAB10068F,Head,linacc,1.0
4,FAB10068F,Head,linacc_angacc,1.0
5,FAB10068F,Head,linacc_angvel,1.0
6,FAB10068F,Head,linacc_angvel_angacc,1.0
7,FAB10068F,Head,linvel,1.0
8,FAB10068F,Head,linvel_angacc,1.0
9,FAB10068F,Head,linvel_angvel,1.0
10,FAB10068F,Head,linvel_angvel_angacc,1.0
11,FAB10068F,Head,linvel_linacc,0.5
12,FAB10068F,Head,linvel_linacc_angacc,1.0
13,FAB10068F,Head,linvel_linacc_angvel,1.0
14,FAB10068F,Head,linvel_linacc_angvel_angacc,1.0
15,FAB10068F,Head_LeftHand,angacc,1.0
16,FAB10068F,Head_LeftHand,angvel,1.0
17,FAB10068F,Head_LeftHand,angvel_angacc,1.0
18,FAB10068F,Head_LeftHand,linacc,0.5
19,FAB10068F,Head_LeftHand,linacc_angacc,1.0
20,FAB10068F,Head_LeftHand,linacc_angvel,1.0
21,FAB10068F,Head_LeftHand,linacc_angvel_angacc,1.0
22,FAB10068F,Head_LeftHand,linvel,1.0
23,FAB10068F,Head_LeftHand,linvel_angacc,1.0
24,FAB10068F,Head_LeftHand,linvel_angvel,1.0
25,FAB10068F,Head_LeftHand,linvel_angvel_angacc,1.0
26,FAB10068F,Head_LeftHand,linvel_linacc,1.0
27,FAB10068F,Head_LeftHand,linvel_linacc_angacc,1.0
28,FAB10068F,Head_LeftHand,linvel_linacc_angvel,1.0
29,FAB10068F,Head_LeftHand,linvel_linacc_angvel_angacc,1.0
30,FAB10068F,Head_RightHand,angacc,1.0
31,FAB10068F,Head_RightHand,angvel,1.0
32,FAB10068F,Head_RightHand,angvel_angacc,1.0
33,FAB10068F,Head_RightHand,linacc,0.5
34,FAB10068F,Head_RightHand,linacc_angacc,1.0
35,FAB10068F,Head_RightHand,linacc_angvel,1.0
36,FAB10068F,Head_RightHand,linacc_angvel_angacc,1.0
37,FAB10068F,Head_RightHand,linvel,1.0
38,FAB10068F,Head_RightHand,linvel_angacc,1.0
39,FAB10068F,Head_RightHand,linvel_angvel,1.0
40,FAB10068F,Head_RightHand,linvel_angvel_angacc,1.0
41,FAB10068F,Head_RightHand,linvel_linacc,1.0
42,FAB10068F,Head_RightHand,linvel_linacc_angacc,1.0
43,FAB10068F,Head_RightHand,linvel_linacc_angvel,1.0
44,FAB10068F,Head_RightHand,linvel_linacc_angvel_angacc,1.0
45,FAB10068F,Head_RightHand_LeftHand,angacc,1.0
46,FAB10068F,Head_RightHand_LeftHand,angvel,1.0
47,FAB10068F,Head_RightHand_LeftHand,angvel_angacc,1.0
48,FAB10068F,Head_RightHand_LeftHand,linacc,0.5
49,FAB10068F,Head_RightHand_LeftHand,linacc_angacc,1.0
50,FAB10068F,Head_RightHand_LeftHand,linacc_angvel,1.0
51,FAB10068F,Head_RightHand_LeftHand,linacc_angvel_angacc,1.0
52,FAB10068F,Head_RightHand_LeftHand,linvel,1.0
53,FAB10068F,Head_RightHand_LeftHand,linvel_angacc,1.0
54,FAB10068F,Head_RightHand_LeftHand,linvel_angvel,1.0
55,FAB10068F,Head_RightHand_LeftHand,linvel_angvel_angacc,1.0
56,FAB10068F,Head_RightHand_LeftHand,linvel_linacc,1.0
57,FAB10068F,Head_RightHand_LeftHand,linvel_linacc_angacc,1.0
58,FAB10068F,Head_RightHand_LeftHand,linvel_linacc_angvel,1.0
59,FAB10068F,Head_RightHand_LeftHand,linvel_linacc_angvel_angacc,1.0
60,FAB10068F,LeftHand,angacc,1.0
61,FAB10068F,LeftHand,angvel,1.0
62,FAB10068F,LeftHand,angvel_angacc,1.0
63,FAB10068F,LeftHand,linacc,1.0
64,FAB10068F,LeftHand,linacc_angacc,1.0
65,FAB10068F,LeftHand,linacc_angvel,1.0
66,FAB10068F,LeftHand,linacc_angvel_angacc,1.0
67,FAB10068F,LeftHand,linvel,1.0
68,FAB10068F,LeftHand,linvel_angacc,1.0
69,FAB10068F,LeftHand,linvel_angvel,1.0
70,FAB10068F,LeftHand,linvel_angvel_angacc,1.0
71,FAB10068F,LeftHand,linvel_linacc,1.0
72,FAB10068F,LeftHand,linvel_linacc_angacc,1.0
73,FAB10068F,LeftHand,linvel_linacc_angvel,1.0
74,FAB10068F,LeftHand,linvel_linacc_angvel_angacc,1.0
75,FAB10068F,RightHand,angacc,1.0
