,participant_id,device_combo,motion_combo,correct
0,FAB10068F,Head,pos,1.0
1,FAB10068F,Head,pos_quat,1.0
2,FAB10068F,Head,quat,1.0
3,FAB10068F,Head_LeftHand,pos,1.0
4,FAB10068F,Head_LeftHand,pos_quat,1.0
5,FAB10068F,Head_LeftHand,quat,1.0
6,FAB10068F,Head_LeftHand_RightHand,pos,1.0
7,FAB10068F,Head_LeftHand_RightHand,pos_quat,1.0
8,FAB10068F,Head_LeftHand_RightHand,quat,1.0
9,FAB10068F,Head_RightHand,pos,1.0
10,FAB10068F,Head_RightHand,pos_quat,1.0
11,FAB10068F,Head_RightHand,quat,1.0
12,FAB10068F,LeftHand,pos,1.0
13,FAB10068F,LeftHand,pos_quat,1.0
14,FAB10068F,LeftHand,quat,1.0
15,FAB10068F,LeftHand_RightHand,pos,1.0
16,FAB10068F,LeftHand_RightHand,pos_quat,1.0
17,FAB10068F,LeftHand_RightHand,quat,1.0
18,FAB10068F,RightHand,pos,1.0
19,FAB10068F,RightHand,pos_quat,0.5
20,FAB10068F,RightHand,quat,1.0
21,FAB11629F,Head,pos,1.0
22,FAB11629F,Head,pos_quat,1.0
23,FAB11629F,Head,quat,1.0
24,FAB11629F,Head_LeftHand,pos,1.0
25,FAB11629F,Head_LeftHand,pos_quat,0.5
26,FAB11629F,Head_LeftHand,quat,0.5
27,FAB11629F,Head_LeftHand_RightHand,pos,1.0
28,FAB11629F,Head_LeftHand_RightHand,pos_quat,0.5
29,FAB11629F,Head_LeftHand_RightHand,quat,0.5
30,FAB11629F,Head_RightHand,pos,1.0
31,FAB11629F,Head_RightHand,pos_quat,1.0
32,FAB11629F,Head_RightHand,quat,1.0
33,FAB11629F,LeftHand,pos,1.0
34,FAB11629F,LeftHand,pos_quat,0.5
35,FAB11629F,LeftHand,quat,0.5
36,FAB11629F,LeftHand_RightHand,pos,1.0
37,FAB11629F,LeftHand_RightHand,pos_quat,0.5
38,FAB11629F,LeftHand_RightHand,quat,1.0
39,FAB11629F,RightHand,pos,1.0
40,FAB11629F,RightHand,pos_quat,1.0
41,FAB11629F,RightHand,quat,1.0
42,FAB12013F,Head,pos,1.0
43,FAB12013F,Head,pos_quat,1.0
44,FAB12013F,Head,quat,1.0
45,FAB12013F,Head_LeftHand,pos,1.0
46,FAB12013F,Head_LeftHand,pos_quat,1.0
47,FAB12013F,Head_LeftHand,quat,1.0
48,FAB12013F,Head_LeftHand_RightHand,pos,1.0
49,FAB12013F,Head_LeftHand_RightHand,pos_quat,1.0
50,FAB12013F,Head_LeftHand_RightHand,quat,1.0
51,FAB12013F,Head_RightHand,pos,1.0
52,FAB12013F,Head_RightHand,pos_quat,1.0
53,FAB12013F,Head_RightHand,quat,1.0
54,FAB12013F,LeftHand,pos,1.0
55,FAB12013F,LeftHand,pos_quat,1.0
56,FAB12013F,LeftHand,quat,1.0
57,FAB12013F,LeftHand_RightHand,pos,1.0
58,FAB12013F,LeftHand_RightHand,pos_quat,1.0
59,FAB12013F,LeftHand_RightHand,quat,1.0
60,FAB12013F,RightHand,pos,1.0
61,FAB12013F,RightHand,pos_quat,1.0
62,FAB12013F,RightHand,quat,1.0
63,FAB12101F,Head,pos,0.5
64,FAB12101F,Head,pos_quat,1.0
65,FAB12101F,Head,quat,1.0
66,FAB12101F,Head_LeftHand,pos,0.5
67,FAB12101F,Head_LeftHand,pos_quat,1.0
68,FAB12101F,Head_LeftHand,quat,1.0
69,FAB12101F,Head_LeftHand_RightHand,pos,1.0
70,FAB12101F,Head_LeftHand_RightHand,pos_quat,1.0
71,FAB12101F,Head_LeftHand_RightHand,quat,0.5
72,FAB12101F,Head_RightHand,pos,1.0
73,FAB12101F,Head_RightHand,pos_quat,1.0
74,FAB12101F,Head_RightHand,quat,1.0
75,FAB12101F,LeftHand,pos,1.0
76,FAB12101F,LeftHand,pos_quat,0.5
77,FAB12101F,LeftHand,quat,0.5
78,FAB12101F,LeftHand_RightHand,pos,1.0
79,FAB12101F,LeftHand_RightHand,pos_quat,1.0
80,FAB12101F,LeftHand_RightHand,quat,0.5
81,FAB12101F,RightHand,pos,1.0
82,FAB12101F,RightHand,pos_quat,1.0
83,FAB12101F,RightHand,quat,1.0
84,FAB13229M,Head,pos,1.0
85,FAB13229M,Head,pos_quat,1.0
86,FAB13229M,Head,quat,1.0
87,FAB13229M,Head_LeftHand,pos,1.0
88,FAB13229M,Head_LeftHand,pos_quat,1.0
89,FAB13229M,Head_LeftHand,quat,1.0
90,FAB13229M,Head_LeftHand_RightHand,pos,1.0
91,FAB13229M,Head_LeftHand_RightHand,pos_quat,1.0
92,FAB13229M,Head_LeftHand_RightHand,quat,1.0
93,FAB13229M,Head_RightHand,pos,1.0
94,FAB13229M,Head_RightHand,pos_quat,1.0
95,FAB13229M,Head_RightHand,quat,1.0
96,FAB13229M,LeftHand,pos,1.0
97,FAB13229M,LeftHand,pos_quat,1.0
98,FAB13229M,LeftHand,quat,1.0
