,participant_id,device_combo,motion_combo,correct
0,FAB10068F,Head,angular,1.0
1,FAB10068F,Head,linear,0.5
2,FAB10068F,Head,linear_angular,1.0
3,FAB10068F,Head_LeftHand,angular,1.0
4,FAB10068F,Head_LeftHand,linear,1.0
5,FAB10068F,Head_LeftHand,linear_angular,1.0
6,FAB10068F,Head_RightHand,angular,1.0
7,FAB10068F,Head_RightHand,linear,1.0
8,FAB10068F,Head_RightHand,linear_angular,1.0
9,FAB10068F,Head_RightHand_LeftHand,angular,1.0
10,FAB10068F,Head_RightHand_LeftHand,linear,1.0
11,FAB10068F,Head_RightHand_LeftHand,linear_angular,1.0
12,FAB10068F,LeftHand,angular,1.0
13,FAB10068F,LeftHand,linear,1.0
14,FAB10068F,LeftHand,linear_angular,1.0
15,FAB10068F,RightHand,angular,1.0
16,FAB10068F,RightHand,linear,1.0
17,FAB10068F,RightHand,linear_angular,1.0
18,FAB10068F,RightHand_LeftHand,angular,1.0
19,FAB10068F,RightHand_LeftHand,linear,1.0
20,FAB10068F,RightHand_LeftHand,linear_angular,1.0
21,FAB11629F,Head,angular,1.0
22,FAB11629F,Head,linear,1.0
23,FAB11629F,Head,linear_angular,1.0
24,FAB11629F,Head_LeftHand,angular,0.5
25,FAB11629F,Head_LeftHand,linear,1.0
26,FAB11629F,Head_LeftHand,linear_angular,0.5
27,FAB11629F,Head_RightHand,angular,1.0
28,FAB11629F,Head_RightHand,linear,1.0
29,FAB11629F,Head_RightHand,linear_angular,1.0
30,FAB11629F,Head_RightHand_LeftHand,angular,1.0
31,FAB11629F,Head_RightHand_LeftHand,linear,0.5
32,FAB11629F,Head_RightHand_LeftHand,linear_angular,1.0
33,FAB11629F,LeftHand,angular,0.5
34,FAB11629F,LeftHand,linear,0.5
35,FAB11629F,LeftHand,linear_angular,0.5
36,FAB11629F,RightHand,angular,1.0
37,FAB11629F,RightHand,linear,1.0
38,FAB11629F,RightHand,linear_angular,1.0
39,FAB11629F,RightHand_LeftHand,angular,1.0
40,FAB11629F,RightHand_LeftHand,linear,1.0
41,FAB11629F,RightHand_LeftHand,linear_angular,1.0
42,FAB12013F,Head,angular,1.0
43,FAB12013F,Head,linear,1.0
44,FAB12013F,Head,linear_angular,1.0
45,FAB12013F,Head_LeftHand,angular,1.0
46,FAB12013F,Head_LeftHand,linear,1.0
47,FAB12013F,Head_LeftHand,linear_angular,1.0
48,FAB12013F,Head_RightHand,angular,1.0
49,FAB12013F,Head_RightHand,linear,1.0
50,FAB12013F,Head_RightHand,linear_angular,1.0
51,FAB12013F,Head_RightHand_LeftHand,angular,1.0
52,FAB12013F,Head_RightHand_LeftHand,linear,1.0
53,FAB12013F,Head_RightHand_LeftHand,linear_angular,1.0
54,FAB12013F,LeftHand,angular,1.0
55,FAB12013F,LeftHand,linear,0.5
56,FAB12013F,LeftHand,linear_angular,1.0
57,FAB12013F,RightHand,angular,1.0
58,FAB12013F,RightHand,linear,1.0
59,FAB12013F,RightHand,linear_angular,1.0
60,FAB12013F,RightHand_LeftHand,angular,1.0
