Contrast,A,B,Paired,Parametric,T,dof,alternative,p-unc,p-corr,p-adjust,BF10,cohen
device_combo,Head,Head+LeftHand,True,True,-2.749382133919702,4.0,two-sided,0.05140706225104109,0.8225129960166574,holm,2.175,-1.1587267873285134
device_combo,Head,Head+LeftHand+RightHand,True,True,-3.0802491653195667,4.0,two-sided,0.03692264589959581,0.6646076261927246,holm,2.754,-1.6516774922390254
device_combo,Head,Head+RightHand,True,True,-3.687816012035759,4.0,two-sided,0.02105901960119219,0.40012137242265167,holm,4.12,-1.6729613717432479
device_combo,Head,LeftHand,True,True,-0.9774466277050132,4.0,two-sided,0.3836932035640375,1.0,holm,0.568,-0.5573888268778365
device_combo,Head,LeftHand+RightHand,True,True,-3.7483242564294934,4.0,two-sided,0.019976109507691176,0.3995221901538235,holm,4.279,-1.0530708346663724
device_combo,Head,RightHand,True,True,-1.4978667811053614,4.0,two-sided,0.20852493137576117,1.0,holm,0.827,-0.4166513691075031
device_combo,Head+LeftHand,Head+LeftHand+RightHand,True,True,-1.3939779995555779,4.0,two-sided,0.23577315135720223,1.0,holm,0.764,-0.46267115345663073
device_combo,Head+LeftHand,Head+RightHand,True,True,-1.0451836817545148,4.0,two-sided,0.354937965442957,1.0,holm,0.594,-0.35186127365852005
device_combo,Head+LeftHand,LeftHand,True,True,1.7233544669091494,4.0,two-sided,0.1599210269195613,1.0,holm,0.987,0.45496295865969816
device_combo,Head+LeftHand,LeftHand+RightHand,True,True,-0.593572746311554,4.0,two-sided,0.5847358958735585,1.0,holm,0.458,-0.2384288450629205
device_combo,Head+LeftHand,RightHand,True,True,0.8566074683574872,4.0,two-sided,0.439947241377534,1.0,holm,0.527,0.4527344133249789
device_combo,Head+LeftHand+RightHand,Head+RightHand,True,True,0.9775720618756659,4.0,two-sided,0.3836381350913923,1.0,holm,0.568,0.15798125387196485
device_combo,Head+LeftHand+RightHand,LeftHand,True,True,4.18497312048978,4.0,two-sided,0.013862577139324275,0.29111411992580977,holm,5.568,0.8729006406635421
device_combo,Head+LeftHand+RightHand,LeftHand+RightHand,True,True,0.18468111409177154,4.0,two-sided,0.8624646418072908,1.0,holm,0.403,0.09257187296818346
device_combo,Head+LeftHand+RightHand,RightHand,True,True,1.3928498377614535,4.0,two-sided,0.23608779843173533,1.0,holm,0.763,0.8144728729439841
device_combo,Head+RightHand,LeftHand,True,True,2.4446264518699934,4.0,two-sided,0.07085419629779524,1.0,holm,1.733,0.803196692366397
device_combo,Head+RightHand,LeftHand+RightHand,True,True,-0.022084228943950634,4.0,two-sided,0.9834385110093053,1.0,holm,0.397,-0.010340056364640804
device_combo,Head+RightHand,RightHand,True,True,1.3746838901290888,4.0,two-sided,0.24121196879151596,1.0,holm,0.753,0.7435453658386287
device_combo,LeftHand,LeftHand+RightHand,True,True,-1.1217492146719124,4.0,two-sided,0.3247551445639312,1.0,holm,0.626,-0.5676039183785452
device_combo,LeftHand,RightHand,True,True,0.09003119855894334,4.0,two-sided,0.9325903837412617,1.0,holm,0.399,0.0548865353926808
device_combo,LeftHand+RightHand,RightHand,True,True,2.813684334189589,4.0,two-sided,0.048136169871810124,0.8183148878207721,holm,2.28,0.5674235346456303
