Contrast,A,B,Paired,Parametric,T,dof,alternative,p-unc,p-corr,p-adjust,BF10,cohen
motion_combo,angacc,angacc+angvel,True,True,-0.5509850402061942,4.0,two-sided,0.6109710838345723,1.0,holm,0.449,-0.1930332787524732
motion_combo,angacc,angacc+angvel+linacc,True,True,-4.293383325819178,4.0,two-sided,0.012712031778887996,1.0,holm,5.927,-1.0294083382196024
motion_combo,angacc,angacc+angvel+linacc+linvel,True,True,-4.553036976147107,4.0,two-sided,0.010393610554443291,0.9250313393454529,holm,6.854,-1.6919742425849118
motion_combo,angacc,angacc+angvel+linvel,True,True,-1.2552410753907968,4.0,two-sided,0.2777210319640008,1.0,holm,0.689,-0.5660935780452472
motion_combo,angacc,angacc+linacc,True,True,-4.996066354716504,4.0,two-sided,0.0075113147302432615,0.6835296404521368,holm,8.669,-1.104194018271309
motion_combo,angacc,angacc+linacc+linvel,True,True,-4.3632538748481835,4.0,two-sided,0.012031431576603809,1.0,holm,6.167,-1.367924066035037
motion_combo,angacc,angacc+linvel,True,True,-1.1292098519451061,4.0,two-sided,0.3219423338539327,1.0,holm,0.629,-0.46463096293007633
motion_combo,angacc,angvel,True,True,-0.18748463632800244,4.0,two-sided,0.8604068252900035,1.0,holm,0.403,-0.01928770345036734
motion_combo,angacc,angvel+linacc,True,True,-5.621539593408361,4.0,two-sided,0.004923202857587684,0.4726274743284177,holm,11.775,-0.9750481414863743
motion_combo,angacc,angvel+linacc+linvel,True,True,-3.6401354616486645,4.0,two-sided,0.021962024180738747,1.0,holm,3.997,-1.665598828883113
motion_combo,angacc,angvel+linvel,True,True,-1.0802953743580201,4.0,two-sided,0.34079615153545534,1.0,holm,0.608,-0.5232429593947413
motion_combo,angacc,linacc,True,True,-2.9105537149536,4.0,two-sided,0.04365395454022401,1.0,holm,2.444,-1.4281092360418244
motion_combo,angacc,linacc+linvel,True,True,-3.933769950100485,4.0,two-sided,0.017048847410840846,1.0,holm,4.796,-2.0073853680297553
motion_combo,angacc,linvel,True,True,-2.0693620033937017,4.0,two-sided,0.10730768769696872,1.0,holm,1.297,-0.5574523020678573
motion_combo,angacc+angvel,angacc+angvel+linacc,True,True,-3.87127995126424,4.0,two-sided,0.017973915962260237,1.0,holm,4.617,-0.8928451329383859
motion_combo,angacc+angvel,angacc+angvel+linacc+linvel,True,True,-6.164969656172706,4.0,two-sided,0.003514353402096508,0.34798754817435995,holm,15.042,-1.6217513352165103
