Feature,Mutual Information
Head_sixD_b_max,0.2469411345003807
LeftHand_euler_x_median,0.2440519953844258
LeftHand_sixD_c_min,0.17149980984363644
Head_jerk_x_median,0.1672472275100505
RightHand_euler_y_mean,0.16519506483641377
Head_angular_acceleration_z_std,0.15623278972175125
LeftHand_euler_z_std,0.155736801130546
LeftHand_euler_x_max,0.15399691481154543
Head_angular_velocity_x_std,0.15381265698882673
Head_sixD_a_median,0.1503219134092899
Head_position_z_std,0.1489578815137902
Head_angular_velocity_y_median,0.14657845797245805
Head_angular_acceleration_time_since_pause_median,0.13464636147240006
LeftHand_acceleration_y_min,0.1329751846306566
LeftHand_position_x_mean,0.13156828241330532
LeftHand_velocity_pause_duration_max,0.13052575689645263
LeftHand_quat_y_median,0.12601970855001055
RightHand_angular_velocity_time_since_pause_std,0.12382108547615633
LeftHand_velocity_time_since_pause_median,0.12307990336321728
Head_angular_velocity_x_max,0.12103829813998024
Head_angular_jerk_pause_duration_std,0.11966310963273763
Head_angular_velocity_y_std,0.11821727876480059
LeftHand_acceleration_time_since_pause_max,0.11444935116203458
Head_velocity_x_std,0.11337625652102057
RightHand_velocity_y_mean,0.11181946474230431
LeftHand_position_y_max,0.11143270473141698
Head_position_y_min,0.10983731533887697
RightHand_jerk_y_median,0.10966856984258389
RightHand_angular_velocity_z_std,0.10888899204243163
RightHand_jerk_x_min,0.10860337730941216
LeftHand_euler_x_min,0.1072990864041321
Head_angular_acceleration_z_mean,0.10670023451214972
RightHand_angular_jerk_z_min,0.10605674732808268
RightHand_angular_velocity_x_min,0.10495474408990857
RightHand_angular_jerk_pause_duration_std,0.10495162520657342
Head_acceleration_time_since_pause_max,0.10416702219278573
Head_angular_acceleration_pause_duration_max,0.10400362788112805
LeftHand_sixD_c_median,0.10382403135705998
LeftHand_angular_jerk_time_since_pause_max,0.1033852413666625
RightHand_angular_jerk_pause_duration_max,0.1031635173155081
Head_sixD_a_min,0.10198754391304021
Head_angular_acceleration_time_since_pause_mean,0.10157162890299665
Head_angular_acceleration_x_std,0.10120808299395234
Head_jerk_pause_duration_min,0.100604093608333
RightHand_acceleration_pause_duration_min,0.09795172584424638
Head_position_y_mean,0.09532943544907724
RightHand_sixD_f_max,0.09500972044694844
LeftHand_velocity_z_min,0.09463947524061611
RightHand_sixD_c_mean,0.09136763047745333
LeftHand_sixD_d_median,0.09026895803246404
LeftHand_jerk_x_std,0.0892486861872488
LeftHand_angular_jerk_x_min,0.08922199028167732
LeftHand_angular_velocity_y_median,0.08845873455612452
Head_angular_acceleration_x_max,0.08830044735058573
LeftHand_angular_acceleration_time_since_pause_mean,0.08807695779389313
Head_acceleration_z_median,0.08713856576581192
LeftHand_angular_velocity_pause_duration_mean,0.08631176203343394
RightHand_sixD_b_std,0.08548275878157297
RightHand_position_z_min,0.08490398434252011
Head_position_y_median,0.08445776800402793
LeftHand_acceleration_y_mean,0.08425301915873806
Head_angular_acceleration_z_min,0.08389233061914814
RightHand_angular_jerk_y_mean,0.08342722140354653
Head_angular_acceleration_time_since_pause_std,0.08277377033087063
Head_angular_jerk_x_min,0.0824860348109997
Head_angular_acceleration_z_median,0.08041995656369716
LeftHand_acceleration_time_since_pause_median,0.08036928875470783
Head_angular_acceleration_time_since_pause_max,0.07972237735808552
Head_angular_acceleration_pause_duration_std,0.07870771853728709
Head_angular_acceleration_z_max,0.07786848457876161
Head_sixD_c_mean,0.07771554473990783
RightHand_acceleration_y_min,0.07756600373233313
RightHand_angular_velocity_pause_duration_max,0.0751429810698987
RightHand_angular_jerk_x_mean,0.07278008100473476
Head_euler_z_min,0.07262761995418643
LeftHand_velocity_y_std,0.07239296611889356
LeftHand_position_z_mean,0.07114995592238582
Head_euler_y_median,0.07051409347192683
LeftHand_quat_z_mean,0.06967126312946625
RightHand_quat_x_median,0.06951691718545439
Head_sixD_f_max,0.06896525220789762
RightHand_acceleration_time_since_pause_max,0.06890665096766835
LeftHand_acceleration_y_median,0.06814317703616712
RightHand_angular_jerk_y_max,0.06811305750712249
Head_angular_jerk_z_max,0.0677485957079047
LeftHand_quat_z_median,0.06772577331659768
RightHand_velocity_z_median,0.06678299133171484
Head_acceleration_z_std,0.0663515859483188
LeftHand_angular_velocity_x_mean,0.06572434315985065
LeftHand_jerk_y_mean,0.06565354350091424
Head_euler_y_std,0.06467458604847653
Head_velocity_time_since_pause_median,0.06410047315780121
RightHand_position_x_std,0.06408699062389012
RightHand_angular_velocity_time_since_pause_max,0.06400526311053056
Head_sixD_c_std,0.06387459668647733
LeftHand_velocity_z_std,0.06379799652446039
Head_acceleration_y_std,0.06359591781065665
Head_angular_jerk_z_std,0.06291962168520637
LeftHand_angular_jerk_time_since_pause_std,0.06291406770667374
RightHand_sixD_c_min,0.0622010920543592
RightHand_sixD_e_max,0.0616463601474595
LeftHand_jerk_z_std,0.06147718446580708
LeftHand_angular_velocity_z_std,0.06105009304991338
LeftHand_acceleration_x_std,0.06073862640088379
Head_jerk_pause_duration_std,0.060193956170758955
RightHand_sixD_b_max,0.05962067261387727
RightHand_quat_x_max,0.05886962140468244
RightHand_angular_acceleration_pause_duration_mean,0.05833180564164531
RightHand_sixD_f_mean,0.05824621345393277
RightHand_angular_acceleration_pause_duration_std,0.058214995212260146
Head_euler_y_max,0.058191636462245455
Head_jerk_pause_duration_max,0.05808612262466051
LeftHand_angular_acceleration_x_min,0.05799168859994852
LeftHand_angular_velocity_pause_duration_median,0.05741806409007921
RightHand_angular_jerk_z_median,0.05642218077068817
LeftHand_euler_y_median,0.0553385253390406
Head_velocity_x_max,0.05514068488272583
Head_angular_jerk_y_min,0.054655560944302906
Head_angular_velocity_z_max,0.054443122621850026
LeftHand_angular_acceleration_pause_duration_min,0.054072317193274655
Head_angular_velocity_y_min,0.05371785614707614
LeftHand_velocity_x_median,0.05360945485121649
LeftHand_jerk_y_std,0.0534294363821024
LeftHand_sixD_a_median,0.05335900779080882
LeftHand_sixD_f_max,0.05318791337115503
RightHand_angular_jerk_time_since_pause_max,0.053103364006543696
LeftHand_quat_z_min,0.05307455086922275
Head_acceleration_y_median,0.05180926131435015
RightHand_angular_jerk_pause_duration_min,0.051656568720881424
LeftHand_angular_jerk_y_max,0.051359884332234707
RightHand_angular_velocity_x_mean,0.05091975663545112
RightHand_angular_acceleration_x_std,0.05083263318828957
LeftHand_acceleration_z_min,0.05060550112251816
Head_jerk_z_max,0.05027645387979662
RightHand_velocity_x_max,0.0500888351257065
