,full
Gender,0.5333333333333333
A_Build_Time,0.7333333333333333
Head_euler_x_median,0.7238095238095238
Head_euler_x_mean,0.5333333333333333
Head_euler_x_min,0.7142857142857143
Head_euler_x_max,0.638095238095238
Head_euler_x_std,0.6666666666666666
Head_euler_y_median,0.6666666666666666
Head_euler_y_mean,0.7047619047619048
Head_euler_y_min,0.8476190476190476
Head_euler_y_max,0.6285714285714286
Head_euler_y_std,0.5904761904761905
Head_euler_z_median,0.6952380952380952
Head_euler_z_mean,0.580952380952381
Head_euler_z_min,0.819047619047619
Head_euler_z_max,0.8380952380952381
Head_euler_z_std,0.5714285714285714
LeftHand_euler_x_median,0.6857142857142857
LeftHand_euler_x_mean,0.6476190476190476
LeftHand_euler_x_min,0.638095238095238
LeftHand_euler_x_max,0.6285714285714286
LeftHand_euler_x_std,0.6666666666666666
LeftHand_euler_y_median,0.6190476190476191
LeftHand_euler_y_mean,0.6476190476190476
LeftHand_euler_y_min,0.780952380952381
LeftHand_euler_y_max,0.7238095238095238
LeftHand_euler_y_std,0.6285714285714286
LeftHand_euler_z_median,0.6857142857142857
LeftHand_euler_z_mean,0.6095238095238096
LeftHand_euler_z_min,0.7238095238095238
LeftHand_euler_z_max,0.8857142857142857
LeftHand_euler_z_std,0.6857142857142857
RightHand_euler_x_median,0.7142857142857143
RightHand_euler_x_mean,0.6761904761904762
RightHand_euler_x_min,0.6571428571428571
RightHand_euler_x_max,0.7619047619047619
RightHand_euler_x_std,0.5333333333333333
RightHand_euler_y_median,0.7619047619047619
RightHand_euler_y_mean,0.7047619047619048
RightHand_euler_y_min,0.7904761904761904
RightHand_euler_y_max,0.7904761904761904
RightHand_euler_y_std,0.6952380952380952
RightHand_euler_z_median,0.6285714285714286
RightHand_euler_z_mean,0.5714285714285714
RightHand_euler_z_min,0.7523809523809524
RightHand_euler_z_max,0.7428571428571429
RightHand_euler_z_std,0.6952380952380952
Head_position_x_median,0.6190476190476191
Head_position_x_mean,0.5904761904761905
Head_position_x_min,0.638095238095238
Head_position_x_max,0.6285714285714286
Head_position_x_std,0.638095238095238
Head_position_y_median,0.6857142857142857
Head_position_y_mean,0.6571428571428571
Head_position_y_min,0.5047619047619047
Head_position_y_max,0.6761904761904762
Head_position_y_std,0.5142857142857142
Head_position_z_median,0.7238095238095238
Head_position_z_mean,0.6952380952380952
Head_position_z_min,0.6285714285714286
Head_position_z_max,0.7523809523809524
Head_position_z_std,0.780952380952381
