,full
Gender,0.6273057208066748
A_Build_Time,0.7743445692883895
Head_euler_x_median,0.764324760360082
Head_euler_x_mean,0.6273057208066748
Head_euler_x_min,0.7617456073338427
Head_euler_x_max,0.7091836734693877
Head_euler_x_std,0.7328598616720048
Head_euler_y_median,0.7238095238095238
Head_euler_y_mean,0.7620284655931935
Head_euler_y_min,0.8399470899470899
Head_euler_y_max,0.7051693649458342
Head_euler_y_std,0.6750171766819935
Head_euler_z_median,0.7489509213647145
Head_euler_z_mean,0.6661616926728274
Head_euler_z_min,0.8346975546975547
Head_euler_z_max,0.8250678509745867
Head_euler_z_std,0.6596526809481558
LeftHand_euler_x_median,0.7481250124336045
LeftHand_euler_x_mean,0.717594710910405
LeftHand_euler_x_min,0.7116850982174417
LeftHand_euler_x_max,0.7050323234884016
LeftHand_euler_x_std,0.734006734006734
LeftHand_euler_y_median,0.6976862799647608
LeftHand_euler_y_mean,0.717594710910405
LeftHand_euler_y_min,0.8051580073437997
LeftHand_euler_y_max,0.7598000526177321
LeftHand_euler_y_std,0.7036075036075036
LeftHand_euler_z_median,0.7395918367346939
LeftHand_euler_z_mean,0.6884078884078884
LeftHand_euler_z_min,0.7680680901019885
LeftHand_euler_z_max,0.84992784992785
LeftHand_euler_z_std,0.7448107448107447
RightHand_euler_x_median,0.7646414887794198
RightHand_euler_x_mean,0.7380952380952381
RightHand_euler_x_min,0.720405665326106
RightHand_euler_x_max,0.8027210884353742
RightHand_euler_x_std,0.6259581178714198
RightHand_euler_y_median,0.7929310798428726
RightHand_euler_y_mean,0.7553741496598638
RightHand_euler_y_min,0.8056835637480798
RightHand_euler_y_max,0.8056835637480798
RightHand_euler_y_std,0.7489509213647145
RightHand_euler_z_median,0.7006164567140177
RightHand_euler_z_mean,0.6599016965276676
RightHand_euler_z_min,0.7904628143392187
RightHand_euler_z_max,0.789296315307876
RightHand_euler_z_std,0.7489509213647145
Head_position_x_median,0.6965106297025703
Head_position_x_mean,0.6741877536812924
Head_position_x_min,0.710634746779325
Head_position_x_max,0.7036075036075036
Head_position_x_std,0.710634746779325
Head_position_y_median,0.7448107448107447
Head_position_y_mean,0.7268595667323134
Head_position_y_min,0.6003750815394652
Head_position_y_max,0.7397959183673469
Head_position_y_std,0.6106911022743348
Head_position_z_median,0.7711564625850339
Head_position_z_mean,0.7514717025120942
Head_position_z_min,0.7050323234884016
Head_position_z_max,0.7904628143392187
Head_position_z_std,0.8185034013605441
LeftHand_position_x_median,0.6520824854158188
LeftHand_position_x_mean,0.6212121212121211
LeftHand_position_x_min,0.7927344700327814
LeftHand_position_x_max,0.7840633942328856
LeftHand_position_x_std,0.717594710910405
LeftHand_position_y_median,0.7268595667323134
LeftHand_position_y_mean,0.6820987654320987
LeftHand_position_y_min,0.6899057759749861
LeftHand_position_y_max,0.7138787138787138
LeftHand_position_y_std,0.6954049966098159
LeftHand_position_z_median,0.7313224611536057
LeftHand_position_z_mean,0.7159694589338116
LeftHand_position_z_min,0.6672093338760005
LeftHand_position_z_max,0.6139924591537496
LeftHand_position_z_std,0.7420340352471848
RightHand_position_x_median,0.6825
RightHand_position_x_mean,0.6884078884078884
RightHand_position_x_min,0.796831689965588
RightHand_position_x_max,0.8160540024946805
RightHand_position_x_std,0.7328598616720048
RightHand_position_y_median,0.6106911022743348
RightHand_position_y_mean,0.667454907961237
RightHand_position_y_min,0.6750171766819935
RightHand_position_y_max,0.7293447293447293
RightHand_position_y_std,0.7072829131652661
RightHand_position_z_median,0.796831689965588
RightHand_position_z_mean,0.7138787138787138
RightHand_position_z_min,0.7646414887794198
RightHand_position_z_max,0.6893418116496043
RightHand_position_z_std,0.5783392722168232
Head_velocity_x_median,0.674779228461571
Head_velocity_x_mean,0.7580809546127466
Head_velocity_x_min,0.796831689965588
Head_velocity_x_max,0.7825377396980825
Head_velocity_x_std,0.6870644093872056
Head_velocity_y_median,0.6899057759749861
Head_velocity_y_mean,0.7397959183673469
Head_velocity_y_min,0.8065810593900482
Head_velocity_y_max,0.710634746779325
Head_velocity_y_std,0.7935128596893304
Head_velocity_z_median,0.7052481369906455
Head_velocity_z_mean,0.6106911022743348
Head_velocity_z_min,0.7044958696179164
Head_velocity_z_max,0.6976190476190476
Head_velocity_z_std,0.6825
LeftHand_velocity_x_median,0.6965106297025703
LeftHand_velocity_x_mean,0.6669606114050558
LeftHand_velocity_x_min,0.7689075630252101
LeftHand_velocity_x_max,0.7480712955573292
LeftHand_velocity_x_std,0.7293447293447293
LeftHand_velocity_y_median,0.7138787138787138
LeftHand_velocity_y_mean,0.7670047211050883
LeftHand_velocity_y_min,0.6820987654320987
LeftHand_velocity_y_max,0.5936723895907571
LeftHand_velocity_y_std,0.7116850982174417
LeftHand_velocity_z_median,0.7359386839191
LeftHand_velocity_z_mean,0.7869387755102041
LeftHand_velocity_z_min,0.710634746779325
LeftHand_velocity_z_max,0.7602767602767602
LeftHand_velocity_z_std,0.7397959183673469
RightHand_velocity_x_median,0.7380952380952381
RightHand_velocity_x_mean,0.7313224611536057
RightHand_velocity_x_min,0.6446912859603642
RightHand_velocity_x_max,0.7359386839191
RightHand_velocity_x_std,0.7803320561941252
RightHand_velocity_y_median,0.6328309876696974
RightHand_velocity_y_mean,0.7226890756302521
RightHand_velocity_y_min,0.6363636363636365
RightHand_velocity_y_max,0.7514717025120942
RightHand_velocity_y_std,0.7397959183673469
RightHand_velocity_z_median,0.8359788359788359
RightHand_velocity_z_mean,0.7680680901019885
RightHand_velocity_z_min,0.7489509213647145
RightHand_velocity_z_max,0.7514717025120942
RightHand_velocity_z_std,0.770408163265306
Head_angular_velocity_x_median,0.796831689965588
Head_angular_velocity_x_mean,0.6884078884078884
Head_angular_velocity_x_min,0.729978354978355
Head_angular_velocity_x_max,0.6954049966098159
