,full
Gender,0.8336977648202137
A_Build_Time,0.8262139466958743
Head_euler_x_median,0.812358276643991
Head_euler_x_mean,0.8336977648202137
Head_euler_x_min,0.823339212228101
Head_euler_x_max,0.8115622961513372
Head_euler_x_std,0.8409090909090909
Head_euler_y_median,0.7916666666666666
Head_euler_y_mean,0.8589903267322622
Head_euler_y_min,0.8327196858124694
Head_euler_y_max,0.8764869788875791
Head_euler_y_std,0.8292319976771195
Head_euler_z_median,0.8204664533778459
Head_euler_z_mean,0.7893949850471589
Head_euler_z_min,0.8534391534391534
Head_euler_z_max,0.8124392614188533
Head_euler_z_std,0.7999777999777999
LeftHand_euler_x_median,0.8563612313612314
LeftHand_euler_x_mean,0.8254569504569504
LeftHand_euler_x_min,0.8366689671037497
LeftHand_euler_x_max,0.8484293484293484
LeftHand_euler_x_std,0.8537414965986395
LeftHand_euler_y_median,0.8609221466364324
LeftHand_euler_y_mean,0.8254569504569504
LeftHand_euler_y_min,0.8337153043035396
LeftHand_euler_y_max,0.7995570321151716
LeftHand_euler_y_std,0.8224489795918368
LeftHand_euler_z_median,0.8067857142857143
LeftHand_euler_z_mean,0.8068027210884353
LeftHand_euler_z_min,0.8247740241377569
LeftHand_euler_z_max,0.8169209431345354
LeftHand_euler_z_std,0.8312807881773399
RightHand_euler_x_median,0.8355821393796077
RightHand_euler_x_mean,0.8298412698412698
RightHand_euler_x_min,0.8024118738404453
RightHand_euler_x_max,0.8672619047619048
RightHand_euler_x_std,0.8489469862018881
RightHand_euler_y_median,0.8306230693011598
RightHand_euler_y_mean,0.8219047619047619
RightHand_euler_y_min,0.8220826792255364
RightHand_euler_y_max,0.8220826792255364
RightHand_euler_y_std,0.8204664533778459
RightHand_euler_z_median,0.7977954913438785
RightHand_euler_z_mean,0.812772212543554
RightHand_euler_z_min,0.8414436968653836
RightHand_euler_z_max,0.8644010310676977
RightHand_euler_z_std,0.8204664533778459
Head_position_x_median,0.820910973084886
Head_position_x_mean,0.8034673328790977
Head_position_x_min,0.8239633881721702
Head_position_x_max,0.8224489795918368
Head_position_x_std,0.8239633881721702
Head_position_y_median,0.8312807881773399
Head_position_y_mean,0.8524269611226133
Head_position_y_min,0.8443821973233738
Head_position_y_max,0.8423026744944553
Head_position_y_std,0.8303247224815853
Head_position_z_median,0.8370238095238095
Head_position_z_mean,0.8327149041434755
Head_position_z_min,0.8484293484293484
Head_position_z_max,0.8414436968653836
Head_position_z_std,0.8823809523809525
LeftHand_position_x_median,0.8244269391810376
LeftHand_position_x_mean,0.8036284521177668
LeftHand_position_x_min,0.889587744426454
LeftHand_position_x_max,0.8399484926526284
LeftHand_position_x_std,0.8254569504569504
LeftHand_position_y_median,0.8524269611226133
LeftHand_position_y_mean,0.8177533385703063
LeftHand_position_y_min,0.8322788322788323
LeftHand_position_y_max,0.800903119868637
LeftHand_position_y_std,0.8084191423048094
LeftHand_position_z_median,0.8283929090380704
LeftHand_position_z_mean,0.8130942001909743
LeftHand_position_z_min,0.8414236037186856
LeftHand_position_z_max,0.7883597883597885
LeftHand_position_z_std,0.868184955141477
RightHand_position_x_median,0.8307692307692307
RightHand_position_x_mean,0.8068027210884353
RightHand_position_x_min,0.8429705215419501
RightHand_position_x_max,0.8702974296823713
RightHand_position_x_std,0.8409090909090909
RightHand_position_y_median,0.8303247224815853
RightHand_position_y_mean,0.8276643990929704
RightHand_position_y_min,0.8292319976771195
RightHand_position_y_max,0.8160919540229885
RightHand_position_y_std,0.7993650793650793
RightHand_position_z_median,0.8429705215419501
RightHand_position_z_mean,0.800903119868637
RightHand_position_z_min,0.8355821393796077
RightHand_position_z_max,0.8193466575819517
RightHand_position_z_std,0.8075540811389867
Head_velocity_x_median,0.8161283161283162
Head_velocity_x_mean,0.8341473341473342
Head_velocity_x_min,0.8429705215419501
Head_velocity_x_max,0.8630179344465059
Head_velocity_x_std,0.7945526695526695
Head_velocity_y_median,0.8322788322788323
Head_velocity_y_mean,0.8423026744944553
Head_velocity_y_min,0.8566734470348928
Head_velocity_y_max,0.8239633881721702
Head_velocity_y_std,0.853615520282187
Head_velocity_z_median,0.862151567944251
Head_velocity_z_mean,0.8303247224815853
Head_velocity_z_min,0.8352259822848057
Head_velocity_z_max,0.8470695970695971
Head_velocity_z_std,0.8307692307692307
LeftHand_velocity_x_median,0.820910973084886
LeftHand_velocity_x_mean,0.8017431638798489
LeftHand_velocity_x_min,0.8603174603174604
LeftHand_velocity_x_max,0.7970521541950113
LeftHand_velocity_x_std,0.8160919540229885
LeftHand_velocity_y_median,0.800903119868637
LeftHand_velocity_y_mean,0.8478664192949907
LeftHand_velocity_y_min,0.8177533385703063
LeftHand_velocity_y_max,0.8267502937314257
LeftHand_velocity_y_std,0.8366689671037497
LeftHand_velocity_z_median,0.8175633889919603
LeftHand_velocity_z_mean,0.8521428571428571
LeftHand_velocity_z_min,0.8239633881721702
LeftHand_velocity_z_max,0.8464696223316913
LeftHand_velocity_z_std,0.8423026744944553
RightHand_velocity_x_median,0.8298412698412698
RightHand_velocity_x_mean,0.8283929090380704
RightHand_velocity_x_min,0.8092558853999213
RightHand_velocity_x_max,0.8175633889919603
RightHand_velocity_x_std,0.8506978253813697
RightHand_velocity_y_median,0.8663694795770267
RightHand_velocity_y_mean,0.8146031746031746
RightHand_velocity_y_min,0.8210337930308453
RightHand_velocity_y_max,0.8327149041434755
RightHand_velocity_y_std,0.8423026744944553
RightHand_velocity_z_median,0.8753501400560224
RightHand_velocity_z_mean,0.8247740241377569
RightHand_velocity_z_min,0.8204664533778459
RightHand_velocity_z_max,0.8327149041434755
RightHand_velocity_z_std,0.8730430528375734
Head_angular_velocity_x_median,0.8429705215419501
Head_angular_velocity_x_mean,0.8068027210884353
Head_angular_velocity_x_min,0.7930629041740153
Head_angular_velocity_x_max,0.8084191423048094
Head_angular_velocity_x_std,0.837037037037037
Head_angular_velocity_y_median,0.8036284521177668
Head_angular_velocity_y_mean,0.8545225867309506
Head_angular_velocity_y_min,0.8693877551020407
Head_angular_velocity_y_max,0.8285645172437626
Head_angular_velocity_y_std,0.8423026744944553
Head_angular_velocity_z_median,0.8436916178851664
Head_angular_velocity_z_mean,0.8239633881721702
Head_angular_velocity_z_min,0.8897739580057996
Head_angular_velocity_z_max,0.8450793650793651
Head_angular_velocity_z_std,0.8224489795918368
LeftHand_angular_velocity_x_median,0.8609221466364324
LeftHand_angular_velocity_x_mean,0.8478664192949907
LeftHand_angular_velocity_x_min,0.8053507673760838
LeftHand_angular_velocity_x_max,0.8442932728647013
LeftHand_angular_velocity_x_std,0.8563612313612314
LeftHand_angular_velocity_y_median,0.8146031746031746
LeftHand_angular_velocity_y_mean,0.8146031746031746
LeftHand_angular_velocity_y_min,0.8380952380952381
