,full
Gender,0.6273057208066748
A_Build_Time,0.7244897959183674
Head_euler_x_median,0.650656814449918
Head_euler_x_mean,0.585004892367906
Head_euler_x_min,0.7072829131652661
Head_euler_x_max,0.6050903119868638
Head_euler_x_std,0.5368228555988208
Head_euler_y_median,0.08796536796536797
Head_euler_y_mean,0.5738341260729322
Head_euler_y_min,0.5869348611284094
Head_euler_y_max,0.615745270711024
Head_euler_y_std,0.6515151515151516
Head_euler_z_median,0.3465608465608465
Head_euler_z_mean,0.6354679802955664
Head_euler_z_min,0.5095856524427952
Head_euler_z_max,0.7880184331797235
Head_euler_z_std,0.7313224611536057
LeftHand_euler_x_median,0.2899022942814568
LeftHand_euler_x_mean,0.3257053579634224
LeftHand_euler_x_min,0.09027209027209028
LeftHand_euler_x_max,0.20266936281816963
LeftHand_euler_x_std,0.6594051110180142
LeftHand_euler_y_median,0.41691697705154396
LeftHand_euler_y_mean,0.6825
LeftHand_euler_y_min,0.7680680901019885
LeftHand_euler_y_max,0.8401360544217688
LeftHand_euler_y_std,0.5673400673400674
LeftHand_euler_z_median,0.5762283693318176
LeftHand_euler_z_mean,0.5696347031963471
LeftHand_euler_z_min,0.8293973715968601
LeftHand_euler_z_max,0.20609579100145137
LeftHand_euler_z_std,0.5077409342115224
RightHand_euler_x_median,0.13899870809407147
RightHand_euler_x_mean,0.44578754578754587
RightHand_euler_x_min,0.10530777848427046
RightHand_euler_x_max,0.07240038872691934
RightHand_euler_x_std,0.5137213403880071
RightHand_euler_y_median,0.7824967824967825
RightHand_euler_y_mean,0.7116850982174417
RightHand_euler_y_min,0.2290909090909091
RightHand_euler_y_max,0.46703296703296704
RightHand_euler_y_std,0.539976212501652
RightHand_euler_z_median,0.5885714285714286
RightHand_euler_z_mean,0.6446912859603642
RightHand_euler_z_min,0.5454086143741316
RightHand_euler_z_max,0.4620879120879121
RightHand_euler_z_std,0.6435369469425196
Head_position_x_median,0.6003750815394652
Head_position_x_mean,0.6342857142857143
Head_position_x_min,0.7424732742651818
Head_position_x_max,0.615745270711024
Head_position_x_std,0.585004892367906
Head_position_y_median,0.7380952380952381
Head_position_y_mean,0.7466754633733996
Head_position_y_min,0.23979591836734693
Head_position_y_max,0.6283683063868822
Head_position_y_std,0.37112341210701866
Head_position_z_median,0.6003750815394652
Head_position_z_mean,0.5954240866772498
Head_position_z_min,0.5555702391965112
Head_position_z_max,0.667454907961237
Head_position_z_std,0.6412251334685046
LeftHand_position_x_median,0.4831834831834832
LeftHand_position_x_mean,0.6515151515151516
LeftHand_position_x_min,0.5036845845958179
LeftHand_position_x_max,0.650656814449918
LeftHand_position_x_std,0.6283683063868822
LeftHand_position_y_median,0.5492022226348794
LeftHand_position_y_mean,0.4623488329019113
LeftHand_position_y_min,0.6900498451994667
LeftHand_position_y_max,0.5980310252756073
LeftHand_position_y_std,0.6106911022743348
LeftHand_position_z_median,0.6801752464403067
LeftHand_position_z_mean,0.7226890756302521
LeftHand_position_z_min,0.43461829176114886
LeftHand_position_z_max,0.4294871794871795
LeftHand_position_z_std,0.533384756762419
RightHand_position_x_median,0.47271187922458574
RightHand_position_x_mean,0.4620879120879121
RightHand_position_x_min,0.539976212501652
RightHand_position_x_max,0.5036845845958179
RightHand_position_x_std,0.5368228555988208
RightHand_position_y_median,0.35412674756937057
RightHand_position_y_mean,0.5236202589143766
RightHand_position_y_min,0.7275132275132274
RightHand_position_y_max,0.6090055069646906
RightHand_position_y_std,0.6131996658312447
RightHand_position_z_median,0.7458619811560989
RightHand_position_z_mean,0.7332603539500092
RightHand_position_z_min,0.5738341260729322
RightHand_position_z_max,0.38473167044595613
RightHand_position_z_std,0.6673809523809524
Head_velocity_x_median,0.6673809523809524
Head_velocity_x_mean,0.3385970453030143
Head_velocity_x_min,0.10530777848427046
Head_velocity_x_max,0.10530777848427046
Head_velocity_x_std,0.5716361522813135
Head_velocity_y_median,0.7553741496598638
Head_velocity_y_mean,0.5272601794340924
Head_velocity_y_min,0.47271187922458574
Head_velocity_y_max,0.7123750734861846
Head_velocity_y_std,0.6175322788226014
Head_velocity_z_median,0.6175322788226014
Head_velocity_z_mean,0.42926260723433673
Head_velocity_z_min,0.2436202436202436
Head_velocity_z_max,0.43461829176114886
Head_velocity_z_std,0.48767440990536043
LeftHand_velocity_x_median,0.5916382468106607
LeftHand_velocity_x_mean,0.20266936281816963
LeftHand_velocity_x_min,0.2719251371746582
LeftHand_velocity_x_max,0.42926260723433673
LeftHand_velocity_x_std,0.30357142857142855
LeftHand_velocity_y_median,0.6190476190476191
LeftHand_velocity_y_mean,0.46703296703296704
LeftHand_velocity_y_min,0.14181969083929868
LeftHand_velocity_y_max,0.2178649237472767
LeftHand_velocity_y_std,0.4935064935064935
LeftHand_velocity_z_median,0.418549963769602
LeftHand_velocity_z_mean,0.6899057759749861
LeftHand_velocity_z_min,0.29409620991253643
LeftHand_velocity_z_max,0.19924266002697377
LeftHand_velocity_z_std,0.7123750734861846
RightHand_velocity_x_median,0.3465608465608465
RightHand_velocity_x_mean,0.4620879120879121
RightHand_velocity_x_min,0.5196947592862755
RightHand_velocity_x_max,0.6131996658312447
RightHand_velocity_x_std,0.682570593962999
RightHand_velocity_y_median,0.43461829176114886
RightHand_velocity_y_mean,0.48183421516754854
RightHand_velocity_y_min,0.6820987654320987
RightHand_velocity_y_max,0.17142857142857143
RightHand_velocity_y_std,0.5587761674718196
RightHand_velocity_z_median,0.6599016965276676
RightHand_velocity_z_mean,0.717594710910405
RightHand_velocity_z_min,0.31700991609458423
RightHand_velocity_z_max,0.5175672908899586
RightHand_velocity_z_std,0.6003750815394652
Head_angular_velocity_x_median,0.6749303254530992
Head_angular_velocity_x_mean,0.5954240866772498
Head_angular_velocity_x_min,0.6523392219594752
Head_angular_velocity_x_max,0.6820987654320987
Head_angular_velocity_x_std,0.6813361611876988
Head_angular_velocity_y_median,0.6523392219594752
Head_angular_velocity_y_mean,0.5036845845958179
Head_angular_velocity_y_min,0.31700991609458423
Head_angular_velocity_y_max,0.6120937094110289
Head_angular_velocity_y_std,0.6577297435979669
Head_angular_velocity_z_median,0.6900498451994667
Head_angular_velocity_z_mean,0.5273433034627064
Head_angular_velocity_z_min,0.12231559290382818
Head_angular_velocity_z_max,0.445805720068124
Head_angular_velocity_z_std,0.6672093338760005
LeftHand_angular_velocity_x_median,0.5430181734529561
LeftHand_angular_velocity_x_mean,0.5137213403880071
LeftHand_angular_velocity_x_min,0.4993339993339993
LeftHand_angular_velocity_x_max,0.5555702391965112
LeftHand_angular_velocity_x_std,0.650656814449918
LeftHand_angular_velocity_y_median,0.6106911022743348
LeftHand_angular_velocity_y_mean,0.6520824854158188
LeftHand_angular_velocity_y_min,0.5936723895907571
LeftHand_angular_velocity_y_max,0.3858774278942346
LeftHand_angular_velocity_y_std,0.2906770648706133
LeftHand_angular_velocity_z_median,0.6745426616394359
LeftHand_angular_velocity_z_mean,0.5954240866772498
LeftHand_angular_velocity_z_min,0.5762283693318176
LeftHand_angular_velocity_z_max,0.42390752032520324
LeftHand_angular_velocity_z_std,0.6363636363636365
RightHand_angular_velocity_x_median,0.7196499275862284
RightHand_angular_velocity_x_mean,0.6587055874981572
RightHand_angular_velocity_x_min,0.35412674756937057
RightHand_angular_velocity_x_max,0.40001601986463214
RightHand_angular_velocity_x_std,0.6750171766819935
RightHand_angular_velocity_y_median,0.35127897312771267
RightHand_angular_velocity_y_mean,0.6050903119868638
RightHand_angular_velocity_y_min,0.7293447293447293
RightHand_angular_velocity_y_max,0.5054210153004358
RightHand_angular_velocity_y_std,0.5583371852028568
RightHand_angular_velocity_z_median,0.6750171766819935
RightHand_angular_velocity_z_mean,0.5492168698465302
RightHand_angular_velocity_z_min,0.5936723895907571
RightHand_angular_velocity_z_max,0.1077922077922078
RightHand_angular_velocity_z_std,0.798885511651469
Head_angular_acceleration_x_median,0.6220238095238095
Head_angular_acceleration_x_mean,0.6022335699755055
Head_angular_acceleration_x_min,0.5095856524427952
Head_angular_acceleration_x_max,0.19238095238095237
Head_angular_acceleration_x_std,0.5236202589143766
Head_angular_acceleration_y_median,0.33022394577787095
Head_angular_acceleration_y_mean,0.3081912114170179
Head_angular_acceleration_y_min,0.2906770648706133
Head_angular_acceleration_y_max,0.33397974574445166
Head_angular_acceleration_y_std,0.3385970453030143
Head_angular_acceleration_z_median,0.667454907961237
Head_angular_acceleration_z_mean,0.31700991609458423
Head_angular_acceleration_z_min,0.674779228461571
Head_angular_acceleration_z_max,0.6673809523809524
Head_angular_acceleration_z_std,0.23278789215749884
LeftHand_angular_acceleration_x_median,0.5650196885073399
LeftHand_angular_acceleration_x_mean,0.5430181734529561
LeftHand_angular_acceleration_x_min,0.5762283693318176
LeftHand_angular_acceleration_x_max,0.17456285852512268
LeftHand_angular_acceleration_x_std,0.3831150626777204
LeftHand_angular_acceleration_y_median,0.5555702391965112
LeftHand_angular_acceleration_y_mean,0.7424732742651818
LeftHand_angular_acceleration_y_min,0.6672093338760005
LeftHand_angular_acceleration_y_max,0.17142857142857143
LeftHand_angular_acceleration_y_std,0.38812007664466686
LeftHand_angular_acceleration_z_median,0.5430181734529561
LeftHand_angular_acceleration_z_mean,0.729978354978355
LeftHand_angular_acceleration_z_min,0.41172793198299584
LeftHand_angular_acceleration_z_max,0.6190476190476191
LeftHand_angular_acceleration_z_std,0.3931301929259028
RightHand_angular_acceleration_x_median,0.6825
RightHand_angular_acceleration_x_mean,0.42390752032520324
RightHand_angular_acceleration_x_min,0.43492883802961324
RightHand_angular_acceleration_x_max,0.3385970453030143
RightHand_angular_acceleration_x_std,0.5555702391965112
RightHand_angular_acceleration_y_median,0.5583371852028568
RightHand_angular_acceleration_y_mean,0.5211219354496281
RightHand_angular_acceleration_y_min,0.6131996658312447
RightHand_angular_acceleration_y_max,0.8456481038011058
RightHand_angular_acceleration_y_std,0.48893612909459855
RightHand_angular_acceleration_z_median,0.7514717025120942
RightHand_angular_acceleration_z_mean,0.5095856524427952
RightHand_angular_acceleration_z_min,0.3685782005109737
RightHand_angular_acceleration_z_max,0.8027210884353742
RightHand_angular_acceleration_z_std,0.4232605042016807
