,full
Gender,0.8336977648202137
A_Build_Time,0.8269324853228962
Head_euler_x_median,0.8531746031746031
Head_euler_x_mean,0.8248780993879034
Head_euler_x_min,0.7993650793650793
Head_euler_x_max,0.7996031746031745
Head_euler_x_std,0.8318785040096515
Head_euler_y_median,0.7323809523809525
Head_euler_y_mean,0.8393901420217209
Head_euler_y_min,0.8096620360771305
Head_euler_y_max,0.8638862952588442
Head_euler_y_std,0.8384391339439239
Head_euler_z_median,0.8045238095238094
Head_euler_z_mean,0.8353174603174602
Head_euler_z_min,0.8685145700071073
Head_euler_z_max,0.805337519623234
Head_euler_z_std,0.8283929090380704
LeftHand_euler_x_median,0.8643495712461229
LeftHand_euler_x_mean,0.8316903979554582
LeftHand_euler_x_min,0.9141914191419142
LeftHand_euler_x_max,0.8385816692268305
LeftHand_euler_x_std,0.8399470899470899
LeftHand_euler_y_median,0.8835807050092765
LeftHand_euler_y_mean,0.8307692307692307
LeftHand_euler_y_min,0.8247740241377569
LeftHand_euler_y_max,0.8151815181518152
LeftHand_euler_y_std,0.8209426627793974
LeftHand_euler_z_median,0.8229437229437229
LeftHand_euler_z_mean,0.8053740014524329
LeftHand_euler_z_min,0.8407389711737537
LeftHand_euler_z_max,0.9148936170212766
LeftHand_euler_z_std,0.8254210220673636
RightHand_euler_x_median,0.8005031909671085
RightHand_euler_x_mean,0.8095238095238095
RightHand_euler_x_min,0.7626262626262627
RightHand_euler_x_max,0.9140989729225024
RightHand_euler_x_std,0.8471611721611721
RightHand_euler_y_median,0.8042328042328042
RightHand_euler_y_mean,0.8366689671037497
RightHand_euler_y_min,0.7925925925925926
RightHand_euler_y_max,0.8153531682943447
RightHand_euler_y_std,0.8144892444818752
RightHand_euler_z_median,0.7953246753246752
RightHand_euler_z_mean,0.8092558853999213
RightHand_euler_z_min,0.7832900432900434
RightHand_euler_z_max,0.8367346938775511
RightHand_euler_z_std,0.8368969010935262
Head_position_x_median,0.8443821973233738
Head_position_x_mean,0.8503896103896105
Head_position_x_min,0.8190204856871525
Head_position_x_max,0.8638862952588442
Head_position_x_std,0.8248780993879034
Head_position_y_median,0.8298412698412698
Head_position_y_mean,0.8436916178851664
Head_position_y_min,0.7526737967914439
Head_position_y_max,0.8192712154561017
Head_position_y_std,0.8127798127798128
Head_position_z_median,0.8443821973233738
Head_position_z_mean,0.8117024587612822
Head_position_z_min,0.8357721865459522
Head_position_z_max,0.8276643990929704
Head_position_z_std,0.8675692499221911
LeftHand_position_x_median,0.841206752971459
LeftHand_position_x_mean,0.8384391339439239
LeftHand_position_x_min,0.8452658452658453
LeftHand_position_x_max,0.8531746031746031
LeftHand_position_x_std,0.8192712154561017
LeftHand_position_y_median,0.8737717309145879
LeftHand_position_y_mean,0.8882297782126548
LeftHand_position_y_min,0.8596792055156645
LeftHand_position_y_max,0.7840198441812527
LeftHand_position_y_std,0.8303247224815853
LeftHand_position_z_median,0.7928748964374481
LeftHand_position_z_mean,0.8146031746031746
LeftHand_position_z_min,0.8566861792668243
LeftHand_position_z_max,0.782312925170068
LeftHand_position_z_std,0.8507180650037794
RightHand_position_x_median,0.8390269151138716
RightHand_position_x_mean,0.8367346938775511
RightHand_position_x_min,0.8144892444818752
RightHand_position_x_max,0.8452658452658453
RightHand_position_x_std,0.8318785040096515
RightHand_position_y_median,0.7780491113824447
RightHand_position_y_mean,0.8489764808362369
RightHand_position_y_min,0.8657838626416788
RightHand_position_y_max,0.8459465063238648
RightHand_position_y_std,0.8016455298186773
RightHand_position_z_median,0.8082010582010583
RightHand_position_z_mean,0.8053507673760838
RightHand_position_z_min,0.8393901420217209
RightHand_position_z_max,0.7652675717191847
RightHand_position_z_std,0.8144688644688645
Head_velocity_x_median,0.8144688644688645
Head_velocity_x_mean,0.8353784780083825
Head_velocity_x_min,0.7626262626262627
Head_velocity_x_max,0.7626262626262627
Head_velocity_x_std,0.7907595549104983
Head_velocity_y_median,0.8219047619047619
Head_velocity_y_mean,0.8298145965062693
Head_velocity_y_min,0.8390269151138716
Head_velocity_y_max,0.8497736879512213
Head_velocity_y_std,0.8474669984103946
Head_velocity_z_median,0.8474669984103946
Head_velocity_z_mean,0.8290728962818004
Head_velocity_z_min,0.800227394328518
Head_velocity_z_max,0.8566861792668243
Head_velocity_z_std,0.8206238206238207
LeftHand_velocity_x_median,0.8427705627705628
LeftHand_velocity_x_mean,0.8385816692268305
LeftHand_velocity_x_min,0.8129903302317095
LeftHand_velocity_x_max,0.8290728962818004
LeftHand_velocity_x_std,0.867109634551495
LeftHand_velocity_y_median,0.832034632034632
LeftHand_velocity_y_mean,0.8153531682943447
LeftHand_velocity_y_min,0.9144800777453839
LeftHand_velocity_y_max,0.8444816053511706
LeftHand_velocity_y_std,0.8432835820895522
LeftHand_velocity_z_median,0.7784155915887482
LeftHand_velocity_z_mean,0.8322788322788323
LeftHand_velocity_z_min,0.9155844155844156
LeftHand_velocity_z_max,0.7738493390667304
LeftHand_velocity_z_std,0.8497736879512213
RightHand_velocity_x_median,0.8045238095238094
RightHand_velocity_x_mean,0.8367346938775511
RightHand_velocity_x_min,0.86990786990787
RightHand_velocity_x_max,0.8016455298186773
RightHand_velocity_x_std,0.8442932728647013
RightHand_velocity_y_median,0.8566861792668243
RightHand_velocity_y_mean,0.798992673992674
RightHand_velocity_y_min,0.8177533385703063
RightHand_velocity_y_max,0.8233082706766918
RightHand_velocity_y_std,0.8749687421855464
RightHand_velocity_z_median,0.812772212543554
RightHand_velocity_z_mean,0.8254569504569504
RightHand_velocity_z_min,0.8696078431372549
RightHand_velocity_z_max,0.8276643990929704
RightHand_velocity_z_std,0.8443821973233738
Head_angular_velocity_x_median,0.8428714321437502
Head_angular_velocity_x_mean,0.8117024587612822
Head_angular_velocity_x_min,0.8110355253212396
Head_angular_velocity_x_max,0.8177533385703063
Head_angular_velocity_x_std,0.8051529790660226
Head_angular_velocity_y_median,0.8110355253212396
Head_angular_velocity_y_mean,0.8452658452658453
Head_angular_velocity_y_min,0.8696078431372549
Head_angular_velocity_y_max,0.815597667638484
Head_angular_velocity_y_std,0.8698979591836734
Head_angular_velocity_z_median,0.8596792055156645
Head_angular_velocity_z_mean,0.777829991645781
Head_angular_velocity_z_min,0.7842565597667639
Head_angular_velocity_z_max,0.8586513372472276
Head_angular_velocity_z_std,0.8414236037186856
LeftHand_angular_velocity_x_median,0.8523916693459079
LeftHand_angular_velocity_x_mean,0.8471611721611721
LeftHand_angular_velocity_x_min,0.8670603376485729
LeftHand_angular_velocity_x_max,0.8357721865459522
LeftHand_angular_velocity_x_std,0.8531746031746031
LeftHand_angular_velocity_y_median,0.8303247224815853
LeftHand_angular_velocity_y_mean,0.8244269391810376
LeftHand_angular_velocity_y_min,0.8267502937314257
LeftHand_angular_velocity_y_max,0.916519694297472
LeftHand_angular_velocity_y_std,0.747144421843217
LeftHand_angular_velocity_z_median,0.8571428571428571
LeftHand_angular_velocity_z_mean,0.8117024587612822
LeftHand_angular_velocity_z_min,0.8229437229437229
LeftHand_angular_velocity_z_max,0.803030303030303
LeftHand_angular_velocity_z_std,0.8210337930308453
RightHand_angular_velocity_x_median,0.85110530698766
RightHand_angular_velocity_x_mean,0.8545225867309506
RightHand_angular_velocity_x_min,0.7780491113824447
RightHand_angular_velocity_x_max,0.8500309214594929
RightHand_angular_velocity_x_std,0.8292319976771195
RightHand_angular_velocity_y_median,0.8387713109935332
RightHand_angular_velocity_y_mean,0.7996031746031745
RightHand_angular_velocity_y_min,0.8160919540229885
RightHand_angular_velocity_y_max,0.7876304023845008
RightHand_angular_velocity_y_std,0.8188700918964077
RightHand_angular_velocity_z_median,0.8292319976771195
RightHand_angular_velocity_z_mean,0.816720818921846
RightHand_angular_velocity_z_min,0.8267502937314257
RightHand_angular_velocity_z_max,0.9142857142857143
RightHand_angular_velocity_z_std,0.8074756784434204
Head_angular_acceleration_x_median,0.7655677655677656
Head_angular_acceleration_x_mean,0.8285645172437626
Head_angular_acceleration_x_min,0.8685145700071073
Head_angular_acceleration_x_max,0.6698412698412698
Head_angular_acceleration_x_std,0.8489764808362369
Head_angular_acceleration_y_median,0.8718820861678004
Head_angular_acceleration_y_mean,0.7894174098993376
Head_angular_acceleration_y_min,0.747144421843217
Head_angular_acceleration_y_max,0.7998971193415638
Head_angular_acceleration_y_std,0.8353784780083825
Head_angular_acceleration_z_median,0.8276643990929704
Head_angular_acceleration_z_mean,0.8696078431372549
Head_angular_acceleration_z_min,0.8161283161283162
Head_angular_acceleration_z_max,0.8144688644688645
Head_angular_acceleration_z_std,0.849555206698064
LeftHand_angular_acceleration_x_median,0.8968253968253969
LeftHand_angular_acceleration_x_mean,0.8523916693459079
LeftHand_angular_acceleration_x_min,0.8229437229437229
LeftHand_angular_acceleration_x_max,0.9146825396825398
LeftHand_angular_acceleration_x_std,0.8164811379097093
LeftHand_angular_acceleration_y_median,0.8357721865459522
LeftHand_angular_acceleration_y_mean,0.8190204856871525
LeftHand_angular_acceleration_y_min,0.8414236037186856
LeftHand_angular_acceleration_y_max,0.8233082706766918
LeftHand_angular_acceleration_y_std,0.8475105141771808
LeftHand_angular_acceleration_z_median,0.8523916693459079
LeftHand_angular_acceleration_z_mean,0.7930629041740153
LeftHand_angular_acceleration_z_min,0.8523895946763461
LeftHand_angular_acceleration_z_max,0.832034632034632
LeftHand_angular_acceleration_z_std,0.8808132795474568
RightHand_angular_acceleration_x_median,0.8307692307692307
RightHand_angular_acceleration_x_mean,0.803030303030303
RightHand_angular_acceleration_x_min,0.8063676174695231
RightHand_angular_acceleration_x_max,0.8353784780083825
RightHand_angular_acceleration_x_std,0.8357721865459522
RightHand_angular_acceleration_y_median,0.8188700918964077
RightHand_angular_acceleration_y_mean,0.8097544531970762
RightHand_angular_acceleration_y_min,0.8016455298186773
RightHand_angular_acceleration_y_max,0.8352769679300291
RightHand_angular_acceleration_y_std,0.8655394524959742
RightHand_angular_acceleration_z_median,0.8327149041434755
RightHand_angular_acceleration_z_mean,0.8685145700071073
RightHand_angular_acceleration_z_min,0.8776455026455027
RightHand_angular_acceleration_z_max,0.8672619047619048
RightHand_angular_acceleration_z_std,0.8546031746031746
