,full
Gender,0.5333333333333333
A_Build_Time,0.6571428571428571
Head_euler_x_median,0.5619047619047618
Head_euler_x_mean,0.4857142857142857
Head_euler_x_min,0.638095238095238
Head_euler_x_max,0.5047619047619047
Head_euler_x_std,0.4380952380952381
Head_euler_y_median,0.12380952380952381
Head_euler_y_mean,0.47619047619047616
Head_euler_y_min,0.4857142857142857
Head_euler_y_max,0.5238095238095238
Head_euler_y_std,0.5619047619047619
Head_euler_z_median,0.2761904761904762
Head_euler_z_mean,0.5428571428571428
Head_euler_z_min,0.41904761904761906
Head_euler_z_max,0.7714285714285715
Head_euler_z_std,0.6666666666666666
LeftHand_euler_x_median,0.24761904761904763
LeftHand_euler_x_mean,0.26666666666666666
LeftHand_euler_x_min,0.13333333333333333
LeftHand_euler_x_max,0.19047619047619047
LeftHand_euler_x_std,0.5714285714285714
LeftHand_euler_y_median,0.34285714285714286
LeftHand_euler_y_mean,0.6000000000000001
LeftHand_euler_y_min,0.7238095238095238
LeftHand_euler_y_max,0.8666666666666667
LeftHand_euler_y_std,0.4666666666666667
LeftHand_euler_z_median,0.47619047619047616
LeftHand_euler_z_mean,0.4666666666666667
LeftHand_euler_z_min,0.819047619047619
LeftHand_euler_z_max,0.2
LeftHand_euler_z_std,0.4095238095238095
RightHand_euler_x_median,0.1523809523809524
RightHand_euler_x_mean,0.3523809523809524
RightHand_euler_x_min,0.13333333333333333
RightHand_euler_x_max,0.12380952380952381
RightHand_euler_x_std,0.41904761904761906
RightHand_euler_y_median,0.7619047619047619
RightHand_euler_y_mean,0.638095238095238
RightHand_euler_y_min,0.2
RightHand_euler_y_max,0.37142857142857144
RightHand_euler_y_std,0.4380952380952381
RightHand_euler_z_median,0.4857142857142857
RightHand_euler_z_mean,0.5523809523809524
RightHand_euler_z_min,0.4380952380952381
RightHand_euler_z_max,0.37142857142857144
RightHand_euler_z_std,0.5523809523809523
Head_position_x_median,0.5047619047619047
Head_position_x_mean,0.5428571428571428
Head_position_x_min,0.6857142857142857
Head_position_x_max,0.5238095238095238
Head_position_x_std,0.4857142857142857
Head_position_y_median,0.6761904761904762
Head_position_y_mean,0.6857142857142857
Head_position_y_min,0.2
Head_position_y_max,0.5333333333333333
Head_position_y_std,0.29523809523809524
Head_position_z_median,0.5047619047619047
Head_position_z_mean,0.49523809523809526
Head_position_z_min,0.45714285714285713
Head_position_z_max,0.580952380952381
Head_position_z_std,0.5523809523809524
LeftHand_position_x_median,0.3904761904761905
LeftHand_position_x_mean,0.5619047619047619
LeftHand_position_x_min,0.4095238095238095
LeftHand_position_x_max,0.5619047619047618
LeftHand_position_x_std,0.5333333333333333
LeftHand_position_y_median,0.45714285714285713
LeftHand_position_y_mean,0.38095238095238093
LeftHand_position_y_min,0.6095238095238096
LeftHand_position_y_max,0.49523809523809526
LeftHand_position_y_std,0.5142857142857143
LeftHand_position_z_median,0.6
LeftHand_position_z_mean,0.6571428571428571
LeftHand_position_z_min,0.3523809523809524
LeftHand_position_z_max,0.3333333333333333
LeftHand_position_z_std,0.4380952380952381
RightHand_position_x_median,0.38095238095238093
RightHand_position_x_mean,0.37142857142857144
RightHand_position_x_min,0.4380952380952381
RightHand_position_x_max,0.4095238095238095
RightHand_position_x_std,0.4380952380952381
RightHand_position_y_median,0.2761904761904762
RightHand_position_y_mean,0.42857142857142855
RightHand_position_y_min,0.6571428571428571
RightHand_position_y_max,0.5142857142857142
RightHand_position_y_std,0.5142857142857142
RightHand_position_z_median,0.6952380952380952
RightHand_position_z_mean,0.6761904761904762
RightHand_position_z_min,0.47619047619047616
RightHand_position_z_max,0.29523809523809524
RightHand_position_z_std,0.580952380952381
Head_velocity_x_median,0.580952380952381
Head_velocity_x_mean,0.2761904761904762
Head_velocity_x_min,0.13333333333333333
Head_velocity_x_max,0.13333333333333333
Head_velocity_x_std,0.4666666666666667
Head_velocity_y_median,0.7047619047619048
Head_velocity_y_mean,0.42857142857142855
Head_velocity_y_min,0.38095238095238093
Head_velocity_y_max,0.638095238095238
Head_velocity_y_std,0.5238095238095238
Head_velocity_z_median,0.5238095238095238
Head_velocity_z_mean,0.34285714285714286
Head_velocity_z_min,0.20952380952380953
Head_velocity_z_max,0.3523809523809524
Head_velocity_z_std,0.3904761904761905
LeftHand_velocity_x_median,0.49523809523809526
LeftHand_velocity_x_mean,0.19047619047619047
LeftHand_velocity_x_min,0.22857142857142856
LeftHand_velocity_x_max,0.34285714285714286
LeftHand_velocity_x_std,0.2571428571428571
LeftHand_velocity_y_median,0.5238095238095238
LeftHand_velocity_y_mean,0.37142857142857144
LeftHand_velocity_y_min,0.1619047619047619
LeftHand_velocity_y_max,0.2
LeftHand_velocity_y_std,0.4
LeftHand_velocity_z_median,0.3238095238095238
LeftHand_velocity_z_mean,0.6095238095238096
LeftHand_velocity_z_min,0.2571428571428571
LeftHand_velocity_z_max,0.18095238095238095
LeftHand_velocity_z_std,0.638095238095238
RightHand_velocity_x_median,0.2761904761904762
RightHand_velocity_x_mean,0.37142857142857144
