,full
Gender_LeftHand_euler_z_median,4.019047619047619
A_Build_Time_LeftHand_euler_z_median,4.070476190476191
Head_euler_x_median_LeftHand_euler_z_median,3.9847619047619047
Head_euler_x_mean_LeftHand_euler_z_median,3.9504761904761905
Head_euler_x_min_LeftHand_euler_z_median,3.748571428571428
Head_euler_x_max_LeftHand_euler_z_median,3.980952380952381
Head_euler_x_std_LeftHand_euler_z_median,4.076190476190476
Head_euler_y_median_LeftHand_euler_z_median,4.344761904761905
Head_euler_y_mean_LeftHand_euler_z_median,3.904761904761905
Head_euler_y_min_LeftHand_euler_z_median,4.188571428571429
Head_euler_y_max_LeftHand_euler_z_median,3.7828571428571434
Head_euler_y_std_LeftHand_euler_z_median,4.074285714285715
Head_euler_z_median_LeftHand_euler_z_median,4.0876190476190475
Head_euler_z_mean_LeftHand_euler_z_median,4.026666666666666
Head_euler_z_min_LeftHand_euler_z_median,4.017142857142857
Head_euler_z_max_LeftHand_euler_z_median,4.0285714285714285
Head_euler_z_std_LeftHand_euler_z_median,4.110476190476191
LeftHand_euler_x_median_LeftHand_euler_z_median,4.055238095238096
LeftHand_euler_x_mean_LeftHand_euler_z_median,4.35047619047619
LeftHand_euler_x_min_LeftHand_euler_z_median,4.262857142857143
LeftHand_euler_x_max_LeftHand_euler_z_median,4.135238095238096
LeftHand_euler_x_std_LeftHand_euler_z_median,4.321904761904762
LeftHand_euler_y_median_LeftHand_euler_z_median,4.076190476190476
LeftHand_euler_y_mean_LeftHand_euler_z_median,4.015238095238095
LeftHand_euler_y_min_LeftHand_euler_z_median,4.102857142857143
LeftHand_euler_y_max_LeftHand_euler_z_median,3.963809523809524
LeftHand_euler_y_std_LeftHand_euler_z_median,4.060952380952381
LeftHand_euler_z_mean_LeftHand_euler_z_median,4.051428571428572
LeftHand_euler_z_median_LeftHand_euler_z_min,3.828571428571428
LeftHand_euler_z_max_LeftHand_euler_z_median,4.0476190476190474
LeftHand_euler_z_median_LeftHand_euler_z_std,3.9047619047619047
LeftHand_euler_z_median_RightHand_euler_x_median,4.268571428571429
LeftHand_euler_z_median_RightHand_euler_x_mean,3.9904761904761905
LeftHand_euler_z_median_RightHand_euler_x_min,3.9504761904761905
LeftHand_euler_z_median_RightHand_euler_x_max,4.001904761904762
LeftHand_euler_z_median_RightHand_euler_x_std,4.015238095238095
LeftHand_euler_z_median_RightHand_euler_y_median,4.007619047619047
LeftHand_euler_z_median_RightHand_euler_y_mean,4.121904761904761
LeftHand_euler_z_median_RightHand_euler_y_min,4.32952380952381
LeftHand_euler_z_median_RightHand_euler_y_max,4.16952380952381
LeftHand_euler_z_median_RightHand_euler_y_std,3.855238095238095
LeftHand_euler_z_median_RightHand_euler_z_median,4.001904761904762
LeftHand_euler_z_median_RightHand_euler_z_mean,4.580952380952381
LeftHand_euler_z_median_RightHand_euler_z_min,3.961904761904762
LeftHand_euler_z_median_RightHand_euler_z_max,3.8857142857142857
LeftHand_euler_z_median_RightHand_euler_z_std,4.15047619047619
Head_position_x_median_LeftHand_euler_z_median,4.489523809523809
Head_position_x_mean_LeftHand_euler_z_median,3.9942857142857147
Head_position_x_min_LeftHand_euler_z_median,4.08
Head_position_x_max_LeftHand_euler_z_median,3.9695238095238095
Head_position_x_std_LeftHand_euler_z_median,3.933333333333333
Head_position_y_median_LeftHand_euler_z_median,3.931428571428571
Head_position_y_mean_LeftHand_euler_z_median,3.9733333333333336
Head_position_y_min_LeftHand_euler_z_median,3.8380952380952382
Head_position_y_max_LeftHand_euler_z_median,3.95047619047619
Head_position_y_std_LeftHand_euler_z_median,4.205714285714285
Head_position_z_median_LeftHand_euler_z_median,3.88952380952381
Head_position_z_mean_LeftHand_euler_z_median,3.9904761904761905
Head_position_z_min_LeftHand_euler_z_median,4.0285714285714285
Head_position_z_max_LeftHand_euler_z_median,4.1257142857142854
Head_position_z_std_LeftHand_euler_z_median,4.08
LeftHand_euler_z_median_LeftHand_position_x_median,3.933333333333333
LeftHand_euler_z_median_LeftHand_position_x_mean,3.9447619047619042
LeftHand_euler_z_median_LeftHand_position_x_min,4.154285714285714
LeftHand_euler_z_median_LeftHand_position_x_max,4.022857142857143
LeftHand_euler_z_median_LeftHand_position_x_std,3.956190476190476
LeftHand_euler_z_median_LeftHand_position_y_median,3.8895238095238094
LeftHand_euler_z_median_LeftHand_position_y_mean,3.8361904761904757
LeftHand_euler_z_median_LeftHand_position_y_min,4.217142857142857
LeftHand_euler_z_median_LeftHand_position_y_max,3.9238095238095245
LeftHand_euler_z_median_LeftHand_position_y_std,4.167619047619048
LeftHand_euler_z_median_LeftHand_position_z_median,3.994285714285714
LeftHand_euler_z_median_LeftHand_position_z_mean,3.8495238095238093
LeftHand_euler_z_median_LeftHand_position_z_min,3.8933333333333335
LeftHand_euler_z_median_LeftHand_position_z_max,4.043809523809523
LeftHand_euler_z_median_LeftHand_position_z_std,4.112380952380952
LeftHand_euler_z_median_RightHand_position_x_median,4.177142857142857
LeftHand_euler_z_median_RightHand_position_x_mean,4.15047619047619
LeftHand_euler_z_median_RightHand_position_x_min,4.12952380952381
LeftHand_euler_z_median_RightHand_position_x_max,4.241904761904762
LeftHand_euler_z_median_RightHand_position_x_std,4.2628571428571425
LeftHand_euler_z_median_RightHand_position_y_median,4.123809523809523
LeftHand_euler_z_median_RightHand_position_y_mean,4.0285714285714285
LeftHand_euler_z_median_RightHand_position_y_min,4.207619047619048
LeftHand_euler_z_median_RightHand_position_y_max,4.005714285714286
LeftHand_euler_z_median_RightHand_position_y_std,3.9580952380952383
LeftHand_euler_z_median_RightHand_position_z_median,4.318095238095238
LeftHand_euler_z_median_RightHand_position_z_mean,4.055238095238095
LeftHand_euler_z_median_RightHand_position_z_min,4.139047619047619
LeftHand_euler_z_median_RightHand_position_z_max,3.986666666666667
LeftHand_euler_z_median_RightHand_position_z_std,4.100952380952381
Head_velocity_x_median_LeftHand_euler_z_median,3.982857142857143
Head_velocity_x_mean_LeftHand_euler_z_median,3.864761904761905
Head_velocity_x_min_LeftHand_euler_z_median,4.135238095238095
Head_velocity_x_max_LeftHand_euler_z_median,3.8495238095238093
Head_velocity_x_std_LeftHand_euler_z_median,4.175238095238095
Head_velocity_y_median_LeftHand_euler_z_median,4.055238095238096
Head_velocity_y_mean_LeftHand_euler_z_median,4.118095238095238
Head_velocity_y_min_LeftHand_euler_z_median,4.04
Head_velocity_y_max_LeftHand_euler_z_median,4.0495238095238095
Head_velocity_y_std_LeftHand_euler_z_median,4.3619047619047615
Head_velocity_z_median_LeftHand_euler_z_median,3.933333333333333
Head_velocity_z_mean_LeftHand_euler_z_median,4.321904761904762
Head_velocity_z_min_LeftHand_euler_z_median,4.0285714285714285
Head_velocity_z_max_LeftHand_euler_z_median,4.0285714285714285
Head_velocity_z_std_LeftHand_euler_z_median,4.207619047619048
LeftHand_euler_z_median_LeftHand_velocity_x_median,4.095238095238095
LeftHand_euler_z_median_LeftHand_velocity_x_mean,3.9828571428571427
LeftHand_euler_z_median_LeftHand_velocity_x_min,4.2857142857142865
LeftHand_euler_z_median_LeftHand_velocity_x_max,4.279999999999999
LeftHand_euler_z_median_LeftHand_velocity_x_std,4.266666666666667
LeftHand_euler_z_median_LeftHand_velocity_y_median,4.114285714285715
LeftHand_euler_z_median_LeftHand_velocity_y_mean,3.937142857142857
LeftHand_euler_z_median_LeftHand_velocity_y_min,4.220952380952381
LeftHand_euler_z_median_LeftHand_velocity_y_max,3.8876190476190473
LeftHand_euler_z_median_LeftHand_velocity_y_std,4.062857142857143
LeftHand_euler_z_median_LeftHand_velocity_z_median,4.276190476190476
LeftHand_euler_z_median_LeftHand_velocity_z_mean,3.969523809523809
LeftHand_euler_z_median_LeftHand_velocity_z_min,4.2057142857142855
LeftHand_euler_z_median_LeftHand_velocity_z_max,4.217142857142857
LeftHand_euler_z_median_LeftHand_velocity_z_std,4.1847619047619045
LeftHand_euler_z_median_RightHand_velocity_x_median,4.003809523809523
LeftHand_euler_z_median_RightHand_velocity_x_mean,3.761904761904762
LeftHand_euler_z_median_RightHand_velocity_x_min,4.213333333333334
LeftHand_euler_z_median_RightHand_velocity_x_max,4.230476190476191
LeftHand_euler_z_median_RightHand_velocity_x_std,4.167619047619048
LeftHand_euler_z_median_RightHand_velocity_y_median,3.8152380952380955
LeftHand_euler_z_median_RightHand_velocity_y_mean,4.068571428571429
LeftHand_euler_z_median_RightHand_velocity_y_min,3.921904761904762
LeftHand_euler_z_median_RightHand_velocity_y_max,4.234285714285715
LeftHand_euler_z_median_RightHand_velocity_y_std,4.236190476190476
LeftHand_euler_z_median_RightHand_velocity_z_median,4.148571428571429
LeftHand_euler_z_median_RightHand_velocity_z_mean,4.020952380952381
LeftHand_euler_z_median_RightHand_velocity_z_min,4.08
LeftHand_euler_z_median_RightHand_velocity_z_max,4.068571428571429
LeftHand_euler_z_median_RightHand_velocity_z_std,4.358095238095238
Head_angular_velocity_x_median_LeftHand_euler_z_median,3.8971428571428572
Head_angular_velocity_x_mean_LeftHand_euler_z_median,3.986666666666666
Head_angular_velocity_x_min_LeftHand_euler_z_median,4.182857142857142
Head_angular_velocity_x_max_LeftHand_euler_z_median,3.9295238095238094
Head_angular_velocity_x_std_LeftHand_euler_z_median,4.222857142857142
Head_angular_velocity_y_median_LeftHand_euler_z_median,4.066666666666666
Head_angular_velocity_y_mean_LeftHand_euler_z_median,3.914285714285714
Head_angular_velocity_y_min_LeftHand_euler_z_median,4.085714285714285
Head_angular_velocity_y_max_LeftHand_euler_z_median,4.112380952380952
Head_angular_velocity_y_std_LeftHand_euler_z_median,4.099047619047619
Head_angular_velocity_z_median_LeftHand_euler_z_median,4.198095238095238
Head_angular_velocity_z_mean_LeftHand_euler_z_median,4.177142857142857
Head_angular_velocity_z_min_LeftHand_euler_z_median,4.146666666666667
Head_angular_velocity_z_max_LeftHand_euler_z_median,4.4
Head_angular_velocity_z_std_LeftHand_euler_z_median,4.171428571428572
LeftHand_angular_velocity_x_median_LeftHand_euler_z_median,4.013333333333333
LeftHand_angular_velocity_x_mean_LeftHand_euler_z_median,4.015238095238096
LeftHand_angular_velocity_x_min_LeftHand_euler_z_median,4.026666666666666
LeftHand_angular_velocity_x_max_LeftHand_euler_z_median,3.916190476190476
LeftHand_angular_velocity_x_std_LeftHand_euler_z_median,3.9200000000000004
LeftHand_angular_velocity_y_median_LeftHand_euler_z_median,3.935238095238095
LeftHand_angular_velocity_y_mean_LeftHand_euler_z_median,4.00952380952381
LeftHand_angular_velocity_y_min_LeftHand_euler_z_median,4.142857142857143
LeftHand_angular_velocity_y_max_LeftHand_euler_z_median,4.011428571428572
LeftHand_angular_velocity_y_std_LeftHand_euler_z_median,4.346666666666666
LeftHand_angular_velocity_z_median_LeftHand_euler_z_median,4.207619047619048
LeftHand_angular_velocity_z_mean_LeftHand_euler_z_median,3.9276190476190473
LeftHand_angular_velocity_z_min_LeftHand_euler_z_median,3.8114285714285714
LeftHand_angular_velocity_z_max_LeftHand_euler_z_median,3.935238095238095
LeftHand_angular_velocity_z_std_LeftHand_euler_z_median,3.876190476190476
LeftHand_euler_z_median_RightHand_angular_velocity_x_median,4.12952380952381
LeftHand_euler_z_median_RightHand_angular_velocity_x_mean,4.161904761904761
LeftHand_euler_z_median_RightHand_angular_velocity_x_min,4.032380952380952
LeftHand_euler_z_median_RightHand_angular_velocity_x_max,4.00952380952381
LeftHand_euler_z_median_RightHand_angular_velocity_x_std,3.982857142857143
LeftHand_euler_z_median_RightHand_angular_velocity_y_median,4.04
LeftHand_euler_z_median_RightHand_angular_velocity_y_mean,4.060952380952381
LeftHand_euler_z_median_RightHand_angular_velocity_y_min,4.182857142857142
LeftHand_euler_z_median_RightHand_angular_velocity_y_max,4.279999999999999
LeftHand_euler_z_median_RightHand_angular_velocity_y_std,4.443809523809524
LeftHand_euler_z_median_RightHand_angular_velocity_z_median,4.055238095238096
LeftHand_euler_z_median_RightHand_angular_velocity_z_mean,4.380952380952381
LeftHand_euler_z_median_RightHand_angular_velocity_z_min,4.034285714285715
LeftHand_euler_z_median_RightHand_angular_velocity_z_max,3.8628571428571425
LeftHand_euler_z_median_RightHand_angular_velocity_z_std,3.9200000000000004
Head_angular_acceleration_x_median_LeftHand_euler_z_median,3.8819047619047615
Head_angular_acceleration_x_mean_LeftHand_euler_z_median,4.041904761904762
Head_angular_acceleration_x_min_LeftHand_euler_z_median,3.95047619047619
Head_angular_acceleration_x_max_LeftHand_euler_z_median,3.971428571428571
Head_angular_acceleration_x_std_LeftHand_euler_z_median,4.1276190476190475
Head_angular_acceleration_y_median_LeftHand_euler_z_median,4.1257142857142854
Head_angular_acceleration_y_mean_LeftHand_euler_z_median,3.855238095238095
Head_angular_acceleration_y_min_LeftHand_euler_z_median,4.08952380952381
Head_angular_acceleration_y_max_LeftHand_euler_z_median,3.784761904761905
Head_angular_acceleration_y_std_LeftHand_euler_z_median,4.0304761904761905
Head_angular_acceleration_z_median_LeftHand_euler_z_median,4.211428571428572
Head_angular_acceleration_z_mean_LeftHand_euler_z_median,3.8857142857142857
Head_angular_acceleration_z_min_LeftHand_euler_z_median,4.064761904761905
Head_angular_acceleration_z_max_LeftHand_euler_z_median,3.980952380952381
Head_angular_acceleration_z_std_LeftHand_euler_z_median,3.9771428571428573
LeftHand_angular_acceleration_x_median_LeftHand_euler_z_median,4.16952380952381
LeftHand_angular_acceleration_x_mean_LeftHand_euler_z_median,4.156190476190477
LeftHand_angular_acceleration_x_min_LeftHand_euler_z_median,3.8533333333333335
LeftHand_angular_acceleration_x_max_LeftHand_euler_z_median,3.878095238095238
LeftHand_angular_acceleration_x_std_LeftHand_euler_z_median,3.9980952380952375
LeftHand_angular_acceleration_y_median_LeftHand_euler_z_median,3.973333333333333
LeftHand_angular_acceleration_y_mean_LeftHand_euler_z_median,3.8
LeftHand_angular_acceleration_y_min_LeftHand_euler_z_median,4.192380952380952
LeftHand_angular_acceleration_y_max_LeftHand_euler_z_median,4.234285714285715
LeftHand_angular_acceleration_y_std_LeftHand_euler_z_median,3.8723809523809525
LeftHand_angular_acceleration_z_median_LeftHand_euler_z_median,4.011428571428572
LeftHand_angular_acceleration_z_mean_LeftHand_euler_z_median,3.9695238095238095
LeftHand_angular_acceleration_z_min_LeftHand_euler_z_median,3.9980952380952384
LeftHand_angular_acceleration_z_max_LeftHand_euler_z_median,3.7485714285714287
LeftHand_angular_acceleration_z_std_LeftHand_euler_z_median,3.7123809523809523
LeftHand_euler_z_median_RightHand_angular_acceleration_x_median,3.9523809523809526
LeftHand_euler_z_median_RightHand_angular_acceleration_x_mean,4.163809523809523
LeftHand_euler_z_median_RightHand_angular_acceleration_x_min,4.131428571428572
LeftHand_euler_z_median_RightHand_angular_acceleration_x_max,4.188571428571429
LeftHand_euler_z_median_RightHand_angular_acceleration_x_std,3.83047619047619
