,full
Gender,26.232761904761905
Head_position_x_min,21.801142857142857
Head_position_x_max,26.997714285714288
Head_position_x_median,28.117714285714285
Head_position_x_mean,27.013714285714286
Head_position_x_std,25.57257142857143
Head_position_y_min,27.420571428571428
Head_position_y_max,24.48761904761905
Head_position_y_median,25.23771428571429
Head_position_y_mean,27.723809523809525
Head_position_y_std,30.45904761904762
Head_position_z_min,26.311238095238092
Head_position_z_max,24.01942857142857
Head_position_z_median,25.55161904761905
Head_position_z_mean,25.784
Head_position_z_std,24.326476190476193
Head_quat_x_min,24.214476190476194
Head_quat_x_max,23.633142857142857
Head_quat_x_median,26.320000000000004
Head_quat_x_mean,23.739809523809527
Head_quat_x_std,23.719619047619048
Head_quat_y_min,28.274666666666665
Head_quat_y_max,26.201142857142855
Head_quat_y_median,26.912761904761908
Head_quat_y_mean,28.17714285714286
Head_quat_y_std,23.58209523809524
Head_quat_z_min,25.886857142857146
Head_quat_z_max,23.854476190476188
Head_quat_z_median,25.265904761904768
Head_quat_z_mean,25.751619047619048
Head_quat_z_std,24.910857142857143
Head_quat_w_min,25.32419047619048
Head_quat_w_max,28.643428571428576
Head_quat_w_median,22.83847619047619
Head_quat_w_mean,25.04761904761905
Head_quat_w_std,26.58285714285714
Head_sixD_a_min,24.908571428571435
Head_sixD_a_max,29.416000000000004
Head_sixD_a_median,26.435428571428574
Head_sixD_a_mean,23.11885714285715
Head_sixD_a_std,24.51733333333333
Head_sixD_b_min,25.596190476190475
Head_sixD_b_max,25.41447619047619
Head_sixD_b_median,27.54323809523809
Head_sixD_b_mean,26.476190476190474
Head_sixD_b_std,25.416761904761906
Head_sixD_c_min,26.475428571428573
Head_sixD_c_max,27.66361904761905
Head_sixD_c_median,25.978285714285718
Head_sixD_c_mean,27.65104761904762
Head_sixD_c_std,22.820952380952384
Head_sixD_d_min,27.00838095238095
Head_sixD_d_max,24.715428571428575
Head_sixD_d_median,25.23085714285714
Head_sixD_d_mean,27.946666666666662
Head_sixD_d_std,27.000761904761905
Head_sixD_e_min,24.953904761904766
Head_sixD_e_max,24.211428571428574
Head_sixD_e_median,25.23352380952381
Head_sixD_e_mean,26.43733333333334
Head_sixD_e_std,24.280380952380952
Head_sixD_f_min,27.377523809523808
Head_sixD_f_max,25.25790476190476
Head_sixD_f_median,23.049142857142854
Head_sixD_f_mean,25.09142857142858
Head_sixD_f_std,23.24647619047619
LeftHand_position_x_min,25.97828571428571
LeftHand_position_x_max,25.06361904761905
LeftHand_position_x_median,26.249523809523808
LeftHand_position_x_mean,27.096380952380954
LeftHand_position_x_std,25.935999999999996
LeftHand_position_y_min,25.364190476190473
LeftHand_position_y_max,21.796571428571433
LeftHand_position_y_median,26.665523809523805
LeftHand_position_y_mean,23.863619047619046
LeftHand_position_y_std,25.28342857142857
LeftHand_position_z_min,26.318095238095236
LeftHand_position_z_max,27.12457142857143
LeftHand_position_z_median,26.214476190476187
LeftHand_position_z_mean,27.44571428571429
LeftHand_position_z_std,25.06209523809524
LeftHand_quat_x_min,24.047238095238097
LeftHand_quat_x_max,25.879619047619048
LeftHand_quat_x_median,24.733714285714285
LeftHand_quat_x_mean,23.16990476190476
LeftHand_quat_x_std,24.781333333333333
LeftHand_quat_y_min,25.428190476190476
LeftHand_quat_y_max,25.240000000000002
LeftHand_quat_y_median,27.43466666666667
LeftHand_quat_y_mean,23.813333333333333
LeftHand_quat_y_std,24.917333333333335
LeftHand_quat_z_min,27.29066666666667
LeftHand_quat_z_max,24.168
LeftHand_quat_z_median,27.07885714285714
LeftHand_quat_z_mean,25.11885714285714
LeftHand_quat_z_std,29.492952380952378
LeftHand_quat_w_min,25.25752380952381
LeftHand_quat_w_max,27.017523809523812
LeftHand_quat_w_median,27.04114285714286
LeftHand_quat_w_mean,23.812190476190473
LeftHand_quat_w_std,26.285714285714292
LeftHand_sixD_a_min,27.288761904761905
LeftHand_sixD_a_max,25.710476190476193
LeftHand_sixD_a_median,23.856
LeftHand_sixD_a_mean,26.868190476190478
LeftHand_sixD_a_std,26.31504761904762
LeftHand_sixD_b_min,25.726095238095237
LeftHand_sixD_b_max,27.361523809523813
LeftHand_sixD_b_median,24.866666666666667
LeftHand_sixD_b_mean,24.914285714285715
LeftHand_sixD_b_std,25.13561904761905
LeftHand_sixD_c_min,24.687238095238097
LeftHand_sixD_c_max,24.76304761904762
LeftHand_sixD_c_median,24.836190476190474
LeftHand_sixD_c_mean,24.660952380952377
LeftHand_sixD_c_std,25.257142857142856
LeftHand_sixD_d_min,25.042666666666673
LeftHand_sixD_d_max,25.41638095238095
LeftHand_sixD_d_median,26.71085714285714
LeftHand_sixD_d_mean,26.665523809523812
LeftHand_sixD_d_std,24.67580952380953
