,full
Gender,-0.5440015802173868
Head_position_x_min,-0.2831664139742467
Head_position_x_max,-0.5890249631638518
Head_position_x_median,-0.6549456533344724
Head_position_x_mean,-0.5899666873091463
Head_position_x_std,-0.5051442482222555
Head_position_y_min,-0.6139133870037798
Head_position_y_max,-0.44128638236989914
Head_position_y_median,-0.4854353071814477
Head_position_y_mean,-0.6317613017574581
Head_position_y_std,-0.792751286595913
Head_position_z_min,-0.5486205129300221
Head_position_z_max,-0.4137297401183029
Head_position_z_median,-0.5039110380319889
Head_position_z_mean,-0.5175884601422196
Head_position_z_std,-0.4318018749065753
Head_quat_x_min,-0.4252098058895133
Head_quat_x_max,-0.3909938286104766
Head_quat_x_median,-0.5491362190095883
Head_quat_x_mean,-0.39727198957910725
Head_quat_x_std,-0.3960836233957592
Head_quat_y_min,-0.6641835187597429
Head_quat_y_max,-0.5421405539302568
Head_quat_y_median,-0.5840248563924066
Head_quat_y_mean,-0.6584434858741381
Head_quat_y_std,-0.3879892801469176
Head_quat_z_min,-0.5236424010762564
Head_quat_z_max,-0.4040210126203847
Head_quat_z_median,-0.48709453543744297
Head_quat_z_mean,-0.5156825898481712
Head_quat_z_std,-0.4661972282132867
Head_quat_w_min,-0.49052510196673027
Head_quat_w_max,-0.6858880181084375
Head_quat_w_median,-0.3442215293941788
Head_quat_w_mean,-0.4742467274552098
Head_quat_w_std,-0.5646074013965705
Head_sixD_a_min,-0.4660626961925307
Head_sixD_a_max,-0.73135984112409
Head_sixD_a_median,-0.5559300860577849
Head_sixD_a_mean,-0.36072412394029385
Head_sixD_a_std,-0.4430352986397317
Head_sixD_b_min,-0.5065344124367379
Head_sixD_b_max,-0.49583911678660675
Head_sixD_b_median,-0.6211332721177047
Head_sixD_b_mean,-0.5583292404279401
Head_sixD_b_std,-0.49597364880736317
Head_sixD_c_min,-0.5582843964210213
Head_sixD_c_max,-0.6282186252108739
Head_sixD_c_median,-0.5290236819065113
Head_sixD_c_mean,-0.6274786990967138
Head_sixD_c_std,-0.3431901172350469
Head_sixD_d_min,-0.5896527792607145
Head_sixD_d_max,-0.45469474043861746
Head_sixD_d_median,-0.4850317111191782
Head_sixD_d_mean,-0.6448781737812039
Head_sixD_d_std,-0.5892043391915267
Head_sixD_e_min,-0.46873091460419847
Head_sixD_e_max,-0.4250304298618379
Head_sixD_e_median,-0.4851886651433941
Head_sixD_e_mean,-0.5560421960750821
Head_sixD_e_std,-0.42908881248798836
Head_sixD_f_min,-0.6113797006128681
Head_sixD_f_max,-0.4866236733647953
Head_sixD_f_median,-0.35662089730722424
Head_sixD_f_mean,-0.4768252578530403
