,full
Gender_LeftHand_euler_z_median,4.900845408119472
A_Build_Time_LeftHand_euler_z_median,5.1459831769199225
Head_euler_x_median_LeftHand_euler_z_median,4.879500364742666
Head_euler_x_mean_LeftHand_euler_z_median,4.978965277855956
Head_euler_x_min_LeftHand_euler_z_median,4.576544756119174
Head_euler_x_max_LeftHand_euler_z_median,4.9339253184071445
Head_euler_x_std_LeftHand_euler_z_median,5.057610954930062
Head_euler_y_median_LeftHand_euler_z_median,5.287793670781975
Head_euler_y_mean_LeftHand_euler_z_median,4.934079737614995
Head_euler_y_min_LeftHand_euler_z_median,5.1463533089900055
Head_euler_y_max_LeftHand_euler_z_median,4.70914004888366
Head_euler_y_std_LeftHand_euler_z_median,5.073291408374421
Head_euler_z_median_LeftHand_euler_z_median,5.160066444754924
Head_euler_z_mean_LeftHand_euler_z_median,4.977128642481478
Head_euler_z_min_LeftHand_euler_z_median,4.982139528928739
Head_euler_z_max_LeftHand_euler_z_median,5.056292637703562
Head_euler_z_std_LeftHand_euler_z_median,5.1472785227220985
LeftHand_euler_x_median_LeftHand_euler_z_median,4.963370590541031
LeftHand_euler_x_mean_LeftHand_euler_z_median,5.217041672205026
LeftHand_euler_x_min_LeftHand_euler_z_median,5.249725616412638
LeftHand_euler_x_max_LeftHand_euler_z_median,5.14339150663025
LeftHand_euler_x_std_LeftHand_euler_z_median,5.347469361429626
LeftHand_euler_y_median_LeftHand_euler_z_median,4.9860758498996365
LeftHand_euler_y_mean_LeftHand_euler_z_median,5.093413113311852
LeftHand_euler_y_min_LeftHand_euler_z_median,5.040256985133841
LeftHand_euler_y_max_LeftHand_euler_z_median,4.945917027012811
LeftHand_euler_y_std_LeftHand_euler_z_median,5.176062117828479
LeftHand_euler_z_mean_LeftHand_euler_z_median,5.016885772782041
LeftHand_euler_z_median_LeftHand_euler_z_min,4.828486896977739
LeftHand_euler_z_max_LeftHand_euler_z_median,4.920123885393441
LeftHand_euler_z_median_LeftHand_euler_z_std,4.705579261948118
LeftHand_euler_z_median_RightHand_euler_x_median,5.082893813941968
LeftHand_euler_z_median_RightHand_euler_x_mean,4.974640451233397
LeftHand_euler_z_median_RightHand_euler_x_min,5.0005713959220985
LeftHand_euler_z_median_RightHand_euler_x_max,5.0120236384499375
LeftHand_euler_z_median_RightHand_euler_x_std,5.04909232766973
LeftHand_euler_z_median_RightHand_euler_y_median,5.114386804002253
LeftHand_euler_z_median_RightHand_euler_y_mean,5.160066444754924
LeftHand_euler_z_median_RightHand_euler_y_min,5.374472288602146
LeftHand_euler_z_median_RightHand_euler_y_max,5.137907671231086
LeftHand_euler_z_median_RightHand_euler_y_std,4.912956630903927
LeftHand_euler_z_median_RightHand_euler_z_median,5.0412772380098465
