,full
Gender,3.8419344906785997
A_Build_Time,4.228434237337237
Head_euler_x_median,3.9247123622389077
Head_euler_x_mean,3.9757758071744185
Head_euler_x_min,3.932004360037034
Head_euler_x_max,3.8997018890071597
Head_euler_x_std,4.017807162141796
Head_euler_y_median,3.727226455332282
Head_euler_y_mean,3.874187317518225
Head_euler_y_min,3.9411834831780825
Head_euler_y_max,3.8693961345229404
Head_euler_y_std,3.945840358039145
Head_euler_z_median,3.9092402528260712
Head_euler_z_mean,3.9271757186088863
Head_euler_z_min,3.92245133479447
Head_euler_z_max,3.943605050784799
Head_euler_z_std,3.845618966792571
LeftHand_euler_x_median,3.8167435209482057
LeftHand_euler_x_mean,3.873753263779916
LeftHand_euler_x_min,3.8633909707862575
LeftHand_euler_x_max,3.9442780071164956
LeftHand_euler_x_std,3.8830701893616095
LeftHand_euler_y_median,4.024412267303051
LeftHand_euler_y_mean,3.907248102849671
LeftHand_euler_y_min,3.8711789190801644
LeftHand_euler_y_max,3.903037528570872
LeftHand_euler_y_std,3.804276397762216
LeftHand_euler_z_median,3.849044642662186
LeftHand_euler_z_mean,3.781714917203894
LeftHand_euler_z_min,3.842743634904089
LeftHand_euler_z_max,3.921093519030963
LeftHand_euler_z_std,3.848548847762008
RightHand_euler_x_median,3.9067150313952106
RightHand_euler_x_mean,3.9584129364622322
RightHand_euler_x_min,3.9462460238259562
RightHand_euler_x_max,3.8575674037360725
RightHand_euler_x_std,3.996904619835137
RightHand_euler_y_median,3.891553108962805
RightHand_euler_y_mean,3.9503200680841464
RightHand_euler_y_min,3.8896695203994542
RightHand_euler_y_max,4.0215056765512145
RightHand_euler_y_std,3.950489936045722
RightHand_euler_z_median,3.9922770324624235
RightHand_euler_z_mean,3.8127751308527587
RightHand_euler_z_min,3.928631395661691
RightHand_euler_z_max,3.9640949975498967
RightHand_euler_z_std,3.9017301735030823
Head_position_x_median,3.79807588674812
Head_position_x_mean,3.7603264223755755
Head_position_x_min,3.8789950790387238
Head_position_x_max,3.8156055956632673
Head_position_x_std,3.930250264500819
Head_position_y_median,3.771308552914941
Head_position_y_mean,3.950200210213131
Head_position_y_min,3.9947828939789676
Head_position_y_max,3.857300236533966
Head_position_y_std,3.9903941233362636
Head_position_z_median,3.9409950553312303
Head_position_z_mean,3.9130197555845236
Head_position_z_min,3.9044759760064407
Head_position_z_max,3.7423944767330566
Head_position_z_std,3.961911543057409
LeftHand_position_x_median,3.953573727309189
LeftHand_position_x_mean,3.9372111933334484
LeftHand_position_x_min,4.2029049287798586
LeftHand_position_x_max,3.852839714054246
LeftHand_position_x_std,3.8450073119327266
LeftHand_position_y_median,4.005962594338839
LeftHand_position_y_mean,4.079530747580546
LeftHand_position_y_min,3.7755961320552873
LeftHand_position_y_max,3.903605872168342
LeftHand_position_y_std,3.885821660334838
LeftHand_position_z_median,3.9521327855663126
LeftHand_position_z_mean,4.042384706436418
LeftHand_position_z_min,4.040427910596662
LeftHand_position_z_max,3.897250657801552
