,full
Gender,22.961739581905242
Head_position_x_min,22.532702890218097
Head_position_x_max,23.58313103422038
Head_position_x_median,25.467079121055445
Head_position_x_mean,25.275798342538945
Head_position_x_std,23.3802132935231
Head_position_y_min,23.409042532650076
Head_position_y_max,24.65121772840974
Head_position_y_median,22.977975122561322
Head_position_y_mean,23.768138464732964
Head_position_y_std,25.16274180297893
Head_position_z_min,24.139922035589386
Head_position_z_max,25.66606132511011
Head_position_z_median,24.135726825486195
Head_position_z_mean,24.780659846462623
Head_position_z_std,22.491278965731084
Head_quat_x_min,23.22184247819073
Head_quat_x_max,23.92004381975152
Head_quat_x_median,22.903143819882864
Head_quat_x_mean,23.27309423906717
Head_quat_x_std,23.51328373809398
Head_quat_y_min,25.35420336289909
Head_quat_y_max,24.520841039762455
Head_quat_y_median,24.069943619785633
Head_quat_y_mean,24.281547367421688
Head_quat_y_std,23.166257971185225
Head_quat_z_min,23.942414644045055
Head_quat_z_max,21.60422580706029
Head_quat_z_median,24.15096703483282
Head_quat_z_mean,24.735397604622147
Head_quat_z_std,23.584708421476442
Head_quat_w_min,23.70573927202666
Head_quat_w_max,25.817072992862883
Head_quat_w_median,24.148161864901038
Head_quat_w_mean,24.1700676373495
Head_quat_w_std,24.700680650833753
Head_sixD_a_min,24.20162349551816
Head_sixD_a_max,23.42513551680979
Head_sixD_a_median,23.25239011987208
Head_sixD_a_mean,23.118922827786776
Head_sixD_a_std,23.46511596643173
Head_sixD_b_min,23.422648907694562
Head_sixD_b_max,25.058864076128845
Head_sixD_b_median,24.55169564860226
Head_sixD_b_mean,24.473602466561417
Head_sixD_b_std,23.547690588554712
Head_sixD_c_min,23.694078263996467
Head_sixD_c_max,23.31684918231159
Head_sixD_c_median,23.303585626790795
Head_sixD_c_mean,24.957197278992545
Head_sixD_c_std,22.38102383302473
Head_sixD_d_min,23.333401774456163
Head_sixD_d_max,23.123041762484178
Head_sixD_d_median,23.16370060445657
Head_sixD_d_mean,24.65220851435849
Head_sixD_d_std,25.42095049306896
Head_sixD_e_min,23.903723827966235
Head_sixD_e_max,23.382781973758213
Head_sixD_e_median,22.91384304763336
Head_sixD_e_mean,24.769581265780985
Head_sixD_e_std,22.73832517680218
Head_sixD_f_min,24.13767890459641
Head_sixD_f_max,22.40853741112109
Head_sixD_f_median,24.980103920743474
Head_sixD_f_mean,23.41056844398663
Head_sixD_f_std,22.79226732499153
LeftHand_position_x_min,23.583909349968994
LeftHand_position_x_max,22.210986500113783
LeftHand_position_x_median,25.04437784328166
LeftHand_position_x_mean,24.54658527783862
LeftHand_position_x_std,24.29740874782279
LeftHand_position_y_min,23.050094243109097
LeftHand_position_y_max,23.800143969818457
LeftHand_position_y_median,22.741585095380966
LeftHand_position_y_mean,22.894599551191252
LeftHand_position_y_std,22.80580145582455
LeftHand_position_z_min,25.430951362815488
LeftHand_position_z_max,24.392407289873653
LeftHand_position_z_median,23.86390844995691
LeftHand_position_z_mean,25.717380495251245
LeftHand_position_z_std,24.161243051204185
LeftHand_quat_x_min,23.618516684428727
LeftHand_quat_x_max,23.233553582948772
LeftHand_quat_x_median,23.59084520504368
LeftHand_quat_x_mean,23.46634213175372
LeftHand_quat_x_std,22.812668739157267
LeftHand_quat_y_min,23.75381249129697
LeftHand_quat_y_max,22.15479927215903
LeftHand_quat_y_median,24.774913394728966
LeftHand_quat_y_mean,22.30969300597723
LeftHand_quat_y_std,23.630244302581364
LeftHand_quat_z_min,24.444240399771804
LeftHand_quat_z_max,23.892773714228362
LeftHand_quat_z_median,23.37629160991919
LeftHand_quat_z_mean,22.90492798931684
LeftHand_quat_z_std,25.390201216112725
LeftHand_quat_w_min,22.89657440050508
LeftHand_quat_w_max,25.18595739538239
LeftHand_quat_w_median,25.296159162739826
LeftHand_quat_w_mean,23.160481901164843
LeftHand_quat_w_std,22.691523054943882
LeftHand_sixD_a_min,24.247486327677738
LeftHand_sixD_a_max,23.449196083167685
LeftHand_sixD_a_median,22.918782162808913
LeftHand_sixD_a_mean,24.076693325935814
LeftHand_sixD_a_std,24.436081012624598
LeftHand_sixD_b_min,25.12746724043002
LeftHand_sixD_b_max,23.59745443277543
LeftHand_sixD_b_median,24.229795865491983
LeftHand_sixD_b_mean,23.67668702469212
LeftHand_sixD_b_std,22.805971744679752
LeftHand_sixD_c_min,22.982922045269607
LeftHand_sixD_c_max,22.52262507260739
LeftHand_sixD_c_median,22.929261489654927
