,full
Gender,-0.3514765363904062
A_Build_Time,-0.6925058435546496
Head_euler_x_median,-0.4049762042886076
Head_euler_x_mean,-0.41675411864722856
Head_euler_x_min,-0.41534332519775075
Head_euler_x_max,-0.3900446671716098
Head_euler_x_std,-0.426876946728189
Head_euler_y_median,-0.29336638858739583
Head_euler_y_mean,-0.36007034499010593
Head_euler_y_min,-0.38952304172673236
Head_euler_y_max,-0.3476719370974226
Head_euler_y_std,-0.44232710014442755
Head_euler_z_median,-0.3841400091864846
Head_euler_z_mean,-0.3827055374779278
Head_euler_z_min,-0.35817921808275943
Head_euler_z_max,-0.44943360411655475
Head_euler_z_std,-0.3428156549489487
LeftHand_euler_x_median,-0.3690906400956342
LeftHand_euler_x_mean,-0.4624635884107029
LeftHand_euler_x_min,-0.37249542362401433
LeftHand_euler_x_max,-0.4091715884506597
LeftHand_euler_x_std,-0.41394795371988313
LeftHand_euler_y_median,-0.3939249734472443
LeftHand_euler_y_mean,-0.37329830981657297
LeftHand_euler_y_min,-0.387599516624056
LeftHand_euler_y_max,-0.4018277808302666
LeftHand_euler_y_std,-0.3276041445009352
LeftHand_euler_z_median,-0.32137203836666317
LeftHand_euler_z_mean,-0.31501470170548784
LeftHand_euler_z_min,-0.3505371260171668
LeftHand_euler_z_max,-0.46043635195048194
LeftHand_euler_z_std,-0.3901476474718233
RightHand_euler_x_median,-0.392461225002134
RightHand_euler_x_mean,-0.4070421960816646
RightHand_euler_x_min,-0.39013778719336223
RightHand_euler_x_max,-0.39582712974093814
RightHand_euler_x_std,-0.4135904787940601
RightHand_euler_y_median,-0.4636488321079264
RightHand_euler_y_mean,-0.45047092468580985
RightHand_euler_y_min,-0.3740150676277245
RightHand_euler_y_max,-0.43569980016419785
RightHand_euler_y_std,-0.43033454840251273
RightHand_euler_z_median,-0.39092856958092126
RightHand_euler_z_mean,-0.33142083941097056
RightHand_euler_z_min,-0.3629401139063102
RightHand_euler_z_max,-0.4202179552264218
RightHand_euler_z_std,-0.360704437737037
Head_position_x_median,-0.3936537910715261
Head_position_x_mean,-0.3455044245079073
Head_position_x_min,-0.37557919085196834
Head_position_x_max,-0.3662100230457148
Head_position_x_std,-0.3712171718564492
Head_position_y_median,-0.3348029739875076
Head_position_y_mean,-0.4317326803641366
Head_position_y_min,-0.4096292917964681
Head_position_y_max,-0.37697736468664766
Head_position_y_std,-0.40060316124590467
Head_position_z_median,-0.42773369109242276
Head_position_z_mean,-0.3324971378141679
Head_position_z_min,-0.35268959845638537
Head_position_z_max,-0.2824423373179592
Head_position_z_std,-0.43659324373477904
LeftHand_position_x_median,-0.43345832298667286
LeftHand_position_x_mean,-0.4358316676072407
LeftHand_position_x_min,-0.5665116090662319
LeftHand_position_x_max,-0.35353797369099715
LeftHand_position_x_std,-0.3667791854928979
LeftHand_position_y_median,-0.4908553793900192
LeftHand_position_y_mean,-0.5338941805110318
LeftHand_position_y_min,-0.3096475170702384
LeftHand_position_y_max,-0.33257393130831203
LeftHand_position_y_std,-0.3465450366753233
LeftHand_position_z_median,-0.3848014459117355
LeftHand_position_z_mean,-0.4215644443429498
LeftHand_position_z_min,-0.4315934383525599
LeftHand_position_z_max,-0.3527671658831384
LeftHand_position_z_std,-0.36708864375057737
RightHand_position_x_median,-0.4187002157556503
RightHand_position_x_mean,-0.4832639819771225
RightHand_position_x_min,-0.3518235415540325
RightHand_position_x_max,-0.48338201004853065
RightHand_position_x_std,-0.3653153591684324
RightHand_position_y_median,-0.4675388333712962
RightHand_position_y_mean,-0.5059105111001916
RightHand_position_y_min,-0.42904867959723014
RightHand_position_y_max,-0.47210776687332845
RightHand_position_y_std,-0.4309579143510407
RightHand_position_z_median,-0.37070730474894265
RightHand_position_z_mean,-0.3490810585267796
RightHand_position_z_min,-0.35542367229496397
RightHand_position_z_max,-0.3432244978982988
RightHand_position_z_std,-0.43442176199830107
Head_velocity_x_median,-0.3591921255046815
Head_velocity_x_mean,-0.4444278085012976
Head_velocity_x_min,-0.34302172083848803
Head_velocity_x_max,-0.3790000582722475
Head_velocity_x_std,-0.4603465934636244
Head_velocity_y_median,-0.34774288753737603
Head_velocity_y_mean,-0.40745787917210063
Head_velocity_y_min,-0.4280972947443473
Head_velocity_y_max,-0.4284448948397108
Head_velocity_y_std,-0.3486409784345128
Head_velocity_z_median,-0.38813818584061344
Head_velocity_z_mean,-0.4339659886043692
Head_velocity_z_min,-0.4296100867625052
Head_velocity_z_max,-0.46372890689564783
Head_velocity_z_std,-0.4136129520471179
LeftHand_velocity_x_median,-0.4162262098904057
LeftHand_velocity_x_mean,-0.4386999858251066
LeftHand_velocity_x_min,-0.48295287580688595
LeftHand_velocity_x_max,-0.36838305276753136
LeftHand_velocity_x_std,-0.2997345198417516
LeftHand_velocity_y_median,-0.3605900317380655
LeftHand_velocity_y_mean,-0.29319679917966535
LeftHand_velocity_y_min,-0.33901283538993354
LeftHand_velocity_y_max,-0.42997422561723786
LeftHand_velocity_y_std,-0.42070762203611056
LeftHand_velocity_z_median,-0.3743456030996124
LeftHand_velocity_z_mean,-0.27651415263544
LeftHand_velocity_z_min,-0.3286740622296074
LeftHand_velocity_z_max,-0.4503553579451458
LeftHand_velocity_z_std,-0.42251930720234165
RightHand_velocity_x_median,-0.3435196456463603
RightHand_velocity_x_mean,-0.25219559731633523
RightHand_velocity_x_min,-0.3187179930368562
RightHand_velocity_x_max,-0.4174677385284127
RightHand_velocity_x_std,-0.40939905409640387
RightHand_velocity_y_median,-0.43544433403537597
RightHand_velocity_y_mean,-0.36637756786072795
RightHand_velocity_y_min,-0.3611093628246085
RightHand_velocity_y_max,-0.3556456515287665
RightHand_velocity_y_std,-0.502534474869601
RightHand_velocity_z_median,-0.4501483376724993
RightHand_velocity_z_mean,-0.39647985099939276
RightHand_velocity_z_min,-0.36191224604411043
RightHand_velocity_z_max,-0.3679049894629767
RightHand_velocity_z_std,-0.3618975266772668
Head_angular_velocity_x_median,-0.28621799792779923
Head_angular_velocity_x_mean,-0.34255255050422506
Head_angular_velocity_x_min,-0.4308899205649077
Head_angular_velocity_x_max,-0.42286163225438145
Head_angular_velocity_x_std,-0.5354574128948841
Head_angular_velocity_y_median,-0.5900817271332854
Head_angular_velocity_y_mean,-0.43281595653715255
Head_angular_velocity_y_min,-0.3861564278370575
Head_angular_velocity_y_max,-0.4450566131913354
Head_angular_velocity_y_std,-0.5729138407460008
Head_angular_velocity_z_median,-0.3551701611430007
Head_angular_velocity_z_mean,-0.39501225703935905
Head_angular_velocity_z_min,-0.37619208577651375
Head_angular_velocity_z_max,-0.37290705092265974
Head_angular_velocity_z_std,-0.6049097802803751
LeftHand_angular_velocity_x_median,-0.3923154182683213
LeftHand_angular_velocity_x_mean,-0.3628115883151113
LeftHand_angular_velocity_x_min,-0.37723533056439296
LeftHand_angular_velocity_x_max,-0.3442572590188071
LeftHand_angular_velocity_x_std,-0.4175359685133193
LeftHand_angular_velocity_y_median,-0.4257832254948124
LeftHand_angular_velocity_y_mean,-0.5360646757529535
LeftHand_angular_velocity_y_min,-0.47189595007426743
LeftHand_angular_velocity_y_max,-0.5474195049040744
LeftHand_angular_velocity_y_std,-0.4624604188904673
LeftHand_angular_velocity_z_median,-0.3642120559579589
LeftHand_angular_velocity_z_mean,-0.32609596477919056
LeftHand_angular_velocity_z_min,-0.3991153606478357
LeftHand_angular_velocity_z_max,-0.32583408178464945
LeftHand_angular_velocity_z_std,-0.39950749686722964
RightHand_angular_velocity_x_median,-0.3255940193090723
RightHand_angular_velocity_x_mean,-0.352360022689318
RightHand_angular_velocity_x_min,-0.34696916645042375
RightHand_angular_velocity_x_max,-0.35217983828220345
RightHand_angular_velocity_x_std,-0.446462739780602
RightHand_angular_velocity_y_median,-0.4347490013354749
RightHand_angular_velocity_y_mean,-0.40661544537995753
RightHand_angular_velocity_y_min,-0.44768993616358776
RightHand_angular_velocity_y_max,-0.4555262568286107
RightHand_angular_velocity_y_std,-0.5711800284405171
RightHand_angular_velocity_z_median,-0.4438285862114395
RightHand_angular_velocity_z_mean,-0.30610717124322284
RightHand_angular_velocity_z_min,-0.4119952032309986
RightHand_angular_velocity_z_max,-0.31647761769713023
RightHand_angular_velocity_z_std,-0.5046907896788948
Head_angular_acceleration_x_median,-0.40270931165947843
Head_angular_acceleration_x_mean,-0.4242268256014621
Head_angular_acceleration_x_min,-0.4201850454048548
Head_angular_acceleration_x_max,-0.3696626649648942
Head_angular_acceleration_x_std,-0.4529015482957921
Head_angular_acceleration_y_median,-0.48681166445747426
Head_angular_acceleration_y_mean,-0.4069658334626638
Head_angular_acceleration_y_min,-0.4576245076322851
Head_angular_acceleration_y_max,-0.42997568694343635
Head_angular_acceleration_y_std,-0.4699365892248841
Head_angular_acceleration_z_median,-0.5100972810688396
Head_angular_acceleration_z_mean,-0.37014110145819235
Head_angular_acceleration_z_min,-0.3829252548107238
Head_angular_acceleration_z_max,-0.3357986407656772
Head_angular_acceleration_z_std,-0.47097694792375466
LeftHand_angular_acceleration_x_median,-0.32237371703390694
LeftHand_angular_acceleration_x_mean,-0.40025708935772575
LeftHand_angular_acceleration_x_min,-0.4845124395899585
LeftHand_angular_acceleration_x_max,-0.5057281877106603
LeftHand_angular_acceleration_x_std,-0.4218997923540502
LeftHand_angular_acceleration_y_median,-0.40335300255919093
LeftHand_angular_acceleration_y_mean,-0.29630786710153
LeftHand_angular_acceleration_y_min,-0.3900435396868116
LeftHand_angular_acceleration_y_max,-0.36724868040635017
LeftHand_angular_acceleration_y_std,-0.40555890694872465
LeftHand_angular_acceleration_z_median,-0.4077830051599478
LeftHand_angular_acceleration_z_mean,-0.3883992019872653
LeftHand_angular_acceleration_z_min,-0.4180277778452821
LeftHand_angular_acceleration_z_max,-0.3690989766557433
LeftHand_angular_acceleration_z_std,-0.4498005031774126
RightHand_angular_acceleration_x_median,-0.3503739850232308
RightHand_angular_acceleration_x_mean,-0.44622205522039105
RightHand_angular_acceleration_x_min,-0.4521273419233025
RightHand_angular_acceleration_x_max,-0.3535306769981472
RightHand_angular_acceleration_x_std,-0.4914617645449768
RightHand_angular_acceleration_y_median,-0.4423767550743438
RightHand_angular_acceleration_y_mean,-0.39060644325096106
RightHand_angular_acceleration_y_min,-0.37542936671394145
RightHand_angular_acceleration_y_max,-0.4536704237558964
RightHand_angular_acceleration_y_std,-0.45304695427571584
RightHand_angular_acceleration_z_median,-0.4925271274411118
RightHand_angular_acceleration_z_mean,-0.39094631843225214
RightHand_angular_acceleration_z_min,-0.36402776728832364
RightHand_angular_acceleration_z_max,-0.41716908360704164
RightHand_angular_acceleration_z_std,-0.4600838727472776
