,full
Gender,4.791840938710846
Head_position_x_min,4.746862425878603
Head_position_x_max,4.856246599403739
Head_position_x_median,5.046491763696385
Head_position_x_mean,5.027504186227889
Head_position_x_std,4.835309017376563
Head_position_y_min,4.838289215482067
Head_position_y_max,4.964999267714925
Head_position_y_median,4.793534721117739
Head_position_y_mean,4.87525778443899
Head_position_y_std,5.016247781258311
Head_position_z_min,4.913239464507036
Head_position_z_max,5.066168308012488
Head_position_z_median,4.9128125168264045
Head_position_z_mean,4.978017662329315
Head_position_z_std,4.742497123428867
Head_quat_x_min,4.818904696940035
Head_quat_x_max,4.890812184060181
Head_quat_x_median,4.78572291507593
Head_quat_x_mean,4.824219547146167
Head_quat_x_std,4.849049776821638
Head_quat_y_min,5.035295757241981
Head_quat_y_max,4.951852283717928
Head_quat_y_median,4.906112882902883
Head_quat_y_mean,4.927631009665972
Head_quat_y_std,4.8131339033092795
Head_quat_z_min,4.8930986750774865
Head_quat_z_max,4.64803461767017
Head_quat_z_median,4.914363339724976
Head_quat_z_mean,4.973469373045555
Head_quat_z_std,4.856409004756132
Head_quat_w_min,4.868853999867593
Head_quat_w_max,5.08105038283059
Head_quat_w_median,4.91407792621373
Head_quat_w_mean,4.916306300196267
Head_quat_w_std,4.969977932630461
Head_sixD_a_min,4.919514558929383
Head_sixD_a_max,4.8399520159615
Head_sixD_a_median,4.82207321801236
Head_sixD_a_mean,4.80821409962023
Head_sixD_a_std,4.844080507839617
Head_sixD_b_min,4.839695125490299
Head_sixD_b_max,5.005882946706689
Head_sixD_b_median,4.954966765640538
Head_sixD_b_mean,4.947080196091571
Head_sixD_b_std,4.852596272981579
Head_sixD_c_min,4.867656342018864
Head_sixD_c_max,4.828752342200994
Head_sixD_c_median,4.827378753194201
Head_sixD_c_mean,4.995717894256295
Head_sixD_c_std,4.7308586781920186
Head_sixD_d_min,4.83046599972054
Head_sixD_d_max,4.8086424032656225
Head_sixD_d_median,4.812868230531205
Head_sixD_d_mean,4.965099043761211
Head_sixD_d_std,5.041919326315026
Head_sixD_e_min,4.8891434656763995
Head_sixD_e_max,4.835574627048808
Head_sixD_e_median,4.786840612307178
Head_sixD_e_mean,4.976904787694957
Head_sixD_e_std,4.768471996017402
Head_sixD_f_min,4.913011185067301
Head_sixD_f_max,4.73376566922372
Head_sixD_f_median,4.99800999606278
Head_sixD_f_mean,4.838446904119816
Head_sixD_f_std,4.774124770572249
LeftHand_position_x_min,4.856326734268298
LeftHand_position_x_max,4.712853328941374
LeftHand_position_x_median,5.004435816681203
LeftHand_position_x_mean,4.954451057164519
LeftHand_position_x_std,4.9292401795634575
LeftHand_position_y_min,4.80105136851389
LeftHand_position_y_max,4.878539122505677
LeftHand_position_y_median,4.768813803807082
LeftHand_position_y_mean,4.784830148625054
LeftHand_position_y_std,4.77554200649775
LeftHand_position_z_min,5.0429110008818805
LeftHand_position_z_max,4.938867004675632
LeftHand_position_z_median,4.885069953435356
LeftHand_position_z_mean,5.071230668708656
LeftHand_position_z_std,4.915408736941841
LeftHand_quat_x_min,4.859888546502762
LeftHand_quat_x_max,4.820119664795551
LeftHand_quat_x_median,4.857040786841684
LeftHand_quat_x_mean,4.844207069454579
LeftHand_quat_x_std,4.776260958025354
LeftHand_quat_y_min,4.873788310061996
LeftHand_quat_y_max,4.70688849157902
LeftHand_quat_y_median,4.977440446125796
LeftHand_quat_y_mean,4.723313773822064
LeftHand_quat_y_std,4.861094969508553
LeftHand_quat_z_min,4.9441116896538455
LeftHand_quat_z_max,4.888023497716471
LeftHand_quat_z_median,4.834903474726169
LeftHand_quat_z_mean,4.785909316871439
