,full
H_position_only_none,0.3299445463829026
H_position_only_gender,0.2987013803164628
H_position_only_a_build_time,0.3299445463829026
H_position_only_b_build_time,0.32548872822845426
H_position_only_gender_a_build_time,0.2987013803164628
H_position_only_gender_b_build_time,0.30076863296179196
H_position_only_a_build_time_b_build_time,0.32548872822845426
H_position_only_all,0.30076863296179196
H_euler_only_none,0.28357720282021925
H_euler_only_gender,0.27765004763416956
H_euler_only_a_build_time,0.28357720282021925
H_euler_only_b_build_time,0.2787622799895733
H_euler_only_gender_a_build_time,0.27765004763416956
H_euler_only_gender_b_build_time,0.2844409190829294
H_euler_only_a_build_time_b_build_time,0.2787622799895733
H_euler_only_all,0.2844409190829294
H_quat_only_none,0.2962014230979748
H_quat_only_gender,0.26739499350786605
H_quat_only_a_build_time,0.2962014230979748
H_quat_only_b_build_time,0.2970026040332583
H_quat_only_gender_a_build_time,0.26739499350786605
H_quat_only_gender_b_build_time,0.2930883827575355
H_quat_only_a_build_time_b_build_time,0.2970026040332583
H_quat_only_all,0.2930883827575355
H_sixD_only_none,0.25081450869879685
H_sixD_only_gender,0.25599286033020974
H_sixD_only_a_build_time,0.25081450869879685
H_sixD_only_b_build_time,0.2423256350199364
H_sixD_only_gender_a_build_time,0.25599286033020974
H_sixD_only_gender_b_build_time,0.2695012472790251
H_sixD_only_a_build_time_b_build_time,0.2423256350199364
H_sixD_only_all,0.2695012472790251
H_position_euler_none,0.3105866366140339
H_position_euler_gender,0.2927171645581395
H_position_euler_a_build_time,0.3105866366140339
H_position_euler_b_build_time,0.3092579812386576
H_position_euler_gender_a_build_time,0.2927171645581395
H_position_euler_gender_b_build_time,0.34932669218383505
H_position_euler_a_build_time_b_build_time,0.3092579812386576
H_position_euler_all,0.34932669218383505
H_position_quat_none,0.3588836953343995
H_position_quat_gender,0.3024422759025222
H_position_quat_a_build_time,0.3588836953343995
H_position_quat_b_build_time,0.32059175062430034
H_position_quat_gender_a_build_time,0.3024422759025222
H_position_quat_gender_b_build_time,0.28663117420881395
H_position_quat_a_build_time_b_build_time,0.32059175062430034
H_position_quat_all,0.28663117420881395
H_position_sixD_none,0.27158067158067156
H_position_sixD_gender,0.2753480260812161
H_position_sixD_a_build_time,0.27158067158067156
H_position_sixD_b_build_time,0.25585177733065056
H_position_sixD_gender_a_build_time,0.2753480260812161
H_position_sixD_gender_b_build_time,0.2434463536318163
H_position_sixD_a_build_time_b_build_time,0.25585177733065056
H_position_sixD_all,0.2434463536318163
H_euler_quat_none,0.307475051295276
H_euler_quat_gender,0.30057649667405767
H_euler_quat_a_build_time,0.307475051295276
H_euler_quat_b_build_time,0.3065466126525517
H_euler_quat_gender_a_build_time,0.30057649667405767
H_euler_quat_gender_b_build_time,0.2699901724291968
H_euler_quat_a_build_time_b_build_time,0.3065466126525517
H_euler_quat_all,0.2699901724291968
H_euler_sixD_none,0.3099439363617098
H_euler_sixD_gender,0.31834349482190016
H_euler_sixD_a_build_time,0.3099439363617098
H_euler_sixD_b_build_time,0.3056292139915834
H_euler_sixD_gender_a_build_time,0.31834349482190016
H_euler_sixD_gender_b_build_time,0.3186394557823129
H_euler_sixD_a_build_time_b_build_time,0.3056292139915834
H_euler_sixD_all,0.3186394557823129
H_quat_sixD_none,0.24478223473297364
H_quat_sixD_gender,0.22973242630385485
H_quat_sixD_a_build_time,0.24478223473297364
H_quat_sixD_b_build_time,0.2914295290765879
H_quat_sixD_gender_a_build_time,0.22973242630385485
H_quat_sixD_gender_b_build_time,0.2800545424864844
H_quat_sixD_a_build_time_b_build_time,0.2914295290765879
H_quat_sixD_all,0.2800545424864844
H_position_euler_quat_none,0.3271306471306471
H_position_euler_quat_gender,0.31273703385949836
H_position_euler_quat_a_build_time,0.3271306471306471
H_position_euler_quat_b_build_time,0.30807885611480945
H_position_euler_quat_gender_a_build_time,0.31273703385949836
H_position_euler_quat_gender_b_build_time,0.3093031276571751
H_position_euler_quat_a_build_time_b_build_time,0.30807885611480945
H_position_euler_quat_all,0.3093031276571751
H_position_euler_sixD_none,0.26908053823632033
H_position_euler_sixD_gender,0.30552933219521516
H_position_euler_sixD_a_build_time,0.26908053823632033
H_position_euler_sixD_b_build_time,0.28097509273979865
H_position_euler_sixD_gender_a_build_time,0.30552933219521516
H_position_euler_sixD_gender_b_build_time,0.302234999262863
H_position_euler_sixD_a_build_time_b_build_time,0.28097509273979865
H_position_euler_sixD_all,0.302234999262863
H_position_quat_sixD_none,0.2706305916305916
H_position_quat_sixD_gender,0.2795413133392228
H_position_quat_sixD_a_build_time,0.2706305916305916
H_position_quat_sixD_b_build_time,0.24806809890087708
H_position_quat_sixD_gender_a_build_time,0.2795413133392228
H_position_quat_sixD_gender_b_build_time,0.27904543609979987
H_position_quat_sixD_a_build_time_b_build_time,0.24806809890087708
H_position_quat_sixD_all,0.27904543609979987
H_euler_quat_sixD_none,0.30941390369961796
H_euler_quat_sixD_gender,0.30941390369961796
H_euler_quat_sixD_a_build_time,0.30941390369961796
H_euler_quat_sixD_b_build_time,0.2856971256971257
H_euler_quat_sixD_gender_a_build_time,0.30941390369961796
H_euler_quat_sixD_gender_b_build_time,0.2856971256971257
H_euler_quat_sixD_a_build_time_b_build_time,0.2856971256971257
H_euler_quat_sixD_all,0.2856971256971257
H_position_euler_quat_sixD_none,0.2573430055782997
H_position_euler_quat_sixD_gender,0.2573430055782997
H_position_euler_quat_sixD_a_build_time,0.2573430055782997
H_position_euler_quat_sixD_b_build_time,0.25397460953016504
H_position_euler_quat_sixD_gender_a_build_time,0.2573430055782997
H_position_euler_quat_sixD_gender_b_build_time,0.3014169451805711
H_position_euler_quat_sixD_a_build_time_b_build_time,0.25397460953016504
H_position_euler_quat_sixD_all,0.3014169451805711
L_position_only_none,0.18767582913924377
L_position_only_gender,0.21443572300715155
L_position_only_a_build_time,0.18767582913924377
L_position_only_b_build_time,0.1951443904932277
L_position_only_gender_a_build_time,0.21443572300715155
L_position_only_gender_b_build_time,0.2387430442152613
L_position_only_a_build_time_b_build_time,0.1951443904932277
L_position_only_all,0.2387430442152613
L_euler_only_none,0.21974850546279118
L_euler_only_gender,0.20802166446712594
L_euler_only_a_build_time,0.21974850546279118
L_euler_only_b_build_time,0.22185992242014652
L_euler_only_gender_a_build_time,0.20802166446712594
L_euler_only_gender_b_build_time,0.1985652537139951
L_euler_only_a_build_time_b_build_time,0.22185992242014652
L_euler_only_all,0.1985652537139951
L_quat_only_none,0.19604593703972584
L_quat_only_gender,0.16133695761602737
L_quat_only_a_build_time,0.19604593703972584
L_quat_only_b_build_time,0.1745751505461841
L_quat_only_gender_a_build_time,0.16133695761602737
L_quat_only_gender_b_build_time,0.18730852632491976
L_quat_only_a_build_time_b_build_time,0.1745751505461841
L_quat_only_all,0.18730852632491976
L_sixD_only_none,0.3111163845383114
L_sixD_only_gender,0.25732967603232265
L_sixD_only_a_build_time,0.3111163845383114
L_sixD_only_b_build_time,0.37221814801142966
L_sixD_only_gender_a_build_time,0.25732967603232265
L_sixD_only_gender_b_build_time,0.3066895937976077
L_sixD_only_a_build_time_b_build_time,0.37221814801142966
L_sixD_only_all,0.3066895937976077
L_position_euler_none,0.26513094126539505
L_position_euler_gender,0.1758159829588401
L_position_euler_a_build_time,0.26513094126539505
L_position_euler_b_build_time,0.18845383472249141
L_position_euler_gender_a_build_time,0.1758159829588401
L_position_euler_gender_b_build_time,0.18802286430193407
L_position_euler_a_build_time_b_build_time,0.18845383472249141
L_position_euler_all,0.18802286430193407
L_position_quat_none,0.24076645150813944
L_position_quat_gender,0.25883867832847424
L_position_quat_a_build_time,0.24076645150813944
L_position_quat_b_build_time,0.2456661283465676
L_position_quat_gender_a_build_time,0.25883867832847424
L_position_quat_gender_b_build_time,0.24727744092815937
L_position_quat_a_build_time_b_build_time,0.2456661283465676
L_position_quat_all,0.24727744092815937
L_position_sixD_none,0.28692929529285266
L_position_sixD_gender,0.2398084450817766
L_position_sixD_a_build_time,0.28692929529285266
L_position_sixD_b_build_time,0.29935110879771676
L_position_sixD_gender_a_build_time,0.2398084450817766
L_position_sixD_gender_b_build_time,0.26670919723551306
L_position_sixD_a_build_time_b_build_time,0.29935110879771676
L_position_sixD_all,0.26670919723551306
L_euler_quat_none,0.18900662074928418
L_euler_quat_gender,0.18242554546902373
L_euler_quat_a_build_time,0.18900662074928418
L_euler_quat_b_build_time,0.22796627829875915
L_euler_quat_gender_a_build_time,0.18242554546902373
L_euler_quat_gender_b_build_time,0.19571222428365284
L_euler_quat_a_build_time_b_build_time,0.22796627829875915
L_euler_quat_all,0.19571222428365284
L_euler_sixD_none,0.37468375446828084
L_euler_sixD_gender,0.3836104654627809
L_euler_sixD_a_build_time,0.37468375446828084
L_euler_sixD_b_build_time,0.34968944099378885
L_euler_sixD_gender_a_build_time,0.3836104654627809
L_euler_sixD_gender_b_build_time,0.36914369755623544
L_euler_sixD_a_build_time_b_build_time,0.34968944099378885
L_euler_sixD_all,0.36914369755623544
L_quat_sixD_none,0.26990891192641064
L_quat_sixD_gender,0.2357280671887413
L_quat_sixD_a_build_time,0.26990891192641064
L_quat_sixD_b_build_time,0.3086068884482632
L_quat_sixD_gender_a_build_time,0.2357280671887413
L_quat_sixD_gender_b_build_time,0.27375211852823794
L_quat_sixD_a_build_time_b_build_time,0.3086068884482632
L_quat_sixD_all,0.27375211852823794
L_position_euler_quat_none,0.2505346307866693
L_position_euler_quat_gender,0.23989718365827176
L_position_euler_quat_a_build_time,0.2505346307866693
L_position_euler_quat_b_build_time,0.2241387199370393
L_position_euler_quat_gender_a_build_time,0.23989718365827176
L_position_euler_quat_gender_b_build_time,0.23191464179318716
L_position_euler_quat_a_build_time_b_build_time,0.2241387199370393
L_position_euler_quat_all,0.23191464179318716
L_position_euler_sixD_none,0.2886182165173762
L_position_euler_sixD_gender,0.2986610425351208
L_position_euler_sixD_a_build_time,0.2886182165173762
L_position_euler_sixD_b_build_time,0.2968943485474249
L_position_euler_sixD_gender_a_build_time,0.2986610425351208
L_position_euler_sixD_gender_b_build_time,0.2781557067271353
L_position_euler_sixD_a_build_time_b_build_time,0.2968943485474249
L_position_euler_sixD_all,0.2781557067271353
L_position_quat_sixD_none,0.30425999532382514
