,full
H_position_only_none,0.4336734693877551
H_position_only_gender,0.3887998685237684
H_position_only_a_build_time,0.3936030552571906
H_position_only_b_build_time,0.4336734693877551
H_position_only_gender_a_build_time,0.41327561327561324
H_position_only_gender_b_build_time,0.3887998685237684
H_position_only_a_build_time_b_build_time,0.3936030552571906
H_position_only_all,0.41327561327561324
H_euler_only_none,0.4238353569275811
H_euler_only_gender,0.42087542087542085
H_euler_only_a_build_time,0.4572101567899887
H_euler_only_b_build_time,0.4238353569275811
H_euler_only_gender_a_build_time,0.40197897340754485
H_euler_only_gender_b_build_time,0.42087542087542085
H_euler_only_a_build_time_b_build_time,0.4572101567899887
H_euler_only_all,0.40197897340754485
H_quat_only_none,0.22547488940931565
H_quat_only_gender,0.24658410372696088
H_quat_only_a_build_time,0.24650880388585306
H_quat_only_b_build_time,0.22547488940931565
H_quat_only_gender_a_build_time,0.24947050284381622
H_quat_only_gender_b_build_time,0.24658410372696088
H_quat_only_a_build_time_b_build_time,0.24650880388585306
H_quat_only_all,0.24947050284381622
H_sixD_only_none,0.21704730709980408
H_sixD_only_gender,0.24832227973156473
H_sixD_only_a_build_time,0.2523413198823035
H_sixD_only_b_build_time,0.21704730709980408
H_sixD_only_gender_a_build_time,0.3101719372905813
H_sixD_only_gender_b_build_time,0.24832227973156473
H_sixD_only_a_build_time_b_build_time,0.2523413198823035
H_sixD_only_all,0.3101719372905813
H_position_euler_none,0.32842025699168553
H_position_euler_gender,0.26349206349206344
H_position_euler_a_build_time,0.30170533967011465
H_position_euler_b_build_time,0.32842025699168553
H_position_euler_gender_a_build_time,0.3331400081400081
H_position_euler_gender_b_build_time,0.26349206349206344
H_position_euler_a_build_time_b_build_time,0.30170533967011465
H_position_euler_all,0.3331400081400081
H_position_quat_none,0.39134633119595524
H_position_quat_gender,0.39400424137266243
H_position_quat_a_build_time,0.31033091202582724
H_position_quat_b_build_time,0.39134633119595524
H_position_quat_gender_a_build_time,0.4044412377745711
H_position_quat_gender_b_build_time,0.39400424137266243
H_position_quat_a_build_time_b_build_time,0.31033091202582724
H_position_quat_all,0.4044412377745711
H_position_sixD_none,0.3360805860805861
H_position_sixD_gender,0.36892667081346325
H_position_sixD_a_build_time,0.3455988455988456
H_position_sixD_b_build_time,0.3360805860805861
H_position_sixD_gender_a_build_time,0.3940345368916798
H_position_sixD_gender_b_build_time,0.36892667081346325
H_position_sixD_a_build_time_b_build_time,0.3455988455988456
H_position_sixD_all,0.3940345368916798
H_euler_quat_none,0.33504249157290034
H_euler_quat_gender,0.2918586789554531
H_euler_quat_a_build_time,0.34753550543024225
H_euler_quat_b_build_time,0.33504249157290034
H_euler_quat_gender_a_build_time,0.28636447831494266
H_euler_quat_gender_b_build_time,0.2918586789554531
H_euler_quat_a_build_time_b_build_time,0.34753550543024225
H_euler_quat_all,0.28636447831494266
H_euler_sixD_none,0.2851184918411809
H_euler_sixD_gender,0.25419129400394036
H_euler_sixD_a_build_time,0.2572150072150072
H_euler_sixD_b_build_time,0.2851184918411809
H_euler_sixD_gender_a_build_time,0.2566962861699704
H_euler_sixD_gender_b_build_time,0.25419129400394036
H_euler_sixD_a_build_time_b_build_time,0.2572150072150072
H_euler_sixD_all,0.2566962861699704
H_quat_sixD_none,0.21203829245244254
H_quat_sixD_gender,0.21190796067643358
H_quat_sixD_a_build_time,0.18583573780389348
H_quat_sixD_b_build_time,0.21203829245244254
H_quat_sixD_gender_a_build_time,0.2597301215568194
H_quat_sixD_gender_b_build_time,0.21190796067643358
H_quat_sixD_a_build_time_b_build_time,0.18583573780389348
H_quat_sixD_all,0.2597301215568194
H_position_euler_quat_none,0.3309358465608465
H_position_euler_quat_gender,0.354679802955665
H_position_euler_quat_a_build_time,0.27314814814814814
H_position_euler_quat_b_build_time,0.3309358465608465
H_position_euler_quat_gender_a_build_time,0.3017498590482775
H_position_euler_quat_gender_b_build_time,0.354679802955665
H_position_euler_quat_a_build_time_b_build_time,0.27314814814814814
H_position_euler_quat_all,0.3017498590482775
H_position_euler_sixD_none,0.3333333333333333
H_position_euler_sixD_gender,0.352155091285526
H_position_euler_sixD_a_build_time,0.30402930402930406
H_position_euler_sixD_b_build_time,0.3333333333333333
H_position_euler_sixD_gender_a_build_time,0.29043126684636117
H_position_euler_sixD_gender_b_build_time,0.352155091285526
H_position_euler_sixD_a_build_time_b_build_time,0.30402930402930406
H_position_euler_sixD_all,0.29043126684636117
H_position_quat_sixD_none,0.30720199190787423
H_position_quat_sixD_gender,0.32917789757412397
H_position_quat_sixD_a_build_time,0.3253824606765783
H_position_quat_sixD_b_build_time,0.30720199190787423
H_position_quat_sixD_gender_a_build_time,0.28285714285714286
H_position_quat_sixD_gender_b_build_time,0.32917789757412397
H_position_quat_sixD_a_build_time_b_build_time,0.3253824606765783
H_position_quat_sixD_all,0.28285714285714286
H_euler_quat_sixD_none,0.22994987468671677
H_euler_quat_sixD_gender,0.27178806745370215
H_euler_quat_sixD_a_build_time,0.2519932846116766
H_euler_quat_sixD_b_build_time,0.22994987468671677
H_euler_quat_sixD_gender_a_build_time,0.27703262129491635
H_euler_quat_sixD_gender_b_build_time,0.27178806745370215
H_euler_quat_sixD_a_build_time_b_build_time,0.2519932846116766
H_euler_quat_sixD_all,0.27703262129491635
H_position_euler_quat_sixD_none,0.3191272495620322
H_position_euler_quat_sixD_gender,0.29527520606273683
H_position_euler_quat_sixD_a_build_time,0.2702183615788383
H_position_euler_quat_sixD_b_build_time,0.3191272495620322
H_position_euler_quat_sixD_gender_a_build_time,0.28377285623662435
H_position_euler_quat_sixD_gender_b_build_time,0.29527520606273683
H_position_euler_quat_sixD_a_build_time_b_build_time,0.2702183615788383
H_position_euler_quat_sixD_all,0.28377285623662435
L_position_only_none,0.35073260073260076
L_position_only_gender,0.3396257053546056
L_position_only_a_build_time,0.47842261904761907
L_position_only_b_build_time,0.35073260073260076
L_position_only_gender_a_build_time,0.4145971821564447
L_position_only_gender_b_build_time,0.3396257053546056
L_position_only_a_build_time_b_build_time,0.47842261904761907
L_position_only_all,0.4145971821564447
L_euler_only_none,0.2149659863945578
L_euler_only_gender,0.20860389610389612
L_euler_only_a_build_time,0.2736838325073619
L_euler_only_b_build_time,0.2149659863945578
L_euler_only_gender_a_build_time,0.27713551173894213
L_euler_only_gender_b_build_time,0.20860389610389612
L_euler_only_a_build_time_b_build_time,0.2736838325073619
L_euler_only_all,0.27713551173894213
L_quat_only_none,0.2561553672664784
L_quat_only_gender,0.29425356640546513
L_quat_only_a_build_time,0.29036004645760743
L_quat_only_b_build_time,0.2561553672664784
L_quat_only_gender_a_build_time,0.3826945412311266
L_quat_only_gender_b_build_time,0.29425356640546513
L_quat_only_a_build_time_b_build_time,0.29036004645760743
L_quat_only_all,0.3826945412311266
L_sixD_only_none,0.47230848861283636
L_sixD_only_gender,0.46195652173913043
L_sixD_only_a_build_time,0.45721446473326177
L_sixD_only_b_build_time,0.47230848861283636
L_sixD_only_gender_a_build_time,0.48480752168197294
L_sixD_only_gender_b_build_time,0.46195652173913043
L_sixD_only_a_build_time_b_build_time,0.45721446473326177
L_sixD_only_all,0.48480752168197294
L_position_euler_none,0.3131354957441914
L_position_euler_gender,0.40500992063492064
L_position_euler_a_build_time,0.3496109872296239
L_position_euler_b_build_time,0.3131354957441914
L_position_euler_gender_a_build_time,0.3828541943093026
L_position_euler_gender_b_build_time,0.40500992063492064
L_position_euler_a_build_time_b_build_time,0.3496109872296239
L_position_euler_all,0.3828541943093026
L_position_quat_none,0.49740794185238624
L_position_quat_gender,0.4217303822937626
L_position_quat_a_build_time,0.43042671614100186
L_position_quat_b_build_time,0.49740794185238624
L_position_quat_gender_a_build_time,0.44848930563216277
L_position_quat_gender_b_build_time,0.4217303822937626
L_position_quat_a_build_time_b_build_time,0.43042671614100186
L_position_quat_all,0.44848930563216277
L_position_sixD_none,0.5113636363636364
L_position_sixD_gender,0.5198412698412698
L_position_sixD_a_build_time,0.5084733893557423
L_position_sixD_b_build_time,0.5113636363636364
L_position_sixD_gender_a_build_time,0.5425328025947221
L_position_sixD_gender_b_build_time,0.5198412698412698
L_position_sixD_a_build_time_b_build_time,0.5084733893557423
L_position_sixD_all,0.5425328025947221
L_euler_quat_none,0.3221223221223221
L_euler_quat_gender,0.2868404118404118
L_euler_quat_a_build_time,0.3035841795335466
L_euler_quat_b_build_time,0.3221223221223221
L_euler_quat_gender_a_build_time,0.3221223221223221
L_euler_quat_gender_b_build_time,0.2868404118404118
L_euler_quat_a_build_time_b_build_time,0.3035841795335466
L_euler_quat_all,0.3221223221223221
L_euler_sixD_none,0.2853271389856756
L_euler_sixD_gender,0.32504520795660036
L_euler_sixD_a_build_time,0.4953014465209587
L_euler_sixD_b_build_time,0.2853271389856756
L_euler_sixD_gender_a_build_time,0.3016351118760757
L_euler_sixD_gender_b_build_time,0.32504520795660036
L_euler_sixD_a_build_time_b_build_time,0.4953014465209587
L_euler_sixD_all,0.3016351118760757
L_quat_sixD_none,0.35610099895814185
L_quat_sixD_gender,0.33726177204438074
L_quat_sixD_a_build_time,0.3637721755368814
L_quat_sixD_b_build_time,0.35610099895814185
L_quat_sixD_gender_a_build_time,0.3554846712741449
L_quat_sixD_gender_b_build_time,0.33726177204438074
L_quat_sixD_a_build_time_b_build_time,0.3637721755368814
L_quat_sixD_all,0.3554846712741449
L_position_euler_quat_none,0.42024275463610095
L_position_euler_quat_gender,0.4164670563060905
L_position_euler_quat_a_build_time,0.4463644612774687
L_position_euler_quat_b_build_time,0.42024275463610095
L_position_euler_quat_gender_a_build_time,0.4402310123133922
L_position_euler_quat_gender_b_build_time,0.4164670563060905
L_position_euler_quat_a_build_time_b_build_time,0.4463644612774687
L_position_euler_quat_all,0.4402310123133922
