,full
H_position_only_none,0.34285714285714286
H_position_only_gender,0.3047619047619048
H_position_only_a_build_time,0.34285714285714286
H_position_only_b_build_time,0.34285714285714286
H_position_only_gender_a_build_time,0.3047619047619048
H_position_only_gender_b_build_time,0.3333333333333333
H_position_only_a_build_time_b_build_time,0.34285714285714286
H_position_only_all,0.3333333333333333
H_euler_only_none,0.29523809523809524
H_euler_only_gender,0.29523809523809524
H_euler_only_a_build_time,0.29523809523809524
H_euler_only_b_build_time,0.2857142857142857
H_euler_only_gender_a_build_time,0.29523809523809524
H_euler_only_gender_b_build_time,0.3047619047619048
H_euler_only_a_build_time_b_build_time,0.2857142857142857
H_euler_only_all,0.3047619047619048
H_quat_only_none,0.3047619047619048
H_quat_only_gender,0.2761904761904762
H_quat_only_a_build_time,0.3047619047619048
H_quat_only_b_build_time,0.3047619047619048
H_quat_only_gender_a_build_time,0.2761904761904762
H_quat_only_gender_b_build_time,0.3142857142857143
H_quat_only_a_build_time_b_build_time,0.3047619047619048
H_quat_only_all,0.3142857142857143
H_sixD_only_none,0.2571428571428571
H_sixD_only_gender,0.2761904761904762
H_sixD_only_a_build_time,0.2571428571428571
H_sixD_only_b_build_time,0.2571428571428571
H_sixD_only_gender_a_build_time,0.2761904761904762
H_sixD_only_gender_b_build_time,0.2857142857142857
H_sixD_only_a_build_time_b_build_time,0.2571428571428571
H_sixD_only_all,0.2857142857142857
H_position_euler_none,0.3142857142857143
H_position_euler_gender,0.29523809523809524
H_position_euler_a_build_time,0.3142857142857143
H_position_euler_b_build_time,0.3142857142857143
H_position_euler_gender_a_build_time,0.29523809523809524
H_position_euler_gender_b_build_time,0.3523809523809524
H_position_euler_a_build_time_b_build_time,0.3142857142857143
H_position_euler_all,0.3523809523809524
H_position_quat_none,0.3523809523809524
H_position_quat_gender,0.29523809523809524
H_position_quat_a_build_time,0.3523809523809524
H_position_quat_b_build_time,0.3142857142857143
H_position_quat_gender_a_build_time,0.29523809523809524
H_position_quat_gender_b_build_time,0.2857142857142857
H_position_quat_a_build_time_b_build_time,0.3142857142857143
H_position_quat_all,0.2857142857142857
H_position_sixD_none,0.2761904761904762
H_position_sixD_gender,0.2857142857142857
H_position_sixD_a_build_time,0.2761904761904762
H_position_sixD_b_build_time,0.26666666666666666
H_position_sixD_gender_a_build_time,0.2857142857142857
H_position_sixD_gender_b_build_time,0.26666666666666666
H_position_sixD_a_build_time_b_build_time,0.26666666666666666
H_position_sixD_all,0.26666666666666666
H_euler_quat_none,0.3142857142857143
H_euler_quat_gender,0.3047619047619048
H_euler_quat_a_build_time,0.3142857142857143
H_euler_quat_b_build_time,0.3142857142857143
H_euler_quat_gender_a_build_time,0.3047619047619048
H_euler_quat_gender_b_build_time,0.2761904761904762
H_euler_quat_a_build_time_b_build_time,0.3142857142857143
H_euler_quat_all,0.2761904761904762
H_euler_sixD_none,0.3238095238095238
H_euler_sixD_gender,0.3333333333333333
H_euler_sixD_a_build_time,0.3238095238095238
H_euler_sixD_b_build_time,0.3238095238095238
H_euler_sixD_gender_a_build_time,0.3333333333333333
H_euler_sixD_gender_b_build_time,0.3333333333333333
H_euler_sixD_a_build_time_b_build_time,0.3238095238095238
H_euler_sixD_all,0.3333333333333333
H_quat_sixD_none,0.24761904761904763
H_quat_sixD_gender,0.23809523809523808
H_quat_sixD_a_build_time,0.24761904761904763
H_quat_sixD_b_build_time,0.3047619047619048
H_quat_sixD_gender_a_build_time,0.23809523809523808
H_quat_sixD_gender_b_build_time,0.29523809523809524
H_quat_sixD_a_build_time_b_build_time,0.3047619047619048
H_quat_sixD_all,0.29523809523809524
H_position_euler_quat_none,0.34285714285714286
H_position_euler_quat_gender,0.3238095238095238
H_position_euler_quat_a_build_time,0.34285714285714286
H_position_euler_quat_b_build_time,0.3238095238095238
H_position_euler_quat_gender_a_build_time,0.3238095238095238
H_position_euler_quat_gender_b_build_time,0.3238095238095238
H_position_euler_quat_a_build_time_b_build_time,0.3238095238095238
H_position_euler_quat_all,0.3238095238095238
H_position_euler_sixD_none,0.29523809523809524
H_position_euler_sixD_gender,0.3238095238095238
H_position_euler_sixD_a_build_time,0.29523809523809524
H_position_euler_sixD_b_build_time,0.3047619047619048
H_position_euler_sixD_gender_a_build_time,0.3238095238095238
H_position_euler_sixD_gender_b_build_time,0.3238095238095238
H_position_euler_sixD_a_build_time_b_build_time,0.3047619047619048
H_position_euler_sixD_all,0.3238095238095238
H_position_quat_sixD_none,0.2857142857142857
H_position_quat_sixD_gender,0.29523809523809524
H_position_quat_sixD_a_build_time,0.2857142857142857
H_position_quat_sixD_b_build_time,0.2571428571428571
H_position_quat_sixD_gender_a_build_time,0.29523809523809524
H_position_quat_sixD_gender_b_build_time,0.29523809523809524
H_position_quat_sixD_a_build_time_b_build_time,0.2571428571428571
H_position_quat_sixD_all,0.29523809523809524
H_euler_quat_sixD_none,0.3238095238095238
H_euler_quat_sixD_gender,0.3238095238095238
H_euler_quat_sixD_a_build_time,0.3238095238095238
H_euler_quat_sixD_b_build_time,0.29523809523809524
H_euler_quat_sixD_gender_a_build_time,0.3238095238095238
H_euler_quat_sixD_gender_b_build_time,0.29523809523809524
H_euler_quat_sixD_a_build_time_b_build_time,0.29523809523809524
H_euler_quat_sixD_all,0.29523809523809524
H_position_euler_quat_sixD_none,0.2761904761904762
H_position_euler_quat_sixD_gender,0.2761904761904762
H_position_euler_quat_sixD_a_build_time,0.2761904761904762
H_position_euler_quat_sixD_b_build_time,0.26666666666666666
H_position_euler_quat_sixD_gender_a_build_time,0.2761904761904762
H_position_euler_quat_sixD_gender_b_build_time,0.3142857142857143
H_position_euler_quat_sixD_a_build_time_b_build_time,0.26666666666666666
H_position_euler_quat_sixD_all,0.3142857142857143
L_position_only_none,0.20952380952380953
L_position_only_gender,0.26666666666666666
L_position_only_a_build_time,0.20952380952380953
L_position_only_b_build_time,0.22857142857142856
L_position_only_gender_a_build_time,0.26666666666666666
L_position_only_gender_b_build_time,0.29523809523809524
L_position_only_a_build_time_b_build_time,0.22857142857142856
L_position_only_all,0.29523809523809524
L_euler_only_none,0.23809523809523808
L_euler_only_gender,0.22857142857142856
L_euler_only_a_build_time,0.23809523809523808
L_euler_only_b_build_time,0.24761904761904763
L_euler_only_gender_a_build_time,0.22857142857142856
L_euler_only_gender_b_build_time,0.22857142857142856
L_euler_only_a_build_time_b_build_time,0.24761904761904763
L_euler_only_all,0.22857142857142856
L_quat_only_none,0.22857142857142856
L_quat_only_gender,0.19047619047619047
L_quat_only_a_build_time,0.22857142857142856
L_quat_only_b_build_time,0.21904761904761905
L_quat_only_gender_a_build_time,0.19047619047619047
L_quat_only_gender_b_build_time,0.23809523809523808
L_quat_only_a_build_time_b_build_time,0.21904761904761905
L_quat_only_all,0.23809523809523808
L_sixD_only_none,0.3333333333333333
L_sixD_only_gender,0.29523809523809524
L_sixD_only_a_build_time,0.3333333333333333
L_sixD_only_b_build_time,0.3904761904761905
L_sixD_only_gender_a_build_time,0.29523809523809524
L_sixD_only_gender_b_build_time,0.34285714285714286
L_sixD_only_a_build_time_b_build_time,0.3904761904761905
L_sixD_only_all,0.34285714285714286
L_position_euler_none,0.2857142857142857
L_position_euler_gender,0.20952380952380953
L_position_euler_a_build_time,0.2857142857142857
L_position_euler_b_build_time,0.21904761904761905
L_position_euler_gender_a_build_time,0.20952380952380953
L_position_euler_gender_b_build_time,0.21904761904761905
L_position_euler_a_build_time_b_build_time,0.21904761904761905
L_position_euler_all,0.21904761904761905
L_position_quat_none,0.2571428571428571
L_position_quat_gender,0.2761904761904762
L_position_quat_a_build_time,0.2571428571428571
L_position_quat_b_build_time,0.26666666666666666
L_position_quat_gender_a_build_time,0.2761904761904762
L_position_quat_gender_b_build_time,0.2761904761904762
L_position_quat_a_build_time_b_build_time,0.26666666666666666
L_position_quat_all,0.2761904761904762
L_position_sixD_none,0.3333333333333333
L_position_sixD_gender,0.29523809523809524
L_position_sixD_a_build_time,0.3333333333333333
L_position_sixD_b_build_time,0.3333333333333333
L_position_sixD_gender_a_build_time,0.29523809523809524
L_position_sixD_gender_b_build_time,0.3047619047619048
L_position_sixD_a_build_time_b_build_time,0.3333333333333333
L_position_sixD_all,0.3047619047619048
L_euler_quat_none,0.20952380952380953
L_euler_quat_gender,0.20952380952380953
L_euler_quat_a_build_time,0.20952380952380953
L_euler_quat_b_build_time,0.24761904761904763
L_euler_quat_gender_a_build_time,0.20952380952380953
L_euler_quat_gender_b_build_time,0.22857142857142856
L_euler_quat_a_build_time_b_build_time,0.24761904761904763
L_euler_quat_all,0.22857142857142856
L_euler_sixD_none,0.4095238095238095
L_euler_sixD_gender,0.41904761904761906
L_euler_sixD_a_build_time,0.4095238095238095
L_euler_sixD_b_build_time,0.38095238095238093
L_euler_sixD_gender_a_build_time,0.41904761904761906
L_euler_sixD_gender_b_build_time,0.4095238095238095
L_euler_sixD_a_build_time_b_build_time,0.38095238095238093
L_euler_sixD_all,0.4095238095238095
L_quat_sixD_none,0.3142857142857143
L_quat_sixD_gender,0.2857142857142857
L_quat_sixD_a_build_time,0.3142857142857143
L_quat_sixD_b_build_time,0.3523809523809524
L_quat_sixD_gender_a_build_time,0.2857142857142857
L_quat_sixD_gender_b_build_time,0.3238095238095238
L_quat_sixD_a_build_time_b_build_time,0.3523809523809524
L_quat_sixD_all,0.3238095238095238
L_position_euler_quat_none,0.2761904761904762
L_position_euler_quat_gender,0.2571428571428571
L_position_euler_quat_a_build_time,0.2761904761904762
L_position_euler_quat_b_build_time,0.24761904761904763
L_position_euler_quat_gender_a_build_time,0.2571428571428571
L_position_euler_quat_gender_b_build_time,0.2571428571428571
L_position_euler_quat_a_build_time_b_build_time,0.24761904761904763
L_position_euler_quat_all,0.2571428571428571
L_position_euler_sixD_none,0.3238095238095238
L_position_euler_sixD_gender,0.3238095238095238
L_position_euler_sixD_a_build_time,0.3238095238095238
L_position_euler_sixD_b_build_time,0.3238095238095238
L_position_euler_sixD_gender_a_build_time,0.3238095238095238
L_position_euler_sixD_gender_b_build_time,0.3047619047619048
L_position_euler_sixD_a_build_time_b_build_time,0.3238095238095238
L_position_euler_sixD_all,0.3047619047619048
L_position_quat_sixD_none,0.34285714285714286
L_position_quat_sixD_gender,0.3142857142857143
L_position_quat_sixD_a_build_time,0.34285714285714286
L_position_quat_sixD_b_build_time,0.3238095238095238
L_position_quat_sixD_gender_a_build_time,0.3142857142857143
L_position_quat_sixD_gender_b_build_time,0.29523809523809524
L_position_quat_sixD_a_build_time_b_build_time,0.3238095238095238
L_position_quat_sixD_all,0.29523809523809524
L_euler_quat_sixD_none,0.3047619047619048
L_euler_quat_sixD_gender,0.3142857142857143
L_euler_quat_sixD_a_build_time,0.3047619047619048
L_euler_quat_sixD_b_build_time,0.3238095238095238
L_euler_quat_sixD_gender_a_build_time,0.3142857142857143
L_euler_quat_sixD_gender_b_build_time,0.3142857142857143
L_euler_quat_sixD_a_build_time_b_build_time,0.3238095238095238
L_euler_quat_sixD_all,0.3142857142857143
L_position_euler_quat_sixD_none,0.3142857142857143
L_position_euler_quat_sixD_gender,0.2857142857142857
L_position_euler_quat_sixD_a_build_time,0.3142857142857143
L_position_euler_quat_sixD_b_build_time,0.3047619047619048
L_position_euler_quat_sixD_gender_a_build_time,0.2857142857142857
L_position_euler_quat_sixD_gender_b_build_time,0.29523809523809524
L_position_euler_quat_sixD_a_build_time_b_build_time,0.3047619047619048
L_position_euler_quat_sixD_all,0.29523809523809524
R_position_only_none,0.2
R_position_only_gender,0.2571428571428571
R_position_only_a_build_time,0.2
R_position_only_b_build_time,0.2
R_position_only_gender_a_build_time,0.2571428571428571
R_position_only_gender_b_build_time,0.2571428571428571
R_position_only_a_build_time_b_build_time,0.2
R_position_only_all,0.2571428571428571
R_euler_only_none,0.24761904761904763
R_euler_only_gender,0.22857142857142856
R_euler_only_a_build_time,0.24761904761904763
R_euler_only_b_build_time,0.2571428571428571
R_euler_only_gender_a_build_time,0.22857142857142856
R_euler_only_gender_b_build_time,0.24761904761904763
R_euler_only_a_build_time_b_build_time,0.2571428571428571
R_euler_only_all,0.24761904761904763
R_quat_only_none,0.3142857142857143
R_quat_only_gender,0.3142857142857143
R_quat_only_a_build_time,0.3142857142857143
R_quat_only_b_build_time,0.3619047619047619
R_quat_only_gender_a_build_time,0.3142857142857143
R_quat_only_gender_b_build_time,0.3619047619047619
R_quat_only_a_build_time_b_build_time,0.3619047619047619
R_quat_only_all,0.3619047619047619
R_sixD_only_none,0.2857142857142857
R_sixD_only_gender,0.2857142857142857
R_sixD_only_a_build_time,0.2857142857142857
R_sixD_only_b_build_time,0.3238095238095238
R_sixD_only_gender_a_build_time,0.2857142857142857
R_sixD_only_gender_b_build_time,0.29523809523809524
R_sixD_only_a_build_time_b_build_time,0.3238095238095238
R_sixD_only_all,0.29523809523809524
R_position_euler_none,0.26666666666666666
R_position_euler_gender,0.23809523809523808
R_position_euler_a_build_time,0.26666666666666666
R_position_euler_b_build_time,0.24761904761904763
R_position_euler_gender_a_build_time,0.23809523809523808
R_position_euler_gender_b_build_time,0.2857142857142857
R_position_euler_a_build_time_b_build_time,0.24761904761904763
R_position_euler_all,0.2857142857142857
R_position_quat_none,0.3333333333333333
R_position_quat_gender,0.3142857142857143
R_position_quat_a_build_time,0.3333333333333333
R_position_quat_b_build_time,0.3047619047619048
R_position_quat_gender_a_build_time,0.3142857142857143
R_position_quat_gender_b_build_time,0.3142857142857143
R_position_quat_a_build_time_b_build_time,0.3047619047619048
R_position_quat_all,0.3142857142857143
R_position_sixD_none,0.2857142857142857
R_position_sixD_gender,0.3142857142857143
R_position_sixD_a_build_time,0.2857142857142857
R_position_sixD_b_build_time,0.29523809523809524
R_position_sixD_gender_a_build_time,0.3142857142857143
R_position_sixD_gender_b_build_time,0.3238095238095238
R_position_sixD_a_build_time_b_build_time,0.29523809523809524
R_position_sixD_all,0.3238095238095238
R_euler_quat_none,0.2571428571428571
R_euler_quat_gender,0.24761904761904763
R_euler_quat_a_build_time,0.2571428571428571
R_euler_quat_b_build_time,0.26666666666666666
R_euler_quat_gender_a_build_time,0.24761904761904763
R_euler_quat_gender_b_build_time,0.2571428571428571
R_euler_quat_a_build_time_b_build_time,0.26666666666666666
R_euler_quat_all,0.2571428571428571
R_euler_sixD_none,0.26666666666666666
R_euler_sixD_gender,0.29523809523809524
R_euler_sixD_a_build_time,0.26666666666666666
R_euler_sixD_b_build_time,0.2761904761904762
R_euler_sixD_gender_a_build_time,0.29523809523809524
R_euler_sixD_gender_b_build_time,0.3142857142857143
R_euler_sixD_a_build_time_b_build_time,0.2761904761904762
R_euler_sixD_all,0.3142857142857143
R_quat_sixD_none,0.3142857142857143
R_quat_sixD_gender,0.29523809523809524
R_quat_sixD_a_build_time,0.3142857142857143
R_quat_sixD_b_build_time,0.2857142857142857
R_quat_sixD_gender_a_build_time,0.29523809523809524
R_quat_sixD_gender_b_build_time,0.2857142857142857
R_quat_sixD_a_build_time_b_build_time,0.2857142857142857
R_quat_sixD_all,0.2857142857142857
R_position_euler_quat_none,0.2761904761904762
R_position_euler_quat_gender,0.29523809523809524
R_position_euler_quat_a_build_time,0.2761904761904762
R_position_euler_quat_b_build_time,0.29523809523809524
R_position_euler_quat_gender_a_build_time,0.29523809523809524
R_position_euler_quat_gender_b_build_time,0.3142857142857143
R_position_euler_quat_a_build_time_b_build_time,0.29523809523809524
R_position_euler_quat_all,0.3142857142857143
R_position_euler_sixD_none,0.3333333333333333
R_position_euler_sixD_gender,0.3142857142857143
R_position_euler_sixD_a_build_time,0.3333333333333333
R_position_euler_sixD_b_build_time,0.3047619047619048
R_position_euler_sixD_gender_a_build_time,0.3142857142857143
R_position_euler_sixD_gender_b_build_time,0.34285714285714286
R_position_euler_sixD_a_build_time_b_build_time,0.3047619047619048
R_position_euler_sixD_all,0.34285714285714286
R_position_quat_sixD_none,0.3142857142857143
R_position_quat_sixD_gender,0.29523809523809524
R_position_quat_sixD_a_build_time,0.3142857142857143
R_position_quat_sixD_b_build_time,0.3333333333333333
R_position_quat_sixD_gender_a_build_time,0.29523809523809524
R_position_quat_sixD_gender_b_build_time,0.3333333333333333
R_position_quat_sixD_a_build_time_b_build_time,0.3333333333333333
R_position_quat_sixD_all,0.3333333333333333
R_euler_quat_sixD_none,0.26666666666666666
R_euler_quat_sixD_gender,0.24761904761904763
R_euler_quat_sixD_a_build_time,0.26666666666666666
R_euler_quat_sixD_b_build_time,0.2761904761904762
R_euler_quat_sixD_gender_a_build_time,0.24761904761904763
R_euler_quat_sixD_gender_b_build_time,0.26666666666666666
R_euler_quat_sixD_a_build_time_b_build_time,0.2761904761904762
R_euler_quat_sixD_all,0.26666666666666666
R_position_euler_quat_sixD_none,0.26666666666666666
R_position_euler_quat_sixD_gender,0.2761904761904762
R_position_euler_quat_sixD_a_build_time,0.26666666666666666
R_position_euler_quat_sixD_b_build_time,0.2571428571428571
R_position_euler_quat_sixD_gender_a_build_time,0.2761904761904762
R_position_euler_quat_sixD_gender_b_build_time,0.26666666666666666
R_position_euler_quat_sixD_a_build_time_b_build_time,0.2571428571428571
R_position_euler_quat_sixD_all,0.26666666666666666
H+L_position_only_none,0.3333333333333333
H+L_position_only_gender,0.3333333333333333
H+L_position_only_a_build_time,0.3333333333333333
H+L_position_only_b_build_time,0.29523809523809524
H+L_position_only_gender_a_build_time,0.3333333333333333
H+L_position_only_gender_b_build_time,0.3047619047619048
H+L_position_only_a_build_time_b_build_time,0.29523809523809524
H+L_position_only_all,0.3047619047619048
H+L_euler_only_none,0.29523809523809524
H+L_euler_only_gender,0.3333333333333333
H+L_euler_only_a_build_time,0.29523809523809524
H+L_euler_only_b_build_time,0.3238095238095238
H+L_euler_only_gender_a_build_time,0.3333333333333333
H+L_euler_only_gender_b_build_time,0.3238095238095238
H+L_euler_only_a_build_time_b_build_time,0.3238095238095238
H+L_euler_only_all,0.3238095238095238
H+L_quat_only_none,0.2571428571428571
H+L_quat_only_gender,0.2761904761904762
H+L_quat_only_a_build_time,0.2571428571428571
H+L_quat_only_b_build_time,0.23809523809523808
H+L_quat_only_gender_a_build_time,0.2761904761904762
H+L_quat_only_gender_b_build_time,0.23809523809523808
H+L_quat_only_a_build_time_b_build_time,0.23809523809523808
H+L_quat_only_all,0.23809523809523808
H+L_sixD_only_none,0.3047619047619048
H+L_sixD_only_gender,0.29523809523809524
H+L_sixD_only_a_build_time,0.3047619047619048
H+L_sixD_only_b_build_time,0.37142857142857144
H+L_sixD_only_gender_a_build_time,0.29523809523809524
H+L_sixD_only_gender_b_build_time,0.3619047619047619
H+L_sixD_only_a_build_time_b_build_time,0.37142857142857144
H+L_sixD_only_all,0.3619047619047619
H+L_position_euler_none,0.2761904761904762
H+L_position_euler_gender,0.2857142857142857
H+L_position_euler_a_build_time,0.2761904761904762
H+L_position_euler_b_build_time,0.26666666666666666
H+L_position_euler_gender_a_build_time,0.2857142857142857
H+L_position_euler_gender_b_build_time,0.2857142857142857
H+L_position_euler_a_build_time_b_build_time,0.26666666666666666
H+L_position_euler_all,0.2857142857142857
H+L_position_quat_none,0.3142857142857143
H+L_position_quat_gender,0.3333333333333333
H+L_position_quat_a_build_time,0.3142857142857143
H+L_position_quat_b_build_time,0.3047619047619048
H+L_position_quat_gender_a_build_time,0.3333333333333333
H+L_position_quat_gender_b_build_time,0.3047619047619048
H+L_position_quat_a_build_time_b_build_time,0.3047619047619048
H+L_position_quat_all,0.3047619047619048
H+L_position_sixD_none,0.3047619047619048
H+L_position_sixD_gender,0.2857142857142857
H+L_position_sixD_a_build_time,0.3047619047619048
H+L_position_sixD_b_build_time,0.3047619047619048
H+L_position_sixD_gender_a_build_time,0.2857142857142857
H+L_position_sixD_gender_b_build_time,0.29523809523809524
H+L_position_sixD_a_build_time_b_build_time,0.3047619047619048
H+L_position_sixD_all,0.29523809523809524
H+L_euler_quat_none,0.2857142857142857
H+L_euler_quat_gender,0.23809523809523808
H+L_euler_quat_a_build_time,0.2857142857142857
H+L_euler_quat_b_build_time,0.2571428571428571
H+L_euler_quat_gender_a_build_time,0.23809523809523808
H+L_euler_quat_gender_b_build_time,0.22857142857142856
H+L_euler_quat_a_build_time_b_build_time,0.2571428571428571
H+L_euler_quat_all,0.22857142857142856
H+L_euler_sixD_none,0.3047619047619048
H+L_euler_sixD_gender,0.29523809523809524
H+L_euler_sixD_a_build_time,0.3047619047619048
H+L_euler_sixD_b_build_time,0.3333333333333333
H+L_euler_sixD_gender_a_build_time,0.29523809523809524
H+L_euler_sixD_gender_b_build_time,0.3333333333333333
H+L_euler_sixD_a_build_time_b_build_time,0.3333333333333333
H+L_euler_sixD_all,0.3333333333333333
H+L_quat_sixD_none,0.29523809523809524
H+L_quat_sixD_gender,0.29523809523809524
H+L_quat_sixD_a_build_time,0.29523809523809524
