,full
H_position_only_none,4.1257142857142854
H_position_only_gender,4.300952380952381
H_position_only_a_build_time,4.3447619047619055
H_position_only_b_build_time,4.1257142857142854
H_position_only_gender_a_build_time,4.346666666666667
H_position_only_gender_b_build_time,4.300952380952381
H_position_only_a_build_time_b_build_time,4.3447619047619055
H_position_only_all,4.346666666666667
H_euler_only_none,3.5657142857142854
H_euler_only_gender,3.782857142857143
H_euler_only_a_build_time,3.702857142857143
H_euler_only_b_build_time,3.5657142857142854
H_euler_only_gender_a_build_time,3.7961904761904766
H_euler_only_gender_b_build_time,3.782857142857143
H_euler_only_a_build_time_b_build_time,3.702857142857143
H_euler_only_all,3.7961904761904766
H_quat_only_none,4.201904761904762
H_quat_only_gender,4.30095238095238
H_quat_only_a_build_time,4.2666666666666675
H_quat_only_b_build_time,4.201904761904762
H_quat_only_gender_a_build_time,4.182857142857142
H_quat_only_gender_b_build_time,4.30095238095238
H_quat_only_a_build_time_b_build_time,4.2666666666666675
H_quat_only_all,4.182857142857142
H_sixD_only_none,4.076190476190476
H_sixD_only_gender,3.965714285714286
H_sixD_only_a_build_time,4.0495238095238095
H_sixD_only_b_build_time,4.076190476190476
H_sixD_only_gender_a_build_time,3.8457142857142856
H_sixD_only_gender_b_build_time,3.965714285714286
H_sixD_only_a_build_time_b_build_time,4.0495238095238095
H_sixD_only_all,3.8457142857142856
H_position_euler_none,4.123809523809523
H_position_euler_gender,4.182857142857143
H_position_euler_a_build_time,4.022857142857142
H_position_euler_b_build_time,4.123809523809523
H_position_euler_gender_a_build_time,3.9638095238095237
H_position_euler_gender_b_build_time,4.182857142857143
H_position_euler_a_build_time_b_build_time,4.022857142857142
H_position_euler_all,3.9638095238095237
H_position_quat_none,4.188571428571429
H_position_quat_gender,4.247619047619048
H_position_quat_a_build_time,4.116190476190476
H_position_quat_b_build_time,4.188571428571429
H_position_quat_gender_a_build_time,4.072380952380952
H_position_quat_gender_b_build_time,4.247619047619048
H_position_quat_a_build_time_b_build_time,4.116190476190476
H_position_quat_all,4.072380952380952
H_position_sixD_none,4.121904761904762
H_position_sixD_gender,4.104761904761904
H_position_sixD_a_build_time,4.043809523809524
H_position_sixD_b_build_time,4.121904761904762
H_position_sixD_gender_a_build_time,3.9961904761904763
H_position_sixD_gender_b_build_time,4.104761904761904
H_position_sixD_a_build_time_b_build_time,4.043809523809524
H_position_sixD_all,3.9961904761904763
H_euler_quat_none,3.8
H_euler_quat_gender,3.9676190476190474
H_euler_quat_a_build_time,3.6209523809523807
H_euler_quat_b_build_time,3.8
H_euler_quat_gender_a_build_time,3.906666666666666
H_euler_quat_gender_b_build_time,3.9676190476190474
H_euler_quat_a_build_time_b_build_time,3.6209523809523807
H_euler_quat_all,3.906666666666666
H_euler_sixD_none,3.7961904761904766
H_euler_sixD_gender,3.84
H_euler_sixD_a_build_time,3.7771428571428576
H_euler_sixD_b_build_time,3.7961904761904766
H_euler_sixD_gender_a_build_time,3.841904761904763
H_euler_sixD_gender_b_build_time,3.84
H_euler_sixD_a_build_time_b_build_time,3.7771428571428576
H_euler_sixD_all,3.841904761904763
H_quat_sixD_none,4.1504761904761915
H_quat_sixD_gender,4.085714285714285
H_quat_sixD_a_build_time,4.112380952380953
H_quat_sixD_b_build_time,4.1504761904761915
H_quat_sixD_gender_a_build_time,3.9752380952380952
H_quat_sixD_gender_b_build_time,4.085714285714285
H_quat_sixD_a_build_time_b_build_time,4.112380952380953
H_quat_sixD_all,3.9752380952380952
H_position_euler_quat_none,3.918095238095238
H_position_euler_quat_gender,3.9180952380952383
H_position_euler_quat_a_build_time,3.8780952380952387
H_position_euler_quat_b_build_time,3.918095238095238
H_position_euler_quat_gender_a_build_time,3.893333333333333
H_position_euler_quat_gender_b_build_time,3.9180952380952383
H_position_euler_quat_a_build_time_b_build_time,3.8780952380952387
H_position_euler_quat_all,3.893333333333333
H_position_euler_sixD_none,3.885714285714286
H_position_euler_sixD_gender,3.8342857142857145
H_position_euler_sixD_a_build_time,3.8742857142857146
H_position_euler_sixD_b_build_time,3.885714285714286
H_position_euler_sixD_gender_a_build_time,3.8990476190476193
H_position_euler_sixD_gender_b_build_time,3.8342857142857145
H_position_euler_sixD_a_build_time_b_build_time,3.8742857142857146
H_position_euler_sixD_all,3.8990476190476193
H_position_quat_sixD_none,3.8438095238095236
H_position_quat_sixD_gender,3.9238095238095236
H_position_quat_sixD_a_build_time,3.8571428571428577
H_position_quat_sixD_b_build_time,3.8438095238095236
H_position_quat_sixD_gender_a_build_time,3.921904761904762
H_position_quat_sixD_gender_b_build_time,3.9238095238095236
H_position_quat_sixD_a_build_time_b_build_time,3.8571428571428577
H_position_quat_sixD_all,3.921904761904762
H_euler_quat_sixD_none,3.9180952380952387
H_euler_quat_sixD_gender,3.918095238095238
H_euler_quat_sixD_a_build_time,3.8723809523809525
H_euler_quat_sixD_b_build_time,3.9180952380952387
H_euler_quat_sixD_gender_a_build_time,3.8342857142857145
H_euler_quat_sixD_gender_b_build_time,3.918095238095238
H_euler_quat_sixD_a_build_time_b_build_time,3.8723809523809525
H_euler_quat_sixD_all,3.8342857142857145
H_position_euler_quat_sixD_none,3.9561904761904767
H_position_euler_quat_sixD_gender,3.942857142857143
H_position_euler_quat_sixD_a_build_time,3.96
H_position_euler_quat_sixD_b_build_time,3.9561904761904767
H_position_euler_quat_sixD_gender_a_build_time,3.958095238095238
