,full
H_position_only_none,4.6380952380952385
H_position_only_gender,4.632380952380952
H_position_only_a_build_time,4.6380952380952385
H_position_only_b_build_time,4.485714285714285
H_position_only_gender_a_build_time,4.632380952380952
H_position_only_gender_b_build_time,4.489523809523809
H_position_only_a_build_time_b_build_time,4.485714285714285
H_position_only_all,4.489523809523809
H_euler_only_none,4.529523809523809
H_euler_only_gender,4.546666666666667
H_euler_only_a_build_time,4.529523809523809
H_euler_only_b_build_time,4.466666666666667
H_euler_only_gender_a_build_time,4.546666666666667
H_euler_only_gender_b_build_time,4.455238095238095
H_euler_only_a_build_time_b_build_time,4.466666666666667
H_euler_only_all,4.455238095238095
H_quat_only_none,4.485714285714287
H_quat_only_gender,4.525714285714286
H_quat_only_a_build_time,4.485714285714287
H_quat_only_b_build_time,4.550476190476191
H_quat_only_gender_a_build_time,4.525714285714286
H_quat_only_gender_b_build_time,4.636190476190476
H_quat_only_a_build_time_b_build_time,4.550476190476191
H_quat_only_all,4.636190476190476
H_sixD_only_none,4.487619047619048
H_sixD_only_gender,4.434285714285714
H_sixD_only_a_build_time,4.487619047619048
H_sixD_only_b_build_time,4.491428571428572
H_sixD_only_gender_a_build_time,4.434285714285714
H_sixD_only_gender_b_build_time,4.441904761904762
H_sixD_only_a_build_time_b_build_time,4.491428571428572
H_sixD_only_all,4.441904761904762
H_position_euler_none,4.28952380952381
H_position_euler_gender,4.230476190476191
H_position_euler_a_build_time,4.28952380952381
H_position_euler_b_build_time,4.274285714285714
H_position_euler_gender_a_build_time,4.230476190476191
H_position_euler_gender_b_build_time,4.203809523809523
H_position_euler_a_build_time_b_build_time,4.274285714285714
H_position_euler_all,4.203809523809523
H_position_quat_none,4.217142857142857
H_position_quat_gender,4.398095238095238
H_position_quat_a_build_time,4.217142857142857
H_position_quat_b_build_time,4.1866666666666665
H_position_quat_gender_a_build_time,4.398095238095238
H_position_quat_gender_b_build_time,4.306666666666667
