,full
H_position_only_none,27.279238095238096
H_position_only_gender,28.928
H_position_only_a_build_time,29.90057142857143
H_position_only_b_build_time,27.279238095238096
H_position_only_gender_a_build_time,30.339047619047623
H_position_only_gender_b_build_time,28.928
H_position_only_a_build_time_b_build_time,29.90057142857143
H_position_only_all,30.339047619047623
H_euler_only_none,21.279238095238096
H_euler_only_gender,24.09980952380953
H_euler_only_a_build_time,23.069714285714287
H_euler_only_b_build_time,21.279238095238096
H_euler_only_gender_a_build_time,23.982857142857146
H_euler_only_gender_b_build_time,24.09980952380953
H_euler_only_a_build_time_b_build_time,23.069714285714287
H_euler_only_all,23.982857142857146
H_quat_only_none,27.431619047619048
H_quat_only_gender,28.432761904761904
H_quat_only_a_build_time,27.911619047619045
H_quat_only_b_build_time,27.431619047619048
H_quat_only_gender_a_build_time,27.012571428571427
H_quat_only_gender_b_build_time,28.432761904761904
H_quat_only_a_build_time_b_build_time,27.911619047619045
H_quat_only_all,27.012571428571427
H_sixD_only_none,25.38361904761905
H_sixD_only_gender,25.072761904761908
H_sixD_only_a_build_time,25.83847619047619
H_sixD_only_b_build_time,25.38361904761905
H_sixD_only_gender_a_build_time,24.855238095238096
H_sixD_only_gender_b_build_time,25.072761904761908
H_sixD_only_a_build_time_b_build_time,25.83847619047619
H_sixD_only_all,24.855238095238096
H_position_euler_none,26.929904761904766
H_position_euler_gender,26.850285714285715
H_position_euler_a_build_time,25.33409523809524
H_position_euler_b_build_time,26.929904761904766
H_position_euler_gender_a_build_time,24.570285714285717
H_position_euler_gender_b_build_time,26.850285714285715
H_position_euler_a_build_time_b_build_time,25.33409523809524
H_position_euler_all,24.570285714285717
H_position_quat_none,27.276571428571433
H_position_quat_gender,28.09142857142857
H_position_quat_a_build_time,26.72495238095238
H_position_quat_b_build_time,27.276571428571433
H_position_quat_gender_a_build_time,26.755047619047616
H_position_quat_gender_b_build_time,28.09142857142857
H_position_quat_a_build_time_b_build_time,26.72495238095238
H_position_quat_all,26.755047619047616
H_position_sixD_none,26.05866666666667
H_position_sixD_gender,25.976761904761908
H_position_sixD_a_build_time,26.077333333333332
H_position_sixD_b_build_time,26.05866666666667
H_position_sixD_gender_a_build_time,25.52761904761905
H_position_sixD_gender_b_build_time,25.976761904761908
H_position_sixD_a_build_time_b_build_time,26.077333333333332
H_position_sixD_all,25.52761904761905
H_euler_quat_none,22.53219047619048
H_euler_quat_gender,24.31809523809524
H_euler_quat_a_build_time,20.61676190476191
H_euler_quat_b_build_time,22.53219047619048
H_euler_quat_gender_a_build_time,23.364190476190473
H_euler_quat_gender_b_build_time,24.31809523809524
H_euler_quat_a_build_time_b_build_time,20.61676190476191
H_euler_quat_all,23.364190476190473
H_euler_sixD_none,22.505523809523808
H_euler_sixD_gender,23.337904761904756
H_euler_sixD_a_build_time,22.60457142857143
H_euler_sixD_b_build_time,22.505523809523808
H_euler_sixD_gender_a_build_time,23.29028571428571
H_euler_sixD_gender_b_build_time,23.337904761904756
H_euler_sixD_a_build_time_b_build_time,22.60457142857143
H_euler_sixD_all,23.29028571428571
H_quat_sixD_none,25.971428571428568
H_quat_sixD_gender,26.282285714285717
H_quat_sixD_a_build_time,26.026285714285713
H_quat_sixD_b_build_time,25.971428571428568
H_quat_sixD_gender_a_build_time,25.378666666666664
H_quat_sixD_gender_b_build_time,26.282285714285717
H_quat_sixD_a_build_time_b_build_time,26.026285714285713
H_quat_sixD_all,25.378666666666664
H_position_euler_quat_none,23.671238095238095
H_position_euler_quat_gender,24.085714285714285
H_position_euler_quat_a_build_time,24.083047619047615
H_position_euler_quat_b_build_time,23.671238095238095
H_position_euler_quat_gender_a_build_time,23.61523809523809
H_position_euler_quat_gender_b_build_time,24.085714285714285
H_position_euler_quat_a_build_time_b_build_time,24.083047619047615
H_position_euler_quat_all,23.61523809523809
H_position_euler_sixD_none,24.61333333333333
H_position_euler_sixD_gender,24.622857142857146
H_position_euler_sixD_a_build_time,24.409142857142857
H_position_euler_sixD_b_build_time,24.61333333333333
H_position_euler_sixD_gender_a_build_time,24.753904761904764
H_position_euler_sixD_gender_b_build_time,24.622857142857146
H_position_euler_sixD_a_build_time_b_build_time,24.409142857142857
H_position_euler_sixD_all,24.753904761904764
H_position_quat_sixD_none,23.6632380952381
H_position_quat_sixD_gender,24.348952380952383
H_position_quat_sixD_a_build_time,23.771047619047625
H_position_quat_sixD_b_build_time,23.6632380952381
H_position_quat_sixD_gender_a_build_time,24.476571428571432
H_position_quat_sixD_gender_b_build_time,24.348952380952383
H_position_quat_sixD_a_build_time_b_build_time,23.771047619047625
H_position_quat_sixD_all,24.476571428571432
H_euler_quat_sixD_none,23.96
H_euler_quat_sixD_gender,24.054476190476194
H_euler_quat_sixD_a_build_time,23.31085714285714
H_euler_quat_sixD_b_build_time,23.96
H_euler_quat_sixD_gender_a_build_time,23.499809523809525
H_euler_quat_sixD_gender_b_build_time,24.054476190476194
H_euler_quat_sixD_a_build_time_b_build_time,23.31085714285714
H_euler_quat_sixD_all,23.499809523809525
H_position_euler_quat_sixD_none,24.91619047619048
H_position_euler_quat_sixD_gender,24.272761904761907
H_position_euler_quat_sixD_a_build_time,24.599238095238096
H_position_euler_quat_sixD_b_build_time,24.91619047619048
H_position_euler_quat_sixD_gender_a_build_time,24.74514285714286
