,full
H_position_only_none,30.799619047619053
H_position_only_gender,30.026666666666667
H_position_only_a_build_time,30.799619047619053
H_position_only_b_build_time,28.491047619047624
H_position_only_gender_a_build_time,30.026666666666667
H_position_only_gender_b_build_time,27.210285714285718
H_position_only_a_build_time_b_build_time,28.491047619047624
H_position_only_all,27.210285714285718
H_euler_only_none,28.533333333333335
H_euler_only_gender,27.869333333333334
H_euler_only_a_build_time,28.533333333333335
H_euler_only_b_build_time,27.21714285714286
H_euler_only_gender_a_build_time,27.869333333333334
H_euler_only_gender_b_build_time,26.85447619047619
H_euler_only_a_build_time_b_build_time,27.21714285714286
H_euler_only_all,26.85447619047619
H_quat_only_none,28.015619047619047
H_quat_only_gender,28.64609523809524
H_quat_only_a_build_time,28.015619047619047
H_quat_only_b_build_time,28.9687619047619
H_quat_only_gender_a_build_time,28.64609523809524
H_quat_only_gender_b_build_time,29.70209523809524
H_quat_only_a_build_time_b_build_time,28.9687619047619
H_quat_only_all,29.70209523809524
H_sixD_only_none,27.587809523809526
H_sixD_only_gender,27.381333333333334
H_sixD_only_a_build_time,27.587809523809526
H_sixD_only_b_build_time,28.00990476190476
H_sixD_only_gender_a_build_time,27.381333333333334
H_sixD_only_gender_b_build_time,27.59771428571429
H_sixD_only_a_build_time_b_build_time,28.00990476190476
H_sixD_only_all,27.59771428571429
H_position_euler_none,26.48609523809524
H_position_euler_gender,26.101714285714284
H_position_euler_a_build_time,26.48609523809524
H_position_euler_b_build_time,25.97866666666667
H_position_euler_gender_a_build_time,26.101714285714284
H_position_euler_gender_b_build_time,24.893333333333334
H_position_euler_a_build_time_b_build_time,25.97866666666667
H_position_euler_all,24.893333333333334
H_position_quat_none,25.87276190476191
H_position_quat_gender,26.878095238095238
H_position_quat_a_build_time,25.87276190476191
H_position_quat_b_build_time,24.32761904761905
H_position_quat_gender_a_build_time,26.878095238095238
H_position_quat_gender_b_build_time,24.96571428571428
H_position_quat_a_build_time_b_build_time,24.32761904761905
H_position_quat_all,24.96571428571428
H_position_sixD_none,26.987047619047612
H_position_sixD_gender,27.733333333333334
H_position_sixD_a_build_time,26.987047619047612
H_position_sixD_b_build_time,26.18590476190476
H_position_sixD_gender_a_build_time,27.733333333333334
H_position_sixD_gender_b_build_time,25.895619047619046
H_position_sixD_a_build_time_b_build_time,26.18590476190476
H_position_sixD_all,25.895619047619046
H_euler_quat_none,26.88266666666667
H_euler_quat_gender,27.71657142857143
H_euler_quat_a_build_time,26.88266666666667
H_euler_quat_b_build_time,25.60152380952381
H_euler_quat_gender_a_build_time,27.71657142857143
H_euler_quat_gender_b_build_time,27.004952380952385
H_euler_quat_a_build_time_b_build_time,25.60152380952381
H_euler_quat_all,27.004952380952385
H_euler_sixD_none,25.953142857142865
H_euler_sixD_gender,26.89638095238095
