,full
H_position_only_none,-0.6055948237203443
H_position_only_gender,-0.7026372546926052
H_position_only_a_build_time,-0.75988062952444
H_position_only_b_build_time,-0.6055948237203443
H_position_only_gender_a_build_time,-0.7856883555062038
H_position_only_gender_b_build_time,-0.7026372546926052
H_position_only_a_build_time_b_build_time,-0.75988062952444
H_position_only_all,-0.7856883555062038
H_euler_only_none,-0.25244826923487595
H_euler_only_gender,-0.4184607828482354
H_euler_only_a_build_time,-0.35783168549403177
H_euler_only_b_build_time,-0.25244826923487595
H_euler_only_gender_a_build_time,-0.4115772277862011
H_euler_only_gender_b_build_time,-0.4184607828482354
H_euler_only_a_build_time_b_build_time,-0.35783168549403177
H_euler_only_all,-0.4115772277862011
H_quat_only_none,-0.6145636251041025
H_quat_only_gender,-0.6734886501953918
H_quat_only_a_build_time,-0.6428153494629396
H_quat_only_b_build_time,-0.6145636251041025
H_quat_only_gender_a_build_time,-0.5898994212987678
H_quat_only_gender_b_build_time,-0.6734886501953918
H_quat_only_a_build_time_b_build_time,-0.6428153494629396
H_quat_only_all,-0.5898994212987678
H_sixD_only_none,-0.4940229345063958
H_sixD_only_gender,-0.4757265796835297
H_sixD_only_a_build_time,-0.520794806636913
H_sixD_only_b_build_time,-0.4940229345063958
H_sixD_only_gender_a_build_time,-0.4629236157082153
H_sixD_only_gender_b_build_time,-0.4757265796835297
H_sixD_only_a_build_time_b_build_time,-0.520794806636913
H_sixD_only_all,-0.4629236157082153
H_position_euler_none,-0.5850338465480796
H_position_euler_gender,-0.580347647825066
H_position_euler_a_build_time,-0.49110807405667467
H_position_euler_b_build_time,-0.5850338465480796
H_position_euler_gender_a_build_time,-0.44615195712058786
H_position_euler_gender_b_build_time,-0.580347647825066
H_position_euler_a_build_time_b_build_time,-0.49110807405667467
H_position_euler_all,-0.44615195712058786
H_position_quat_none,-0.6054378696961289
H_position_quat_gender,-0.6533985350957741
H_position_quat_a_build_time,-0.5729708086869247
H_position_quat_b_build_time,-0.6054378696961289
H_position_quat_gender_a_build_time,-0.574742146960217
H_position_quat_gender_b_build_time,-0.6533985350957741
H_position_quat_a_build_time_b_build_time,-0.5729708086869247
H_position_quat_all,-0.574742146960217
H_position_sixD_none,-0.5337547246364436
H_position_sixD_gender,-0.5289339938926736
H_position_sixD_a_build_time,-0.5348534028059537
H_position_sixD_b_build_time,-0.5337547246364436
H_position_sixD_gender_a_build_time,-0.5024984518140472
H_position_sixD_gender_b_build_time,-0.5289339938926736
H_position_sixD_a_build_time_b_build_time,-0.5348534028059537
H_position_sixD_all,-0.5024984518140472
H_euler_quat_none,-0.3261942386128256
H_euler_quat_gender,-0.43130859083046835
H_euler_quat_a_build_time,-0.21345640521898845
H_euler_quat_b_build_time,-0.3261942386128256
H_euler_quat_gender_a_build_time,-0.37516389416814366
H_euler_quat_gender_b_build_time,-0.43130859083046835
H_euler_quat_a_build_time_b_build_time,-0.21345640521898845
