,full
H+L+R_pos_euler_quat_sixD,
H+L+R_pos_euler_quat,
H+L+R_pos_euler_sixD,
H+L+R_pos_quat_sixD,
H+L+R_euler_quat_sixD,
H+L+R_pos_quat,
H+L+R_pos_euler,
H+L+R_pos_sixD,
H+L+R_euler_quat,
H+L+R_euler_sixD,
H+L+R_quat_sixD,
H+L+R_pos_only,
H+L+R_euler_only,
H+L+R_quat_only,
H+L+R_sixD_only,
H+L_pos_euler_quat_sixD,
H+L_pos_euler_quat,
H+L_pos_euler_sixD,
H+L_pos_quat_sixD,
H+L_euler_quat_sixD,
H+L_pos_quat,
H+L_pos_euler,
H+L_pos_sixD,
H+L_euler_quat,
H+L_euler_sixD,
H+L_quat_sixD,
H+L_pos_only,
H+L_euler_only,
H+L_quat_only,
H+L_sixD_only,
H+R_pos_euler_quat_sixD,
H+R_pos_euler_quat,
H+R_pos_euler_sixD,
H+R_pos_quat_sixD,
H+R_euler_quat_sixD,
H+R_pos_quat,
H+R_pos_euler,
H+R_pos_sixD,
H+R_euler_quat,
H+R_euler_sixD,
H+R_quat_sixD,
H+R_pos_only,
H+R_euler_only,
H+R_quat_only,
H+R_sixD_only,
L+R_pos_euler_quat_sixD,
L+R_pos_euler_quat,
L+R_pos_euler_sixD,
L+R_pos_quat_sixD,
L+R_euler_quat_sixD,
L+R_pos_quat,
L+R_pos_euler,
L+R_pos_sixD,
L+R_euler_quat,
L+R_euler_sixD,
L+R_quat_sixD,
L+R_pos_only,
L+R_euler_only,
L+R_quat_only,
L+R_sixD_only,
H_pos_euler_quat_sixD,
H_pos_euler_quat,
H_pos_euler_sixD,
H_pos_quat_sixD,
H_euler_quat_sixD,
H_pos_quat,
H_pos_euler,
H_pos_sixD,
H_euler_quat,
H_euler_sixD,
H_quat_sixD,
H_pos_only,
H_euler_only,
H_quat_only,
H_sixD_only,
L_pos_euler_quat_sixD,
L_pos_euler_quat,
L_pos_euler_sixD,
L_pos_quat_sixD,
L_euler_quat_sixD,
L_pos_quat,
L_pos_euler,
L_pos_sixD,
L_euler_quat,
L_euler_sixD,
L_quat_sixD,
L_pos_only,
L_euler_only,
L_quat_only,
L_sixD_only,
R_pos_euler_quat_sixD,
R_pos_euler_quat,
R_pos_euler_sixD,
R_pos_quat_sixD,
R_euler_quat_sixD,
R_pos_quat,
R_pos_euler,
R_pos_sixD,
R_euler_quat,
R_euler_sixD,
R_quat_sixD,
R_pos_only,
R_euler_only,
R_quat_only,
R_sixD_only,
H+L+R_pos_euler_quat_all,0.24761904761904763
H+L+R_pos_euler_quat_gender,0.24761904761904763
H+L+R_pos_euler_quat_build_time,0.2571428571428571
H+L+R_pos_euler_quat_none,0.2571428571428571
H+L+R_pos_euler_sixD_gender,0.26666666666666666
H+L+R_pos_euler_sixD_build_time,0.3047619047619048
H+L+R_pos_euler_sixD_none,0.29523809523809524
H+L+R_pos_euler_quat_sixD_all,0.20952380952380953
H+L+R_pos_euler_quat_sixD_build_time,0.23809523809523808
H+L+R_pos_euler_quat_sixD_none,0.2571428571428571
H+L+R_pos_euler_quat_sixD_gender,0.23809523809523808
H+L+R_pos_euler_sixD_all,0.26666666666666666
H+L+R_pos_quat_sixD_none,0.26666666666666666
H+L+R_pos_quat_none,0.2857142857142857
H+L+R_pos_quat_sixD_gender,0.26666666666666666
H+L+R_pos_quat_gender,0.2857142857142857
H+L+R_pos_quat_sixD_build_time,0.2571428571428571
H+L+R_euler_quat_sixD_none,0.2761904761904762
H+L+R_pos_quat_sixD_all,0.2571428571428571
H+L+R_euler_quat_sixD_gender,0.2857142857142857
H+L+R_euler_quat_sixD_build_time,0.2857142857142857
H+L+R_euler_quat_sixD_all,0.2857142857142857
H+L+R_pos_quat_build_time,0.2857142857142857
H+L+R_pos_euler_none,0.23809523809523808
H+L+R_pos_quat_all,0.2761904761904762
H+L+R_pos_euler_build_time,0.21904761904761905
H+L+R_pos_euler_all,0.21904761904761905
H+L+R_pos_euler_gender,0.23809523809523808
H+L+R_pos_sixD_none,0.26666666666666666
H+L+R_pos_sixD_gender,0.2857142857142857
H+L+R_euler_quat_none,0.22857142857142856
H+L+R_pos_sixD_build_time,0.26666666666666666
H+L+R_pos_sixD_all,0.2857142857142857
H+L+R_euler_quat_gender,0.22857142857142856
H+L+R_euler_quat_build_time,0.24761904761904763
H+L+R_euler_quat_all,0.26666666666666666
H+L+R_euler_sixD_none,0.3047619047619048
H+L+R_euler_sixD_gender,0.2857142857142857
H+L+R_euler_sixD_build_time,0.3047619047619048
H+L+R_pos_only_none,0.3238095238095238
H+L+R_euler_sixD_all,0.2857142857142857
H+L+R_quat_sixD_none,0.26666666666666666
H+L+R_pos_only_build_time,0.29523809523809524
H+L+R_pos_only_gender,0.29523809523809524
H+L+R_quat_sixD_gender,0.2761904761904762
H+L+R_quat_sixD_build_time,0.2857142857142857
H+L+R_quat_sixD_all,0.2857142857142857
H+L+R_pos_only_all,0.2857142857142857
H+L+R_euler_only_none,0.23809523809523808
H+L+R_euler_only_gender,0.23809523809523808
H+L+R_euler_only_build_time,0.24761904761904763
H+L+R_euler_only_all,0.23809523809523808
H+L+R_quat_only_none,0.24761904761904763
H+L+R_quat_only_all,0.23809523809523808
H+L+R_quat_only_gender,0.23809523809523808
H+L+R_quat_only_build_time,0.2571428571428571
H+L+R_sixD_only_none,0.29523809523809524
H+L+R_sixD_only_gender,0.2857142857142857
H+L+R_sixD_only_build_time,0.2857142857142857
H+L+R_sixD_only_all,0.2761904761904762
H+L_pos_euler_quat_sixD_none,0.22857142857142856
H+L_pos_euler_quat_gender,0.23809523809523808
H+L_pos_euler_quat_sixD_gender,0.22857142857142856
H+L_pos_euler_quat_none,0.26666666666666666
H+L_pos_euler_quat_build_time,0.2761904761904762
H+L_pos_euler_quat_sixD_build_time,0.23809523809523808
H+L_pos_euler_quat_sixD_all,0.22857142857142856
H+L_pos_euler_quat_all,0.24761904761904763
H+L_pos_euler_sixD_none,0.23809523809523808
H+L_pos_euler_sixD_build_time,0.20952380952380953
H+L_pos_euler_sixD_gender,0.24761904761904763
H+L_pos_euler_sixD_all,0.23809523809523808
H+L_pos_quat_sixD_none,0.22857142857142856
H+L_pos_quat_sixD_build_time,0.23809523809523808
H+L_pos_quat_sixD_gender,0.21904761904761905
H+L_pos_quat_sixD_all,0.24761904761904763
H+L_euler_quat_sixD_none,0.2571428571428571
H+L_pos_quat_none,0.3047619047619048
