,full
H+L+R_pos_euler_quat_sixD,
H+L+R_pos_euler_quat,
H+L+R_pos_euler_sixD,
H+L+R_pos_quat_sixD,
H+L+R_euler_quat_sixD,
H+L+R_pos_quat,
H+L+R_pos_euler,
H+L+R_pos_sixD,
H+L+R_euler_quat,
H+L+R_euler_sixD,
H+L+R_quat_sixD,
H+L+R_pos_only,
H+L+R_euler_only,
H+L+R_quat_only,
H+L+R_sixD_only,
H+L_pos_euler_quat_sixD,
H+L_pos_euler_quat,
H+L_pos_euler_sixD,
H+L_pos_quat_sixD,
H+L_euler_quat_sixD,
H+L_pos_quat,
H+L_pos_euler,
H+L_pos_sixD,
H+L_euler_quat,
H+L_euler_sixD,
H+L_quat_sixD,
H+L_pos_only,
H+L_euler_only,
H+L_quat_only,
H+L_sixD_only,
H+R_pos_euler_quat_sixD,
H+R_pos_euler_quat,
H+R_pos_euler_sixD,
H+R_pos_quat_sixD,
H+R_euler_quat_sixD,
H+R_pos_quat,
H+R_pos_euler,
H+R_pos_sixD,
H+R_euler_quat,
H+R_euler_sixD,
H+R_quat_sixD,
H+R_pos_only,
H+R_euler_only,
H+R_quat_only,
H+R_sixD_only,
L+R_pos_euler_quat_sixD,
L+R_pos_euler_quat,
L+R_pos_euler_sixD,
L+R_pos_quat_sixD,
L+R_euler_quat_sixD,
L+R_pos_quat,
L+R_pos_euler,
L+R_pos_sixD,
L+R_euler_quat,
L+R_euler_sixD,
L+R_quat_sixD,
L+R_pos_only,
L+R_euler_only,
L+R_quat_only,
L+R_sixD_only,
H_pos_euler_quat_sixD,
H_pos_euler_quat,
H_pos_euler_sixD,
H_pos_quat_sixD,
H_euler_quat_sixD,
H_pos_quat,
H_pos_euler,
H_pos_sixD,
H_euler_quat,
H_euler_sixD,
H_quat_sixD,
H_pos_only,
H_euler_only,
H_quat_only,
H_sixD_only,
L_pos_euler_quat_sixD,
L_pos_euler_quat,
L_pos_euler_sixD,
L_pos_quat_sixD,
L_euler_quat_sixD,
L_pos_quat,
L_pos_euler,
L_pos_sixD,
L_euler_quat,
L_euler_sixD,
L_quat_sixD,
L_pos_only,
L_euler_only,
L_quat_only,
L_sixD_only,
R_pos_euler_quat_sixD,
R_pos_euler_quat,
R_pos_euler_sixD,
R_pos_quat_sixD,
R_euler_quat_sixD,
R_pos_quat,
R_pos_euler,
R_pos_sixD,
R_euler_quat,
R_euler_sixD,
R_quat_sixD,
R_pos_only,
R_euler_only,
R_quat_only,
R_sixD_only,
H+L+R_pos_euler_quat_all,0.20463827957973157
H+L+R_pos_euler_quat_gender,0.2037282165578673
H+L+R_pos_euler_quat_build_time,0.20873869260966035
H+L+R_pos_euler_quat_none,0.20988103862188273
H+L+R_pos_euler_sixD_gender,0.23382173382173385
H+L+R_pos_euler_sixD_build_time,0.28029695651746445
H+L+R_pos_euler_sixD_none,0.2762228087288166
H+L+R_pos_euler_quat_sixD_all,0.16616615230042683
H+L+R_pos_euler_quat_sixD_build_time,0.19732820664497686
H+L+R_pos_euler_quat_sixD_none,0.20676396735718766
H+L+R_pos_euler_quat_sixD_gender,0.18649375627377793
H+L+R_pos_euler_sixD_all,0.23204185326704738
H+L+R_pos_quat_sixD_none,0.2540647239104462
H+L+R_pos_quat_none,0.27565368579193467
H+L+R_pos_quat_sixD_gender,0.25386182019020004
H+L+R_pos_quat_gender,0.28646353646353645
H+L+R_pos_quat_sixD_build_time,0.23397379399494683
H+L+R_euler_quat_sixD_none,0.2340827631150212
H+L+R_pos_quat_sixD_all,0.23450741296174551
H+L+R_euler_quat_sixD_gender,0.2388832601598559
H+L+R_euler_quat_sixD_build_time,0.2388832601598559
H+L+R_euler_quat_sixD_all,0.2388832601598559
H+L+R_pos_quat_build_time,0.2774851876234365
H+L+R_pos_euler_none,0.2245873233014136
H+L+R_pos_quat_all,0.28142404412067334
H+L+R_pos_euler_build_time,0.21016829614822805
H+L+R_pos_euler_all,0.21433295308602907
H+L+R_pos_euler_gender,0.2338935574229692
H+L+R_pos_sixD_none,0.25950585512797497
H+L+R_pos_sixD_gender,0.28312031883460453
H+L+R_euler_quat_none,0.16503063213589528
H+L+R_pos_sixD_build_time,0.25888228171466854
H+L+R_pos_sixD_all,0.28158949581792975
H+L+R_euler_quat_gender,0.16525312141772777
H+L+R_euler_quat_build_time,0.19698059908325338
H+L+R_euler_quat_all,0.2127225877026005
H+L+R_euler_sixD_none,0.26122422160269587
H+L+R_euler_sixD_gender,0.24573319400905608
H+L+R_euler_sixD_build_time,0.27065140669403803
H+L+R_pos_only_none,0.3199736074558937
H+L+R_euler_sixD_all,0.25122978833073745
H+L+R_quat_sixD_none,0.2566789167774389
H+L+R_pos_only_build_time,0.2932064392021869
H+L+R_pos_only_gender,0.2959734590536057
H+L+R_quat_sixD_gender,0.26225647090308746
H+L+R_quat_sixD_build_time,0.27618075360815836
H+L+R_quat_sixD_all,0.2772695285010556
H+L+R_pos_only_all,0.2828675774107111
H+L+R_euler_only_none,0.19767615896648158
H+L+R_euler_only_gender,0.20088555703726843
H+L+R_euler_only_build_time,0.21491713568544302
H+L+R_euler_only_all,0.2006485824143322
H+L+R_quat_only_none,0.2209844386562479
H+L+R_quat_only_all,0.22455569664198446
H+L+R_quat_only_gender,0.2280334176681425
H+L+R_quat_only_build_time,0.2294350920091539
H+L+R_sixD_only_none,0.2739847871426819
H+L+R_sixD_only_gender,0.26438430483374303
H+L+R_sixD_only_build_time,0.2576296038570505
H+L+R_sixD_only_all,0.2557530189109136
H+L_pos_euler_quat_sixD_none,0.1953725038402458
H+L_pos_euler_quat_gender,0.2097069597069597
H+L_pos_euler_quat_sixD_gender,0.19663896787266724
H+L_pos_euler_quat_none,0.23633000512032773
H+L_pos_euler_quat_build_time,0.24050058522108209
H+L_pos_euler_quat_sixD_build_time,0.2115610203159287
H+L_pos_euler_quat_sixD_all,0.20777062766731513
H+L_pos_euler_quat_all,0.2230917230917231
H+L_pos_euler_sixD_none,0.2075174839244469
H+L_pos_euler_sixD_build_time,0.18980732389574184
H+L_pos_euler_sixD_gender,0.2139454484429538
H+L_pos_euler_sixD_all,0.20782172206944244
H+L_pos_quat_sixD_none,0.2118634054117925
H+L_pos_quat_sixD_build_time,0.2190881004944071
H+L_pos_quat_sixD_gender,0.20087439442278152
H+L_pos_quat_sixD_all,0.2337765409193981
H+L_euler_quat_sixD_none,0.22105125190833005
H+L_pos_quat_none,0.3045569661299999
