,full
H+L+R_pos_euler_quat_sixD,
H+L+R_pos_euler_quat,
H+L+R_pos_euler_sixD,
H+L+R_pos_quat_sixD,
H+L+R_euler_quat_sixD,
H+L+R_pos_quat,
H+L+R_pos_euler,
H+L+R_pos_sixD,
H+L+R_euler_quat,
H+L+R_euler_sixD,
H+L+R_quat_sixD,
H+L+R_pos_only,
H+L+R_euler_only,
H+L+R_quat_only,
H+L+R_sixD_only,
H+L_pos_euler_quat_sixD,
H+L_pos_euler_quat,
H+L_pos_euler_sixD,
H+L_pos_quat_sixD,
H+L_euler_quat_sixD,
H+L_pos_quat,
H+L_pos_euler,
H+L_pos_sixD,
H+L_euler_quat,
H+L_euler_sixD,
H+L_quat_sixD,
H+L_pos_only,
H+L_euler_only,
H+L_quat_only,
H+L_sixD_only,
H+R_pos_euler_quat_sixD,
H+R_pos_euler_quat,
H+R_pos_euler_sixD,
H+R_pos_quat_sixD,
H+R_euler_quat_sixD,
H+R_pos_quat,
H+R_pos_euler,
H+R_pos_sixD,
H+R_euler_quat,
H+R_euler_sixD,
H+R_quat_sixD,
H+R_pos_only,
H+R_euler_only,
H+R_quat_only,
H+R_sixD_only,
L+R_pos_euler_quat_sixD,
L+R_pos_euler_quat,
L+R_pos_euler_sixD,
L+R_pos_quat_sixD,
L+R_euler_quat_sixD,
L+R_pos_quat,
L+R_pos_euler,
L+R_pos_sixD,
L+R_euler_quat,
L+R_euler_sixD,
L+R_quat_sixD,
L+R_pos_only,
L+R_euler_only,
L+R_quat_only,
L+R_sixD_only,
H_pos_euler_quat_sixD,
H_pos_euler_quat,
H_pos_euler_sixD,
H_pos_quat_sixD,
H_euler_quat_sixD,
H_pos_quat,
H_pos_euler,
H_pos_sixD,
H_euler_quat,
H_euler_sixD,
H_quat_sixD,
H_pos_only,
H_euler_only,
H_quat_only,
H_sixD_only,
L_pos_euler_quat_sixD,
L_pos_euler_quat,
L_pos_euler_sixD,
L_pos_quat_sixD,
L_euler_quat_sixD,
L_pos_quat,
L_pos_euler,
L_pos_sixD,
L_euler_quat,
L_euler_sixD,
L_quat_sixD,
L_pos_only,
L_euler_only,
L_quat_only,
L_sixD_only,
R_pos_euler_quat_sixD,
R_pos_euler_quat,
R_pos_euler_sixD,
R_pos_quat_sixD,
R_euler_quat_sixD,
R_pos_quat,
R_pos_euler,
R_pos_sixD,
R_euler_quat,
R_euler_sixD,
R_quat_sixD,
R_pos_only,
R_euler_only,
R_quat_only,
R_sixD_only,
H+L+R_pos_euler_quat_sixD_none,0.22757252326217844
H+L+R_pos_euler_quat_none,0.27506654835847383
H+L+R_pos_euler_quat_gender,0.27934322665236305
H+L+R_pos_euler_quat_all,0.2805107299991021
H+L+R_pos_euler_quat_sixD_gender,0.23972730972730974
H+L+R_pos_euler_quat_build_time,0.27573091458805743
H+L+R_pos_euler_quat_sixD_build_time,0.25655328798185945
H+L+R_pos_euler_sixD_none,0.2952828015985911
H+L+R_pos_euler_sixD_gender,0.2975692716110835
H+L+R_pos_euler_sixD_build_time,0.2816602316602317
H+L+R_pos_euler_quat_sixD_all,0.24589569160997732
H+L+R_pos_quat_none,0.23491349563313582
H+L+R_pos_euler_sixD_all,0.3008225729316117
H+L+R_pos_quat_sixD_gender,0.2554182106446915
H+L+R_pos_quat_gender,0.26064071018478313
H+L+R_pos_quat_sixD_none,0.2518558047013332
H+L+R_pos_quat_sixD_all,0.23230042586140145
H+L+R_pos_quat_sixD_build_time,0.23854875283446708
H+L+R_euler_quat_sixD_build_time,0.27864770150484436
H+L+R_euler_quat_sixD_none,0.25300773300773305
H+L+R_euler_quat_sixD_all,0.2738884858475732
H+L+R_euler_quat_sixD_gender,0.2500250626566416
H+L+R_pos_euler_none,0.2545103324348607
H+L+R_pos_quat_build_time,0.24141849529780565
H+L+R_pos_quat_all,0.25540659053590087
H+L+R_pos_euler_gender,0.31339221710189447
H+L+R_pos_euler_build_time,0.28321025379848913
H+L+R_pos_euler_all,0.2749599193077454
H+L+R_euler_quat_none,0.2273273273273273
H+L+R_pos_sixD_all,0.3222555033618863
H+L+R_pos_sixD_none,0.32822482528364877
H+L+R_pos_sixD_gender,0.3266393736981972
H+L+R_pos_sixD_build_time,0.34067422524565383
H+L+R_euler_quat_build_time,0.23817663817663817
H+L+R_euler_quat_gender,0.21038894181751322
H+L+R_euler_quat_all,0.23840862840862842
H+L+R_euler_sixD_none,0.28095976375046144
H+L+R_euler_sixD_gender,0.28872218054513626
H+L+R_euler_sixD_build_time,0.29089582193030467
H+L+R_euler_sixD_all,0.28872218054513626
H+L+R_quat_sixD_none,0.28788554667624433
H+L+R_quat_sixD_build_time,0.2907048573815491
H+L+R_quat_sixD_gender,0.3013624537534312
H+L+R_pos_only_none,0.3067402640391717
H+L+R_pos_only_gender,0.3021360544217687
H+L+R_quat_sixD_all,0.31855921855921854
H+L+R_pos_only_build_time,0.2830066564260113
H+L+R_euler_only_none,0.3176829519686663
H+L+R_euler_only_gender,0.2998200685157207
H+L+R_pos_only_all,0.3486257506665669
H+L+R_euler_only_build_time,0.29499806426635694
H+L+R_euler_only_all,0.31088435374149653
H+L+R_quat_only_none,0.23811928097642385
H+L+R_quat_only_build_time,0.24976794976794978
H+L+R_quat_only_all,0.2437794937794938
H+L+R_quat_only_gender,0.23498245916724178
H+L+R_sixD_only_gender,0.2668865664545388
H+L+R_sixD_only_none,0.3098678551880522
H+L+R_sixD_only_build_time,0.28391671820243247
H+L+R_sixD_only_all,0.26511754126938125
H+L_pos_euler_quat_sixD_none,0.23693015030946063
H+L_pos_euler_quat_none,0.30479717813051144
H+L_pos_euler_quat_gender,0.22849287152307
H+L_pos_euler_quat_build_time,0.2796984895653177
H+L_pos_euler_quat_sixD_gender,0.2394087194626278
H+L_pos_euler_quat_sixD_build_time,0.27858076563958917
H+L_pos_euler_quat_all,0.25875913583824334
H+L_pos_euler_quat_sixD_all,0.2711114397449801
H+L_pos_euler_sixD_none,0.2738976482454743
H+L_pos_euler_sixD_gender,0.2682981823868523
H+L_pos_euler_sixD_build_time,0.28867144281222956
H+L_pos_euler_sixD_all,0.2706204906204906
H+L_pos_quat_sixD_none,0.224303328855053
H+L_pos_quat_sixD_gender,0.25232760674891425
H+L_pos_quat_sixD_all,0.2538708407560867
H+L_euler_quat_sixD_none,0.30275348234531907
H+L_pos_quat_sixD_build_time,0.24247565692943843
H+L_pos_quat_none,0.31857280791104325
