,full
H+L+R_pos_euler_quat_sixD,
H+L+R_pos_euler_quat,
H+L+R_pos_euler_sixD,
H+L+R_pos_quat_sixD,
H+L+R_euler_quat_sixD,
H+L+R_pos_quat,
H+L+R_pos_euler,
H+L+R_pos_sixD,
H+L+R_euler_quat,
H+L+R_euler_sixD,
H+L+R_quat_sixD,
H+L+R_pos_only,
H+L+R_euler_only,
H+L+R_quat_only,
H+L+R_sixD_only,
H+L_pos_euler_quat_sixD,
H+L_pos_euler_quat,
H+L_pos_euler_sixD,
H+L_pos_quat_sixD,
H+L_euler_quat_sixD,
H+L_pos_quat,
H+L_pos_euler,
H+L_pos_sixD,
H+L_euler_quat,
H+L_euler_sixD,
H+L_quat_sixD,
H+L_pos_only,
H+L_euler_only,
H+L_quat_only,
H+L_sixD_only,
H+R_pos_euler_quat_sixD,
H+R_pos_euler_quat,
H+R_pos_euler_sixD,
H+R_pos_quat_sixD,
H+R_euler_quat_sixD,
H+R_pos_quat,
H+R_pos_euler,
H+R_pos_sixD,
H+R_euler_quat,
H+R_euler_sixD,
H+R_quat_sixD,
H+R_pos_only,
H+R_euler_only,
H+R_quat_only,
H+R_sixD_only,
L+R_pos_euler_quat_sixD,
L+R_pos_euler_quat,
L+R_pos_euler_sixD,
L+R_pos_quat_sixD,
L+R_euler_quat_sixD,
L+R_pos_quat,
L+R_pos_euler,
L+R_pos_sixD,
L+R_euler_quat,
L+R_euler_sixD,
L+R_quat_sixD,
L+R_pos_only,
L+R_euler_only,
L+R_quat_only,
L+R_sixD_only,
H_pos_euler_quat_sixD,
H_pos_euler_quat,
H_pos_euler_sixD,
H_pos_quat_sixD,
H_euler_quat_sixD,
H_pos_quat,
H_pos_euler,
H_pos_sixD,
H_euler_quat,
H_euler_sixD,
H_quat_sixD,
H_pos_only,
H_euler_only,
H_quat_only,
H_sixD_only,
L_pos_euler_quat_sixD,
L_pos_euler_quat,
L_pos_euler_sixD,
L_pos_quat_sixD,
L_euler_quat_sixD,
L_pos_quat,
L_pos_euler,
L_pos_sixD,
L_euler_quat,
L_euler_sixD,
L_quat_sixD,
L_pos_only,
L_euler_only,
L_quat_only,
L_sixD_only,
R_pos_euler_quat_sixD,
R_pos_euler_quat,
R_pos_euler_sixD,
R_pos_quat_sixD,
R_euler_quat_sixD,
R_pos_quat,
R_pos_euler,
R_pos_sixD,
R_euler_quat,
R_euler_sixD,
R_quat_sixD,
R_pos_only,
R_euler_only,
R_quat_only,
R_sixD_only,
H+L+R_pos_euler_quat_build_time,-0.27037215754870636
H+L+R_pos_euler_quat_gender,-0.2236142107485375
H+L+R_pos_euler_quat_none,-0.2194885095602872
H+L+R_pos_euler_quat_sixD_none,-0.299776826105314
H+L+R_pos_euler_quat_sixD_gender,-0.31931962120755175
H+L+R_pos_euler_quat_all,-0.24236081790216546
H+L+R_pos_euler_quat_sixD_all,-0.2880511490439712
H+L+R_pos_euler_quat_sixD_build_time,-0.2723445322395801
H+L+R_pos_euler_sixD_none,-0.22904276494360354
H+L+R_pos_euler_sixD_gender,-0.23628083720369153
H+L+R_pos_euler_sixD_build_time,-0.2640026539598286
H+L+R_pos_euler_sixD_all,-0.23722178659750282
H+L+R_pos_quat_sixD_none,-0.3276434043066532
H+L+R_pos_quat_sixD_gender,-0.3200434284335605
H+L+R_pos_quat_none,-0.22556849025876113
H+L+R_pos_quat_gender,-0.2251342059231558
H+L+R_pos_quat_sixD_all,-0.32308341878279756
H+L+R_pos_quat_sixD_build_time,-0.33003196815248215
H+L+R_euler_quat_sixD_none,-0.3782194342240184
H+L+R_euler_quat_sixD_build_time,-0.3660775680077206
H+L+R_euler_quat_sixD_gender,-0.37964895349538574
H+L+R_euler_quat_sixD_all,-0.3683213704083481
H+L+R_pos_euler_none,-0.13681162916943124
H+L+R_pos_quat_build_time,-0.2570541045901442
H+L+R_pos_quat_all,-0.23917606610772646
H+L+R_pos_euler_gender,-0.17025152301103819
H+L+R_pos_euler_build_time,-0.10619458350925859
H+L+R_pos_euler_all,-0.1492611134567825
H+L+R_pos_sixD_none,-0.2869473430243079
H+L+R_pos_sixD_gender,-0.26190361300440346
H+L+R_euler_quat_none,-0.28256830930695465
H+L+R_pos_sixD_build_time,-0.2635864648048738
H+L+R_pos_sixD_all,-0.2698654924905002
H+L+R_euler_quat_gender,-0.3000663489957176
H+L+R_euler_quat_build_time,-0.24706556487122278
H+L+R_euler_quat_all,-0.2719102479039748
H+L+R_euler_sixD_none,-0.353030942758912
H+L+R_euler_sixD_gender,-0.3662947101755232
H+L+R_euler_sixD_build_time,-0.34705953314433935
H+L+R_euler_sixD_all,-0.3660594728270703
H+L+R_pos_only_none,-0.2335665601061585
H+L+R_quat_sixD_none,-0.3348090958441403
H+L+R_pos_only_gender,-0.2832921165329636
H+L+R_quat_sixD_build_time,-0.35256046806200625
H+L+R_quat_sixD_gender,-0.31222631039266546
H+L+R_quat_sixD_all,-0.34613667893117817
H+L+R_pos_only_build_time,-0.2651245551601422
H+L+R_pos_only_all,-0.21735327824356143
H+L+R_euler_only_none,-0.20522950720791355
H+L+R_euler_only_gender,-0.23521322154532842
H+L+R_euler_only_build_time,-0.1896314614874237
H+L+R_euler_only_all,-0.25361602026660246
H+L+R_quat_only_none,-0.35979854032209424
H+L+R_quat_only_gender,-0.3876651185234332
H+L+R_quat_only_all,-0.29344351287773707
H+L+R_quat_only_build_time,-0.30793775257856315
H+L+R_sixD_only_none,-0.34011098377465454
H+L+R_sixD_only_gender,-0.30567585499728556
H+L+R_sixD_only_build_time,-0.36908136799565705
H+L+R_sixD_only_all,-0.3441823994209541
H+L_pos_euler_quat_sixD_none,-0.22328849749683344
H+L_pos_euler_quat_sixD_gender,-0.19354002050787167
H+L_pos_euler_quat_gender,-0.16560106158393162
H+L_pos_euler_quat_none,-0.15221062790276885
H+L_pos_euler_quat_build_time,-0.157657277278485
H+L_pos_euler_quat_sixD_build_time,-0.2614331383074977
H+L_pos_euler_quat_all,-0.150202062850594
H+L_pos_euler_quat_sixD_all,-0.2539055431570061
H+L_pos_euler_sixD_none,-0.28376259122986913
H+L_pos_euler_sixD_build_time,-0.23092466373122633
H+L_pos_euler_sixD_gender,-0.3107606007599979
H+L_pos_euler_sixD_all,-0.25169793111767924
H+L_pos_quat_sixD_build_time,-0.2735930997044458
H+L_pos_quat_sixD_gender,-0.30080825140237666
H+L_pos_quat_sixD_none,-0.30587490198443823
