,full
H+L+R_pos_euler_quat_sixD,
H+L+R_pos_euler_quat,
H+L+R_pos_euler_sixD,
H+L+R_pos_quat_sixD,
H+L+R_euler_quat_sixD,
H+L+R_pos_quat,
H+L+R_pos_euler,
H+L+R_pos_sixD,
H+L+R_euler_quat,
H+L+R_euler_sixD,
H+L+R_quat_sixD,
H+L+R_pos_only,
H+L+R_euler_only,
H+L+R_quat_only,
H+L+R_sixD_only,
H+L_pos_euler_quat_sixD,
H+L_pos_euler_quat,
H+L_pos_euler_sixD,
H+L_pos_quat_sixD,
H+L_euler_quat_sixD,
H+L_pos_quat,
H+L_pos_euler,
H+L_pos_sixD,
H+L_euler_quat,
H+L_euler_sixD,
H+L_quat_sixD,
H+L_pos_only,
H+L_euler_only,
H+L_quat_only,
H+L_sixD_only,
H+R_pos_euler_quat_sixD,
H+R_pos_euler_quat,
H+R_pos_euler_sixD,
H+R_pos_quat_sixD,
H+R_euler_quat_sixD,
H+R_pos_quat,
H+R_pos_euler,
H+R_pos_sixD,
H+R_euler_quat,
H+R_euler_sixD,
H+R_quat_sixD,
H+R_pos_only,
H+R_euler_only,
H+R_quat_only,
H+R_sixD_only,
L+R_pos_euler_quat_sixD,
L+R_pos_euler_quat,
L+R_pos_euler_sixD,
L+R_pos_quat_sixD,
L+R_euler_quat_sixD,
L+R_pos_quat,
L+R_pos_euler,
L+R_pos_sixD,
L+R_euler_quat,
L+R_euler_sixD,
L+R_quat_sixD,
L+R_pos_only,
L+R_euler_only,
L+R_quat_only,
L+R_sixD_only,
H_pos_euler_quat_sixD,
H_pos_euler_quat,
H_pos_euler_sixD,
H_pos_quat_sixD,
H_euler_quat_sixD,
H_pos_quat,
H_pos_euler,
H_pos_sixD,
H_euler_quat,
H_euler_sixD,
H_quat_sixD,
H_pos_only,
H_euler_only,
H_quat_only,
H_sixD_only,
L_pos_euler_quat_sixD,
L_pos_euler_quat,
L_pos_euler_sixD,
L_pos_quat_sixD,
L_euler_quat_sixD,
L_pos_quat,
L_pos_euler,
L_pos_sixD,
L_euler_quat,
L_euler_sixD,
L_quat_sixD,
L_pos_only,
L_euler_only,
L_quat_only,
L_sixD_only,
R_pos_euler_quat_sixD,
R_pos_euler_quat,
R_pos_euler_sixD,
R_pos_quat_sixD,
R_euler_quat_sixD,
R_pos_quat,
R_pos_euler,
R_pos_sixD,
R_euler_quat,
R_euler_sixD,
R_quat_sixD,
R_pos_only,
R_euler_only,
R_quat_only,
R_sixD_only,
H+L+R_pos_euler_sixD_none,4.827382214784639
H+L+R_pos_euler_sixD_build_time,4.794917944578207
H+L+R_pos_euler_quat_gender,4.872586093451324
H+L+R_pos_euler_quat_none,4.9150110206726225
H+L+R_pos_euler_quat_build_time,4.797142006296189
H+L+R_pos_euler_quat_all,4.713627659699663
H+L+R_pos_euler_sixD_gender,4.905507109361885
H+L+R_pos_euler_quat_sixD_all,4.985158926635091
H+L+R_pos_euler_quat_sixD_gender,4.969085381014248
H+L+R_pos_euler_quat_sixD_none,4.979041789627512
H+L+R_pos_euler_quat_sixD_build_time,4.992794808521576
H+L+R_pos_euler_sixD_all,4.884494417468988
H+L+R_pos_quat_sixD_none,5.097114029386769
H+L+R_pos_quat_none,4.991459372434746
H+L+R_pos_quat_sixD_build_time,5.122908400136633
H+L+R_pos_quat_gender,5.0076132514592695
H+L+R_pos_quat_sixD_gender,5.092926934671728
H+L+R_pos_quat_sixD_all,5.098608587037205
H+L+R_euler_quat_sixD_gender,4.9471107489023085
H+L+R_euler_quat_sixD_none,4.97107825804614
H+L+R_euler_quat_sixD_build_time,4.968165321994294
H+L+R_euler_quat_sixD_all,4.943567248744285
H+L+R_pos_quat_build_time,4.937591469918257
H+L+R_pos_quat_all,5.000761846720863
H+L+R_pos_euler_gender,4.7094231777009234
H+L+R_pos_euler_all,4.638349460129725
H+L+R_pos_euler_none,4.6927299395676165
H+L+R_pos_euler_build_time,4.649833586371923
H+L+R_pos_sixD_none,5.011225494066392
H+L+R_pos_sixD_build_time,4.987298152020075
H+L+R_pos_sixD_gender,4.91605726651135
H+L+R_euler_quat_none,5.113492888800132
H+L+R_pos_sixD_all,4.8605702193408185
H+L+R_euler_quat_gender,5.133531226859622
H+L+R_euler_quat_all,5.017189499728954
H+L+R_euler_quat_build_time,5.008830297822133
H+L+R_euler_sixD_none,4.75262333574086
H+L+R_euler_sixD_build_time,4.788398678552352
H+L+R_euler_sixD_gender,4.752783645502116
H+L+R_euler_sixD_all,4.793487645704723
H+L+R_quat_sixD_none,5.203039404772853
H+L+R_pos_only_none,4.632514487423701
H+L+R_quat_sixD_gender,5.149054467061104
H+L+R_quat_sixD_build_time,5.179409784356294
H+L+R_quat_sixD_all,5.182093711821047
H+L+R_pos_only_gender,4.503585872866833
H+L+R_pos_only_build_time,4.507644300835764
H+L+R_euler_only_none,5.144465357014644
H+L+R_pos_only_all,4.5655855515554
H+L+R_euler_only_gender,5.023070584337642
H+L+R_euler_only_all,4.949920634284381
H+L+R_euler_only_build_time,4.9714997258181075
H+L+R_quat_only_none,5.269896538245274
H+L+R_quat_only_gender,5.220107643480525
H+L+R_quat_only_build_time,5.213498962172279
H+L+R_quat_only_all,5.2369747719370165
H+L+R_sixD_only_none,5.067092713916785
H+L+R_sixD_only_gender,5.105254062984431
H+L+R_sixD_only_build_time,5.058138185613547
H+L+R_sixD_only_all,5.075280897691889
H+L_pos_euler_quat_sixD_none,4.879031910220754
H+L_pos_euler_quat_none,4.827342757173774
H+L_pos_euler_quat_sixD_gender,4.8757514683331
H+L_pos_euler_quat_gender,4.910591080705536
H+L_pos_euler_quat_sixD_build_time,4.916212246958309
H+L_pos_euler_quat_sixD_all,4.88121764668261
H+L_pos_euler_quat_build_time,4.824027165682019
H+L_pos_euler_quat_all,4.94368283772331
H+L_pos_euler_sixD_none,4.794520682135866
H+L_pos_euler_sixD_gender,4.780834754766259
H+L_pos_euler_sixD_build_time,4.812760815443322
H+L_pos_euler_sixD_all,4.817191436234741
H+L_pos_quat_sixD_none,5.14790757307786
H+L_pos_quat_sixD_all,5.118556344089518
H+L_pos_quat_sixD_gender,5.195529213614702
H+L_pos_quat_sixD_build_time,5.0883995051302255
H+L_euler_quat_sixD_none,5.062805546334957
H+L_pos_quat_none,4.9467642141582
H+L_euler_quat_sixD_gender,5.126773792923726
H+L_euler_quat_sixD_build_time,5.053768042616462
