,full
H+L+R_pos_euler_quat_sixD,
H+L+R_pos_euler_quat,
H+L+R_pos_euler_sixD,
H+L+R_pos_quat_sixD,
H+L+R_euler_quat_sixD,
H+L+R_pos_quat,
H+L+R_pos_euler,
H+L+R_pos_sixD,
H+L+R_euler_quat,
H+L+R_euler_sixD,
H+L+R_quat_sixD,
H+L+R_pos_only,
H+L+R_euler_only,
H+L+R_quat_only,
H+L+R_sixD_only,
H+L_pos_euler_quat_sixD,
H+L_pos_euler_quat,
H+L_pos_euler_sixD,
H+L_pos_quat_sixD,
H+L_euler_quat_sixD,
H+L_pos_quat,
H+L_pos_euler,
H+L_pos_sixD,
H+L_euler_quat,
H+L_euler_sixD,
H+L_quat_sixD,
H+L_pos_only,
H+L_euler_only,
H+L_quat_only,
H+L_sixD_only,
H+R_pos_euler_quat_sixD,
H+R_pos_euler_quat,
H+R_pos_euler_sixD,
H+R_pos_quat_sixD,
H+R_euler_quat_sixD,
H+R_pos_quat,
H+R_pos_euler,
H+R_pos_sixD,
H+R_euler_quat,
H+R_euler_sixD,
H+R_quat_sixD,
H+R_pos_only,
H+R_euler_only,
H+R_quat_only,
H+R_sixD_only,
L+R_pos_euler_quat_sixD,
L+R_pos_euler_quat,
L+R_pos_euler_sixD,
L+R_pos_quat_sixD,
L+R_euler_quat_sixD,
L+R_pos_quat,
L+R_pos_euler,
L+R_pos_sixD,
L+R_euler_quat,
L+R_euler_sixD,
L+R_quat_sixD,
L+R_pos_only,
L+R_euler_only,
L+R_quat_only,
L+R_sixD_only,
H_pos_euler_quat_sixD,
H_pos_euler_quat,
H_pos_euler_sixD,
H_pos_quat_sixD,
H_euler_quat_sixD,
H_pos_quat,
H_pos_euler,
H_pos_sixD,
H_euler_quat,
H_euler_sixD,
H_quat_sixD,
H_pos_only,
H_euler_only,
H_quat_only,
H_sixD_only,
L_pos_euler_quat_sixD,
L_pos_euler_quat,
L_pos_euler_sixD,
L_pos_quat_sixD,
L_euler_quat_sixD,
L_pos_quat,
L_pos_euler,
L_pos_sixD,
L_euler_quat,
L_euler_sixD,
L_quat_sixD,
L_pos_only,
L_euler_only,
L_quat_only,
L_sixD_only,
R_pos_euler_quat_sixD,
R_pos_euler_quat,
R_pos_euler_sixD,
R_pos_quat_sixD,
R_euler_quat_sixD,
R_pos_quat,
R_pos_euler,
R_pos_sixD,
R_euler_quat,
R_euler_sixD,
R_quat_sixD,
R_pos_only,
R_euler_only,
R_quat_only,
R_sixD_only,
H+L+R_pos_euler_quat_build_time,5.171533805822206
H+L+R_pos_euler_quat_gender,5.0754685451080235
H+L+R_pos_euler_quat_none,5.066904756310682
H+L+R_pos_euler_quat_sixD_none,5.2310428715323605
H+L+R_pos_euler_quat_sixD_gender,5.270221825999177
H+L+R_pos_euler_quat_all,5.114200584553526
H+L+R_pos_euler_quat_sixD_all,5.2073940105346725
H+L+R_pos_euler_quat_sixD_build_time,5.175546900017979
H+L+R_pos_euler_sixD_none,5.086714722359282
H+L+R_pos_euler_sixD_gender,5.101671061431501
H+L+R_pos_euler_sixD_build_time,5.158552768622869
H+L+R_pos_euler_sixD_all,5.103612166187507
H+L+R_pos_quat_sixD_none,5.286820990961978
H+L+R_pos_quat_sixD_gender,5.271667306505238
H+L+R_pos_quat_none,5.079520037318861
H+L+R_pos_quat_gender,5.07861998503343
H+L+R_pos_quat_sixD_all,5.277734001489294
H+L+R_pos_quat_sixD_build_time,5.291574614872392
H+L+R_euler_quat_sixD_none,5.386579442952465
H+L+R_euler_quat_sixD_build_time,5.362799553182931
H+L+R_euler_quat_sixD_gender,5.3893722578175405
H+L+R_euler_quat_sixD_all,5.367201984540655
H+L+R_pos_euler_none,4.892131680663592
H+L+R_pos_quat_build_time,5.144354279438864
H+L+R_pos_quat_all,5.107641334314695
H+L+R_pos_euler_gender,4.9635624687267095
H+L+R_pos_euler_build_time,4.825803658706076
H+L+R_pos_euler_all,4.918846167451022
H+L+R_pos_sixD_none,5.20516227275522
H+L+R_pos_sixD_gender,5.154267764724316
H+L+R_euler_quat_none,5.19629904927765
H+L+R_pos_sixD_build_time,5.157703438731696
H+L+R_pos_sixD_all,5.170502416409381
H+L+R_euler_quat_gender,5.231625441667701
H+L+R_euler_quat_build_time,5.123875021709179
H+L+R_euler_quat_all,5.174663550139551
H+L+R_euler_sixD_none,5.337129601288728
H+L+R_euler_sixD_gender,5.363225752864639
H+L+R_euler_sixD_build_time,5.325339246962403
H+L+R_euler_sixD_all,5.362764035013856
H+L+R_pos_only_none,5.096067578231745
H+L+R_quat_sixD_none,5.3010690745672555
H+L+R_pos_only_gender,5.197765087493076
H+L+R_quat_sixD_build_time,5.336201609670273
H+L+R_quat_sixD_gender,5.256035079972808
H+L+R_quat_sixD_all,5.323514771634388
H+L+R_pos_only_build_time,5.160841570353203
H+L+R_pos_only_all,5.0624669311089265
H+L+R_euler_only_none,5.037194986630291
H+L+R_euler_only_gender,5.099467759342286
H+L+R_euler_only_build_time,5.004493219193366
H+L+R_euler_only_all,5.13731447353576
H+L+R_quat_only_none,5.3504605943253685
H+L+R_quat_only_gender,5.405006497507218
H+L+R_quat_only_all,5.218282877583027
H+L+R_quat_only_build_time,5.247439284795875
H+L+R_sixD_only_none,5.311586616158337
H+L+R_sixD_only_gender,5.242899960899502
H+L+R_sixD_only_build_time,5.368692312179674
H+L+R_sixD_only_all,5.3196491112353135
H+L_pos_euler_quat_sixD_none,5.0747929819376685
H+L_pos_euler_quat_sixD_gender,5.012707661058852
H+L_pos_euler_quat_gender,4.953690303102085
H+L_pos_euler_quat_none,4.925154094761184
H+L_pos_euler_quat_build_time,4.936781291875256
H+L_pos_euler_quat_sixD_build_time,5.153306844014961
H+L_pos_euler_quat_all,4.920859390681382
H+L_pos_euler_quat_sixD_all,5.137907671231086
H+L_pos_euler_sixD_none,5.1987177906351745
H+L_pos_euler_sixD_build_time,5.090607597751541
H+L_pos_euler_sixD_gender,5.253098858678335
H+L_pos_euler_sixD_all,5.133382807430111
H+L_pos_quat_sixD_build_time,5.178085691505253
H+L_pos_quat_sixD_gender,5.2331179816170605
H+L_pos_quat_sixD_none,5.243299579100023
H+L_pos_quat_sixD_all,5.186465903814328
H+L_pos_quat_none,4.942873658106183
H+L_pos_quat_gender,4.919814166060688
H+L_euler_quat_sixD_none,5.291826581760647
H+L_euler_quat_sixD_gender,5.224010500973913
