,full
Gender,4.062857142857143
Head_position_x_min,3.7142857142857144
Head_position_x_max,4.0285714285714285
Head_position_x_median,4.154285714285715
Head_position_x_mean,4.081904761904763
Head_position_x_std,4.034285714285714
Head_position_y_min,4.177142857142857
Head_position_y_max,4.019047619047618
Head_position_y_median,4.024761904761904
Head_position_y_mean,4.165714285714286
Head_position_y_std,4.607619047619048
Head_position_z_min,3.998095238095239
Head_position_z_max,3.9599999999999995
Head_position_z_median,3.9980952380952384
Head_position_z_mean,3.940952380952381
Head_position_z_std,3.9980952380952384
Head_euler_x_min,3.984761904761905
Head_euler_x_max,3.895238095238095
Head_euler_x_median,3.7657142857142856
Head_euler_x_mean,3.855238095238095
Head_euler_x_std,3.937142857142857
Head_euler_y_min,3.9695238095238095
Head_euler_y_max,3.921904761904762
Head_euler_y_median,4.0876190476190475
Head_euler_y_mean,4.148571428571428
Head_euler_y_std,4.177142857142857
Head_euler_z_min,4.003809523809523
Head_euler_z_max,4.392380952380953
Head_euler_z_median,4.236190476190477
Head_euler_z_mean,4.011428571428572
Head_euler_z_std,4.0685714285714285
Head_quat_x_min,3.910476190476191
Head_quat_x_max,3.940952380952381
Head_quat_x_median,4.0685714285714285
Head_quat_x_mean,3.9638095238095237
Head_quat_x_std,3.843809523809524
Head_quat_y_min,4.241904761904762
Head_quat_y_max,4.163809523809524
Head_quat_y_median,4.12952380952381
Head_quat_y_mean,4.241904761904762
Head_quat_y_std,3.9599999999999995
Head_quat_z_min,4.04
Head_quat_z_max,3.942857142857142
Head_quat_z_median,3.7961904761904757
Head_quat_z_mean,3.893333333333333
Head_quat_z_std,3.937142857142857
Head_quat_w_min,4.099047619047619
Head_quat_w_max,4.196190476190476
Head_quat_w_median,3.857142857142857
Head_quat_w_mean,4.038095238095238
Head_quat_w_std,4.053333333333333
Head_sixD_a_min,3.9485714285714293
Head_sixD_a_max,4.394285714285714
Head_sixD_a_median,4.123809523809523
Head_sixD_a_mean,3.910476190476191
Head_sixD_a_std,3.9161904761904767
Head_sixD_b_min,4.072380952380952
Head_sixD_b_max,4.005714285714285
Head_sixD_b_median,4.154285714285714
Head_sixD_b_mean,4.0304761904761905
Head_sixD_b_std,4.1085714285714285
Head_sixD_c_min,4.0876190476190475
Head_sixD_c_max,4.276190476190476
Head_sixD_c_median,4.074285714285715
Head_sixD_c_mean,4.0876190476190475
Head_sixD_c_std,3.826666666666666
Head_sixD_d_min,4.013333333333333
Head_sixD_d_max,3.893333333333333
Head_sixD_d_median,4.078095238095239
Head_sixD_d_mean,4.159999999999999
Head_sixD_d_std,4.161904761904762
Head_sixD_e_min,4.072380952380952
Head_sixD_e_max,4.017142857142857
