,full
Gender,5.121792840867532
Head_position_x_min,4.6691693969209185
Head_position_x_max,5.195932475091866
Head_position_x_median,5.302613910677854
Head_position_x_mean,5.197471912931737
Head_position_x_std,5.056933006138348
Head_position_y_min,5.236465547348844
Head_position_y_max,4.948496645206405
Head_position_y_median,5.023715187559332
Head_position_y_mean,5.265340399614209
Head_position_y_std,5.518971608827828
Head_position_z_min,5.1294481277461115
Head_position_z_max,4.900962004691382
Head_position_z_median,5.054860932569664
Head_position_z_mean,5.077794796956647
Head_position_z_std,4.932187769182779
Head_euler_x_min,5.0463754083406
Head_euler_x_max,4.824500961116033
Head_euler_x_median,4.806463901673999
Head_euler_x_mean,4.909155683395009
Head_euler_x_std,4.830892651417935
Head_euler_y_min,4.823750763521208
Head_euler_y_max,4.812562924758689
Head_euler_y_median,5.129633793668205
Head_euler_y_mean,5.225286503878907
Head_euler_y_std,5.140872632984737
Head_euler_z_min,5.010997429464043
Head_euler_z_max,5.416517946676321
Head_euler_z_median,5.254367797592871
Head_euler_z_mean,5.053617280626583
Head_euler_z_std,4.9764397294604485
Head_quat_x_min,4.920820682617504
Head_quat_x_max,4.86139309839709
Head_quat_x_median,5.130302135352264
Head_quat_x_mean,4.872351539432426
Head_quat_x_std,4.870279154999131
Head_quat_y_min,5.317392844869247
Head_quat_y_max,5.118705193419802
Head_quat_y_median,5.187751141367703
Head_quat_y_mean,5.308214658163596
Head_quat_y_std,4.856139952482346
Head_quat_z_min,5.087912847411711
Head_quat_z_max,4.884104440987742
Head_quat_z_median,5.0265201443846586
Head_quat_z_mean,5.074605309540738
Head_quat_z_std,4.9910777536377
Head_quat_w_min,5.032314624125809
Head_quat_w_max,5.351955583843029
Head_quat_w_median,4.778961831870619
Head_quat_w_mean,5.004759639345235
Head_quat_w_std,5.155856586723213
Head_sixD_a_min,4.990848768353078
Head_sixD_a_max,5.423651906234396
Head_sixD_a_median,5.141539513747665
Head_sixD_a_mean,4.808207269124028
Head_sixD_a_std,4.951498089804067
Head_sixD_b_min,5.059267780636885
Head_sixD_b_max,5.0412772380098465
Head_sixD_b_median,5.248165212265911
Head_sixD_b_mean,5.145501965424799
Head_sixD_b_std,5.041503932832137
Head_sixD_c_min,5.145427928892657
Head_sixD_c_max,5.2596215688601635
Head_sixD_c_median,5.096889807940301
Head_sixD_c_mean,5.258426344358892
Head_sixD_c_std,4.777128047368249
Head_sixD_d_min,5.19695881765297
Head_sixD_d_max,4.971461412042597
Head_sixD_d_median,5.023032663924966
Head_sixD_d_mean,5.286460693759735
Head_sixD_d_std,5.196225736509327
Head_sixD_e_min,4.995388349458405
Head_sixD_e_max,4.920511007144337
Head_sixD_e_median,5.023298100802282
Head_sixD_e_mean,5.141724743053962
Head_sixD_e_std,4.927512653700744
Head_sixD_f_min,5.232353563122795
Head_sixD_f_max,5.025724302218015
Head_sixD_f_median,4.800952286488885
Head_sixD_f_mean,5.0091345132097
Head_sixD_f_std,4.821459964624428
Head_velocity_x_min,5.188962645205045
Head_velocity_x_max,4.892949251826794
Head_velocity_x_median,5.048790519944922
Head_velocity_x_mean,4.9304109748531495
Head_velocity_x_std,4.9064000962785235
Head_velocity_y_min,5.246350205256077
Head_velocity_y_max,4.834833921410232
Head_velocity_y_median,5.113232134095113
Head_velocity_y_mean,5.186392452048598
Head_velocity_y_std,5.072052275530517
Head_velocity_z_min,4.804482034418238
Head_velocity_z_max,4.85606150427827
Head_velocity_z_median,4.948227195769449
Head_velocity_z_mean,4.9451852485884835
Head_velocity_z_std,5.006357862520322
Head_angular_velocity_x_min,5.067130304601365
Head_angular_velocity_x_max,4.954536161077904
Head_angular_velocity_x_median,5.120974609620805
Head_angular_velocity_x_mean,5.034093288576925
Head_angular_velocity_x_std,5.154748157905347
Head_angular_velocity_y_min,5.197361968207662
Head_angular_velocity_y_max,5.1722335600782765
Head_angular_velocity_y_median,4.767588988357193
Head_angular_velocity_y_mean,4.95726499094775
Head_angular_velocity_y_std,5.055124698193479
Head_angular_velocity_z_min,4.827224382406026
Head_angular_velocity_z_max,5.336986843850055
Head_angular_velocity_z_median,4.898668429374699
Head_angular_velocity_z_mean,5.056669334839363
Head_angular_velocity_z_std,4.969813640273408
Head_pause_duration_min,4.681269669041265
Head_pause_duration_max,4.94892003610985
Head_pause_duration_median,4.681269669041265
Head_pause_duration_mean,4.832351295965458
Head_pause_duration_std,5.003693873625003
RightHand_time_since_pause_min,5.318825505871081
RightHand_time_since_pause_max,5.090944341250873
RightHand_time_since_pause_median,5.290314600421092
RightHand_time_since_pause_mean,5.141947009413754
RightHand_time_since_pause_std,5.123205841583773
RightHand_position_x_min,4.7978169638959365
RightHand_position_x_max,4.9026717691673465
RightHand_position_x_median,4.848995968730217
RightHand_position_x_mean,5.108909118486292
RightHand_position_x_std,4.967053356630976
RightHand_position_y_min,4.751140214025822
RightHand_position_y_max,5.128593977931592
RightHand_position_y_median,5.1964090164907795
RightHand_position_y_mean,5.245406153415169
RightHand_position_y_std,5.155782698882415
RightHand_position_z_min,5.352880844305553
RightHand_position_z_max,5.034433812210049
RightHand_position_z_median,4.802380362159701
RightHand_position_z_mean,4.8705920242478395
RightHand_position_z_std,5.104582441763665
RightHand_euler_x_min,5.0080696785050725
RightHand_euler_x_max,4.900612206653369
RightHand_euler_x_median,5.0987953759407025
RightHand_euler_x_mean,5.005254382004118
RightHand_euler_x_std,4.801785382245114
RightHand_euler_y_min,4.976133515281193
RightHand_euler_y_max,5.133716745112416
RightHand_euler_y_median,5.283865828655957
RightHand_euler_y_mean,5.20856437582784
RightHand_euler_y_std,5.044110191009671
RightHand_euler_z_min,4.847267271360225
RightHand_euler_z_max,4.8964904827456825
RightHand_euler_z_median,5.031065398861264
RightHand_euler_z_mean,5.095133065228125
RightHand_euler_z_std,4.91725823721193
RightHand_quat_x_min,5.122350650870769
RightHand_quat_x_max,4.990314428494271
RightHand_quat_x_median,4.887106457179906
RightHand_quat_x_mean,4.879929741883
RightHand_quat_x_std,4.901000869598936
RightHand_quat_y_min,5.4315480560991345
RightHand_quat_y_max,4.867227625856916
RightHand_quat_y_median,5.157149452574599
RightHand_quat_y_mean,5.02265344405202
RightHand_quat_y_std,5.221676432134106
RightHand_quat_z_min,5.030459602215667
RightHand_quat_z_max,5.032655268108382
RightHand_quat_z_median,4.894583984462049
RightHand_quat_z_mean,5.082369151338399
RightHand_quat_z_std,5.02326018210712
RightHand_quat_w_min,5.098309710557206
RightHand_quat_w_max,5.023032663924966
RightHand_quat_w_median,5.277625728803941
RightHand_quat_w_mean,5.193402408000806
RightHand_quat_w_std,5.120044642662517
RightHand_sixD_a_min,4.791102865381484
RightHand_sixD_a_max,4.9212077495555615
RightHand_sixD_a_median,5.1098411120578096
RightHand_sixD_a_mean,5.090121151144964
RightHand_sixD_a_std,5.267474320230305
RightHand_sixD_b_min,4.846402691442287
RightHand_sixD_b_max,5.0299673387181585
RightHand_sixD_b_median,4.901816961475564
RightHand_sixD_b_mean,5.102641706111882
RightHand_sixD_b_std,4.760352127831761
RightHand_sixD_c_min,4.8336124714140585
RightHand_sixD_c_max,5.333880924269468
RightHand_sixD_c_median,4.88121764668261
RightHand_sixD_c_mean,5.0762565885089925
RightHand_sixD_c_std,5.153861243212289
RightHand_sixD_d_min,4.9135769145540085
RightHand_sixD_d_max,5.115429507638538
RightHand_sixD_d_median,4.934041133266109
RightHand_sixD_d_mean,5.04592244622659
RightHand_sixD_d_std,5.224849052273914
RightHand_sixD_e_min,4.960299530126324
RightHand_sixD_e_max,5.411838874172069
RightHand_sixD_e_median,5.185914990212844
RightHand_sixD_e_mean,4.827382214784639
RightHand_sixD_e_std,4.7534649016721024
RightHand_sixD_f_min,5.182534772354805
RightHand_sixD_f_max,5.123019942703067
RightHand_sixD_f_median,4.94005976443509
RightHand_sixD_f_mean,4.945300799749192
RightHand_sixD_f_std,4.828763028038587
RightHand_velocity_x_min,5.067092713916785
RightHand_velocity_x_max,5.10659704043048
RightHand_velocity_x_median,4.939982648899545
RightHand_velocity_x_mean,4.458998392763409
RightHand_velocity_x_std,5.130562022494871
RightHand_velocity_y_min,5.288189896453453
RightHand_velocity_y_max,4.75590860579413
RightHand_velocity_y_median,5.029967338718158
RightHand_velocity_y_mean,4.680903453699632
RightHand_velocity_y_std,5.24155556699581
RightHand_velocity_z_min,5.286820990961978
RightHand_velocity_z_max,5.099318348470472
RightHand_velocity_z_median,5.229877536579518
RightHand_velocity_z_mean,5.038858525310593
RightHand_velocity_z_std,5.187494119331147
RightHand_angular_velocity_x_min,4.965289038726269
RightHand_angular_velocity_x_max,4.987068993192008
RightHand_angular_velocity_x_median,4.70829056027769
RightHand_angular_velocity_x_mean,4.9961890238365445
RightHand_angular_velocity_x_std,5.270655511775506
RightHand_angular_velocity_y_min,5.13431035847492
RightHand_angular_velocity_y_max,5.152345744092361
RightHand_angular_velocity_y_median,5.075693712850162
RightHand_angular_velocity_y_mean,5.0621282932322895
RightHand_angular_velocity_y_std,5.38307754073112
RightHand_angular_velocity_z_min,5.189586642865645
RightHand_angular_velocity_z_max,4.923452137716071
RightHand_angular_velocity_z_median,4.774774988465549
RightHand_angular_velocity_z_mean,5.103873412372589
RightHand_angular_velocity_z_std,5.136832449968328
RightHand_pause_duration_max,5.0969645495184315
RightHand_pause_duration_std,5.018783764637652
LeftHand_time_since_pause_min,5.201941029672528
LeftHand_time_since_pause_max,4.948496645206405
LeftHand_time_since_pause_median,5.231006458744681
LeftHand_time_since_pause_mean,4.976363177682119
LeftHand_time_since_pause_std,5.067468608214371
LeftHand_position_x_min,5.0968898079403
LeftHand_position_x_max,5.006357862520322
LeftHand_position_x_median,5.1234289113369975
LeftHand_position_x_mean,5.205418422411493
LeftHand_position_x_std,5.0927399305285554
LeftHand_position_y_min,5.036287370294756
LeftHand_position_y_max,4.668679837874025
LeftHand_position_y_median,5.163867137090555
LeftHand_position_y_mean,4.885040332240774
LeftHand_position_y_std,5.028262977552842
LeftHand_position_z_min,5.130116493618369
LeftHand_position_z_max,5.208125519663618
LeftHand_position_z_median,5.120007440470784
LeftHand_position_z_mean,5.23886574419638
LeftHand_position_z_std,5.006205672772069
LeftHand_euler_x_min,5.064084555075318
LeftHand_euler_x_max,5.46800215975155
LeftHand_euler_x_median,4.983783225431784
LeftHand_euler_x_mean,5.177570675059695
LeftHand_euler_x_std,4.831010936301704
LeftHand_euler_y_min,5.160214096702726
LeftHand_euler_y_max,4.87070934503482
LeftHand_euler_y_median,5.227218143889685
LeftHand_euler_y_mean,5.139390365922143
