,full
Gender,3.8419344906785997
Head_position_x_min,3.829491406047478
Head_position_x_max,3.936567512057177
Head_position_x_median,4.038154027617542
Head_position_x_mean,4.096279666283429
Head_position_x_std,3.9232150941436355
Head_position_y_min,3.92348662557484
Head_position_y_max,3.990058651130256
Head_position_y_median,3.8489697311230544
Head_position_y_mean,3.8875583779099596
Head_position_y_std,4.100295629613232
Head_position_z_min,3.9479753407569698
Head_position_z_max,4.144414206829638
Head_position_z_median,3.891407985160642
Head_position_z_mean,4.041864307781678
Head_position_z_std,3.840997423599653
Head_euler_x_min,3.8765885562849363
Head_euler_x_max,3.8804165747832577
Head_euler_x_median,3.928584519030123
Head_euler_x_mean,3.7579129064821344
Head_euler_x_std,3.7579818208182134
Head_euler_y_min,3.9003595364404338
Head_euler_y_max,3.812958072917096
Head_euler_y_median,3.979220760995297
Head_euler_y_mean,3.8406034907918065
Head_euler_y_std,3.9843586922842107
Head_euler_z_min,3.958307947338142
Head_euler_z_max,3.950670205307575
Head_euler_z_median,3.864422054599034
Head_euler_z_mean,3.9434755929419976
Head_euler_z_std,3.9118351780836353
Head_quat_x_min,3.9660612958425494
Head_quat_x_max,3.9566012608280388
Head_quat_x_median,3.811627721633062
Head_quat_x_mean,3.8858905201790552
Head_quat_x_std,3.891577884692443
Head_quat_y_min,4.021239766849715
Head_quat_y_max,4.038828377960378
Head_quat_y_median,3.9651753308515856
Head_quat_y_mean,3.996179817911537
Head_quat_y_std,3.918182681151543
Head_quat_z_min,3.9723098330230266
Head_quat_z_max,3.7350986859863866
Head_quat_z_median,3.821641606945883
Head_quat_z_mean,3.9524246351108414
Head_quat_z_std,3.8925552480882804
Head_quat_w_min,3.909035635016264
Head_quat_w_max,4.0525131427996905
Head_quat_w_median,3.9248760484235157
Head_quat_w_mean,3.978864340447612
Head_quat_w_std,3.9433220559406714
Head_sixD_a_min,4.022371993884667
Head_sixD_a_max,3.917648972759535
Head_sixD_a_median,3.829592320333654
Head_sixD_a_mean,3.841251989517897
Head_sixD_a_std,3.868793891904285
Head_sixD_b_min,3.8784666612788725
Head_sixD_b_max,3.972729702034755
Head_sixD_b_median,3.952506401895849
Head_sixD_b_mean,3.925646949276188
Head_sixD_b_std,3.930151955728606
Head_sixD_c_min,3.969179497403363
Head_sixD_c_max,3.8692302354376205
Head_sixD_c_median,3.8587840952360315
Head_sixD_c_mean,3.92035125066843
Head_sixD_c_std,3.7932803725127617
Head_sixD_d_min,3.849006322007357
Head_sixD_d_max,3.7635610798870665
Head_sixD_d_median,3.8030964436985615
Head_sixD_d_mean,3.9510275133699935
Head_sixD_d_std,4.04281476332078
Head_sixD_e_min,4.071820086899929
Head_sixD_e_max,3.922508076874218
Head_sixD_e_median,3.8690068844475194
Head_sixD_e_mean,4.014344220427206
Head_sixD_e_std,3.871532505241631
Head_sixD_f_min,4.012733263579654
Head_sixD_f_max,3.8126958224693563
Head_sixD_f_median,3.999963303593329
Head_sixD_f_mean,3.8242018613606703
Head_sixD_f_std,3.8030858938067853
Head_velocity_x_min,3.8049644146911517
Head_velocity_x_max,3.848229068368679
Head_velocity_x_median,3.762943085675297
Head_velocity_x_mean,3.9442482733268327
Head_velocity_x_std,3.8687084125907925
Head_velocity_y_min,4.120138980411045
Head_velocity_y_max,3.968657737574132
Head_velocity_y_median,4.044575259209037
Head_velocity_y_mean,3.8609456522762504
Head_velocity_y_std,3.9945774400666085
Head_velocity_z_min,3.987685693284719
Head_velocity_z_max,3.9637032534501206
Head_velocity_z_median,3.9465640648499734
Head_velocity_z_mean,3.979429337260063
Head_velocity_z_std,4.033103740312775
Head_angular_velocity_x_min,4.019159505550372
Head_angular_velocity_x_max,3.9482933538051292
Head_angular_velocity_x_median,3.871506442259482
Head_angular_velocity_x_mean,3.837807449952439
Head_angular_velocity_x_std,4.041064383173459
Head_angular_velocity_y_min,3.9156358727687595
Head_angular_velocity_y_max,4.006526584631863
Head_angular_velocity_y_median,3.686244561705706
Head_angular_velocity_y_mean,3.947323416577608
Head_angular_velocity_y_std,4.11586933187434
Head_angular_velocity_z_min,3.9422111096090453
Head_angular_velocity_z_max,4.016286558724118
Head_angular_velocity_z_median,3.9026322061348098
Head_angular_velocity_z_mean,3.975717167824544
Head_angular_velocity_z_std,3.775896713316985
Head_pause_duration_min,3.863492063492063
Head_pause_duration_max,3.704172563792422
Head_pause_duration_median,3.863492063492063
Head_pause_duration_mean,3.733804358385516
Head_pause_duration_std,3.8940841532344033
RightHand_time_since_pause_min,3.927981745729223
RightHand_time_since_pause_max,3.884817867807809
RightHand_time_since_pause_median,3.8656083946271287
RightHand_time_since_pause_mean,3.9328272888198064
RightHand_time_since_pause_std,3.942028657889224
RightHand_position_x_min,3.8214517416960287
RightHand_position_x_max,3.9835091057387717
RightHand_position_x_median,3.9246992860892234
RightHand_position_x_mean,3.88506336601894
RightHand_position_x_std,3.9583005602660077
RightHand_position_y_min,3.839780297359679
RightHand_position_y_max,3.9826243581209715
RightHand_position_y_median,4.0581531468632726
RightHand_position_y_mean,3.966443636226208
RightHand_position_y_std,3.8478339006570286
RightHand_position_z_min,3.937498408659836
RightHand_position_z_max,3.8076464080006134
RightHand_position_z_median,3.9093102705698684
RightHand_position_z_mean,3.8533625675833822
