,full
Gender,22.961739581905242
Head_position_x_min,22.532702890218097
Head_position_x_max,23.58313103422038
Head_position_x_median,25.467079121055445
Head_position_x_mean,25.275798342538945
Head_position_x_std,23.3802132935231
Head_position_y_min,23.409042532650076
Head_position_y_max,24.65121772840974
Head_position_y_median,22.977975122561322
Head_position_y_mean,23.768138464732964
Head_position_y_std,25.16274180297893
Head_position_z_min,24.139922035589386
Head_position_z_max,25.66606132511011
Head_position_z_median,24.135726825486195
Head_position_z_mean,24.780659846462623
Head_position_z_std,22.491278965731084
Head_euler_x_min,23.318175931706588
Head_euler_x_max,23.341667441472417
Head_euler_x_median,23.836862051201248
Head_euler_x_mean,22.855991125446632
Head_euler_x_std,22.34572915684961
Head_euler_y_min,23.736144453767835
Head_euler_y_max,22.014963330420922
Head_euler_y_median,24.014622335977876
Head_euler_y_mean,23.697307020667267
Head_euler_y_std,24.418478231393255
Head_euler_z_min,23.739100632238834
Head_euler_z_max,24.174826778768967
Head_euler_z_median,24.15147619933743
Head_euler_z_mean,24.15967485538159
Head_euler_z_std,23.409643250827322
Head_quat_x_min,23.22184247819073
Head_quat_x_max,23.92004381975152
Head_quat_x_median,22.903143819882864
Head_quat_x_mean,23.27309423906717
Head_quat_x_std,23.51328373809398
Head_quat_y_min,25.35420336289909
Head_quat_y_max,24.520841039762455
Head_quat_y_median,24.069943619785633
Head_quat_y_mean,24.281547367421688
Head_quat_y_std,23.166257971185225
Head_quat_z_min,23.942414644045055
Head_quat_z_max,21.60422580706029
Head_quat_z_median,24.15096703483282
Head_quat_z_mean,24.735397604622147
Head_quat_z_std,23.584708421476442
Head_quat_w_min,23.70573927202666
Head_quat_w_max,25.817072992862883
Head_quat_w_median,24.148161864901038
Head_quat_w_mean,24.1700676373495
Head_quat_w_std,24.700680650833753
Head_sixD_a_min,24.20162349551816
Head_sixD_a_max,23.42513551680979
Head_sixD_a_median,23.25239011987208
Head_sixD_a_mean,23.118922827786776
Head_sixD_a_std,23.46511596643173
Head_sixD_b_min,23.422648907694562
Head_sixD_b_max,25.058864076128845
Head_sixD_b_median,24.55169564860226
Head_sixD_b_mean,24.473602466561417
Head_sixD_b_std,23.547690588554712
Head_sixD_c_min,23.694078263996467
Head_sixD_c_max,23.31684918231159
Head_sixD_c_median,23.303585626790795
Head_sixD_c_mean,24.957197278992545
Head_sixD_c_std,22.38102383302473
Head_sixD_d_min,23.333401774456163
Head_sixD_d_max,23.123041762484178
Head_sixD_d_median,23.16370060445657
Head_sixD_d_mean,24.65220851435849
Head_sixD_d_std,25.42095049306896
Head_sixD_e_min,23.903723827966235
Head_sixD_e_max,23.382781973758213
Head_sixD_e_median,22.91384304763336
Head_sixD_e_mean,24.769581265780985
Head_sixD_e_std,22.73832517680218
Head_sixD_f_min,24.13767890459641
Head_sixD_f_max,22.40853741112109
Head_sixD_f_median,24.980103920743474
Head_sixD_f_mean,23.41056844398663
Head_sixD_f_std,22.79226732499153
Head_velocity_x_min,22.618620328544495
Head_velocity_x_max,22.853127972283417
Head_velocity_x_median,22.63333843210591
Head_velocity_x_mean,22.782921425277973
Head_velocity_x_std,23.80838793086191
Head_velocity_y_min,24.60824181334429
Head_velocity_y_max,24.217660493979466
Head_velocity_y_median,25.464234405923328
Head_velocity_y_mean,23.548664348348446
Head_velocity_y_std,24.62014466008109
Head_velocity_z_min,23.833915361382974
Head_velocity_z_max,23.781112318732564
Head_velocity_z_median,24.274827980300053
Head_velocity_z_mean,24.65668425721763
Head_velocity_z_std,25.18375647784022
Head_angular_velocity_x_min,24.735211824217313
Head_angular_velocity_x_max,24.83199857473252
Head_angular_velocity_x_median,22.825185324308396
Head_angular_velocity_x_mean,22.85926725871903
Head_angular_velocity_x_std,24.994363123363296
Head_angular_velocity_y_min,24.1343705835193
Head_angular_velocity_y_max,24.667145103234557
Head_angular_velocity_y_median,22.53583446960052
Head_angular_velocity_y_mean,23.413310393713818
Head_angular_velocity_y_std,25.5438807952433
Head_angular_velocity_z_min,23.211249488073346
Head_angular_velocity_z_max,25.194437189936483
Head_angular_velocity_z_median,23.75730119150692
Head_angular_velocity_z_mean,24.221067971649354
Head_angular_velocity_z_std,23.28143711202368
Head_pause_duration_min,23.16888888888889
Head_pause_duration_max,22.578042156004155
Head_pause_duration_median,23.16888888888889
Head_pause_duration_mean,22.237447810152375
Head_pause_duration_std,23.577925450758833
RightHand_time_since_pause_min,23.380192793358027
