,full
Gender,-0.3514765363904062
Head_position_x_min,-0.326224398154213
Head_position_x_max,-0.38805024478570815
Head_position_x_median,-0.4989352074015905
Head_position_x_mean,-0.48767684942285716
Head_position_x_std,-0.3761069612905048
Head_position_y_min,-0.3778037857015264
Head_position_y_max,-0.4509154341098325
Head_position_y_median,-0.3524321239308901
Head_position_y_mean,-0.3989393675589963
Head_position_y_std,-0.48102259485491206
Head_position_z_min,-0.4208217154027045
Head_position_z_max,-0.5106468540292286
Head_position_z_median,-0.4205747947371572
Head_position_z_mean,-0.458534107109112
Head_position_z_std,-0.3237862787865704
Head_euler_x_min,-0.37245558119469324
Head_euler_x_max,-0.37383823881693723
Head_euler_x_median,-0.4029842838545228
Head_euler_x_mean,-0.345252419216987
Head_euler_x_std,-0.31521954320115175
Head_euler_y_min,-0.3970562717695787
Head_euler_y_max,-0.2957514078770136
Head_euler_y_median,-0.4134468558700597
Head_euler_y_mean,-0.3947703874888244
Head_euler_y_std,-0.43721690886582376
Head_euler_z_min,-0.3972302658098248
Head_euler_z_max,-0.42287613036754923
Head_euler_z_median,-0.4215017675889683
Head_euler_z_mean,-0.42198432211120274
Head_euler_z_std,-0.37783914262727825
Head_quat_x_min,-0.3667856099962248
Head_quat_x_max,-0.40788017634777884
Head_quat_x_median,-0.3480277211461307
Head_quat_x_mean,-0.3698021737903625
Head_quat_x_std,-0.38393918945784744
Head_quat_y_min,-0.49229159322194826
Head_quat_y_max,-0.44324175437966384
Head_quat_y_median,-0.4167029426644635
Head_quat_y_mean,-0.4291574650634442
Head_quat_y_std,-0.36351403047426323
Head_quat_z_min,-0.40919687293448903
Head_quat_z_max,-0.2715763176815631
Head_quat_z_median,-0.42147179930722345
Head_quat_z_mean,-0.4558700729834033
Head_quat_z_std,-0.38814308626480276
Head_quat_w_min,-0.3952666909078453
Head_quat_w_max,-0.519535062388228
Head_quat_w_median,-0.4213066932911975
Head_quat_w_mean,-0.4225960179684505
Head_quat_w_std,-0.453826710881303
Head_sixD_a_min,-0.42445332506613265
Head_sixD_a_max,-0.37875098268609175
Head_sixD_a_median,-0.36858357573079537
Head_sixD_a_mean,-0.3607279900080571
Head_sixD_a_std,-0.38110414235788626
Head_sixD_b_min,-0.3786046264458591
Head_sixD_b_max,-0.47490858463409724
Head_sixD_b_median,-0.4450577875132926
Head_sixD_b_mean,-0.44046139781887095
Head_sixD_b_std,-0.38596429957299816
Head_sixD_c_min,-0.39458035010656367
Head_sixD_c_max,-0.3723774916984415
Head_sixD_c_median,-0.37159682854304243
Head_sixD_c_mean,-0.4689247047817209
Head_sixD_c_std,-0.31729690874830596
Head_sixD_d_min,-0.3733517401790516
Head_sixD_d_max,-0.3609704212741467
Head_sixD_d_median,-0.3633635095994667
Head_sixD_d_mean,-0.45097374955050484
Head_sixD_d_std,-0.4962201797288288
Head_sixD_e_min,-0.4069196182030781
Head_sixD_e_max,-0.376258148052939
Head_sixD_e_median,-0.34865745371542123
Head_sixD_e_mean,-0.45788204667639376
Head_sixD_e_std,-0.33832686515964516
Head_sixD_f_min,-0.420689689739133
Head_sixD_f_max,-0.31891629629935525
Head_sixD_f_median,-0.4702729383832498
Head_sixD_f_mean,-0.37789359742335216
Head_sixD_f_std,-0.3415017791220807
Head_velocity_x_min,-0.331281306040077
Head_velocity_x_max,-0.3450839004378947
Head_velocity_x_median,-0.3321475806336227
Head_velocity_x_mean,-0.34095170040834555
Head_velocity_x_std,-0.40130836093954914
Head_velocity_y_min,-0.4483859680546285
Head_velocity_y_max,-0.42539722685794934
Head_velocity_y_median,-0.4987677738436902
Head_velocity_y_mean,-0.3860216128923404
Head_velocity_y_std,-0.4490865429402402
Head_velocity_z_min,-0.4028108482951125
Head_velocity_z_max,-0.3997029795320557
Head_velocity_z_median,-0.4287619769950677
Head_velocity_z_mean,-0.45123718174541616
Head_velocity_z_std,-0.48225947152506166
Head_angular_velocity_x_min,-0.4558591383650936
Head_angular_velocity_x_max,-0.46155578960914223
Head_angular_velocity_x_median,-0.34343925879529813
Head_angular_velocity_x_mean,-0.34544524507985064
Head_angular_velocity_x_std,-0.4711122030957331
Head_angular_velocity_y_min,-0.42049496937421416
Head_angular_velocity_y_max,-0.45185288370006305
Head_angular_velocity_y_median,-0.3264087158990463
Head_angular_velocity_y_mean,-0.37805498243980673
Head_angular_velocity_y_std,-0.5034555818379498
Head_angular_velocity_z_min,-0.36616213033594924
Head_angular_velocity_z_max,-0.4828881143044359
Head_angular_velocity_z_median,-0.3983015099423637
Head_angular_velocity_z_mean,-0.42559778335771714
Head_angular_velocity_z_std,-0.3702932165968795
Head_pause_duration_min,-0.3636688803946275
Head_pause_duration_max,-0.3288929657367541
Head_pause_duration_median,-0.3636688803946275
Head_pause_duration_mean,-0.3088463457842894
Head_pause_duration_std,-0.38774385580845294
RightHand_time_since_pause_min,-0.3761057546967279
RightHand_time_since_pause_max,-0.3803418765035753
RightHand_time_since_pause_median,-0.3845402563696525
RightHand_time_since_pause_mean,-0.39295740890747966
RightHand_time_since_pause_std,-0.4031275189158041
RightHand_position_x_min,-0.3307346131096487
RightHand_position_x_max,-0.43670879255886597
RightHand_position_x_median,-0.43808940687707776
RightHand_position_x_mean,-0.41752364018410604
RightHand_position_x_std,-0.3843270210469516
RightHand_position_y_min,-0.3386921366904774
RightHand_position_y_max,-0.46844465317484096
RightHand_position_y_median,-0.4590658481044054
RightHand_position_y_mean,-0.4350554214610307
RightHand_position_y_std,-0.39300705931623714
RightHand_position_z_min,-0.3897255610110473
RightHand_position_z_max,-0.3120602997543025
RightHand_position_z_median,-0.38068704241109197
RightHand_position_z_mean,-0.35331094964531484
RightHand_position_z_std,-0.4387003047317941
RightHand_euler_x_min,-0.37758352880634116
RightHand_euler_x_max,-0.3764770986558945
RightHand_euler_x_median,-0.3603476662396925
RightHand_euler_x_mean,-0.3655431243501521
RightHand_euler_x_std,-0.390775426501083
RightHand_euler_y_min,-0.37936098541612684
RightHand_euler_y_max,-0.42245948949529377
RightHand_euler_y_median,-0.480515372895979
RightHand_euler_y_mean,-0.45751060898983353
RightHand_euler_y_std,-0.35640709226748823
RightHand_euler_z_min,-0.34536833231285646
RightHand_euler_z_max,-0.4580254420822629
RightHand_euler_z_median,-0.3396055696216216
RightHand_euler_z_mean,-0.3427154370874872
RightHand_euler_z_std,-0.32489259457842556
RightHand_quat_x_min,-0.4244167143241566
RightHand_quat_x_max,-0.4343015737656928
RightHand_quat_x_median,-0.3189829666778097
RightHand_quat_x_mean,-0.33086316561674
RightHand_quat_x_std,-0.33845815673219715
RightHand_quat_y_min,-0.4122882177925655
RightHand_quat_y_max,-0.3815142296439511
RightHand_quat_y_median,-0.3788475858257676
RightHand_quat_y_mean,-0.3874900939501871
RightHand_quat_y_std,-0.3830226346687504
RightHand_quat_z_min,-0.4457961094714362
RightHand_quat_z_max,-0.3889598953439235
RightHand_quat_z_median,-0.3237614088970353
RightHand_quat_z_mean,-0.27314764200898023
RightHand_quat_z_std,-0.37464100216008833
RightHand_quat_w_min,-0.4558661260322121
RightHand_quat_w_max,-0.46355384996434634
RightHand_quat_w_median,-0.372313682460198
RightHand_quat_w_mean,-0.41006399633401025
RightHand_quat_w_std,-0.4191973249573291
RightHand_sixD_a_min,-0.3394292230268636
RightHand_sixD_a_max,-0.36774014299995716
RightHand_sixD_a_median,-0.3865280866169978
RightHand_sixD_a_mean,-0.3893011363360732
RightHand_sixD_a_std,-0.42532745090110335
RightHand_sixD_b_min,-0.36154363913085574
RightHand_sixD_b_max,-0.38904211463906724
RightHand_sixD_b_median,-0.3433834525927868
RightHand_sixD_b_mean,-0.3220204249246432
RightHand_sixD_b_std,-0.32162978186393376
RightHand_sixD_c_min,-0.31864371355671994
RightHand_sixD_c_max,-0.39034372146237617
RightHand_sixD_c_median,-0.34934227816772556
RightHand_sixD_c_mean,-0.39640799980579033
RightHand_sixD_c_std,-0.41324765196925695
RightHand_sixD_d_min,-0.32987641353083896
RightHand_sixD_d_max,-0.41016790587348106
RightHand_sixD_d_median,-0.33802753200669455
RightHand_sixD_d_mean,-0.3694307379879658
RightHand_sixD_d_std,-0.5001629351190071
RightHand_sixD_e_min,-0.3789356366923602
RightHand_sixD_e_max,-0.44025707925120616
RightHand_sixD_e_median,-0.45557989319228187
RightHand_sixD_e_mean,-0.36734136155802655
RightHand_sixD_e_std,-0.3426270613061082
RightHand_sixD_f_min,-0.41644329602248664
RightHand_sixD_f_max,-0.38349055139200394
RightHand_sixD_f_median,-0.34882523223807893
