,full
Gender,3.9722831519886763
Head_position_x_min,3.917166604040322
Head_position_x_max,3.9761367221652044
Head_position_x_median,4.074276441567381
Head_position_x_mean,4.057248210918111
Head_position_x_std,3.905762809902052
Head_position_y_min,3.9026432370768265
Head_position_y_max,3.9221601558135175
Head_position_y_median,3.867923811143177
Head_position_y_mean,3.8633488037188113
Head_position_y_std,4.034889902025791
Head_position_z_min,3.9602024764566033
Head_position_z_max,4.094094497502372
Head_position_z_median,3.889171383604557
Head_position_z_mean,3.9459998076158747
Head_position_z_std,3.892826825221829
Head_euler_x_min,3.8847526713946916
Head_euler_x_max,4.037191631519675
Head_euler_x_median,3.9330664804672124
Head_euler_x_mean,3.8980368185136056
Head_euler_x_std,3.859409018343206
Head_euler_y_min,3.873126573075313
Head_euler_y_max,3.822981462926474
Head_euler_y_median,4.054928985426395
Head_euler_y_mean,3.876334582893528
Head_euler_y_std,4.001492524852245
Head_euler_z_min,3.99329905095116
Head_euler_z_max,3.958949661869233
Head_euler_z_median,3.9996266061205175
Head_euler_z_mean,3.8277690405134233
Head_euler_z_std,3.871363159311969
Head_quat_x_min,4.01579186537307
Head_quat_x_max,4.006285546821633
Head_quat_x_median,3.8988555221954124
Head_quat_x_mean,3.954113816782338
Head_quat_x_std,3.8581252173118394
Head_quat_y_min,3.942535945584312
Head_quat_y_max,3.879966468324655
Head_quat_y_median,3.8963170271712957
Head_quat_y_mean,3.8907269579639627
Head_quat_y_std,3.97645216179539
Head_quat_z_min,3.851539523118108
Head_quat_z_max,3.7815280738853625
Head_quat_z_median,3.8831456610718624
Head_quat_z_mean,3.8467665030360276
Head_quat_z_std,3.8413103675557396
Head_quat_w_min,3.8333555053847044
Head_quat_w_max,3.819747679054271
Head_quat_w_median,3.900896373774344
Head_quat_w_mean,3.9305965662654967
Head_quat_w_std,3.891238181070729
Head_sixD_a_min,3.874144667200087
Head_sixD_a_max,4.037499895395941
Head_sixD_a_median,3.8793187800409497
Head_sixD_a_mean,3.8615994974653023
Head_sixD_a_std,3.858507785614062
Head_sixD_b_min,3.946699589495253
Head_sixD_b_max,4.027549234470154
Head_sixD_b_median,3.861126095494311
Head_sixD_b_mean,3.9446133443643285
Head_sixD_b_std,3.9498871930353
