,full
Gender,24.26272608152108
Head_position_x_min,24.443540483680117
Head_position_x_max,23.838017716673004
Head_position_x_median,25.452734118528205
Head_position_x_mean,25.281262891736226
Head_position_x_std,23.65632555318016
Head_position_y_min,24.772197935866867
Head_position_y_max,23.85557627329525
Head_position_y_median,23.577026184131725
Head_position_y_mean,23.25193686913533
Head_position_y_std,24.587558568456526
Head_position_z_min,23.8175355676548
Head_position_z_max,25.47365156835662
Head_position_z_median,24.217923669124573
Head_position_z_mean,24.341899681990835
Head_position_z_std,24.267106703610374
Head_euler_x_min,23.374517884173358
Head_euler_x_max,24.93010938259404
Head_euler_x_median,23.85205298293761
Head_euler_x_mean,23.447606384765148
Head_euler_x_std,22.700404663539288
Head_euler_y_min,23.106988066951615
Head_euler_y_max,22.412704844460393
Head_euler_y_median,25.335769944631796
Head_euler_y_mean,22.892517305974074
Head_euler_y_std,25.094365492229496
Head_euler_z_min,24.787047233980683
Head_euler_z_max,24.167095507306264
Head_euler_z_median,24.871625755523247
Head_euler_z_mean,23.488865941808573
Head_euler_z_std,23.432882941148065
Head_quat_x_min,24.521720633847217
Head_quat_x_max,24.355411208337298
Head_quat_x_median,23.429367338004933
Head_quat_x_mean,24.073773261267373
Head_quat_x_std,23.132418729618436
Head_quat_y_min,24.497699527741965
Head_quat_y_max,22.950998585045063
Head_quat_y_median,23.149366949621424
Head_quat_y_mean,23.407325332748037
Head_quat_y_std,23.966344458051534
Head_quat_z_min,22.678024110472297
Head_quat_z_max,22.756760064330894
Head_quat_z_median,23.7919456124738
Head_quat_z_mean,23.758561551604803
Head_quat_z_std,23.021350858974376
Head_quat_w_min,22.760918241718734
Head_quat_w_max,24.094790251072794
Head_quat_w_median,23.76224561876399
Head_quat_w_mean,24.04735736168859
Head_quat_w_std,24.393424731072574
Head_sixD_a_min,23.186697800288208
Head_sixD_a_max,25.308075831634202
Head_sixD_a_median,23.202092718089546
Head_sixD_a_mean,23.444112386916455
Head_sixD_a_std,23.510103092440513
Head_sixD_b_min,24.503998969223932
Head_sixD_b_max,26.563651299722807
Head_sixD_b_median,23.798711461045254
Head_sixD_b_mean,24.52559912077885
Head_sixD_b_std,23.92325079107745
Head_sixD_c_min,23.30680937058143
Head_sixD_c_max,23.531501845508775
Head_sixD_c_median,23.70097936148006
Head_sixD_c_mean,23.62058195324929
Head_sixD_c_std,23.758114487683944
Head_sixD_d_min,24.050825637037732
Head_sixD_d_max,23.602930269801178
Head_sixD_d_median,23.495019063595088
Head_sixD_d_mean,23.571371867250527
Head_sixD_d_std,23.811382936085774
Head_sixD_e_min,24.139926964221345
Head_sixD_e_max,23.302138929346626
Head_sixD_e_median,24.09994232206204
Head_sixD_e_mean,24.495190085453356
Head_sixD_e_std,24.070526453745945
Head_sixD_f_min,23.627995260712282
Head_sixD_f_max,23.423065482437625
Head_sixD_f_median,23.864189093869708
Head_sixD_f_mean,23.782636763762632
Head_sixD_f_std,22.548121752771923
Head_velocity_x_min,22.985245297245633
Head_velocity_x_max,26.43632613140535
Head_velocity_x_median,23.506767018144874
Head_velocity_x_mean,23.39127348389118
Head_velocity_x_std,24.864295688655233
Head_velocity_y_min,25.782288780113543
Head_velocity_y_max,22.915528563334444
Head_velocity_y_median,26.185355413540577
Head_velocity_y_mean,25.157273002978595
Head_velocity_y_std,25.453442331021858
Head_velocity_z_min,24.577328975985274
Head_velocity_z_max,23.938398923349784
Head_velocity_z_median,22.598867385937076
Head_velocity_z_mean,23.882037689923745
Head_velocity_z_std,24.432227094417836
Head_angular_velocity_x_min,24.508136969321516
Head_angular_velocity_x_max,28.113020980958023
Head_angular_velocity_x_median,23.379895083461236
Head_angular_velocity_x_mean,23.200449104017217
Head_angular_velocity_x_std,25.560506274419076
Head_angular_velocity_y_min,25.50954369991358
Head_angular_velocity_y_max,24.711105406823144
Head_angular_velocity_y_median,24.849441743377724
Head_angular_velocity_y_mean,24.164601915784772
Head_angular_velocity_y_std,26.328752036754032
Head_angular_velocity_z_min,23.91093162537691
Head_angular_velocity_z_max,25.721301611616095
Head_angular_velocity_z_median,24.03617494985515
Head_angular_velocity_z_mean,24.36820943040683
Head_angular_velocity_z_std,23.959731941735114
Head_pause_duration_min,24.008205650230796
Head_pause_duration_max,23.04250485635995
Head_pause_duration_median,23.989229265183464
Head_pause_duration_mean,24.236611149371587
Head_pause_duration_std,23.73543093771739
RightHand_time_since_pause_min,23.51748237473226
