,full
Gender,-0.42804968635231333
Head_position_x_min,-0.4386920168729491
Head_position_x_max,-0.40305230373443757
Head_position_x_median,-0.498090892698827
Head_position_x_mean,-0.4879984805429962
Head_position_x_std,-0.39235831014868605
Head_position_y_min,-0.4580360580139029
Head_position_y_max,-0.404085761029918
Head_position_y_median,-0.3876909269899651
Head_position_y_mean,-0.36855689840812866
Head_position_y_std,-0.4471685986100131
Head_position_z_min,-0.40184677034206473
Head_position_z_max,-0.499322046921415
Head_position_z_median,-0.4254127167572359
Head_position_z_mean,-0.43270966705433045
Head_position_z_std,-0.42830751995186955
Head_euler_x_min,-0.37577174225913046
Head_euler_x_max,-0.46733037190148896
Head_euler_x_median,-0.4038783880548762
Head_euler_x_mean,-0.38007356761854716
Head_euler_x_std,-0.33609494872579315
Head_euler_y_min,-0.3600255367301328
Head_euler_y_max,-0.31916158208682566
Head_euler_y_median,-0.4912066435305342
Head_euler_y_mean,-0.34740226835061705
Head_euler_y_std,-0.4769981184299805
Head_euler_z_min,-0.4589100544248066
Head_euler_z_max,-0.42242108505440856
Head_euler_z_median,-0.4638881566691784
Head_euler_z_mean,-0.3825020126867942
Head_euler_z_std,-0.3792069787212915
Head_quat_x_min,-0.44329352531639366
Head_quat_x_max,-0.4335049252168459
Head_quat_x_median,-0.37900005819846894
Head_quat_x_mean,-0.4169283467801619
Head_quat_x_std,-0.36152232854664446
Head_quat_y_min,-0.44187969684039374
Head_quat_y_max,-0.35084434538492104
Head_quat_y_median,-0.36251986279643056
Head_quat_y_mean,-0.37770271516339826
Head_quat_y_std,-0.41060532816213335
Head_quat_z_min,-0.3347776795252788
Head_quat_z_max,-0.33941190132849375
Head_quat_z_median,-0.40034060292512996
Head_quat_z_mean,-0.3983756919133601
Head_quat_z_std,-0.35498512257464676
Head_quat_w_min,-0.3396566423314029
Head_quat_w_max,-0.4181653597027353
Head_quat_w_median,-0.39859252785065347
Head_quat_w_mean,-0.4153735661268485
Head_quat_w_std,-0.4357423159798157
Head_sixD_a_min,-0.36471707301126166
Head_sixD_a_max,-0.4895766300997624
Head_sixD_a_median,-0.36562318337428334
Head_sixD_a_mean,-0.3798679187349394
Head_sixD_a_std,-0.38375198378225384
Head_sixD_b_min,-0.44225046784948363
Head_sixD_b_max,-0.5634769885084241
Head_sixD_b_median,-0.4007388256103266
Head_sixD_b_mean,-0.443521804365814
Head_sixD_b_std,-0.4080689314934598
Head_sixD_c_min,-0.37178657087841027
Head_sixD_c_max,-0.3850114664349775
Head_sixD_c_median,-0.3949865332396467
Head_sixD_c_mean,-0.3902545219552702
