,full
Gender,4.925720869225243
Head_position_x_min,4.944040906351819
Head_position_x_max,4.882419248351478
Head_position_x_median,5.045070278849265
Head_position_x_mean,5.028047622262166
Head_position_x_std,4.863776881517095
Head_position_y_min,4.9771676620209275
Head_position_y_max,4.884217058372329
Head_position_y_median,4.855618002286807
Head_position_y_mean,4.822026220287
Head_position_y_std,4.958584331082464
Head_position_z_min,4.880321256603381
Head_position_z_max,5.047142911425891
Head_position_z_median,4.921170965240344
Head_position_z_mean,4.9337510762087335
Head_position_z_std,4.926165517277142
Head_euler_x_min,4.834720041964514
Head_euler_x_max,4.993006046721157
Head_euler_x_median,4.883856363872469
Head_euler_x_mean,4.842272853192512
Head_euler_x_std,4.764494166597257
Head_euler_y_min,4.8069728589780505
Head_euler_y_max,4.7342058303859575
Head_euler_y_median,5.033465003815145
Head_euler_y_mean,4.784612555471349
Head_euler_y_std,5.009427661143486
Head_euler_z_min,4.978659180339691
Head_euler_z_max,4.916004018235366
Head_euler_z_median,4.987146053157382
Head_euler_z_mean,4.846531330942633
Head_euler_z_std,4.840752311485072
Head_quat_x_min,4.951941097574487
Head_quat_x_max,4.935120181752143
Head_quat_x_median,4.840389172164252
Head_quat_x_mean,4.906503160221888
Head_quat_x_std,4.809617316338009
Head_quat_y_min,4.9495150800600625
Head_quat_y_max,4.79072004870302
Head_quat_y_median,4.811378903144235
Head_quat_y_mean,4.838111752817213
Head_quat_y_std,4.895543326133631
Head_quat_z_min,4.762144906496682
Head_quat_z_max,4.770404601743011
Head_quat_z_median,4.87769880296783
Head_quat_z_mean,4.874275489916918
Head_quat_z_std,4.798056987883156
Head_quat_w_min,4.7708404125184
Head_quat_w_max,4.90864444129668
Head_quat_w_median,4.874653384474017
Head_quat_w_mean,4.903810494063631
Head_quat_w_std,4.938970007103968
Head_sixD_a_min,4.815256774076353
Head_sixD_a_max,5.030713252773825
Head_sixD_a_median,4.81685506509066
Head_sixD_a_mean,4.8419120589821185
Head_sixD_a_std,4.848721799860301
Head_sixD_b_min,4.950151408717105
Head_sixD_b_max,5.153993723290979
Head_sixD_b_median,4.878392302905257
Head_sixD_b_mean,4.9523326948801465
Head_sixD_b_std,4.891140029796474
Head_sixD_c_min,4.827712643745631
Head_sixD_c_max,4.85092793654047
Head_sixD_c_median,4.868365163119963
Head_sixD_c_mean,4.8601010229468775
Head_sixD_c_std,4.874229630175823
Head_sixD_d_min,4.904164111960134
Head_sixD_d_max,4.8582847044817346
Head_sixD_d_median,4.847166085827376
Head_sixD_d_mean,4.855035722551434
Head_sixD_d_std,4.8796908648075
Head_sixD_e_min,4.913239966073441
Head_sixD_e_max,4.8272289079084105
Head_sixD_e_median,4.909169208945852
Head_sixD_e_mean,4.949261569714553
Head_sixD_e_std,4.906172281294853
Head_sixD_f_min,4.860863633215016
Head_sixD_f_max,4.839738162590785
Head_sixD_f_median,4.885098678007406
