,full
Gender,3.8162776924968003
Head_position_x_min,3.8573333333333335
Head_position_x_max,4.094095238095238
Head_position_x_median,4.105904761904762
Head_position_x_mean,4.252666666666667
Head_position_x_std,4.112285714285714
Head_position_y_min,4.139428571428572
Head_position_y_max,3.9925714285714293
Head_position_y_median,4.2203809523809515
Head_position_y_mean,4.261142857142858
Head_position_y_std,4.195142857142857
Head_position_z_min,4.0655238095238095
Head_position_z_max,4.015047619047619
Head_position_z_median,4.073047619047619
Head_position_z_mean,4.145428571428571
Head_position_z_std,4.285333333333334
Head_euler_x_min,3.8651428571428568
Head_euler_x_max,3.958501587301588
Head_euler_x_median,3.914
Head_euler_x_mean,4.116190476190477
Head_euler_x_std,3.9755238095238097
Head_euler_y_min,4.017142857142857
Head_euler_y_max,3.9630108843537415
Head_euler_y_median,4.2239047619047625
Head_euler_y_mean,3.966666666666667
Head_euler_y_std,4.206666666666667
Head_euler_z_min,4.15752380952381
Head_euler_z_max,4.201738596852883
Head_euler_z_median,4.126190476190477
Head_euler_z_mean,4.060190476190476
Head_euler_z_std,4.183333333333334
Head_quat_x_min,3.948952380952381
Head_quat_x_max,4.016666666666666
Head_quat_x_median,3.8917142857142855
Head_quat_x_mean,3.8034285714285714
Head_quat_x_std,4.101619047619047
Head_quat_y_min,4.286571428571429
Head_quat_y_max,3.856095238095238
Head_quat_y_median,3.9222857142857146
Head_quat_y_mean,3.940095238095238
Head_quat_y_std,3.901619047619048
Head_quat_z_min,4.096353741496598
Head_quat_z_max,4.002380952380952
Head_quat_z_median,3.821619047619048
Head_quat_z_mean,3.95752380952381
Head_quat_z_std,4.01047619047619
Head_quat_w_min,4.170434467120182
Head_quat_w_max,4.321047619047619
Head_quat_w_median,4.008571428571428
Head_quat_w_mean,4.27695238095238
Head_quat_w_std,4.118380952380952
Head_sixD_a_min,4.168857142857143
Head_sixD_a_max,3.9348100329142546
Head_sixD_a_median,4.119142857142857
Head_sixD_a_mean,4.009047619047619
Head_sixD_a_std,3.9685714285714284
Head_sixD_b_min,4.109809523809524
Head_sixD_b_max,4.1088571428571425
Head_sixD_b_median,4.174285714285714
Head_sixD_b_mean,3.9857142857142858
Head_sixD_b_std,3.9912380952380957
Head_sixD_c_min,4.101047619047619
Head_sixD_c_max,4.150190476190476
Head_sixD_c_median,4.192857142857143
Head_sixD_c_mean,4.334761904761905
Head_sixD_c_std,4.007809523809525
Head_sixD_d_min,3.9807619047619047
Head_sixD_d_max,4.048
Head_sixD_d_median,4.075142857142857
Head_sixD_d_mean,4.137809523809524
Head_sixD_d_std,4.1011428571428565
Head_sixD_e_min,4.191999999999999
Head_sixD_e_max,4.016556462585034
Head_sixD_e_median,3.8534285714285716
Head_sixD_e_mean,4.056857142857143
Head_sixD_e_std,3.9177142857142853
Head_sixD_f_min,4.05152380952381
Head_sixD_f_max,4.276857142857143
