,full
Gender,22.723064942451384
Head_position_x_min,24.994880000000002
Head_position_x_max,28.39978285714286
Head_position_x_median,28.527971428571426
Head_position_x_mean,28.114450476190477
Head_position_x_std,27.53471333333334
Head_position_y_min,27.770045714285715
Head_position_y_max,25.84064380952381
Head_position_y_median,28.40899619047619
Head_position_y_mean,28.508662857142856
Head_position_y_std,28.446882857142853
Head_position_z_min,26.978563809523806
Head_position_z_max,26.29994476190476
Head_position_z_median,27.0765419047619
Head_position_z_mean,27.977166666666665
Head_position_z_std,28.25277714285714
Head_euler_x_min,25.73830095238095
Head_euler_x_max,25.120372779365077
Head_euler_x_median,25.48658761904762
Head_euler_x_mean,27.931118095238098
Head_euler_x_std,25.840105714285713
Head_euler_y_min,26.414215238095238
Head_euler_y_max,25.66261208873772
Head_euler_y_median,28.91408857142857
Head_euler_y_mean,26.74358857142857
Head_euler_y_std,27.936211428571426
Head_euler_z_min,27.516184761904768
Head_euler_z_max,29.66758494780859
Head_euler_z_median,28.35298
Head_euler_z_mean,27.02296952380952
Head_euler_z_std,27.504206666666665
Head_quat_x_min,25.648441904761903
Head_quat_x_max,26.40006761904762
Head_quat_x_median,25.57328476190476
Head_quat_x_mean,24.95942857142857
Head_quat_x_std,27.788328571428572
Head_quat_y_min,28.849420000000002
Head_quat_y_max,25.346372380952385
Head_quat_y_median,25.909154285714287
Head_quat_y_mean,26.463964761904762
Head_quat_y_std,24.62918380952381
Head_quat_z_min,26.668712886297374
Head_quat_z_max,25.939239047619047
Head_quat_z_median,25.799486666666667
Head_quat_z_mean,27.019190476190474
Head_quat_z_std,26.88497142857143
Head_quat_w_min,28.148956286534936
Head_quat_w_max,29.339549523809524
Head_quat_w_median,25.217801904761906
Head_quat_w_mean,28.17256952380953
Head_quat_w_std,28.101726666666668
Head_sixD_a_min,27.8118619047619
Head_sixD_a_max,24.101656271697667
Head_sixD_a_median,28.11890190476191
Head_sixD_a_mean,26.067378095238098
Head_sixD_a_std,26.32008761904762
Head_sixD_b_min,26.978701904761905
Head_sixD_b_max,27.894063809523807
Head_sixD_b_median,28.730839999999997
Head_sixD_b_mean,26.37842857142858
Head_sixD_b_std,27.267285714285716
Head_sixD_c_min,26.924557142857143
Head_sixD_c_max,28.269425714285713
Head_sixD_c_median,27.776065714285714
Head_sixD_c_mean,29.69137047619048
Head_sixD_c_std,25.452592380952385
Head_sixD_d_min,27.574542857142855
Head_sixD_d_max,25.567973333333335
Head_sixD_d_median,26.867551428571424
Head_sixD_d_mean,28.168261904761906
Head_sixD_d_std,27.700657142857143
Head_sixD_e_min,27.852474285714283
Head_sixD_e_max,26.25532276741173
Head_sixD_e_median,25.71187142857143
Head_sixD_e_mean,26.51684095238095
Head_sixD_e_std,25.355685714285713
Head_sixD_f_min,27.022553333333335
Head_sixD_f_max,28.974423809523813
Head_sixD_f_median,24.912941904761908
Head_sixD_f_mean,26.922838095238095
Head_sixD_f_std,25.79722190476191
Head_velocity_x_min,27.378478095238098
Head_velocity_x_max,27.07692380952381
Head_velocity_x_median,25.83371904761905
Head_velocity_x_mean,28.13244952380952
Head_velocity_x_std,26.99054476190476
Head_velocity_y_min,27.902843809523805
Head_velocity_y_max,25.79619047619048
Head_velocity_y_median,27.77845333333333
Head_velocity_y_mean,26.961045714285714
Head_velocity_y_std,27.99863904761905
Head_velocity_z_min,24.855617142857145
Head_velocity_z_max,24.88195714285714
Head_velocity_z_median,27.48867523809524
Head_velocity_z_mean,26.42875714285714
Head_velocity_z_std,29.456499047619047
Head_angular_velocity_x_min,27.440781904761902
Head_angular_velocity_x_max,27.609249523809524
Head_angular_velocity_x_median,28.338261904761904
Head_angular_velocity_x_mean,25.272437142857143
Head_angular_velocity_x_std,26.31366476190476
Head_angular_velocity_y_min,27.98974952380952
Head_angular_velocity_y_max,28.220470476190478
Head_angular_velocity_y_median,26.423964761904763
Head_angular_velocity_y_mean,26.48646761904762
Head_angular_velocity_y_std,27.14821142857143
Head_angular_velocity_z_min,25.33758476190476
Head_angular_velocity_z_max,28.837193333333335
Head_angular_velocity_z_median,27.26538095238095
Head_angular_velocity_z_mean,28.54854571428572
Head_angular_velocity_z_std,25.852793333333334
Head_pause_duration_min,22.97396122448981
Head_pause_duration_max,25.658699047619045
Head_pause_duration_median,22.97396122448981
Head_pause_duration_mean,25.729942857142856
Head_pause_duration_std,24.80229142857143
RightHand_time_since_pause_min,23.1881653786328
RightHand_time_since_pause_max,27.630137142857144
RightHand_time_since_pause_median,27.87207523809524
RightHand_time_since_pause_mean,27.906442857142864
RightHand_time_since_pause_std,26.48008857142857
RightHand_position_x_min,24.900774285714288
