,full
Gender,-0.3374286819627075
Head_position_x_min,-0.47114262529629114
Head_position_x_max,-0.6715475773559123
Head_position_x_median,-0.6790924694099811
Head_position_x_mean,-0.654753552819834
Head_position_x_std,-0.6206315237352928
Head_position_y_min,-0.6344826603173248
Head_position_y_max,-0.5209223878365972
Head_position_y_median,-0.6720898535095776
Head_position_y_mean,-0.6779560101646416
Head_position_y_std,-0.6743197778086227
Head_position_z_min,-0.5878978090499476
Head_position_z_max,-0.5479558126374684
Head_position_z_median,-0.593664580174678
Head_position_z_mean,-0.646673335433172
Head_position_z_std,-0.6628951504409661
Head_euler_x_min,-0.5148987166072305
Head_euler_x_max,-0.4785288490705546
Head_euler_x_median,-0.5000834338764442
Head_euler_x_mean,-0.643963019710009
Head_euler_x_std,-0.5208907167567107
Head_euler_y_min,-0.5546815167951484
Head_euler_y_max,-0.5104438397058093
Head_euler_y_median,-0.7018184591812766
Head_euler_y_mean,-0.5740676930961583
Head_euler_y_std,-0.6442628018962608
Head_euler_z_min,-0.6195409735420363
Head_euler_z_max,-0.7461675673705914
Head_euler_z_median,-0.6687928660658995
Head_euler_z_mean,-0.5905114298831922
Head_euler_z_std,-0.6188359696982639
Head_quat_x_min,-0.5096098144312284
Head_quat_x_max,-0.5538488196416751
Head_quat_x_median,-0.5051862334237329
Head_quat_x_mean,-0.46905603365435944
Head_quat_x_std,-0.6355587483183498
Head_quat_y_min,-0.6980122119840271
Head_quat_y_max,-0.49183067917316214
Head_quat_y_median,-0.5249547609387348
Head_quat_y_mean,-0.5576096622819195
Head_quat_y_std,-0.44961856702043623
Head_quat_z_min,-0.5696606780596885
Head_quat_z_max,-0.5267254826069319
Head_quat_z_median,-0.5184999706378528
Head_quat_z_mean,-0.5902890036088748
Head_quat_z_std,-0.5823891712400437
Head_quat_w_min,-0.6567844874919797
Head_quat_w_max,-0.72686013741485
Head_quat_w_median,-0.484263309060625
Head_quat_w_mean,-0.658174309722608
Head_quat_w_std,-0.6540046579042904
Head_sixD_a_min,-0.6369438675820538
Head_sixD_a_max,-0.4185694782905187
Head_sixD_a_median,-0.6550155539302573
Head_sixD_a_mean,-0.534267459800551
Head_sixD_a_std,-0.5491413760703838
Head_sixD_b_min,-0.5879059370262019
Head_sixD_b_max,-0.6417820874885221
Head_sixD_b_median,-0.6910328589122126
Head_sixD_b_mean,-0.5525751937901733
Head_sixD_b_std,-0.6048913333618058
Head_sixD_c_min,-0.584719097674518
Head_sixD_c_max,-0.6638750480471503
Head_sixD_c_median,-0.6348369840269918
Head_sixD_c_mean,-0.7475675302697051
Head_sixD_c_std,-0.49808255034273663
Head_sixD_d_min,-0.6229758002519805
Head_sixD_d_max,-0.5048736146405006
Head_sixD_d_median,-0.5813638690768539
Head_sixD_d_mean,-0.6579207729184908
Head_sixD_d_std,-0.6303986044972134
Head_sixD_e_min,-0.6393342213158513
Head_sixD_e_max,-0.5453294620358877
Head_sixD_e_median,-0.5133431340622265
Head_sixD_e_mean,-0.5607218363620834
Head_sixD_e_std,-0.49237884110273544
Head_sixD_f_min,-0.5904869338444128
Head_sixD_f_max,-0.7053696560891758
Head_sixD_f_median,-0.46631993262721827
Head_sixD_f_mean,-0.5846179183839075
Head_sixD_f_std,-0.5183666718272868
Head_velocity_x_min,-0.6114358677315341
Head_velocity_x_max,-0.5936870582331462
Head_velocity_x_median,-0.520514811868714
Head_velocity_x_mean,-0.6558129364282816
Head_velocity_x_std,-0.5886029810587459
Head_velocity_y_min,-0.6422988586132523
Head_velocity_y_max,-0.5183059642529204
Head_velocity_y_median,-0.6349775139336737
Head_velocity_y_mean,-0.5868667332208675
Head_velocity_y_std,-0.6479371516581607
Head_velocity_z_min,-0.46294592560165726
Head_velocity_z_max,-0.46449623897584824
Head_velocity_z_median,-0.6179218246172247
Head_velocity_z_mean,-0.5555374207222021
Head_velocity_z_std,-0.7337435243118582
Head_angular_velocity_x_min,-0.6151029303423092
Head_angular_velocity_x_max,-0.6250185568771489
Head_angular_velocity_x_median,-0.6679265919622457
Head_angular_velocity_x_mean,-0.48747901674176264
Head_angular_velocity_x_std,-0.5487633410920585
Head_angular_velocity_y_min,-0.6474139342074356
Head_angular_velocity_y_max,-0.6609936524375923
Head_angular_velocity_y_median,-0.5552553519186831
Head_angular_velocity_y_mean,-0.5589341300262658
Head_angular_velocity_y_std,-0.5978828877405027
Head_angular_velocity_z_min,-0.49131345960836237
Head_angular_velocity_z_max,-0.6972925777829981
Head_angular_velocity_z_median,-0.6047792233445088
Head_angular_velocity_z_mean,-0.6803034257618146
Head_angular_velocity_z_std,-0.521637481581926
Head_pause_duration_min,-0.3521958748852214
Head_pause_duration_max,-0.5102135268743728
Head_pause_duration_median,-0.3521958748852214
Head_pause_duration_mean,-0.5144067778513315
Head_pause_duration_std,-0.4598072935574111
RightHand_time_since_pause_min,-0.36480345138390025
RightHand_time_since_pause_max,-0.6262479553268276
RightHand_time_since_pause_median,-0.6404878894488459
RightHand_time_since_pause_mean,-0.6425106904909355
RightHand_time_since_pause_std,-0.5585586735783381
RightHand_position_x_min,-0.46560377383672535
RightHand_position_x_max,-0.5313317468876126
RightHand_position_x_median,-0.5401656799205621
RightHand_position_x_mean,-0.563424248329027
RightHand_position_x_std,-0.6523350034166859
RightHand_position_y_min,-0.4938276673184807
RightHand_position_y_max,-0.6911672227679431
RightHand_position_y_median,-0.6497342752354311
RightHand_position_y_mean,-0.6539100931047002
RightHand_position_y_std,-0.6574593841423051
RightHand_position_z_min,-0.6530888872280001
RightHand_position_z_max,-0.5631092752354312
RightHand_position_z_median,-0.531637863289842
RightHand_position_z_mean,-0.5200185568771489
RightHand_position_z_std,-0.5477889368767221
RightHand_euler_x_min,-0.5675721576068555
RightHand_euler_x_max,-0.5432590796085708
RightHand_euler_x_median,-0.547927336693075
RightHand_euler_x_mean,-0.47668489611138387
RightHand_euler_x_std,-0.4918582021824085
RightHand_euler_y_min,-0.5593974246727456
RightHand_euler_y_max,-0.60854578173349
RightHand_euler_y_median,-0.7228585385124604
RightHand_euler_y_mean,-0.6244630517414425
RightHand_euler_y_std,-0.7313269928890218
RightHand_euler_z_min,-0.6218723574067355
RightHand_euler_z_max,-0.6946933135736602
RightHand_euler_z_median,-0.5399059210104851
RightHand_euler_z_mean,-0.6984302702385274
RightHand_euler_z_std,-0.5246650686540393
RightHand_quat_x_min,-0.6492691307736662
RightHand_quat_x_max,-0.534043071600931
RightHand_quat_x_median,-0.5308771968224817
