,full
Gender,4.766871609604289
Head_position_x_min,4.999487973782916
Head_position_x_max,5.329144664685212
Head_position_x_median,5.341158247849564
Head_position_x_mean,5.302306146969493
Head_position_x_std,5.247352983489232
Head_position_y_min,5.269729187945592
Head_position_y_max,5.083369336328397
Head_position_y_median,5.330009023489191
Head_position_y_mean,5.339350415279265
Head_position_y_std,5.333561929624785
Head_position_z_min,5.194089314742653
Head_position_z_max,5.128347176420953
Head_position_z_median,5.20351245840364
Head_position_z_mean,5.289344634892556
Head_position_z_std,5.315334151571013
Head_euler_x_min,5.073292910169976
Head_euler_x_max,5.012022823108957
Head_euler_x_median,5.048424270903508
Head_euler_x_mean,5.284989886010956
Head_euler_x_std,5.083316409027252
Head_euler_y_min,5.139476163783157
Head_euler_y_max,5.065827877922593
Head_euler_y_median,5.37718221482484
Head_euler_y_mean,5.171420363055837
Head_euler_y_std,5.285471731886514
Head_euler_z_min,5.245587170365656
Head_euler_z_max,5.446795842310284
Head_euler_z_median,5.324751637400565
Head_euler_z_mean,5.198362196289281
Head_euler_z_std,5.244445315442489
Head_quat_x_min,5.064429079843245
Head_quat_x_max,5.138099611631485
Head_quat_x_median,5.057003535880192
Head_quat_x_mean,4.99594120976504
Head_quat_x_std,5.271463608091075
Head_quat_y_min,5.371165609064759
Head_quat_y_max,5.03451808825357
Head_quat_y_median,5.09010356335844
Head_quat_y_mean,5.144313828092602
Head_quat_y_std,4.962779846973247
Head_quat_z_min,5.1641759155064975
Head_quat_z_max,5.09305792698444
Head_quat_z_median,5.079319508228112
Head_quat_z_mean,5.197998699133203
Head_quat_z_std,5.185071979111903
Head_quat_w_min,5.30555899849723
Head_quat_w_max,5.416599442806301
Head_quat_w_median,5.02173295832842
Head_quat_w_mean,5.307783861821196
Head_quat_w_std,5.301106173872268
Head_sixD_a_min,5.273695279854715
Head_sixD_a_max,4.909343772002289
Head_sixD_a_median,5.302725893798576
Head_sixD_a_mean,5.105622204515146
Head_sixD_a_std,5.1303106747104135
Head_sixD_b_min,5.194102608224245
Head_sixD_b_max,5.281483106999757
Head_sixD_b_median,5.36011567039369
Head_sixD_b_mean,5.13599343568784
Head_sixD_b_std,5.221808663124849
Head_sixD_c_min,5.188887852214301
Head_sixD_c_max,5.316900009807004
Head_sixD_c_median,5.27030034384054
Head_sixD_c_mean,5.4489788471043346
Head_sixD_c_std,5.045056231693794
Head_sixD_d_min,5.251146813520153
Head_sixD_d_max,5.0564783528987185
Head_sixD_d_median,5.183391884526138
Head_sixD_d_mean,5.307378063108177
Head_sixD_d_std,5.263141375913927
Head_sixD_e_min,5.277544342373097
Head_sixD_e_max,5.123994805560573
Head_sixD_e_median,5.070687471001484
Head_sixD_e_mean,5.149450548590689
Head_sixD_e_std,5.03544295114995
Head_sixD_f_min,5.1983221652119
Head_sixD_f_max,5.382789593651586
Head_sixD_f_median,4.991286598138991
Head_sixD_f_mean,5.1887222025502675
Head_sixD_f_std,5.079096563835138
Head_velocity_x_min,5.23244475319502
Head_velocity_x_max,5.203549155098259
Head_velocity_x_median,5.082688171393072
Head_velocity_x_mean,5.304003160237513
Head_velocity_x_std,5.195242512328444
Head_velocity_y_min,5.282314247517257
Head_velocity_y_max,5.078995026202573
Head_velocity_y_median,5.270526855384889
Head_velocity_y_mean,5.192402691845627
Head_velocity_y_std,5.291374022654139
Head_velocity_z_min,4.985540807460826
Head_velocity_z_max,4.988181747175732
Head_velocity_z_median,5.242964355981761
Head_velocity_z_mean,5.140890695478474
Head_velocity_z_std,5.427384180949332
Head_angular_velocity_x_min,5.238394974108186
Head_angular_velocity_x_max,5.254450449267699
Head_angular_velocity_x_median,5.323369412764992
Head_angular_velocity_x_mean,5.02716989397187
Head_angular_velocity_x_std,5.12968466495795
Head_angular_velocity_y_min,5.290533954508706
Head_angular_velocity_y_max,5.312294276128768
Head_angular_velocity_y_median,5.140424570198921
Head_angular_velocity_y_mean,5.146500521621233
Head_angular_velocity_y_std,5.210394555940215
Head_angular_velocity_z_min,5.033645275732564
Head_angular_velocity_z_max,5.370027312158974
Head_angular_velocity_z_median,5.221626274675444
Head_angular_velocity_z_mean,5.343083914209632
Head_angular_velocity_z_std,5.084564222559622
Head_pause_duration_min,4.793116024517851
Head_pause_duration_max,5.065441643886448
Head_pause_duration_median,4.793116024517851
Head_pause_duration_mean,5.072469108544955
Head_pause_duration_std,4.980189898846371
RightHand_time_since_pause_min,4.815409160043703
RightHand_time_since_pause_max,5.256437685624851
RightHand_time_since_pause_median,5.279401030239628
RightHand_time_since_pause_mean,5.282654906118974
RightHand_time_since_pause_std,5.14588073816607
RightHand_position_x_min,4.990067563241433
RightHand_position_x_max,5.100735241119657
RightHand_position_x_median,5.115426621877155
RightHand_position_x_mean,5.153906793694977
RightHand_position_x_std,5.2984298662546285
RightHand_position_y_min,5.03788660411856
RightHand_position_y_max,5.3603286146600055
RightHand_position_y_median,5.294258435414008
RightHand_position_y_mean,5.300954631007513
RightHand_position_y_std,5.306639506989603
RightHand_position_z_min,5.299638442294683
RightHand_position_z_max,5.1533876052092
RightHand_position_z_median,5.101245039437035
RightHand_position_z_mean,5.081858677595002
RightHand_position_z_std,5.128070740913149
RightHand_euler_x_min,5.160739160915813
RightHand_euler_x_max,5.120561173859207
RightHand_euler_x_median,5.12830000608203
RightHand_euler_x_mean,5.0088964662412225
RightHand_euler_x_std,5.034564529331211
RightHand_euler_y_min,5.147265200824516
RightHand_euler_y_max,5.227750491985743
RightHand_euler_y_median,5.410319944768692
RightHand_euler_y_mean,5.25355226761583
RightHand_euler_y_std,5.423600455856046
RightHand_euler_z_min,5.249361412409631
RightHand_euler_z_max,5.365913858767724
RightHand_euler_z_median,5.114995228783326
RightHand_euler_z_mean,5.371826770954445
RightHand_euler_z_std,5.0896200625343715
RightHand_quat_x_min,5.293512021693115
RightHand_quat_x_max,5.105248839604757
RightHand_quat_x_median,5.099978151213703
RightHand_quat_x_mean,5.137750480511875
RightHand_quat_x_std,5.118003982208764
RightHand_quat_y_min,5.248362374974466
RightHand_quat_y_max,5.079220037611699
