,full
Gender,4.719047619047619
Head_position_x_min,4.737618172127539
Head_position_x_max,4.721274353276671
Head_position_x_median,4.712385842175014
Head_position_x_mean,4.742524818825428
Head_position_x_std,4.738822301684743
Head_position_y_min,4.736292158777733
Head_position_y_max,4.758628638585388
Head_position_y_median,4.758887479380701
Head_position_y_mean,4.758256324382263
Head_position_y_std,4.719066698833305
Head_position_z_min,4.752340827792062
Head_position_z_max,4.742078943581096
Head_position_z_median,4.757212749117641
Head_position_z_mean,4.762397992255826
Head_position_z_std,4.745547644158892
Head_euler_x_min,4.729887809282051
Head_euler_x_max,4.719047620710096
Head_euler_x_median,4.730045680253275
Head_euler_x_mean,4.714071577802748
Head_euler_x_std,4.738168337076346
Head_euler_y_min,4.59567339661094
Head_euler_y_max,4.72120340961556
Head_euler_y_median,4.726684803955865
Head_euler_y_mean,4.719047610995175
Head_euler_y_std,4.77557287255285
Head_euler_z_min,4.699941671604167
Head_euler_z_max,4.719048994933435
Head_euler_z_median,4.719047670140409
Head_euler_z_mean,4.719048108304739
Head_euler_z_std,4.66186619759109
Head_quat_x_min,4.719051237472131
Head_quat_x_max,4.703503453293176
Head_quat_x_median,4.7288906502125805
Head_quat_x_mean,4.728524790297346
Head_quat_x_std,4.719047632482018
Head_quat_y_min,4.764620143501121
Head_quat_y_max,4.729623783231772
Head_quat_y_median,4.719047567735953
Head_quat_y_mean,4.719047583521989
Head_quat_y_std,4.719046755594213
Head_quat_z_min,4.71904539370739
Head_quat_z_max,4.7190448920799115
Head_quat_z_median,4.719047613312123
Head_quat_z_mean,4.7222888881076335
Head_quat_z_std,4.719047002280541
Head_quat_w_min,4.788053464373668
Head_quat_w_max,4.7652518422926065
Head_quat_w_median,4.773418841859974
Head_quat_w_mean,4.774357094148931
Head_quat_w_std,4.711878745569848
Head_sixD_a_min,4.7237092522178346
Head_sixD_a_max,4.695041014877119
Head_sixD_a_median,4.677811901391243
Head_sixD_a_mean,4.71903742176652
Head_sixD_a_std,4.7190472662497625
Head_sixD_b_min,4.721747922190577
Head_sixD_b_max,4.719048306170534
Head_sixD_b_median,4.751286786046417
Head_sixD_b_mean,4.75169406185858
Head_sixD_b_std,4.7599111145053
Head_sixD_c_min,4.719048031570928
Head_sixD_c_max,4.692631362143857
Head_sixD_c_median,4.719047506003371
Head_sixD_c_mean,4.719047682405934
Head_sixD_c_std,4.719047692439244
Head_sixD_d_min,4.719050174680194
Head_sixD_d_max,4.702076259107756
Head_sixD_d_median,4.719047556614566
Head_sixD_d_mean,4.7190476961134165
Head_sixD_d_std,4.719047511941916
Head_sixD_e_min,4.722300508533768
Head_sixD_e_max,4.769762786583358
Head_sixD_e_median,4.770589004612356
Head_sixD_e_mean,4.770600256925746
Head_sixD_e_std,4.719048773484999
Head_sixD_f_min,4.719048775464369
Head_sixD_f_max,4.719048684940636
Head_sixD_f_median,4.7190472463345285
Head_sixD_f_mean,4.719046722340767
Head_sixD_f_std,4.719048427653311
Head_velocity_x_min,4.694325155769126
Head_velocity_x_max,4.739913734880704
Head_velocity_x_median,4.685068658456271
Head_velocity_x_mean,4.719047380548567
Head_velocity_x_std,4.70983783632843
Head_velocity_y_min,4.721243135067419
Head_velocity_y_max,4.722468202627939
Head_velocity_y_median,4.746860570127519
Head_velocity_y_mean,4.719040440550408
Head_velocity_y_std,4.758499819383332
Head_velocity_z_min,4.741562771034615
Head_velocity_z_max,4.720615461082563
Head_velocity_z_median,4.718559023906898
Head_velocity_z_mean,4.751674164289493
Head_velocity_z_std,4.719047109655648
Head_angular_velocity_x_min,4.719044620905866
Head_angular_velocity_x_max,4.739890758883969
Head_angular_velocity_x_median,4.688715536180186
Head_angular_velocity_x_mean,4.779745965273858
Head_angular_velocity_x_std,4.643026810643411
Head_angular_velocity_y_min,4.720948504374723
Head_angular_velocity_y_max,4.720703900797696
Head_angular_velocity_y_median,4.707976351531155
Head_angular_velocity_y_mean,4.719047231951141
Head_angular_velocity_y_std,4.740027943347528
Head_angular_velocity_z_min,4.721406531701078
Head_angular_velocity_z_max,4.720952650949643
Head_angular_velocity_z_median,4.721246172362262
Head_angular_velocity_z_mean,4.719049414890353
Head_angular_velocity_z_std,4.7190477545856755
Head_pause_duration_min,4.719047619047619
Head_pause_duration_max,4.650733110547433
Head_pause_duration_median,4.719047619047619
Head_pause_duration_mean,4.637339955635688
Head_pause_duration_std,4.63902296055685
RightHand_time_since_pause_min,4.719045981398979
RightHand_time_since_pause_max,4.682238006839279
RightHand_time_since_pause_median,4.682768122211015
RightHand_time_since_pause_mean,4.682653633212747
RightHand_time_since_pause_std,4.682384740167885
RightHand_position_x_min,4.738693026842808
RightHand_position_x_max,4.719046885998368
RightHand_position_x_median,4.723812415003615
RightHand_position_x_mean,4.692302072565281
RightHand_position_x_std,4.743903501339098
RightHand_position_y_min,4.719047705440028
RightHand_position_y_max,4.770921434692852
RightHand_position_y_median,4.719074796123911
RightHand_position_y_mean,4.719034058358886
RightHand_position_y_std,4.679027143967698
RightHand_position_z_min,4.757137005198071
RightHand_position_z_max,4.773696688542675
RightHand_position_z_median,4.719051459729657
RightHand_position_z_mean,4.731165596487234
RightHand_position_z_std,4.711888863010518
RightHand_euler_x_min,4.71904761771847
RightHand_euler_x_max,4.720950956304017
RightHand_euler_x_median,4.598051422638454
RightHand_euler_x_mean,4.719047677564847
RightHand_euler_x_std,4.71904632639585
RightHand_euler_y_min,4.746714105980116
RightHand_euler_y_max,4.7190397247181854
RightHand_euler_y_median,4.7190475578450215
RightHand_euler_y_mean,4.719046901406156
RightHand_euler_y_std,4.764385014618487
RightHand_euler_z_min,4.701170206377507
RightHand_euler_z_max,4.688297320946327
RightHand_euler_z_median,4.719047171523378
RightHand_euler_z_mean,4.7190477020730075
RightHand_euler_z_std,4.7190470098779835
RightHand_quat_x_min,4.719047556104473
RightHand_quat_x_max,4.859631745177054
RightHand_quat_x_median,4.731989729751417
RightHand_quat_x_mean,4.77523469536608
RightHand_quat_x_std,4.719047676597278
RightHand_quat_y_min,4.720259110723825
RightHand_quat_y_max,4.809465936003478
RightHand_quat_y_median,4.719048103526581
RightHand_quat_y_mean,4.719048324392394
RightHand_quat_y_std,4.677370202815942
RightHand_quat_z_min,4.719047503245827
RightHand_quat_z_max,4.723393244555195
RightHand_quat_z_median,4.719050639654699
RightHand_quat_z_mean,4.719046316876332
RightHand_quat_z_std,4.719047639737133
RightHand_quat_w_min,4.719047335947917
RightHand_quat_w_max,4.717938331940539
RightHand_quat_w_median,4.728105483710008
RightHand_quat_w_mean,4.707769392950016
RightHand_quat_w_std,4.686741161811554
RightHand_sixD_a_min,4.626668322444632
RightHand_sixD_a_max,4.7190356925986405
RightHand_sixD_a_median,4.695959802497345
RightHand_sixD_a_mean,4.674776772674136
RightHand_sixD_a_std,4.68781780545814
RightHand_sixD_b_min,4.7190528302893835
RightHand_sixD_b_max,4.719043847638731
RightHand_sixD_b_median,4.719047760376739
RightHand_sixD_b_mean,4.702991361295963
RightHand_sixD_b_std,4.719048129534195
RightHand_sixD_c_min,4.720474332558922
RightHand_sixD_c_max,4.6801943233391485
RightHand_sixD_c_median,4.719049526688577
RightHand_sixD_c_mean,4.719045885733461
RightHand_sixD_c_std,4.7190477542724425
RightHand_sixD_d_min,4.721574066062499
RightHand_sixD_d_max,4.653340560012921
RightHand_sixD_d_median,4.722556262759504
RightHand_sixD_d_mean,4.719047925969075
RightHand_sixD_d_std,4.723899982163035
RightHand_sixD_e_min,4.7190465501094945
RightHand_sixD_e_max,4.717704284285309
RightHand_sixD_e_median,4.7190433819172775
RightHand_sixD_e_mean,4.719047091050792
RightHand_sixD_e_std,4.710589820621895
RightHand_sixD_f_min,4.785671291452471
RightHand_sixD_f_max,4.680571745482284
RightHand_sixD_f_median,4.794160419973004
RightHand_sixD_f_mean,4.788581862600347
RightHand_sixD_f_std,4.719048127590587
RightHand_velocity_x_min,4.722373481550096
RightHand_velocity_x_max,4.719054783080094
RightHand_velocity_x_median,4.676769654473279
RightHand_velocity_x_mean,4.674577828243553
