,full
Gender,33.95666666666667
Head_position_x_min,34.462388135126744
Head_position_x_max,33.97080907692462
Head_position_x_median,33.979205633108634
Head_position_x_mean,34.3842455787996
Head_position_x_std,34.45131331018133
Head_position_y_min,34.24419389689202
Head_position_y_max,34.441433856379064
Head_position_y_median,34.66313292438649
Head_position_y_mean,34.63126844544587
Head_position_y_std,33.95684794792597
Head_position_z_min,33.64872319425358
Head_position_z_max,34.51414847081901
Head_position_z_median,34.341480892251084
Head_position_z_mean,34.35616631778678
Head_position_z_std,34.49193152129521
Head_euler_x_min,34.11011464674342
Head_euler_x_max,33.95666689876295
Head_euler_x_median,34.063103102891624
Head_euler_x_mean,34.01556841080372
Head_euler_x_std,34.36472018771635
Head_euler_y_min,32.63049130771654
Head_euler_y_max,33.9983360828037
Head_euler_y_median,34.052172486430045
Head_euler_y_mean,33.956665828668385
Head_euler_y_std,34.37237446857716
Head_euler_z_min,33.845525118902756
Head_euler_z_max,33.95669190439243
Head_euler_z_median,33.95666770900145
Head_euler_z_mean,33.956671829032274
Head_euler_z_std,33.52140670780659
Head_quat_x_min,33.95672056567685
Head_quat_x_max,33.80093468729033
Head_quat_x_median,34.04768776657436
Head_quat_x_mean,34.05031868523767
Head_quat_x_std,33.9566664461739
Head_quat_y_min,34.52437467831545
Head_quat_y_max,34.04820571775603
Head_quat_y_median,33.956665345868885
Head_quat_y_mean,33.956666652868265
Head_quat_y_std,33.95666254788618
Head_quat_z_min,33.95665000009601
Head_quat_z_max,33.9566251371048
Head_quat_z_median,33.95666469394418
Head_quat_z_mean,33.91151295630518
Head_quat_z_std,33.956663131924095
Head_quat_w_min,34.89311937808184
Head_quat_w_max,34.541660492687306
Head_quat_w_median,34.63767031928044
Head_quat_w_mean,34.62642225042937
Head_quat_w_std,34.02658468387646
Head_sixD_a_min,34.00448331914455
Head_sixD_a_max,33.80016802782465
Head_sixD_a_median,33.69679624206628
Head_sixD_a_mean,33.95653980298215
Head_sixD_a_std,33.9566643819558
Head_sixD_b_min,34.00927390113974
Head_sixD_b_max,33.95667003986541
Head_sixD_b_median,33.96705463294653
Head_sixD_b_mean,33.991928947423766
Head_sixD_b_std,34.314918164728674
Head_sixD_c_min,33.9566731446164
Head_sixD_c_max,33.643314925912186
Head_sixD_c_median,33.95666524807742
Head_sixD_c_mean,33.95666682458941
Head_sixD_c_std,33.95666708900358
Head_sixD_d_min,33.95670540596068
Head_sixD_d_max,33.834456704319585
Head_sixD_d_median,33.95666564417767
Head_sixD_d_mean,33.95666795522727
Head_sixD_d_std,33.95666627164419
Head_sixD_e_min,33.97544684059661
Head_sixD_e_max,34.62931914744094
Head_sixD_e_median,34.608249568362716
Head_sixD_e_mean,34.61821257723292
Head_sixD_e_std,33.95668565292352
Head_sixD_f_min,33.956681252342605
Head_sixD_f_max,33.956684016741775
Head_sixD_f_median,33.95665960521755
Head_sixD_f_mean,33.956650882834225
Head_sixD_f_std,33.95666657830674
Head_velocity_x_min,33.88287004074571
Head_velocity_x_max,34.50103897890314
Head_velocity_x_median,33.671625812168074
Head_velocity_x_mean,33.95665915480063
Head_velocity_x_std,34.16188285065248
Head_velocity_y_min,33.97182156175516
Head_velocity_y_max,34.08883713738718
Head_velocity_y_median,34.286082728687916
Head_velocity_y_mean,33.95668758112266
Head_velocity_y_std,34.41346305245953
Head_velocity_z_min,34.482765120698915
Head_velocity_z_max,33.96417650336641
Head_velocity_z_median,33.6329197965776
Head_velocity_z_mean,34.526251303176444
Head_velocity_z_std,33.95665966283523
Head_angular_velocity_x_min,33.956626837214344
Head_angular_velocity_x_max,34.51230048124172
Head_angular_velocity_x_median,33.7397257899087
Head_angular_velocity_x_mean,34.7919561959504
Head_angular_velocity_x_std,33.31938245364871
Head_angular_velocity_y_min,33.96425370372841
Head_angular_velocity_y_max,33.9640848012724
Head_angular_velocity_y_median,33.846642148199685
Head_angular_velocity_y_mean,33.9566677277449
Head_angular_velocity_y_std,34.53250268756982
Head_angular_velocity_z_min,33.96823535839355
Head_angular_velocity_z_max,33.964298414465105
Head_angular_velocity_z_median,33.9750816497475
Head_angular_velocity_z_mean,33.95669349646138
Head_angular_velocity_z_std,33.956670098846466
Head_pause_duration_min,33.95666666666667
Head_pause_duration_max,33.145464471811195
Head_pause_duration_median,33.95666666666667
Head_pause_duration_mean,33.284985319784155
Head_pause_duration_std,33.23563672973532
RightHand_time_since_pause_min,33.956638197602736
RightHand_time_since_pause_max,33.79853809639157
RightHand_time_since_pause_median,33.81044413257412
RightHand_time_since_pause_mean,33.80850086258308
RightHand_time_since_pause_std,33.80316948355307
RightHand_position_x_min,34.490794310785944
RightHand_position_x_max,33.956661473500915
RightHand_position_x_median,33.88767977745959
RightHand_position_x_mean,33.51437405545606
RightHand_position_x_std,34.48875452226673
RightHand_position_y_min,33.95666749393205
RightHand_position_y_max,34.81771036420088
RightHand_position_y_median,33.957127987738524
RightHand_position_y_mean,33.956564512159424
RightHand_position_y_std,33.785013991107554
RightHand_position_z_min,33.80789280875747
RightHand_position_z_max,34.896259475927096
RightHand_position_z_median,33.9567270513522
RightHand_position_z_mean,33.81059931468293
RightHand_position_z_std,33.29637681935115
RightHand_euler_x_min,33.9566666503773
RightHand_euler_x_max,33.97952163017828
RightHand_euler_x_median,32.36872128945616
RightHand_euler_x_mean,33.95667464473812
RightHand_euler_x_std,33.95664445591513
RightHand_euler_y_min,34.33988072432682
RightHand_euler_y_max,33.95652400991661
RightHand_euler_y_median,33.95666692954805
RightHand_euler_y_mean,33.9566643211586
RightHand_euler_y_std,34.797884801712144
RightHand_euler_z_min,33.85084492061535
RightHand_euler_z_max,33.71547797213968
RightHand_euler_z_median,33.95665951927969
RightHand_euler_z_mean,33.95667183983916
RightHand_euler_z_std,33.9566574738932
RightHand_quat_x_min,33.956663732890824
RightHand_quat_x_max,35.011796408637096
RightHand_quat_x_median,34.089457732444124
RightHand_quat_x_mean,34.5806958400186
RightHand_quat_x_std,33.95666708738606
RightHand_quat_y_min,33.95783248114545
RightHand_quat_y_max,34.49282450472054
RightHand_quat_y_median,33.95667172056085
RightHand_quat_y_mean,33.95668008331549
RightHand_quat_y_std,33.633671691736126
RightHand_quat_z_min,33.95666636152137
RightHand_quat_z_max,34.02458337083124
RightHand_quat_z_median,33.956722451079656
RightHand_quat_z_mean,33.956664321747596
