,full
Gender,-0.998613305857482
Head_position_x_min,-1.0283789382101496
Head_position_x_max,-0.9994456964332674
Head_position_x_median,-0.9999398989142558
Head_position_x_mean,-1.0237796424558803
Head_position_x_std,-1.0277270988316491
Head_position_y_min,-1.0155365143032875
Head_position_y_max,-1.0271456163199044
Head_position_y_median,-1.0401943266531481
Head_position_y_mean,-1.0383188548284221
Head_position_y_std,-0.9986239756661679
Head_position_z_min,-0.9804884431476528
Head_position_z_max,-1.0314254355782722
Head_position_z_median,-1.0212626088378367
Head_position_z_mean,-1.0221269600760174
Head_position_z_std,-1.0301177957156873
Head_euler_x_min,-1.0076449101002916
Head_euler_x_max,-0.9986133195181484
Head_euler_x_median,-1.0048779159782408
Head_euler_x_mean,-1.0020801305233462
Head_euler_x_std,-1.0226304216915416
Head_euler_y_min,-0.9205575960813537
Head_euler_y_max,-1.0010658743135168
Head_euler_y_median,-1.0042345643879398
Head_euler_y_mean,-0.9986132565347807
Head_euler_y_std,-1.023080935510385
Head_euler_z_min,-0.9920717634153136
Head_euler_z_max,-0.9986147912934644
Head_euler_z_median,-0.998613367206971
Head_euler_z_mean,-0.9986136097027529
Head_euler_z_std,-0.972994880061328
Head_quat_x_min,-0.9986164782324374
Head_quat_x_max,-0.9894472705341557
Head_quat_x_median,-1.003970603827128
Head_quat_x_mean,-1.004125453803975
Head_quat_x_std,-0.9986132928797713
Head_quat_y_min,-1.0320273272354092
Head_quat_y_max,-1.004001089272995
Head_quat_y_median,-0.9986132281182838
Head_quat_y_mean,-0.9986133050453387
Head_quat_y_std,-0.9986130634352921
Head_quat_z_min,-0.9986123249004812
Head_quat_z_max,-0.9986108615205349
Head_quat_z_median,-0.9986131897474566
Head_quat_z_mean,-0.9959556596514161
Head_quat_z_std,-0.9986130978104548
Head_quat_w_min,-1.053730813936622
Head_quat_w_max,-1.033044731533225
Head_quat_w_median,-1.0386956547762436
Head_quat_w_mean,-1.0380336186496821
Head_quat_w_std,-1.0027285236698305
Head_sixD_a_min,-1.0014276868690803
Head_sixD_a_max,-0.9894021466760272
Head_sixD_a_median,-0.9833179150140976
Head_sixD_a_mean,-0.9986058389453023
Head_sixD_a_std,-0.9986131713845199
Head_sixD_b_min,-1.0017096497900106
Head_sixD_b_max,-0.9986135043964006
Head_sixD_b_median,-0.9992247182741225
Head_sixD_b_mean,-1.0006887646829266
Head_sixD_b_std,-1.019699186220791
Head_sixD_c_min,-0.9986136871350864
Head_sixD_c_max,-0.9801701245925702
Head_sixD_c_median,-0.9986132223624975
Head_sixD_c_mean,-0.9986133151524605
Head_sixD_c_std,-0.998613330715286
Head_sixD_d_min,-0.9986155859655159
Head_sixD_d_max,-0.9914203013363698
Head_sixD_d_median,-0.9986132456760706
Head_sixD_d_mean,-0.998613381699271
Head_sixD_d_std,-0.9986132826073435
Head_sixD_e_min,-0.9997186648101477
Head_sixD_e_max,-1.038204123516071
Head_sixD_e_median,-1.036964015306749
Head_sixD_e_mean,-1.037550415682552
Head_sixD_e_std,-0.998614423346013
Head_sixD_f_min,-0.998614164337682
Head_sixD_f_max,-0.9986143270440222
Head_sixD_f_median,-0.9986128902364111
Head_sixD_f_mean,-0.9986123768564743
Head_sixD_f_std,-0.9986133006568143
Head_velocity_x_min,-0.9942698018280416
Head_velocity_x_max,-1.0306538402614147
Head_velocity_x_median,-0.9818364399151862
Head_velocity_x_mean,-0.9986128637258804
Head_velocity_x_std,-1.010691870574023
Head_velocity_y_min,-0.999505289021497
Head_velocity_y_max,-1.0063925635807607
Head_velocity_y_median,-1.0180019970733105
Head_velocity_y_mean,-0.9986145368354937
Head_velocity_y_std,-1.0254993174815086
Head_velocity_z_min,-1.0295782819177517
