,full
Gender,5.827234907455393
Head_position_x_min,5.870467454566692
Head_position_x_max,5.828448256347878
Head_position_x_median,5.829168519875595
Head_position_x_mean,5.863808112378815
Head_position_x_std,5.869524112752355
Head_position_y_min,5.851853885470144
Head_position_y_max,5.868682463413664
Head_position_y_median,5.887540481762014
Head_position_y_mean,5.884833765319618
Head_position_y_std,5.827250462089816
Head_position_z_min,5.800751950760658
Head_position_z_max,5.874874336598103
Head_position_z_median,5.860160483489431
Head_position_z_mean,5.861413337906377
Head_position_z_std,5.8729831875542775
Head_euler_x_min,5.840386515184027
Head_euler_x_max,5.82723492737018
Head_euler_x_median,5.8363604329146455
Head_euler_x_mean,5.832286722273153
Head_euler_x_std,5.8621429688908435
Head_euler_y_min,5.712310505191095
Head_euler_y_max,5.830809213377136
Head_euler_y_median,5.835423933736952
Head_euler_y_mean,5.827234835551797
Head_euler_y_std,5.8627957894316225
Head_euler_z_min,5.817690703269018
Head_euler_z_max,5.827237072952535
Head_euler_z_median,5.827234996891875
Head_euler_z_mean,5.827235350406938
Head_euler_z_std,5.789767413964622
Head_quat_x_min,5.827239532203635
Head_quat_x_max,5.813857126494452
Head_quat_x_median,5.835039654241808
Head_quat_x_mean,5.835265091256581
Head_quat_x_std,5.827234888536235
Head_quat_y_min,5.875744606287398
Head_quat_y_max,5.8350840369060695
Head_quat_y_median,5.8272347941256735
Head_quat_y_mean,5.8272349062714355
Head_quat_y_std,5.827234554047587
Head_quat_z_min,5.827233477396972
Head_quat_z_max,5.827231344052233
Head_quat_z_median,5.827234738187932
Head_quat_z_mean,5.823359250149795
Head_quat_z_std,5.827234604160373
Head_quat_w_min,5.907039815176621
Head_quat_w_max,5.877215368921519
Head_quat_w_median,5.885377670063361
Head_quat_w_mean,5.884421997990064
Head_quat_w_std,5.833231067245362
Head_sixD_a_min,5.831336323617816
Head_sixD_a_max,5.813791192313725
Head_sixD_a_median,5.804894162865184
Head_sixD_a_mean,5.8272240220350335
Head_sixD_a_std,5.827234711418083
Head_sixD_b_min,5.831747071087681
Head_sixD_b_max,5.827235196889294
Head_sixD_b_median,5.828126168241944
Head_sixD_b_mean,5.830259766719126
Head_sixD_b_std,5.857893662804803
Head_sixD_c_min,5.827235463289295
Head_sixD_c_max,5.800285762435519
Head_sixD_c_median,5.827234785734776
Head_sixD_c_mean,5.827234921005795
Head_sixD_c_std,5.827234943693585
Head_sixD_d_min,5.827238231440403
Head_sixD_d_max,5.816739353307795
Head_sixD_d_median,5.827234819721758
Head_sixD_d_mean,5.8272350180190315
Head_sixD_d_std,5.827234873560889
Head_sixD_e_min,5.828846098551291
Head_sixD_e_max,5.884668142507353
Head_sixD_e_median,5.882877660495986
Head_sixD_e_mean,5.883724379781306
Head_sixD_e_std,5.82723653655174
Head_sixD_f_min,5.827236158964437
