,full
Gender_RightHand_velocity_x_mean,3.821087367589159
Head_position_x_min_RightHand_velocity_x_mean,3.7087283281206753
Head_position_x_max_RightHand_velocity_x_mean,3.7536650936307856
Head_position_x_median_RightHand_velocity_x_mean,3.8327997625602452
Head_position_x_mean_RightHand_velocity_x_mean,3.8761470749204414
Head_position_x_std_RightHand_velocity_x_mean,3.735015952326684
Head_position_y_min_RightHand_velocity_x_mean,3.7955216997431314
Head_position_y_max_RightHand_velocity_x_mean,3.979652779433707
Head_position_y_median_RightHand_velocity_x_mean,3.890295276787739
Head_position_y_mean_RightHand_velocity_x_mean,3.835127732449147
Head_position_y_std_RightHand_velocity_x_mean,3.9285432353438483
Head_position_z_min_RightHand_velocity_x_mean,3.8570645956940512
Head_position_z_max_RightHand_velocity_x_mean,3.9945993065604983
Head_position_z_median_RightHand_velocity_x_mean,3.821831657762035
Head_position_z_mean_RightHand_velocity_x_mean,3.8144789743768217
Head_position_z_std_RightHand_velocity_x_mean,3.7145385864214453
Head_quat_x_min_RightHand_velocity_x_mean,3.8236023089870064
Head_quat_x_max_RightHand_velocity_x_mean,3.757644753281761
Head_quat_x_median_RightHand_velocity_x_mean,3.7819727972836907
Head_quat_x_mean_RightHand_velocity_x_mean,3.848324355900537
Head_quat_x_std_RightHand_velocity_x_mean,3.777822025525681
Head_quat_y_min_RightHand_velocity_x_mean,3.830698378247405
Head_quat_y_max_RightHand_velocity_x_mean,3.7483052373969805
Head_quat_y_median_RightHand_velocity_x_mean,3.830990859198582
Head_quat_y_mean_RightHand_velocity_x_mean,3.8621805461909697
Head_quat_y_std_RightHand_velocity_x_mean,3.76615833325169
Head_quat_z_min_RightHand_velocity_x_mean,3.764924684974428
Head_quat_z_max_RightHand_velocity_x_mean,3.712273172170709
Head_quat_z_median_RightHand_velocity_x_mean,3.6911632123741596
Head_quat_z_mean_RightHand_velocity_x_mean,3.752853216504971
Head_quat_z_std_RightHand_velocity_x_mean,3.78989203346411
