,full
Gender_RightHand_velocity_x_mean,21.608722554006693
Head_position_x_min_RightHand_velocity_x_mean,20.891249785330658
Head_position_x_max_RightHand_velocity_x_mean,21.09380872333976
Head_position_x_median_RightHand_velocity_x_mean,22.289291223645503
Head_position_x_mean_RightHand_velocity_x_mean,22.591122155531746
Head_position_x_std_RightHand_velocity_x_mean,21.52673611806832
Head_position_y_min_RightHand_velocity_x_mean,22.78146696980854
Head_position_y_max_RightHand_velocity_x_mean,24.26256802965194
Head_position_y_median_RightHand_velocity_x_mean,22.358080976517144
Head_position_y_mean_RightHand_velocity_x_mean,22.28173657262877
Head_position_y_std_RightHand_velocity_x_mean,22.727099501471173
Head_position_z_min_RightHand_velocity_x_mean,22.89754499054018
Head_position_z_max_RightHand_velocity_x_mean,23.481004164558502
Head_position_z_median_RightHand_velocity_x_mean,22.383533266976805
Head_position_z_mean_RightHand_velocity_x_mean,22.24472357971003
Head_position_z_std_RightHand_velocity_x_mean,21.128221548078987
Head_quat_x_min_RightHand_velocity_x_mean,22.17016444077988
Head_quat_x_max_RightHand_velocity_x_mean,22.239172330060235
Head_quat_x_median_RightHand_velocity_x_mean,21.92426315612434
Head_quat_x_mean_RightHand_velocity_x_mean,22.363782939074145
Head_quat_x_std_RightHand_velocity_x_mean,22.57965795641683
Head_quat_y_min_RightHand_velocity_x_mean,22.59954672300749
Head_quat_y_max_RightHand_velocity_x_mean,22.113166885576966
Head_quat_y_median_RightHand_velocity_x_mean,21.93515611031661
Head_quat_y_mean_RightHand_velocity_x_mean,22.662065890406243
Head_quat_y_std_RightHand_velocity_x_mean,22.33590472023003
Head_quat_z_min_RightHand_velocity_x_mean,21.863990165698773
Head_quat_z_max_RightHand_velocity_x_mean,21.16032117811987
Head_quat_z_median_RightHand_velocity_x_mean,22.07404215257702
Head_quat_z_mean_RightHand_velocity_x_mean,22.71433009876073
Head_quat_z_std_RightHand_velocity_x_mean,22.11053087189226
Head_quat_w_min_RightHand_velocity_x_mean,22.527583443894684
Head_quat_w_max_RightHand_velocity_x_mean,24.547225589132477
Head_quat_w_median_RightHand_velocity_x_mean,22.62131274716482
Head_quat_w_mean_RightHand_velocity_x_mean,22.870027849992713
Head_quat_w_std_RightHand_velocity_x_mean,22.989104472693864
Head_sixD_a_min_RightHand_velocity_x_mean,23.193352159361748
Head_sixD_a_max_RightHand_velocity_x_mean,22.443835299631814
Head_sixD_a_median_RightHand_velocity_x_mean,21.23662559902985
Head_sixD_a_mean_RightHand_velocity_x_mean,21.077663984695132
Head_sixD_a_std_RightHand_velocity_x_mean,21.275840385119633
Head_sixD_b_min_RightHand_velocity_x_mean,21.911675010063448
Head_sixD_b_max_RightHand_velocity_x_mean,24.19553264958732
Head_sixD_b_median_RightHand_velocity_x_mean,22.685379627495642
Head_sixD_b_mean_RightHand_velocity_x_mean,23.043744720645982
Head_sixD_b_std_RightHand_velocity_x_mean,21.862415328693693
Head_sixD_c_min_RightHand_velocity_x_mean,21.968774345473165
Head_sixD_c_max_RightHand_velocity_x_mean,22.599465679376372
Head_sixD_c_median_RightHand_velocity_x_mean,20.925367192059724
Head_sixD_c_mean_RightHand_velocity_x_mean,23.737694050766347
Head_sixD_c_std_RightHand_velocity_x_mean,21.29223655535211
Head_sixD_d_min_RightHand_velocity_x_mean,21.95532744291372
Head_sixD_d_max_RightHand_velocity_x_mean,21.3692205523561
Head_sixD_d_median_RightHand_velocity_x_mean,22.279384861128243
Head_sixD_d_mean_RightHand_velocity_x_mean,23.078784135925524
Head_sixD_d_std_RightHand_velocity_x_mean,22.853384606725417
Head_sixD_e_min_RightHand_velocity_x_mean,22.173852132493344
Head_sixD_e_max_RightHand_velocity_x_mean,22.904726617331978
Head_sixD_e_median_RightHand_velocity_x_mean,22.05819125269844
Head_sixD_e_mean_RightHand_velocity_x_mean,23.054207171616245
Head_sixD_e_std_RightHand_velocity_x_mean,20.875741796418332
Head_sixD_f_min_RightHand_velocity_x_mean,23.242526761738574
Head_sixD_f_max_RightHand_velocity_x_mean,20.94987279475863
Head_sixD_f_median_RightHand_velocity_x_mean,23.289329009000117
Head_sixD_f_mean_RightHand_velocity_x_mean,22.855057499651263
Head_sixD_f_std_RightHand_velocity_x_mean,22.027935968632075
LeftHand_position_x_min_RightHand_velocity_x_mean,22.402281419177918
LeftHand_position_x_max_RightHand_velocity_x_mean,22.115357549111458
LeftHand_position_x_median_RightHand_velocity_x_mean,24.095089790215983
LeftHand_position_x_mean_RightHand_velocity_x_mean,24.177848344915603
LeftHand_position_x_std_RightHand_velocity_x_mean,23.73858473978946
LeftHand_position_y_min_RightHand_velocity_x_mean,22.56720923257227
LeftHand_position_y_max_RightHand_velocity_x_mean,20.912964310685172
LeftHand_position_y_median_RightHand_velocity_x_mean,21.44596311862026
LeftHand_position_y_mean_RightHand_velocity_x_mean,21.64717322443425
LeftHand_position_y_std_RightHand_velocity_x_mean,23.021116113915312
LeftHand_position_z_min_RightHand_velocity_x_mean,22.553163601170965
LeftHand_position_z_max_RightHand_velocity_x_mean,23.417838145881426
LeftHand_position_z_median_RightHand_velocity_x_mean,23.254202896891083
