,full
Gender_RightHand_velocity_x_mean,-0.2718409861299824
Head_position_x_min_RightHand_velocity_x_mean,-0.2296121467641341
Head_position_x_max_RightHand_velocity_x_mean,-0.2415343119371589
Head_position_x_median_RightHand_velocity_x_mean,-0.31189773292559986
Head_position_x_mean_RightHand_velocity_x_mean,-0.3296628251977274
Head_position_x_std_RightHand_velocity_x_mean,-0.26701544823561907
Head_position_y_min_RightHand_velocity_x_mean,-0.34086609441873184
Head_position_y_max_RightHand_velocity_x_mean,-0.4280403837734772
Head_position_y_median_RightHand_velocity_x_mean,-0.3159465436273545
Head_position_y_mean_RightHand_velocity_x_mean,-0.31145308309611686
Head_position_y_std_RightHand_velocity_x_mean,-0.3376661470654918
Head_position_z_min_RightHand_velocity_x_mean,-0.3476981865975437
Head_position_z_max_RightHand_velocity_x_mean,-0.38203928609546156
Head_position_z_median_RightHand_velocity_x_mean,-0.3174446084072866
Head_position_z_mean_RightHand_velocity_x_mean,-0.309274581276042
Head_position_z_std_RightHand_velocity_x_mean,-0.24355977368495396
Head_quat_x_min_RightHand_velocity_x_mean,-0.3048861974396113
Head_quat_x_max_RightHand_velocity_x_mean,-0.30894784716155654
Head_quat_x_median_RightHand_velocity_x_mean,-0.29041299886966887
Head_quat_x_mean_RightHand_velocity_x_mean,-0.3162821483658229
Head_quat_x_std_RightHand_velocity_x_mean,-0.3289880681281663
Head_quat_y_min_RightHand_velocity_x_mean,-0.3301586763605755
Head_quat_y_max_RightHand_velocity_x_mean,-0.30153144906727714
Head_quat_y_median_RightHand_velocity_x_mean,-0.29105413374319666
Head_quat_y_mean_RightHand_velocity_x_mean,-0.33383841445327067
Head_quat_y_std_RightHand_velocity_x_mean,-0.3146412988774909
Head_quat_z_min_RightHand_velocity_x_mean,-0.2868654657201146
Head_quat_z_max_RightHand_velocity_x_mean,-0.24544908597648663
Head_quat_z_median_RightHand_velocity_x_mean,-0.29922865495826123
Head_quat_z_mean_RightHand_velocity_x_mean,-0.3369145686371535
Head_quat_z_std_RightHand_velocity_x_mean,-0.3013762992088884
Head_quat_w_min_RightHand_velocity_x_mean,-0.3259230790158818
Head_quat_w_max_RightHand_velocity_x_mean,-0.44479468982994286
Head_quat_w_median_RightHand_velocity_x_mean,-0.331439775766577
Head_quat_w_mean_RightHand_velocity_x_mean,-0.34607858936860536
Head_quat_w_std_RightHand_velocity_x_mean,-0.3530871725397182
Head_sixD_a_min_RightHand_velocity_x_mean,-0.36510873367445007
Head_sixD_a_max_RightHand_velocity_x_mean,-0.3209938509173844
Head_sixD_a_median_RightHand_velocity_x_mean,-0.24994019319921468
Head_sixD_a_mean_RightHand_velocity_x_mean,-0.24058406879958905
Head_sixD_a_std_RightHand_velocity_x_mean,-0.2522482876312968
Head_sixD_b_min_RightHand_velocity_x_mean,-0.2896720888015414
Head_sixD_b_max_RightHand_velocity_x_mean,-0.4240948315237365
Head_sixD_b_median_RightHand_velocity_x_mean,-0.3352106087741542
Head_sixD_b_mean_RightHand_velocity_x_mean,-0.35630317508980536
Head_sixD_b_std_RightHand_velocity_x_mean,-0.2867727743430779
Head_sixD_c_min_RightHand_velocity_x_mean,-0.2930328277287666
Head_sixD_c_max_RightHand_velocity_x_mean,-0.3301539063140604
Head_sixD_c_median_RightHand_velocity_x_mean,-0.231620220869859
Head_sixD_c_mean_RightHand_velocity_x_mean,-0.39714747757638946
Head_sixD_c_std_RightHand_velocity_x_mean,-0.25321332946868935
Head_sixD_d_min_RightHand_velocity_x_mean,-0.2922413731775384
Head_sixD_d_max_RightHand_velocity_x_mean,-0.2577444350174358
Head_sixD_d_median_RightHand_velocity_x_mean,-0.3113146666271909
Head_sixD_d_mean_RightHand_velocity_x_mean,-0.3583655165526647
Head_sixD_d_std_RightHand_velocity_x_mean,-0.34509900536605365
Head_sixD_e_min_RightHand_velocity_x_mean,-0.30510324671004696
Head_sixD_e_max_RightHand_velocity_x_mean,-0.3481208810570644
Head_sixD_e_median_RightHand_velocity_x_mean,-0.298295706511992
Head_sixD_e_mean_RightHand_velocity_x_mean,-0.3569189715084089
Head_sixD_e_std_RightHand_velocity_x_mean,-0.22869938128890288
Head_sixD_f_min_RightHand_velocity_x_mean,-0.3680030405740451
Head_sixD_f_max_RightHand_velocity_x_mean,-0.23306256572964368
Head_sixD_f_median_RightHand_velocity_x_mean,-0.37075771596780993
Head_sixD_f_mean_RightHand_velocity_x_mean,-0.3451974680948515
Head_sixD_f_std_RightHand_velocity_x_mean,-0.2965149482914895
LeftHand_position_x_min_RightHand_velocity_x_mean,-0.318548082632752
LeftHand_position_x_max_RightHand_velocity_x_mean,-0.30166038661381767
LeftHand_position_x_median_RightHand_velocity_x_mean,-0.4181829899054603
LeftHand_position_x_mean_RightHand_velocity_x_mean,-0.42305397297985525
LeftHand_position_x_std_RightHand_velocity_x_mean,-0.3971999015363281
LeftHand_position_y_min_RightHand_velocity_x_mean,-0.32825536413925827
LeftHand_position_y_max_RightHand_velocity_x_mean,-0.23089021506600638
LeftHand_position_y_median_RightHand_velocity_x_mean,-0.2622613304938628
LeftHand_position_y_mean_RightHand_velocity_x_mean,-0.2741041064265073
LeftHand_position_y_std_RightHand_velocity_x_mean,-0.35497130600651494
LeftHand_position_z_min_RightHand_velocity_x_mean,-0.327428669750101
LeftHand_position_z_max_RightHand_velocity_x_mean,-0.378321475786066
LeftHand_position_z_median_RightHand_velocity_x_mean,-0.3686902717238476
LeftHand_position_z_mean_RightHand_velocity_x_mean,-0.39176239135113033
LeftHand_position_z_std_RightHand_velocity_x_mean,-0.35360183987471583
LeftHand_quat_x_min_RightHand_velocity_x_mean,-0.27185937001912874
LeftHand_quat_x_max_RightHand_velocity_x_mean,-0.25827873084483266
LeftHand_quat_x_median_RightHand_velocity_x_mean,-0.27197730560943145
LeftHand_quat_x_mean_RightHand_velocity_x_mean,-0.29752643136695545
LeftHand_quat_x_std_RightHand_velocity_x_mean,-0.30693925805302436
LeftHand_quat_y_min_RightHand_velocity_x_mean,-0.30695248037357126
LeftHand_quat_y_max_RightHand_velocity_x_mean,-0.23717773119290508
LeftHand_quat_y_median_RightHand_velocity_x_mean,-0.30242478184612454
LeftHand_quat_y_mean_RightHand_velocity_x_mean,-0.2576159911184097
LeftHand_quat_y_std_RightHand_velocity_x_mean,-0.3139299888606646
LeftHand_quat_z_min_RightHand_velocity_x_mean,-0.32360406194323144
LeftHand_quat_z_max_RightHand_velocity_x_mean,-0.2742268170187989
LeftHand_quat_z_median_RightHand_velocity_x_mean,-0.26825134851582577
LeftHand_quat_z_mean_RightHand_velocity_x_mean,-0.33032238780612655
LeftHand_quat_z_std_RightHand_velocity_x_mean,-0.33849471212904114
LeftHand_quat_w_min_RightHand_velocity_x_mean,-0.28812679464361235
LeftHand_quat_w_max_RightHand_velocity_x_mean,-0.3420450636424115
LeftHand_quat_w_median_RightHand_velocity_x_mean,-0.397327604225703
LeftHand_quat_w_mean_RightHand_velocity_x_mean,-0.28635508356325845
