,full
Gender_RightHand_velocity_x_mean,4.648518318131778
Head_position_x_min_RightHand_velocity_x_mean,4.570694672074548
Head_position_x_max_RightHand_velocity_x_mean,4.592799660701494
Head_position_x_median_RightHand_velocity_x_mean,4.721153590346908
Head_position_x_mean_RightHand_velocity_x_mean,4.753011903575642
Head_position_x_std_RightHand_velocity_x_mean,4.639691381769731
Head_position_y_min_RightHand_velocity_x_mean,4.772993501965883
Head_position_y_max_RightHand_velocity_x_mean,4.925704825672357
Head_position_y_median_RightHand_velocity_x_mean,4.728433247547981
Head_position_y_mean_RightHand_velocity_x_mean,4.720353437257508
Head_position_y_std_RightHand_velocity_x_mean,4.767294778118003
Head_position_z_min_RightHand_velocity_x_mean,4.785137928058101
Head_position_z_max_RightHand_velocity_x_mean,4.845720190493721
Head_position_z_median_RightHand_velocity_x_mean,4.731123890470086
Head_position_z_mean_RightHand_velocity_x_mean,4.716431233433816
Head_position_z_std_RightHand_velocity_x_mean,4.596544522582043
Head_quat_x_min_RightHand_velocity_x_mean,4.708520408873671
Head_quat_x_max_RightHand_velocity_x_mean,4.715842695644145
Head_quat_x_median_RightHand_velocity_x_mean,4.682335224663474
Head_quat_x_mean_RightHand_velocity_x_mean,4.729036153284741
Head_quat_x_std_RightHand_velocity_x_mean,4.75180575743757
Head_quat_y_min_RightHand_velocity_x_mean,4.7538980555968475
Head_quat_y_max_RightHand_velocity_x_mean,4.702463916456666
Head_quat_y_median_RightHand_velocity_x_mean,4.68349827696313
Head_quat_y_mean_RightHand_velocity_x_mean,4.760469083021782
Head_quat_y_std_RightHand_velocity_x_mean,4.726087675893247
Head_quat_z_min_RightHand_velocity_x_mean,4.675894584536607
Head_quat_z_max_RightHand_velocity_x_mean,4.600034910532731
Head_quat_z_median_RightHand_velocity_x_mean,4.698302049951346
Head_quat_z_mean_RightHand_velocity_x_mean,4.7659553185862675
Head_quat_z_std_RightHand_velocity_x_mean,4.7021836280490215
Head_quat_w_min_RightHand_velocity_x_mean,4.7463231499651055
Head_quat_w_max_RightHand_velocity_x_mean,4.954515676545234
