,full
Gender_RightHand_velocity_x_mean,3.88
Head_position_x_median_RightHand_velocity_x_mean,4.093333333333333
Head_position_x_mean_RightHand_velocity_x_mean,4.114285714285714
Head_position_y_median_RightHand_velocity_x_mean,3.725714285714286
Head_position_y_mean_RightHand_velocity_x_mean,3.8228571428571425
Head_position_z_median_RightHand_velocity_x_mean,3.84952380952381
Head_position_z_mean_RightHand_velocity_x_mean,4.005714285714285
Head_quat_x_median_RightHand_velocity_x_mean,3.843809523809524
Head_quat_x_mean_RightHand_velocity_x_mean,3.76
Head_quat_y_median_RightHand_velocity_x_mean,3.71047619047619
Head_quat_y_mean_RightHand_velocity_x_mean,3.956190476190476
Head_quat_z_median_RightHand_velocity_x_mean,3.9257142857142853
Head_quat_z_mean_RightHand_velocity_x_mean,3.8780952380952374
Head_quat_w_median_RightHand_velocity_x_mean,3.916190476190476
Head_quat_w_mean_RightHand_velocity_x_mean,4.0285714285714285
Head_sixD_a_median_RightHand_velocity_x_mean,3.657142857142857
Head_sixD_a_mean_RightHand_velocity_x_mean,3.9980952380952384
Head_sixD_b_median_RightHand_velocity_x_mean,4.003809523809523
Head_sixD_b_mean_RightHand_velocity_x_mean,3.8685714285714283
Head_sixD_c_median_RightHand_velocity_x_mean,3.71047619047619
Head_sixD_c_mean_RightHand_velocity_x_mean,4.051428571428572
Head_sixD_d_median_RightHand_velocity_x_mean,4.024761904761905
Head_sixD_d_mean_RightHand_velocity_x_mean,3.9923809523809517
Head_sixD_e_median_RightHand_velocity_x_mean,3.939047619047619
Head_sixD_e_mean_RightHand_velocity_x_mean,3.8247619047619046
Head_sixD_f_median_RightHand_velocity_x_mean,3.8038095238095235
Head_sixD_f_mean_RightHand_velocity_x_mean,3.891428571428571
LeftHand_position_x_median_RightHand_velocity_x_mean,4.154285714285715
LeftHand_position_x_mean_RightHand_velocity_x_mean,4.217142857142857
LeftHand_position_y_median_RightHand_velocity_x_mean,4.053333333333334
LeftHand_position_y_mean_RightHand_velocity_x_mean,3.855238095238095
LeftHand_position_z_median_RightHand_velocity_x_mean,4.27047619047619
LeftHand_position_z_mean_RightHand_velocity_x_mean,3.95047619047619
LeftHand_quat_x_median_RightHand_velocity_x_mean,3.8133333333333335
LeftHand_quat_x_mean_RightHand_velocity_x_mean,4.0876190476190475
LeftHand_quat_y_median_RightHand_velocity_x_mean,3.927619047619048
LeftHand_quat_y_mean_RightHand_velocity_x_mean,3.8571428571428577
LeftHand_quat_z_median_RightHand_velocity_x_mean,3.933333333333333
LeftHand_quat_z_mean_RightHand_velocity_x_mean,4.01904761904762
LeftHand_quat_w_median_RightHand_velocity_x_mean,4.163809523809524
LeftHand_quat_w_mean_RightHand_velocity_x_mean,3.773333333333334
LeftHand_sixD_a_median_RightHand_velocity_x_mean,4.112380952380952
LeftHand_sixD_a_mean_RightHand_velocity_x_mean,4.215238095238096
LeftHand_sixD_b_median_RightHand_velocity_x_mean,3.7885714285714283
LeftHand_sixD_b_mean_RightHand_velocity_x_mean,3.9314285714285715
LeftHand_sixD_c_median_RightHand_velocity_x_mean,3.7961904761904757
LeftHand_sixD_c_mean_RightHand_velocity_x_mean,4.0914285714285725
LeftHand_sixD_d_median_RightHand_velocity_x_mean,3.9238095238095236
LeftHand_sixD_d_mean_RightHand_velocity_x_mean,4.066666666666666
LeftHand_sixD_e_median_RightHand_velocity_x_mean,3.9028571428571435
LeftHand_sixD_e_mean_RightHand_velocity_x_mean,3.9695238095238095
LeftHand_sixD_f_median_RightHand_velocity_x_mean,3.910476190476191
LeftHand_sixD_f_mean_RightHand_velocity_x_mean,4.026666666666666
RightHand_position_x_median_RightHand_velocity_x_mean,3.9980952380952384
RightHand_position_x_mean_RightHand_velocity_x_mean,4.116190476190477
RightHand_position_y_median_RightHand_velocity_x_mean,3.9999999999999996
RightHand_position_y_mean_RightHand_velocity_x_mean,4.135238095238095
RightHand_position_z_median_RightHand_velocity_x_mean,3.961904761904762
RightHand_position_z_mean_RightHand_velocity_x_mean,3.939047619047619
RightHand_quat_x_median_RightHand_velocity_x_mean,3.851428571428572
RightHand_quat_x_mean_RightHand_velocity_x_mean,3.9047619047619047
RightHand_quat_y_median_RightHand_velocity_x_mean,3.9047619047619047
RightHand_quat_y_mean_RightHand_velocity_x_mean,3.805714285714286
