,full
Gender_RightHand_velocity_x_mean,21.702476190476187
Head_position_x_median_RightHand_velocity_x_mean,25.620952380952378
Head_position_x_mean_RightHand_velocity_x_mean,26.12876190476191
Head_position_y_median_RightHand_velocity_x_mean,21.830095238095236
Head_position_y_mean_RightHand_velocity_x_mean,22.621333333333336
Head_position_z_median_RightHand_velocity_x_mean,23.61028571428572
Head_position_z_mean_RightHand_velocity_x_mean,24.613714285714288
Head_quat_x_median_RightHand_velocity_x_mean,23.740952380952383
Head_quat_x_mean_RightHand_velocity_x_mean,22.86628571428572
Head_quat_y_median_RightHand_velocity_x_mean,21.472000000000005
Head_quat_y_mean_RightHand_velocity_x_mean,23.861714285714285
Head_quat_z_median_RightHand_velocity_x_mean,26.647238095238095
Head_quat_z_mean_RightHand_velocity_x_mean,25.385142857142853
Head_quat_w_median_RightHand_velocity_x_mean,23.72495238095238
Head_quat_w_mean_RightHand_velocity_x_mean,24.89638095238095
Head_sixD_a_median_RightHand_velocity_x_mean,20.02438095238095
Head_sixD_a_mean_RightHand_velocity_x_mean,25.119619047619047
Head_sixD_b_median_RightHand_velocity_x_mean,25.548190476190477
Head_sixD_b_mean_RightHand_velocity_x_mean,24.22285714285714
Head_sixD_c_median_RightHand_velocity_x_mean,21.06819047619048
Head_sixD_c_mean_RightHand_velocity_x_mean,25.39847619047619
Head_sixD_d_median_RightHand_velocity_x_mean,24.176380952380956
Head_sixD_d_mean_RightHand_velocity_x_mean,25.38057142857143
Head_sixD_e_median_RightHand_velocity_x_mean,24.204190476190476
Head_sixD_e_mean_RightHand_velocity_x_mean,23.679238095238098
Head_sixD_f_median_RightHand_velocity_x_mean,23.305523809523812
Head_sixD_f_mean_RightHand_velocity_x_mean,23.37714285714286
LeftHand_position_x_median_RightHand_velocity_x_mean,25.947809523809525
LeftHand_position_x_mean_RightHand_velocity_x_mean,26.596571428571426
LeftHand_position_y_median_RightHand_velocity_x_mean,24.288761904761905
LeftHand_position_y_mean_RightHand_velocity_x_mean,21.376
LeftHand_position_z_median_RightHand_velocity_x_mean,27.13752380952381
LeftHand_position_z_mean_RightHand_velocity_x_mean,24.294095238095238
LeftHand_quat_x_median_RightHand_velocity_x_mean,22.796952380952384
LeftHand_quat_x_mean_RightHand_velocity_x_mean,25.87885714285715
LeftHand_quat_y_median_RightHand_velocity_x_mean,23.659428571428574
LeftHand_quat_y_mean_RightHand_velocity_x_mean,22.548190476190477
LeftHand_quat_z_median_RightHand_velocity_x_mean,23.453333333333333
LeftHand_quat_z_mean_RightHand_velocity_x_mean,23.056761904761906
LeftHand_quat_w_median_RightHand_velocity_x_mean,27.15047619047619
LeftHand_quat_w_mean_RightHand_velocity_x_mean,24.12457142857143
LeftHand_sixD_a_median_RightHand_velocity_x_mean,25.530285714285718
LeftHand_sixD_a_mean_RightHand_velocity_x_mean,26.032380952380958
LeftHand_sixD_b_median_RightHand_velocity_x_mean,23.484571428571428
LeftHand_sixD_b_mean_RightHand_velocity_x_mean,24.665142857142857
LeftHand_sixD_c_median_RightHand_velocity_x_mean,21.353523809523807
LeftHand_sixD_c_mean_RightHand_velocity_x_mean,25.621333333333332
LeftHand_sixD_d_median_RightHand_velocity_x_mean,24.33066666666667
LeftHand_sixD_d_mean_RightHand_velocity_x_mean,25.761142857142858
LeftHand_sixD_e_median_RightHand_velocity_x_mean,24.356952380952382
LeftHand_sixD_e_mean_RightHand_velocity_x_mean,22.64609523809524
LeftHand_sixD_f_median_RightHand_velocity_x_mean,23.940952380952382
LeftHand_sixD_f_mean_RightHand_velocity_x_mean,24.811428571428575
RightHand_position_x_median_RightHand_velocity_x_mean,25.070857142857143
RightHand_position_x_mean_RightHand_velocity_x_mean,25.74438095238095
RightHand_position_y_median_RightHand_velocity_x_mean,23.976380952380953
RightHand_position_y_mean_RightHand_velocity_x_mean,26.746285714285712
RightHand_position_z_median_RightHand_velocity_x_mean,24.448761904761902
RightHand_position_z_mean_RightHand_velocity_x_mean,24.082285714285717
RightHand_quat_x_median_RightHand_velocity_x_mean,23.548190476190477
RightHand_quat_x_mean_RightHand_velocity_x_mean,23.68304761904762
RightHand_quat_y_median_RightHand_velocity_x_mean,24.620190476190476
RightHand_quat_y_mean_RightHand_velocity_x_mean,22.572190476190475
RightHand_quat_z_median_RightHand_velocity_x_mean,24.022476190476198
RightHand_quat_z_mean_RightHand_velocity_x_mean,24.044952380952378
RightHand_quat_w_median_RightHand_velocity_x_mean,21.718476190476192
RightHand_quat_w_mean_RightHand_velocity_x_mean,24.93066666666667
RightHand_sixD_a_median_RightHand_velocity_x_mean,24.939809523809522
RightHand_sixD_a_mean_RightHand_velocity_x_mean,24.442666666666668
RightHand_sixD_b_median_RightHand_velocity_x_mean,24.58895238095238
RightHand_sixD_b_mean_RightHand_velocity_x_mean,24.744380952380954
RightHand_sixD_c_median_RightHand_velocity_x_mean,24.69104761904762
RightHand_sixD_c_mean_RightHand_velocity_x_mean,24.232761904761905
RightHand_sixD_d_median_RightHand_velocity_x_mean,24.799238095238096
RightHand_sixD_d_mean_RightHand_velocity_x_mean,22.936000000000003
RightHand_sixD_e_median_RightHand_velocity_x_mean,19.706285714285716
RightHand_sixD_e_mean_RightHand_velocity_x_mean,22.718857142857146
RightHand_sixD_f_median_RightHand_velocity_x_mean,26.222476190476193
RightHand_sixD_f_mean_RightHand_velocity_x_mean,27.89104761904762
Head_euler_x_median_RightHand_velocity_x_mean,24.895238095238096
Head_euler_x_mean_RightHand_velocity_x_mean,22.850666666666665
Head_euler_y_median_RightHand_velocity_x_mean,26.45904761904762
Head_euler_y_mean_RightHand_velocity_x_mean,23.11619047619048
Head_euler_z_median_RightHand_velocity_x_mean,23.961142857142853
Head_euler_z_mean_RightHand_velocity_x_mean,22.12533333333333
LeftHand_euler_x_median_RightHand_velocity_x_mean,25.11009523809524
LeftHand_euler_x_mean_RightHand_velocity_x_mean,23.92838095238095
LeftHand_euler_y_median_RightHand_velocity_x_mean,23.353523809523807
LeftHand_euler_y_mean_RightHand_velocity_x_mean,27.960380952380955
LeftHand_euler_z_median_RightHand_velocity_x_mean,19.618285714285715
LeftHand_euler_z_mean_RightHand_velocity_x_mean,26.96266666666666
RightHand_euler_x_median_RightHand_velocity_x_mean,24.83352380952381
RightHand_euler_x_mean_RightHand_velocity_x_mean,26.876190476190477
RightHand_euler_y_median_RightHand_velocity_x_mean,22.94438095238095
RightHand_euler_y_mean_RightHand_velocity_x_mean,24.546666666666667
RightHand_euler_z_median_RightHand_velocity_x_mean,20.96495238095238
RightHand_euler_z_mean_RightHand_velocity_x_mean,24.366857142857143
Head_velocity_x_median_RightHand_velocity_x_mean,24.29028571428572
Head_velocity_x_mean_RightHand_velocity_x_mean,25.008761904761904
Head_velocity_y_median_RightHand_velocity_x_mean,23.251047619047615
Head_velocity_y_mean_RightHand_velocity_x_mean,22.74209523809524
Head_velocity_z_median_RightHand_velocity_x_mean,20.985904761904763
Head_velocity_z_mean_RightHand_velocity_x_mean,25.73447619047619
Head_acceleration_x_median_RightHand_velocity_x_mean,26.998476190476193
Head_acceleration_x_mean_RightHand_velocity_x_mean,23.784761904761904
Head_acceleration_y_median_RightHand_velocity_x_mean,24.740190476190474
Head_acceleration_y_mean_RightHand_velocity_x_mean,25.424380952380957
Head_acceleration_z_median_RightHand_velocity_x_mean,22.883428571428578
Head_acceleration_z_mean_RightHand_velocity_x_mean,24.206476190476188
Head_jerk_x_median_RightHand_velocity_x_mean,23.263238095238094
Head_jerk_x_mean_RightHand_velocity_x_mean,22.504380952380952
Head_jerk_y_median_RightHand_velocity_x_mean,23.258285714285712
Head_jerk_y_mean_RightHand_velocity_x_mean,25.265142857142855
Head_jerk_z_median_RightHand_velocity_x_mean,21.866285714285716
Head_jerk_z_mean_RightHand_velocity_x_mean,25.344000000000005
Head_angular_velocity_x_median_RightHand_velocity_x_mean,21.301714285714283
Head_angular_velocity_x_mean_RightHand_velocity_x_mean,23.450666666666667
Head_angular_velocity_y_median_RightHand_velocity_x_mean,24.43390476190477
Head_angular_velocity_y_mean_RightHand_velocity_x_mean,22.50895238095238
Head_angular_velocity_z_median_RightHand_velocity_x_mean,22.145523809523812
Head_angular_velocity_z_mean_RightHand_velocity_x_mean,24.828190476190482
Head_angular_acceleration_x_median_RightHand_velocity_x_mean,23.016000000000002
Head_angular_acceleration_x_mean_RightHand_velocity_x_mean,22.377523809523808
Head_angular_acceleration_y_median_RightHand_velocity_x_mean,23.90209523809523
Head_angular_acceleration_y_mean_RightHand_velocity_x_mean,23.703238095238095
Head_angular_acceleration_z_median_RightHand_velocity_x_mean,25.955809523809528
Head_angular_acceleration_z_mean_RightHand_velocity_x_mean,20.87390476190476
Head_angular_jerk_x_median_RightHand_velocity_x_mean,26.618666666666666
Head_angular_jerk_x_mean_RightHand_velocity_x_mean,23.07771428571429
Head_angular_jerk_y_median_RightHand_velocity_x_mean,24.443428571428576
Head_angular_jerk_y_mean_RightHand_velocity_x_mean,24.94971428571429
Head_angular_jerk_z_median_RightHand_velocity_x_mean,21.68
Head_angular_jerk_z_mean_RightHand_velocity_x_mean,21.13561904761905
LeftHand_velocity_x_median_RightHand_velocity_x_mean,23.086095238095236
LeftHand_velocity_x_mean_RightHand_velocity_x_mean,24.542095238095236
LeftHand_velocity_y_median_RightHand_velocity_x_mean,27.54247619047619
LeftHand_velocity_y_mean_RightHand_velocity_x_mean,25.35885714285714
LeftHand_velocity_z_median_RightHand_velocity_x_mean,23.969904761904765
LeftHand_velocity_z_mean_RightHand_velocity_x_mean,26.576
LeftHand_acceleration_x_median_RightHand_velocity_x_mean,25.445333333333334
LeftHand_acceleration_x_mean_RightHand_velocity_x_mean,23.814857142857143
LeftHand_acceleration_y_median_RightHand_velocity_x_mean,23.309333333333335
LeftHand_acceleration_y_mean_RightHand_velocity_x_mean,23.227809523809526
LeftHand_acceleration_z_median_RightHand_velocity_x_mean,23.72647619047619
LeftHand_acceleration_z_mean_RightHand_velocity_x_mean,23.960380952380955
LeftHand_jerk_x_median_RightHand_velocity_x_mean,26.429714285714283
LeftHand_jerk_x_mean_RightHand_velocity_x_mean,24.906285714285715
LeftHand_jerk_y_median_RightHand_velocity_x_mean,25.771809523809523
LeftHand_jerk_y_mean_RightHand_velocity_x_mean,25.296380952380957
LeftHand_jerk_z_median_RightHand_velocity_x_mean,23.799238095238096
LeftHand_jerk_z_mean_RightHand_velocity_x_mean,24.200000000000003
LeftHand_angular_velocity_x_median_RightHand_velocity_x_mean,24.60914285714286
LeftHand_angular_velocity_x_mean_RightHand_velocity_x_mean,25.50095238095238
LeftHand_angular_velocity_y_median_RightHand_velocity_x_mean,21.597333333333335
LeftHand_angular_velocity_y_mean_RightHand_velocity_x_mean,23.432380952380953
LeftHand_angular_velocity_z_median_RightHand_velocity_x_mean,22.607238095238092
LeftHand_angular_velocity_z_mean_RightHand_velocity_x_mean,27.68647619047619
LeftHand_angular_acceleration_x_median_RightHand_velocity_x_mean,23.548190476190477
LeftHand_angular_acceleration_x_mean_RightHand_velocity_x_mean,25.94742857142857
LeftHand_angular_acceleration_y_median_RightHand_velocity_x_mean,25.60990476190476
LeftHand_angular_acceleration_y_mean_RightHand_velocity_x_mean,24.945904761904764
LeftHand_angular_acceleration_z_median_RightHand_velocity_x_mean,25.581333333333333
LeftHand_angular_acceleration_z_mean_RightHand_velocity_x_mean,24.067809523809522
LeftHand_angular_jerk_x_median_RightHand_velocity_x_mean,24.06895238095239
LeftHand_angular_jerk_x_mean_RightHand_velocity_x_mean,25.81752380952381
LeftHand_angular_jerk_y_median_RightHand_velocity_x_mean,24.768761904761906
LeftHand_angular_jerk_y_mean_RightHand_velocity_x_mean,25.805333333333333
LeftHand_angular_jerk_z_median_RightHand_velocity_x_mean,22.912761904761908
LeftHand_angular_jerk_z_mean_RightHand_velocity_x_mean,23.329142857142855
RightHand_velocity_x_mean_RightHand_velocity_x_median,25.475428571428573
RightHand_velocity_x_mean_RightHand_velocity_y_median,22.677714285714284
RightHand_velocity_x_mean_RightHand_velocity_y_mean,23.37409523809524
RightHand_velocity_x_mean_RightHand_velocity_z_median,24.25942857142857
RightHand_velocity_x_mean_RightHand_velocity_z_mean,25.356952380952382
RightHand_acceleration_x_median_RightHand_velocity_x_mean,25.89790476190476
RightHand_acceleration_x_mean_RightHand_velocity_x_mean,24.31733333333333
RightHand_acceleration_y_median_RightHand_velocity_x_mean,26.615619047619052
RightHand_acceleration_y_mean_RightHand_velocity_x_mean,24.93066666666667
RightHand_acceleration_z_median_RightHand_velocity_x_mean,23.382095238095236
RightHand_acceleration_z_mean_RightHand_velocity_x_mean,24.415999999999997
RightHand_jerk_x_median_RightHand_velocity_x_mean,25.938285714285715
RightHand_jerk_x_mean_RightHand_velocity_x_mean,24.561904761904763
RightHand_jerk_y_median_RightHand_velocity_x_mean,24.382095238095243
RightHand_jerk_y_mean_RightHand_velocity_x_mean,26.939047619047617
RightHand_jerk_z_median_RightHand_velocity_x_mean,26.256
RightHand_jerk_z_mean_RightHand_velocity_x_mean,24.217523809523808
RightHand_angular_velocity_x_median_RightHand_velocity_x_mean,24.555428571428575
RightHand_angular_velocity_x_mean_RightHand_velocity_x_mean,23.58171428571428
RightHand_angular_velocity_y_median_RightHand_velocity_x_mean,25.64533333333333
RightHand_angular_velocity_y_mean_RightHand_velocity_x_mean,25.852190476190476
RightHand_angular_velocity_z_median_RightHand_velocity_x_mean,25.633904761904766
RightHand_angular_velocity_z_mean_RightHand_velocity_x_mean,26.538285714285713
