,full
Gender_RightHand_velocity_x_mean,-0.2773591150782635
Head_position_x_median_RightHand_velocity_x_mean,-0.5079918426615986
Head_position_x_mean_RightHand_velocity_x_mean,-0.5378803732729722
Head_position_y_median_RightHand_velocity_x_mean,-0.2848704862371607
Head_position_y_mean_RightHand_velocity_x_mean,-0.3314409874223241
Head_position_z_median_RightHand_velocity_x_mean,-0.3896485084029131
Head_position_z_mean_RightHand_velocity_x_mean,-0.4487080655149589
Head_quat_x_median_RightHand_velocity_x_mean,-0.39733925558948524
Head_quat_x_mean_RightHand_velocity_x_mean,-0.3458583356467151
Head_quat_y_median_RightHand_velocity_x_mean,-0.26379380298532995
Head_quat_y_mean_RightHand_velocity_x_mean,-0.40444703068611343
Head_quat_z_median_RightHand_velocity_x_mean,-0.5683967199812083
Head_quat_z_mean_RightHand_velocity_x_mean,-0.494112622520233
Head_quat_w_median_RightHand_velocity_x_mean,-0.39639753144419054
Head_quat_w_mean_RightHand_velocity_x_mean,-0.4653451920818297
Head_sixD_a_median_RightHand_velocity_x_mean,-0.17859018983962938
Head_sixD_a_mean_RightHand_velocity_x_mean,-0.47848448610903516
Head_sixD_b_median_RightHand_velocity_x_mean,-0.5037092400008543
Head_sixD_b_mean_RightHand_velocity_x_mean,-0.42570308996561956
Head_sixD_c_median_RightHand_velocity_x_mean,-0.2400264793183713
Head_sixD_c_mean_RightHand_velocity_x_mean,-0.4948973926413123
Head_sixD_d_median_RightHand_velocity_x_mean,-0.4229676055435738
Head_sixD_d_mean_RightHand_velocity_x_mean,-0.49384355847872063
Head_sixD_e_median_RightHand_velocity_x_mean,-0.4246044117961094
Head_sixD_e_mean_RightHand_velocity_x_mean,-0.3937068910290633
Head_sixD_f_median_RightHand_velocity_x_mean,-0.3717109056353971
Head_sixD_f_mean_RightHand_velocity_x_mean,-0.37592624228576343
LeftHand_position_x_median_RightHand_velocity_x_mean,-0.5272299216297593
LeftHand_position_x_mean_RightHand_velocity_x_mean,-0.5654145935211088
LeftHand_position_y_median_RightHand_velocity_x_mean,-0.4295820965640951
LeftHand_position_y_mean_RightHand_velocity_x_mean,-0.2581434581135622
LeftHand_position_z_median_RightHand_velocity_x_mean,-0.5972538384334496
LeftHand_position_z_mean_RightHand_velocity_x_mean,-0.42989600461252664
LeftHand_quat_x_median_RightHand_velocity_x_mean,-0.34177753101710495
LeftHand_quat_x_mean_RightHand_velocity_x_mean,-0.5231715390036094
LeftHand_quat_y_median_RightHand_velocity_x_mean,-0.39254094684917495
LeftHand_quat_y_mean_RightHand_velocity_x_mean,-0.32713596275812007
LeftHand_quat_z_median_RightHand_velocity_x_mean,-0.38041064297764215
LeftHand_quat_z_mean_RightHand_velocity_x_mean,-0.3570693373764122
LeftHand_quat_w_median_RightHand_velocity_x_mean,-0.5980161865510689
LeftHand_quat_w_mean_RightHand_velocity_x_mean,-0.41991821307309585
LeftHand_sixD_a_median_RightHand_velocity_x_mean,-0.5026554058382628
LeftHand_sixD_a_mean_RightHand_velocity_x_mean,-0.5322076063977454
LeftHand_sixD_b_median_RightHand_velocity_x_mean,-0.3822492472613126
LeftHand_sixD_b_mean_RightHand_velocity_x_mean,-0.4517350359819772
LeftHand_sixD_c_median_RightHand_velocity_x_mean,-0.25682055990945774
LeftHand_sixD_c_mean_RightHand_velocity_x_mean,-0.5080142646650581
LeftHand_sixD_d_median_RightHand_velocity_x_mean,-0.43204851694462865
LeftHand_sixD_d_mean_RightHand_velocity_x_mean,-0.5162431399346561
LeftHand_sixD_e_median_RightHand_velocity_x_mean,-0.4335956351833268
LeftHand_sixD_e_mean_RightHand_velocity_x_mean,-0.33289841764718453
LeftHand_sixD_f_median_RightHand_velocity_x_mean,-0.4091108074056675
LeftHand_sixD_f_mean_RightHand_velocity_x_mean,-0.46034508531038476
RightHand_position_x_median_RightHand_velocity_x_mean,-0.47561446966623255
RightHand_position_x_mean_RightHand_velocity_x_mean,-0.5152565717824424
RightHand_position_y_median_RightHand_velocity_x_mean,-0.4111960537273913
RightHand_position_y_mean_RightHand_velocity_x_mean,-0.5742264408806508
RightHand_position_z_median_RightHand_velocity_x_mean,-0.4389993380170407
RightHand_position_z_mean_RightHand_velocity_x_mean,-0.41742937068910324
RightHand_quat_x_median_RightHand_velocity_x_mean,-0.38599372183903147
RightHand_quat_x_mean_RightHand_velocity_x_mean,-0.3939311110636574
RightHand_quat_y_median_RightHand_velocity_x_mean,-0.44908923957376845
RightHand_quat_y_mean_RightHand_velocity_x_mean,-0.328548548976062
RightHand_quat_z_median_RightHand_velocity_x_mean,-0.41390911614597825
RightHand_quat_z_mean_RightHand_velocity_x_mean,-0.4152320143500823
RightHand_quat_w_median_RightHand_velocity_x_mean,-0.2783008392235582
RightHand_quat_w_mean_RightHand_velocity_x_mean,-0.4673631723931755
RightHand_sixD_a_median_RightHand_velocity_x_mean,-0.4679013004762007
RightHand_sixD_a_mean_RightHand_velocity_x_mean,-0.4386405859616904
RightHand_sixD_b_median_RightHand_velocity_x_mean,-0.44725063529009823
RightHand_sixD_b_mean_RightHand_velocity_x_mean,-0.4563988127015315
RightHand_sixD_c_median_RightHand_velocity_x_mean,-0.4532597322172158
RightHand_sixD_c_mean_RightHand_velocity_x_mean,-0.42628606205556396
RightHand_sixD_d_median_RightHand_velocity_x_mean,-0.45962758119968417
RightHand_sixD_d_mean_RightHand_velocity_x_mean,-0.34996156227978403
RightHand_sixD_e_median_RightHand_velocity_x_mean,-0.1598678169510348
RightHand_sixD_e_mean_RightHand_velocity_x_mean,-0.3371810203079293
RightHand_sixD_f_median_RightHand_velocity_x_mean,-0.5433961861239831
RightHand_sixD_f_mean_RightHand_velocity_x_mean,-0.6416045612761323
Head_euler_x_median_RightHand_velocity_x_mean,-0.46527792607145146
Head_euler_x_mean_RightHand_velocity_x_mean,-0.3449390335048794
Head_euler_y_median_RightHand_velocity_x_mean,-0.5573202502722674
Head_euler_y_mean_RightHand_velocity_x_mean,-0.36056716991607796
Head_euler_z_median_RightHand_velocity_x_mean,-0.41029917358901513
Head_euler_z_mean_RightHand_velocity_x_mean,-0.3022475389181918
LeftHand_euler_x_median_RightHand_velocity_x_mean,-0.47792393602255046
LeftHand_euler_x_mean_RightHand_velocity_x_mean,-0.40837088129150745
LeftHand_euler_y_median_RightHand_velocity_x_mean,-0.37453607807128075
LeftHand_euler_y_mean_RightHand_velocity_x_mean,-0.6456853659057424
LeftHand_euler_z_median_RightHand_velocity_x_mean,-0.15468833415191452
LeftHand_euler_z_mean_RightHand_velocity_x_mean,-0.586962138845587
RightHand_euler_x_median_RightHand_velocity_x_mean,-0.46164556151102953
RightHand_euler_x_mean_RightHand_velocity_x_mean,-0.5818723440603046
RightHand_euler_y_median_RightHand_velocity_x_mean,-0.3504548463558905
RightHand_euler_y_mean_RightHand_velocity_x_mean,-0.4447617929061054
RightHand_euler_z_median_RightHand_velocity_x_mean,-0.23395011638087504
RightHand_euler_z_mean_RightHand_velocity_x_mean,-0.43417860727327096
Head_velocity_x_median_RightHand_velocity_x_mean,-0.42967178457793276
Head_velocity_x_mean_RightHand_velocity_x_mean,-0.47195968310235115
Head_velocity_y_median_RightHand_velocity_x_mean,-0.36850455914070324
Head_velocity_y_mean_RightHand_velocity_x_mean,-0.33854876251895205
Head_velocity_z_median_RightHand_velocity_x_mean,-0.23518332657114183
Head_velocity_z_mean_RightHand_velocity_x_mean,-0.5146735996924983
Head_acceleration_x_median_RightHand_velocity_x_mean,-0.5890698071707705
Head_acceleration_x_mean_RightHand_velocity_x_mean,-0.39991778598731575
Head_acceleration_y_median_RightHand_velocity_x_mean,-0.4561521706634777
Head_acceleration_y_mean_RightHand_velocity_x_mean,-0.49642208887655115
Head_acceleration_z_median_RightHand_velocity_x_mean,-0.346867325802388
Head_acceleration_z_mean_RightHand_velocity_x_mean,-0.4247389438168656
Head_jerk_x_median_RightHand_velocity_x_mean,-0.36922206325140405
Head_jerk_x_mean_RightHand_velocity_x_mean,-0.3245574323602898
Head_jerk_y_median_RightHand_velocity_x_mean,-0.36893057720643196
Head_jerk_y_mean_RightHand_velocity_x_mean,-0.4870496914305238
Head_jerk_z_median_RightHand_velocity_x_mean,-0.28700057656580324
Head_jerk_z_mean_RightHand_velocity_x_mean,-0.49169104614661885
Head_angular_velocity_x_median_RightHand_velocity_x_mean,-0.2537711674389802
