,full
Gender_RightHand_velocity_x_mean,4.658591653115369
Head_position_x_median_RightHand_velocity_x_mean,5.061714371727466
Head_position_x_mean_RightHand_velocity_x_mean,5.111630063371361
Head_position_y_median_RightHand_velocity_x_mean,4.672268746347457
Head_position_y_mean_RightHand_velocity_x_mean,4.75618895054994
Head_position_z_median_RightHand_velocity_x_mean,4.859041645662828
Head_position_z_mean_RightHand_velocity_x_mean,4.961221047858509
Head_quat_x_median_RightHand_velocity_x_mean,4.872468817853264
Head_quat_x_mean_RightHand_velocity_x_mean,4.781870524625873
Head_quat_y_median_RightHand_velocity_x_mean,4.633788946423866
Head_quat_y_mean_RightHand_velocity_x_mean,4.884845369683086
Head_quat_z_median_RightHand_velocity_x_mean,5.162096288838295
Head_quat_z_mean_RightHand_velocity_x_mean,5.0383670824129965
Head_quat_w_median_RightHand_velocity_x_mean,4.870826662995962
Head_quat_w_mean_RightHand_velocity_x_mean,4.989627336022296
Head_sixD_a_median_RightHand_velocity_x_mean,4.474860998107198
Head_sixD_a_mean_RightHand_velocity_x_mean,5.011947630175224
Head_sixD_b_median_RightHand_velocity_x_mean,5.054521785113848
Head_sixD_b_mean_RightHand_velocity_x_mean,4.92167218969906
Head_sixD_c_median_RightHand_velocity_x_mean,4.590009855783588
Head_sixD_c_mean_RightHand_velocity_x_mean,5.039690088733254
Head_sixD_d_median_RightHand_velocity_x_mean,4.916948337371561
Head_sixD_d_mean_RightHand_velocity_x_mean,5.037913400265176
Head_sixD_e_median_RightHand_velocity_x_mean,4.919775449773137
Head_sixD_e_mean_RightHand_velocity_x_mean,4.866131738376808
Head_sixD_f_median_RightHand_velocity_x_mean,4.8275794980014375
Head_sixD_f_mean_RightHand_velocity_x_mean,4.834991505384767
LeftHand_position_x_median_RightHand_velocity_x_mean,5.093899245549476
LeftHand_position_x_mean_RightHand_velocity_x_mean,5.1571863868364725
LeftHand_position_y_median_RightHand_velocity_x_mean,4.928363004564691
LeftHand_position_y_mean_RightHand_velocity_x_mean,4.6234186485759645
LeftHand_position_z_median_RightHand_velocity_x_mean,5.209368849440766
LeftHand_position_z_mean_RightHand_velocity_x_mean,4.92890406054888
LeftHand_quat_x_median_RightHand_velocity_x_mean,4.774615417073126
LeftHand_quat_x_mean_RightHand_velocity_x_mean,5.08712660967438
LeftHand_quat_y_median_RightHand_velocity_x_mean,4.864095863716974
LeftHand_quat_y_mean_RightHand_velocity_x_mean,4.748493495435207
LeftHand_quat_z_median_RightHand_velocity_x_mean,4.842864166310401
LeftHand_quat_z_mean_RightHand_velocity_x_mean,4.801745714296199
LeftHand_quat_w_median_RightHand_velocity_x_mean,5.210611882540878
LeftHand_quat_w_mean_RightHand_velocity_x_mean,4.911677048480634
LeftHand_sixD_a_median_RightHand_velocity_x_mean,5.0527503118881425
LeftHand_sixD_a_mean_RightHand_velocity_x_mean,5.1021937392048295
LeftHand_sixD_b_median_RightHand_velocity_x_mean,4.846088260501601
LeftHand_sixD_b_mean_RightHand_velocity_x_mean,4.96640139911615
LeftHand_sixD_c_median_RightHand_velocity_x_mean,4.620987319775267
LeftHand_sixD_c_mean_RightHand_velocity_x_mean,5.061752002353862
LeftHand_sixD_d_median_RightHand_velocity_x_mean,4.932612559959141
LeftHand_sixD_d_mean_RightHand_velocity_x_mean,5.075543602131979
LeftHand_sixD_e_median_RightHand_velocity_x_mean,4.935276322654324
LeftHand_sixD_e_mean_RightHand_velocity_x_mean,4.758791363160949
LeftHand_sixD_f_median_RightHand_velocity_x_mean,4.892949251826794
LeftHand_sixD_f_mean_RightHand_velocity_x_mean,4.981107163214678
RightHand_position_x_median_RightHand_velocity_x_mean,5.00708070065354
RightHand_position_x_mean_RightHand_velocity_x_mean,5.073892091125012
RightHand_position_y_median_RightHand_velocity_x_mean,4.896568283234796
RightHand_position_y_mean_RightHand_velocity_x_mean,5.171681130375858
RightHand_position_z_median_RightHand_velocity_x_mean,4.944568930125446
RightHand_position_z_mean_RightHand_velocity_x_mean,4.90737054992648
RightHand_quat_x_median_RightHand_velocity_x_mean,4.8526477799434895
RightHand_quat_x_mean_RightHand_velocity_x_mean,4.866523155092105
RightHand_quat_y_median_RightHand_velocity_x_mean,4.961873686037411
RightHand_quat_y_mean_RightHand_velocity_x_mean,4.751019940622274
RightHand_quat_z_median_RightHand_velocity_x_mean,4.901272915322733
RightHand_quat_z_mean_RightHand_velocity_x_mean,4.903565272427031
RightHand_quat_w_median_RightHand_velocity_x_mean,4.660308593910514
RightHand_quat_w_mean_RightHand_velocity_x_mean,4.993061852878118
RightHand_sixD_a_median_RightHand_velocity_x_mean,4.993977325119681
RightHand_sixD_a_mean_RightHand_velocity_x_mean,4.943952534831485
RightHand_sixD_b_median_RightHand_velocity_x_mean,4.958724874496707
RightHand_sixD_b_mean_RightHand_velocity_x_mean,4.974372417941881
