,full
Gender,0.81859410430839
Head_quat_x_median,0.81859410430839
Head_quat_x_mean,0.81859410430839
Head_quat_y_median,0.81859410430839
Head_quat_y_mean,0.8566760037348271
Head_quat_z_median,0.8169209431345354
Head_quat_z_mean,0.81859410430839
Head_quat_w_median,0.81859410430839
Head_quat_w_mean,0.81859410430839
LeftHand_quat_x_median,0.81859410430839
LeftHand_quat_x_mean,0.81859410430839
LeftHand_quat_y_median,0.81859410430839
LeftHand_quat_y_mean,0.81859410430839
LeftHand_quat_z_median,0.8177655677655677
LeftHand_quat_z_mean,0.81859410430839
LeftHand_quat_w_median,0.81859410430839
LeftHand_quat_w_mean,0.81859410430839
RightHand_quat_x_median,0.81859410430839
RightHand_quat_x_mean,0.81859410430839
RightHand_quat_y_median,0.847949080622348
RightHand_quat_y_mean,0.81859410430839
RightHand_quat_z_median,0.81859410430839
RightHand_quat_z_mean,0.81859410430839
RightHand_quat_w_median,0.81859410430839
RightHand_quat_w_mean,0.9217032967032966
Head_velocity_x_median,0.81859410430839
Head_velocity_x_mean,0.8142857142857143
Head_velocity_y_median,0.81859410430839
Head_velocity_y_mean,0.81859410430839
Head_velocity_z_median,0.81859410430839
Head_velocity_z_mean,0.9217032967032966
LeftHand_velocity_x_median,0.81859410430839
LeftHand_velocity_x_mean,0.8177655677655677
LeftHand_velocity_y_median,0.81859410430839
LeftHand_velocity_y_mean,0.8151815181518152
LeftHand_velocity_z_median,0.8566760037348271
LeftHand_velocity_z_mean,0.8169209431345354
RightHand_velocity_x_median,0.81859410430839
RightHand_velocity_x_mean,0.81859410430839
RightHand_velocity_y_median,0.81859410430839
RightHand_velocity_y_mean,0.8704761904761905
RightHand_velocity_z_median,0.81859410430839
RightHand_velocity_z_mean,0.81859410430839
RightHand_velocity_z_max,0.81859410430839
