,full
Gender,3.8419344906785997
Head_quat_x_median,3.8584945600622857
Head_quat_x_mean,3.9023515844564303
Head_quat_y_median,3.966895867858785
Head_quat_y_mean,3.9935050934609557
Head_quat_z_median,3.761148254913428
Head_quat_z_mean,3.9294919124296013
Head_quat_w_median,3.9048024433779758
Head_quat_w_mean,3.987364705794406
LeftHand_quat_x_median,3.8567161773150196
LeftHand_quat_x_mean,3.902609922721557
LeftHand_quat_y_median,4.052001788997006
LeftHand_quat_y_mean,3.7907757895784537
LeftHand_quat_z_median,3.923012931965143
LeftHand_quat_z_mean,3.9122371736394217
LeftHand_quat_w_median,4.025808774158234
LeftHand_quat_w_mean,3.846999062672182
RightHand_quat_x_median,3.764113320077799
RightHand_quat_x_mean,3.8335602047573434
RightHand_quat_y_median,3.790839582394637
RightHand_quat_y_mean,3.760864167195133
RightHand_quat_z_median,3.833752344858992
RightHand_quat_z_mean,3.8004030468623107
RightHand_quat_w_median,3.8623029620817513
RightHand_quat_w_mean,3.8813940265351285
Head_velocity_x_median,3.762943085675297
Head_velocity_x_mean,3.9318859693447203
Head_velocity_y_median,3.9738049447565085
Head_velocity_y_mean,3.906501771188995
Head_velocity_z_median,3.8818137667466903
Head_velocity_z_mean,4.003430790079733
LeftHand_velocity_x_median,3.89145657049975
LeftHand_velocity_x_mean,3.860482154710385
LeftHand_velocity_y_median,4.13874921033662
LeftHand_velocity_y_mean,3.9381457042851067
LeftHand_velocity_z_median,3.8533435407302545
LeftHand_velocity_z_mean,3.974208133995437
RightHand_velocity_x_median,3.905789395612011
RightHand_velocity_x_mean,3.7869521171335103
RightHand_velocity_y_median,3.909739561355256
RightHand_velocity_y_mean,3.8540629940988516
RightHand_velocity_z_median,4.04622399189654
RightHand_velocity_z_mean,3.994396414535411
RightHand_velocity_z_max,3.894698504297102
