,full
Gender,22.961739581905242
Head_quat_x_median,23.34597791228528
Head_quat_x_mean,23.6444374468769
Head_quat_y_median,24.104778346522142
Head_quat_y_mean,24.106859872184067
Head_quat_z_median,23.616730080592852
Head_quat_z_mean,24.52922068267671
Head_quat_w_median,23.921257145445484
Head_quat_w_mean,24.337950810087786
LeftHand_quat_x_median,23.182194142684587
LeftHand_quat_x_mean,23.452571002472702
LeftHand_quat_y_median,25.45663750707498
LeftHand_quat_y_mean,22.30969300597723
LeftHand_quat_z_median,23.37629160991919
LeftHand_quat_z_mean,22.90492798931684
LeftHand_quat_w_median,25.268033803415317
LeftHand_quat_w_mean,23.160481901164843
RightHand_quat_x_median,21.60782527086178
RightHand_quat_x_mean,22.48705485432024
RightHand_quat_y_median,23.42092423861405
RightHand_quat_y_mean,22.999559166813523
RightHand_quat_z_median,22.221642697228088
RightHand_quat_z_mean,22.25037512433174
RightHand_quat_w_median,23.196275891683392
RightHand_quat_w_mean,24.00214081533578
Head_velocity_x_median,22.63333843210591
Head_velocity_x_mean,22.996164539394734
Head_velocity_y_median,24.84942785162147
Head_velocity_y_mean,24.105658356683303
Head_velocity_z_median,23.418672254290335
Head_velocity_z_mean,24.67056572625445
LeftHand_velocity_x_median,23.076042720438423
LeftHand_velocity_x_mean,23.03326294484631
LeftHand_velocity_y_median,25.63888388653979
LeftHand_velocity_y_mean,24.718025202113203
LeftHand_velocity_z_median,22.80855577990595
LeftHand_velocity_z_mean,24.580461733197414
RightHand_velocity_x_median,23.471555341854128
RightHand_velocity_x_mean,21.65546449050128
RightHand_velocity_y_median,23.81533939986218
RightHand_velocity_y_mean,22.490619221730398
RightHand_velocity_z_median,24.959480501196154
RightHand_velocity_z_mean,24.42422221362757
RightHand_velocity_z_max,23.262413309456374
