,full
Gender,-0.3514765363904062
Head_quat_x_median,-0.3740919434695662
Head_quat_x_mean,-0.3916586028519604
Head_quat_y_median,-0.41875323661837016
Head_quat_y_mean,-0.4188757505543006
Head_quat_z_median,-0.39002780936244763
Head_quat_z_mean,-0.4437349613834949
Head_quat_w_median,-0.4079515899791606
Head_quat_w_mean,-0.4324772453032195
LeftHand_quat_x_median,-0.36445199781704485
LeftHand_quat_x_mean,-0.38036577389150716
LeftHand_quat_y_median,-0.49832063740151233
LeftHand_quat_y_mean,-0.3130985361149019
LeftHand_quat_z_median,-0.37587613978175427
LeftHand_quat_z_mean,-0.34813273336083483
LeftHand_quat_w_median,-0.4872198460497441
LeftHand_quat_w_mean,-0.36317406393656926
RightHand_quat_x_median,-0.2717881740548118
RightHand_quat_x_mean,-0.32353765705482007
RightHand_quat_y_median,-0.3785031162886241
RightHand_quat_y_mean,-0.35370251240747774
RightHand_quat_z_median,-0.30791609225554506
RightHand_quat_z_mean,-0.3096072185278216
RightHand_quat_w_median,-0.36528081800705436
RightHand_quat_w_mean,-0.41271222153514375
Head_velocity_x_median,-0.3321475806336227
Head_velocity_x_mean,-0.3535027122446932
Head_velocity_y_median,-0.46258163778922645
Head_velocity_y_mean,-0.41880503204442454
Head_velocity_z_median,-0.378370569537845
Head_velocity_z_mean,-0.45205421390567446
LeftHand_velocity_x_median,-0.35820416298038427
LeftHand_velocity_x_mean,-0.3556862412550481
LeftHand_velocity_y_median,-0.5090472508974206
LeftHand_velocity_y_mean,-0.45484757230187545
LeftHand_velocity_z_median,-0.3424604810772338
LeftHand_velocity_z_mean,-0.44675089479009533
RightHand_velocity_x_median,-0.3814831495651294
RightHand_velocity_x_mean,-0.27459211176715614
RightHand_velocity_y_median,-0.40171750882722534
RightHand_velocity_y_mean,-0.32374744773312303
RightHand_velocity_z_median,-0.46905909012410896
RightHand_velocity_z_mean,-0.43755498678833615
RightHand_velocity_z_max,-0.36917351820857025
