,full
Gender,4.791840938710846
Head_quat_x_median,4.831767576393268
Head_quat_x_mean,4.86255462148004
Head_quat_y_median,4.909661734429587
Head_quat_y_mean,4.9098737124476095
Head_quat_z_median,4.8597047318322595
Head_quat_z_mean,4.9526983234068185
Head_quat_w_median,4.890936223817019
Head_quat_w_mean,4.93335087036061
LeftHand_quat_x_median,4.814789106771405
LeftHand_quat_x_mean,4.842785459058939
LeftHand_quat_y_median,5.045457115770085
LeftHand_quat_y_mean,4.723313773822064
LeftHand_quat_z_median,4.834903474726169
LeftHand_quat_z_mean,4.785909316871439
LeftHand_quat_w_median,5.026731920782659
LeftHand_quat_w_mean,4.812533833768324
RightHand_quat_x_median,4.648421804318298
RightHand_quat_x_mean,4.742051755761449
RightHand_quat_y_median,4.83951694269315
RightHand_quat_y_mean,4.795785563055705
RightHand_quat_z_median,4.713983739601579
RightHand_quat_z_mean,4.717030328960345
RightHand_quat_w_median,4.816251228048989
RightHand_quat_w_mean,4.899197976744334
Head_velocity_x_median,4.757450833388182
Head_velocity_x_mean,4.795431632230277
Head_velocity_y_median,4.984920044656832
Head_velocity_y_mean,4.909751353855234
Head_velocity_z_median,4.839284270870056
Head_velocity_z_mean,4.966947324690937
LeftHand_velocity_x_median,4.803752982870624
LeftHand_velocity_x_mean,4.799298172112909
LeftHand_velocity_y_median,5.063485349691435
LeftHand_velocity_y_mean,4.971722558843484
LeftHand_velocity_z_median,4.775830375956201
LeftHand_velocity_z_mean,4.957868668409583
RightHand_velocity_x_median,4.8447451266144155
RightHand_velocity_x_mean,4.653543218935575
RightHand_velocity_y_median,4.880096249036711
RightHand_velocity_y_mean,4.7424275663135225
RightHand_velocity_z_median,4.995946406957961
RightHand_velocity_z_mean,4.942086827811463
RightHand_velocity_z_max,4.823112408959216
